,QTWO US Equity
,RSI_30D
2020-01-01,57.3575
2020-01-02,59.7347
2020-01-03,61.2995
2020-01-04,61.2995
2020-01-05,61.2995
2020-01-06,62.7835
2020-01-07,59.0111
2020-01-08,60.08
2020-01-09,59.8685
2020-01-10,58.1738
2020-01-11,58.1738
2020-01-12,58.1738
2020-01-13,60.3758
2020-01-14,58.6914
2020-01-15,60.7142
2020-01-16,62.1903
2020-01-17,63.3443
2020-01-18,63.3443
2020-01-19,63.3443
2020-01-20,63.3443
2020-01-21,62.3401
2020-01-22,63.7319
2020-01-23,63.2975
2020-01-24,61.2216
2020-01-25,61.2216
2020-01-26,61.2216
2020-01-27,60.3699
2020-01-28,61.9351
2020-01-29,61.0414
2020-01-30,63.9567
2020-01-31,58.7994
2020-02-01,58.7994
2020-02-02,58.7994
2020-02-03,58.1744
2020-02-04,60.9761
2020-02-05,54.7089
2020-02-06,55.3683
2020-02-07,55.5913
2020-02-08,55.5913
2020-02-09,55.5913
2020-02-10,58.0765
2020-02-11,55.1149
2020-02-12,56.3737
2020-02-13,57.2874
2020-02-14,57.3381
2020-02-15,57.3381
2020-02-16,57.3381
2020-02-17,57.3381
2020-02-18,56.1499
2020-02-19,56.8207
2020-02-20,58.5647
2020-02-21,51.5234
2020-02-22,51.5234
2020-02-23,51.5234
2020-02-24,49.3639
2020-02-25,44.9675
2020-02-26,42.8723
2020-02-27,40.6253
2020-02-28,40.1177
2020-02-29,40.1177
2020-03-01,40.1177
2020-03-02,43.9192
2020-03-03,41.8143
2020-03-04,42.1491
2020-03-05,38.5745
2020-03-06,36.0397
2020-03-07,36.0397
2020-03-08,36.0397
2020-03-09,34.3707
2020-03-10,36.6505
2020-03-11,35.0632
2020-03-12,32.5874
2020-03-13,34.1088
2020-03-14,34.1088
2020-03-15,34.1088
2020-03-16,25.7673
2020-03-17,37.3891
2020-03-18,32.9592
2020-03-19,36.5299
2020-03-20,35.9644
2020-03-21,35.9644
2020-03-22,35.9644
2020-03-23,34.3114
2020-03-24,38.3365
2020-03-25,39.3005
2020-03-26,43.0828
2020-03-27,41.0431
2020-03-28,41.0431
2020-03-29,41.0431
2020-03-30,42.9192
2020-03-31,41.63
2020-04-01,39.3491
2020-04-02,40.3616
2020-04-03,40.5623
2020-04-04,40.5623
2020-04-05,40.5623
2020-04-06,44.5559
2020-04-07,43.5323
2020-04-08,46.5277
2020-04-09,48.043
2020-04-10,48.043
2020-04-11,48.043
2020-04-12,48.043
2020-04-13,46.0364
2020-04-14,49.3179
2020-04-15,48.1901
2020-04-16,48.4032
2020-04-17,49.8707
2020-04-18,49.8707
2020-04-19,49.8707
2020-04-20,50.315
2020-04-21,47.8358
2020-04-22,49.7471
2020-04-23,49.7929
2020-04-24,51.3579
2020-04-25,51.3579
2020-04-26,51.3579
2020-04-27,53.6349
2020-04-28,53.351
2020-04-29,57.4623
2020-04-30,56.3847
2020-05-01,55.1909
2020-05-02,55.1909
2020-05-03,55.1909
2020-05-04,54.726
2020-05-05,56.1066
2020-05-06,57.4319
2020-05-07,58.7924
2020-05-08,57.5064
2020-05-09,57.5064
2020-05-10,57.5064
2020-05-11,56.4409
2020-05-12,54.357
2020-05-13,53.9329
2020-05-14,56.4618
2020-05-15,54.8315
2020-05-16,54.8315
2020-05-17,54.8315
2020-05-18,56.7069
2020-05-19,54.2765
2020-05-20,54.1862
2020-05-21,54.4021
2020-05-22,55.5068
2020-05-23,55.5068
2020-05-24,55.5068
2020-05-25,55.5068
2020-05-26,56.0575
2020-05-27,56.6325
2020-05-28,55.9448
2020-05-29,55.8205
2020-05-30,55.8205
2020-05-31,55.8205
2020-06-01,56.9166
2020-06-02,57.0163
2020-06-03,57.5531
2020-06-04,55.0909
2020-06-05,56.307
2020-06-06,56.307
2020-06-07,56.307
2020-06-08,56.4434
2020-06-09,55.8621
2020-06-10,53.8728
2020-06-11,51.2075
2020-06-12,50.8501
2020-06-13,50.8501
2020-06-14,50.8501
2020-06-15,50.8219
2020-06-16,52.4157
2020-06-17,51.9282
2020-06-18,53.4102
2020-06-19,52.6127
2020-06-20,52.6127
2020-06-21,52.6127
2020-06-22,55.4039
2020-06-23,53.776
2020-06-24,55.3351
2020-06-25,57.6747
2020-06-26,55.0311
2020-06-27,55.0311
2020-06-28,55.0311
2020-06-29,55.6286
2020-06-30,56.3636
2020-07-01,57.8977
2020-07-02,58.0462
2020-07-03,58.0462
2020-07-04,58.0462
2020-07-05,58.0462
2020-07-06,59.8601
2020-07-07,58.3162
2020-07-08,60.5566
2020-07-09,62.1446
2020-07-10,59.5028
2020-07-11,59.5028
2020-07-12,59.5028
2020-07-13,54.4198
2020-07-14,55.2114
2020-07-15,56.5688
2020-07-16,55.414
2020-07-17,57.0954
2020-07-18,57.0954
2020-07-19,57.0954
2020-07-20,59.8409
2020-07-21,59.179
2020-07-22,60.0557
2020-07-23,59.5244
2020-07-24,57.8243
2020-07-25,57.8243
2020-07-26,57.8243
2020-07-27,59.4737
2020-07-28,59.1059
2020-07-29,59.8918
2020-07-30,57.8837
2020-07-31,58.4317
2020-08-01,58.4317
2020-08-02,58.4317
2020-08-03,61.7071
2020-08-04,60.7834
2020-08-05,62.3434
2020-08-06,64.5195
2020-08-07,61.2515
2020-08-08,61.2515
2020-08-09,61.2515
2020-08-10,54.2031
2020-08-11,54.6163
2020-08-12,56.0975
2020-08-13,57.9116
2020-08-14,56.5617
2020-08-15,56.5617
2020-08-16,56.5617
2020-08-17,57.8364
2020-08-18,58.0184
2020-08-19,57.2197
2020-08-20,57.8441
