,GNRC US Equity
,RSI_30D
2020-01-01,60.6981
2020-01-02,62.4404
2020-01-03,61.7622
2020-01-04,61.7622
2020-01-05,61.7622
2020-01-06,60.9167
2020-01-07,62.9765
2020-01-08,57.5217
2020-01-09,56.4122
2020-01-10,55.2399
2020-01-11,55.2399
2020-01-12,55.2399
2020-01-13,58.166
2020-01-14,59.7036
2020-01-15,59.8896
2020-01-16,61.868
2020-01-17,61.1029
2020-01-18,61.1029
2020-01-19,61.1029
2020-01-20,61.1029
2020-01-21,59.008
2020-01-22,59.2165
2020-01-23,59.7722
2020-01-24,64.1937
2020-01-25,64.1937
2020-01-26,64.1937
2020-01-27,61.008
2020-01-28,63.3567
2020-01-29,65.9602
2020-01-30,62.1173
2020-01-31,56.0575
2020-02-01,56.0575
2020-02-02,56.0575
2020-02-03,56.2269
2020-02-04,56.8467
2020-02-05,56.5248
2020-02-06,54.7675
2020-02-07,52.4639
2020-02-08,52.4639
2020-02-09,52.4639
2020-02-10,61.0463
2020-02-11,61.8792
2020-02-12,64.8009
2020-02-13,66.3527
2020-02-14,62.8376
2020-02-15,62.8376
2020-02-16,62.8376
2020-02-17,62.8376
2020-02-18,59.9859
2020-02-19,64.021
2020-02-20,64.5301
2020-02-21,63.5088
2020-02-22,63.5088
2020-02-23,63.5088
2020-02-24,59.2665
2020-02-25,53.3525
2020-02-26,56.2891
2020-02-27,51.3568
2020-02-28,49.126
2020-02-29,49.126
2020-03-01,49.126
2020-03-02,53.799
2020-03-03,55.4646
2020-03-04,59.8593
2020-03-05,58.4888
2020-03-06,54.7631
2020-03-07,54.7631
2020-03-08,54.7631
2020-03-09,47.2217
2020-03-10,51.6286
2020-03-11,48.076
2020-03-12,44.049
2020-03-13,47.099
2020-03-14,47.099
2020-03-15,47.099
2020-03-16,41.5345
2020-03-17,45.6034
2020-03-18,42.9915
2020-03-19,43.0292
2020-03-20,41.4812
2020-03-21,41.4812
2020-03-22,41.4812
2020-03-23,39.2735
2020-03-24,42.9225
2020-03-25,43.9929
2020-03-26,48.1892
2020-03-27,45.1725
2020-03-28,45.1725
2020-03-29,45.1725
2020-03-30,47.2782
2020-03-31,47.1307
2020-04-01,43.2031
2020-04-02,44.8215
2020-04-03,44.1352
2020-04-04,44.1352
2020-04-05,44.1352
2020-04-06,47.4898
2020-04-07,46.5599
2020-04-08,49.4701
2020-04-09,51.502
2020-04-10,51.502
2020-04-11,51.502
2020-04-12,51.502
2020-04-13,50.5331
2020-04-14,51.7736
2020-04-15,49.5454
2020-04-16,49.4119
2020-04-17,50.6254
2020-04-18,50.6254
2020-04-19,50.6254
2020-04-20,50.6515
2020-04-21,48.3549
2020-04-22,49.5028
2020-04-23,49.6356
2020-04-24,49.908
2020-04-25,49.908
2020-04-26,49.908
2020-04-27,50.5286
2020-04-28,50.6793
2020-04-29,52.8461
2020-04-30,49.7261
2020-05-01,47.7852
2020-05-02,47.7852
2020-05-03,47.7852
2020-05-04,48.3481
2020-05-05,50.8022
2020-05-06,50.8408
2020-05-07,50.6866
2020-05-08,52.9784
2020-05-09,52.9784
2020-05-10,52.9784
2020-05-11,52.9729
2020-05-12,50.742
2020-05-13,49.7787
2020-05-14,51.2285
2020-05-15,53.2593
2020-05-16,53.2593
2020-05-17,53.2593
2020-05-18,56.3871
2020-05-19,55.6465
