,SPG US Equity
,RSI_30D
2020-01-01,52.4926
2020-01-02,47.1257
2020-01-03,47.4988
2020-01-04,47.4988
2020-01-05,47.4988
2020-01-06,48.5955
2020-01-07,46.4052
2020-01-08,47.7981
2020-01-09,46.2661
2020-01-10,47.1055
2020-01-11,47.1055
2020-01-12,47.1055
2020-01-13,47.8579
2020-01-14,50.5364
2020-01-15,50.4926
2020-01-16,52.533
2020-01-17,51.3621
2020-01-18,51.3621
2020-01-19,51.3621
2020-01-20,51.3621
2020-01-21,53.2385
2020-01-22,48.7386
2020-01-23,50.4709
2020-01-24,47.2349
2020-01-25,47.2349
2020-01-26,47.2349
2020-01-27,43.4516
2020-01-28,41.6763
2020-01-29,41.7364
2020-01-30,38.1033
2020-01-31,35.1829
2020-02-01,35.1829
2020-02-02,35.1829
2020-02-03,34.8895
2020-02-04,41.3772
2020-02-05,45.3657
2020-02-06,45.8332
2020-02-07,46.0292
2020-02-08,46.0292
2020-02-09,46.0292
2020-02-10,48.488
2020-02-11,47.4145
2020-02-12,44.3954
2020-02-13,46.3556
2020-02-14,46.6736
2020-02-15,46.6736
2020-02-16,46.6736
2020-02-17,46.6736
2020-02-18,46.9863
2020-02-19,44.6469
2020-02-20,48.9331
2020-02-21,50.8567
2020-02-22,50.8567
2020-02-23,50.8567
2020-02-24,49.2176
2020-02-25,43.7589
2020-02-26,41.1413
2020-02-27,36.3935
2020-02-28,34.6439
2020-02-29,34.6439
2020-03-01,34.6439
2020-03-02,39.2428
2020-03-03,36.218
2020-03-04,37.2917
2020-03-05,35.1379
2020-03-06,34.6535
2020-03-07,34.6535
2020-03-08,34.6535
2020-03-09,27.2433
2020-03-10,34.8053
2020-03-11,30.8768
2020-03-12,25.4852
2020-03-13,29.9006
2020-03-14,29.9006
2020-03-15,29.9006
2020-03-16,24.2293
2020-03-17,22.9291
2020-03-18,20.626
2020-03-19,26.55
2020-03-20,25.1842
2020-03-21,25.1842
2020-03-22,25.1842
2020-03-23,26.2276
2020-03-24,28.5595
2020-03-25,32.2486
2020-03-26,32.1944
2020-03-27,31.3026
2020-03-28,31.3026
2020-03-29,31.3026
2020-03-30,30.8748
2020-03-31,30.5543
2020-04-01,28.8367
2020-04-02,28.2012
2020-04-03,29.6358
2020-04-04,29.6358
2020-04-05,29.6358
2020-04-06,33.3663
2020-04-07,36.5972
2020-04-08,37.5299
2020-04-09,39.8998
2020-04-10,39.8998
2020-04-11,39.8998
2020-04-12,39.8998
2020-04-13,39.0633
2020-04-14,40.1709
2020-04-15,38.2538
2020-04-16,36.0412
2020-04-17,37.4335
2020-04-18,37.4335
2020-04-19,37.4335
2020-04-20,36.805
2020-04-21,36.7298
2020-04-22,36.4162
2020-04-23,36.7666
2020-04-24,36.2691
2020-04-25,36.2691
2020-04-26,36.2691
2020-04-27,39.1915
2020-04-28,42.1476
2020-04-29,44.6284
2020-04-30,43.9056
2020-05-01,42.649
2020-05-02,42.649
2020-05-03,42.649
2020-05-04,42.5819
2020-05-05,41.7031
2020-05-06,40.032
2020-05-07,40.6762
2020-05-08,41.2051
2020-05-09,41.2051
2020-05-10,41.2051
2020-05-11,40.138
2020-05-12,39.9415
2020-05-13,38.7176
2020-05-14,38.9359
2020-05-15,38.8492
2020-05-16,38.8492
2020-05-17,38.8492
2020-05-18,42.089
2020-05-19,42.0725
2020-05-20,41.5668
2020-05-21,41.7659
2020-05-22,41.1461
2020-05-23,41.1461
2020-05-24,41.1461
2020-05-25,41.1461
2020-05-26,43.9879
2020-05-27,46.2575
2020-05-28,44.6244
2020-05-29,43.6738
2020-05-30,43.6738
2020-05-31,43.6738
2020-06-01,45.9401
2020-06-02,46.9869
2020-06-03,51.898
2020-06-04,53.7092
2020-06-05,58.6724
2020-06-06,58.6724
2020-06-07,58.6724
2020-06-08,61.1756
2020-06-09,56.5394
2020-06-10,54.8905
2020-06-11,50.0506
2020-06-12,51.6647
2020-06-13,51.6647
2020-06-14,51.6647
2020-06-15,50.9971
2020-06-16,51.4582
2020-06-17,49.8062
2020-06-18,49.503
2020-06-19,47.8725
2020-06-20,47.8725
2020-06-21,47.8725
2020-06-22,48.5256
2020-06-23,49.2524
2020-06-24,47.0682
2020-06-25,46.9951
2020-06-26,45.6842
2020-06-27,45.6842
2020-06-28,45.6842
2020-06-29,48.717
2020-06-30,48.8356
2020-07-01,49.5263
2020-07-02,49.0473
2020-07-03,49.0473
2020-07-04,49.0473
2020-07-05,49.0473
2020-07-06,49.1084
2020-07-07,47.6313
2020-07-08,47.5229
2020-07-09,45.8263
2020-07-10,47.5186
2020-07-11,47.5186
2020-07-12,47.5186
2020-07-13,47.3687
2020-07-14,46.4483
