,CRI US Equity
,RSI_30D
2020-01-01,62.982
2020-01-02,63.9504
2020-01-03,63.3254
2020-01-04,63.3254
2020-01-05,63.3254
2020-01-06,63.9947
2020-01-07,59.4097
2020-01-08,58.2244
2020-01-09,58.1306
2020-01-10,57.0103
2020-01-11,57.0103
2020-01-12,57.0103
2020-01-13,59.8082
2020-01-14,58.7898
2020-01-15,58.1711
2020-01-16,59.7591
2020-01-17,61.8269
2020-01-18,61.8269
2020-01-19,61.8269
2020-01-20,61.8269
2020-01-21,60.9561
2020-01-22,61.1273
2020-01-23,57.3824
2020-01-24,58.48
2020-01-25,58.48
2020-01-26,58.48
2020-01-27,55.9022
2020-01-28,60.4928
2020-01-29,60.5175
2020-01-30,59.0274
2020-01-31,51.2022
2020-02-01,51.2022
2020-02-02,51.2022
2020-02-03,52.3063
2020-02-04,53.5986
2020-02-05,55.9124
2020-02-06,54.3668
2020-02-07,51.254
2020-02-08,51.254
2020-02-09,51.254
2020-02-10,51.6295
2020-02-11,51.7292
2020-02-12,56.3568
2020-02-13,55.4405
2020-02-14,56.115
2020-02-15,56.115
2020-02-16,56.115
2020-02-17,56.115
2020-02-18,56.0322
2020-02-19,56.6671
2020-02-20,57.4873
2020-02-21,56.3833
2020-02-22,56.3833
2020-02-23,56.3833
2020-02-24,38.8452
2020-02-25,34.9215
2020-02-26,34.0183
2020-02-27,35.7108
2020-02-28,35.5344
2020-02-29,35.5344
2020-03-01,35.5344
2020-03-02,40.2328
2020-03-03,37.3456
2020-03-04,39.1621
2020-03-05,35.6665
2020-03-06,35.207
2020-03-07,35.207
2020-03-08,35.207
2020-03-09,31.7862
2020-03-10,33.0427
2020-03-11,31.5147
2020-03-12,28.1788
2020-03-13,30.6043
2020-03-14,30.6043
2020-03-15,30.6043
2020-03-16,25.5811
2020-03-17,36.1635
2020-03-18,36.6902
2020-03-19,35.0066
2020-03-20,32.4669
2020-03-21,32.4669
2020-03-22,32.4669
2020-03-23,31.9666
2020-03-24,36.303
2020-03-25,37.7834
2020-03-26,40.5071
2020-03-27,37.5171
2020-03-28,37.5171
2020-03-29,37.5171
2020-03-30,35.9319
2020-03-31,35.8158
2020-04-01,34.5618
2020-04-02,38.0752
2020-04-03,37.2504
2020-04-04,37.2504
2020-04-05,37.2504
2020-04-06,41.1698
2020-04-07,42.6745
2020-04-08,46.1739
2020-04-09,45.6274
2020-04-10,45.6274
