,SAVE US Equity
,RSI_30D
2020-01-01,56.3285
2020-01-02,57.2505
2020-01-03,54.3527
2020-01-04,54.3527
2020-01-05,54.3527
2020-01-06,55.9372
2020-01-07,52.9675
2020-01-08,54.2107
2020-01-09,54.3808
2020-01-10,53.6591
2020-01-11,53.6591
2020-01-12,53.6591
2020-01-13,53.554
2020-01-14,54.6261
2020-01-15,53.0693
2020-01-16,61.0089
2020-01-17,61.6418
2020-01-18,61.6418
2020-01-19,61.6418
2020-01-20,61.6418
2020-01-21,57.4715
2020-01-22,59.5314
2020-01-23,60.0769
2020-01-24,57.6002
2020-01-25,57.6002
2020-01-26,57.6002
2020-01-27,55.1223
2020-01-28,57.7271
2020-01-29,58.4433
2020-01-30,57.5646
2020-01-31,53.3537
2020-02-01,53.3537
2020-02-02,53.3537
2020-02-03,55.5394
2020-02-04,58.6474
2020-02-05,60.9011
2020-02-06,56.1789
2020-02-07,58.9872
2020-02-08,58.9872
2020-02-09,58.9872
2020-02-10,57.7832
2020-02-11,56.5618
2020-02-12,57.8322
2020-02-13,59.1286
2020-02-14,57.1705
2020-02-15,57.1705
2020-02-16,57.1705
2020-02-17,57.1705
2020-02-18,53.7755
2020-02-19,50.3021
2020-02-20,50.5527
2020-02-21,50.1956
2020-02-22,50.1956
2020-02-23,50.1956
2020-02-24,42.6348
2020-02-25,38.1444
2020-02-26,35.6184
2020-02-27,31.7647
2020-02-28,30.3706
2020-02-29,30.3706
2020-03-01,30.3706
2020-03-02,29.1686
2020-03-03,27.2405
2020-03-04,29.8506
2020-03-05,25.7227
2020-03-06,27.8306
2020-03-07,27.8306
2020-03-08,27.8306
2020-03-09,26.935
2020-03-10,29.2068
2020-03-11,27.9065
2020-03-12,23.1757
2020-03-13,25.1252
2020-03-14,25.1252
2020-03-15,25.1252
2020-03-16,23.0926
2020-03-17,23.2054
2020-03-18,21.7177
2020-03-19,21.3931
2020-03-20,21.9768
2020-03-21,21.9768
2020-03-22,21.9768
2020-03-23,24.1898
2020-03-24,30.7815
2020-03-25,34.6424
2020-03-26,35.485
2020-03-27,34.0643
2020-03-28,34.0643
2020-03-29,34.0643
2020-03-30,32.2252
2020-03-31,32.9677
2020-04-01,31.7652
2020-04-02,31.1734
2020-04-03,31.1582
2020-04-04,31.1582
2020-04-05,31.1582
2020-04-06,31.1268
2020-04-07,32.8255
2020-04-08,34.6644
2020-04-09,37.271
2020-04-10,37.271
2020-04-11,37.271
2020-04-12,37.271
2020-04-13,36.541
2020-04-14,37.4745
2020-04-15,37.3527
2020-04-16,36.2358
2020-04-17,37.4494
2020-04-18,37.4494
2020-04-19,37.4494
2020-04-20,37.0268
2020-04-21,36.8119
2020-04-22,35.9276
2020-04-23,35.7866
2020-04-24,36.4809
2020-04-25,36.4809
2020-04-26,36.4809
2020-04-27,36.6832
2020-04-28,40.7629
2020-04-29,42.6647
2020-04-30,42.1798
2020-05-01,39.7765
2020-05-02,39.7765
2020-05-03,39.7765
2020-05-04,39.4373
2020-05-05,38.6913
2020-05-06,37.74
2020-05-07,36.4707
2020-05-08,36.5768
2020-05-09,36.5768
2020-05-10,36.5768
2020-05-11,36.1151
2020-05-12,35.196
2020-05-13,33.6973
2020-05-14,33.9302
2020-05-15,33.5764
2020-05-16,33.5764
2020-05-17,33.5764
2020-05-18,38.1317
2020-05-19,37.7262
2020-05-20,37.8629
2020-05-21,38.6066
2020-05-22,38.8432
2020-05-23,38.8432
2020-05-24,38.8432
2020-05-25,38.8432
2020-05-26,43.651
2020-05-27,46.8618
2020-05-28,45.2351
2020-05-29,45.2756
2020-05-30,45.2756
2020-05-31,45.2756
2020-06-01,47.312
2020-06-02,48.3553
2020-06-03,53.4307
2020-06-04,58.9246
2020-06-05,60.9783
2020-06-06,60.9783
2020-06-07,60.9783
2020-06-08,64.3652
2020-06-09,59.2948
2020-06-10,54.1133
2020-06-11,49.5024
2020-06-12,52.8608
2020-06-13,52.8608
2020-06-14,52.8608
2020-06-15,53.9139
2020-06-16,55.0442
2020-06-17,53.9383
2020-06-18,53.9103
2020-06-19,52.3769
2020-06-20,52.3769
2020-06-21,52.3769
2020-06-22,51.9422
2020-06-23,52.312
2020-06-24,49.6847
2020-06-25,50.3504
2020-06-26,49.2001
2020-06-27,49.2001
2020-06-28,49.2001
2020-06-29,51.1975
2020-06-30,50.9059
2020-07-01,50.8011
2020-07-02,50.2962
2020-07-03,50.2962
2020-07-04,50.2962
2020-07-05,50.2962
2020-07-06,50.8172
2020-07-07,49.2924
2020-07-08,49.198
2020-07-09,47.9311
2020-07-10,50.5961
2020-07-11,50.5961
2020-07-12,50.5961
2020-07-13,49.2912
2020-07-14,50.1935
2020-07-15,53.4496
2020-07-16,51.2919
2020-07-17,50.5611
2020-07-18,50.5611
2020-07-19,50.5611
2020-07-20,49.0195
2020-07-21,49.0195
2020-07-22,49.0369
2020-07-23,49.3573
2020-07-24,48.7061
2020-07-25,48.7061
2020-07-26,48.7061
2020-07-27,48.138
2020-07-28,48.8897
2020-07-29,48.7211
2020-07-30,48.3189
2020-07-31,47.4886
2020-08-01,47.4886
2020-08-02,47.4886
2020-08-03,46.6403
2020-08-04,49.0581
2020-08-05,50.3956
2020-08-06,50.6225
2020-08-07,50.665
2020-08-08,50.665
2020-08-09,50.665
2020-08-10,52.8058
2020-08-11,52.2084
2020-08-12,51.7657
2020-08-13,51.0585
2020-08-14,51.5379
2020-08-15,51.5379
2020-08-16,51.5379
2020-08-17,49.8539
2020-08-18,50.4757
2020-08-19,50.154
2020-08-20,50.2045
2020-08-21,49.6065
2020-08-22,49.6065
2020-08-23,49.6065
2020-08-24,52.7217
2020-08-25,52.1255
2020-08-26,51.3339
2020-08-27,52.8906
2020-08-28,53.3462
2020-08-29,53.3462
2020-08-30,53.3462
2020-08-31,51.597
2020-09-01,50.7781
2020-09-02,50.8338
2020-09-03,51.1765
2020-09-04,51.6127
2020-09-05,51.6127
2020-09-06,51.6127
2020-09-07,51.6127
2020-09-08,53.0306
2020-09-09,50.4405
2020-09-10,50.257
2020-09-11,49.6341
2020-09-12,49.6341
2020-09-13,49.6341
2020-09-14,51.3494
2020-09-15,52.1162
2020-09-16,53.5404
2020-09-17,52.0083
2020-09-18,50.6749
2020-09-19,50.6749
2020-09-20,50.6749
2020-09-21,46.1743
2020-09-22,47.2297
2020-09-23,45.8634
2020-09-24,44.8077
2020-09-25,46.4949
2020-09-26,46.4949
2020-09-27,46.4949
2020-09-28,47.6107
2020-09-29,46.0746
2020-09-30,46.3554
2020-10-01,47.3483
2020-10-02,48.5103
2020-10-03,48.5103
2020-10-04,48.5103
2020-10-05,47.4275
2020-10-06,45.4252
2020-10-07,48.2929
2020-10-08,49.9589
2020-10-09,50.7298
2020-10-10,50.7298
2020-10-11,50.7298
2020-10-12,48.8024
2020-10-13,47.176
2020-10-14,48.0359
2020-10-15,46.9166
2020-10-16,47.216
2020-10-17,47.216
2020-10-18,47.216
2020-10-19,48.0495
2020-10-20,50.6511
2020-10-21,48.1898
2020-10-22,53.3792
2020-10-23,55.2346
2020-10-24,55.2346
2020-10-25,55.2346
2020-10-26,50.3835
2020-10-27,48.5579
2020-10-28,45.7836
2020-10-29,50.2684
2020-10-30,51.7471
2020-10-31,51.7471
2020-11-01,51.7471
2020-11-02,51.831
2020-11-03,52.1179
2020-11-04,50.6205
2020-11-05,52.7561
2020-11-06,51.9286
2020-11-07,51.9286
2020-11-08,51.9286
2020-11-09,60.7872
2020-11-10,57.3446
2020-11-11,55.1617
2020-11-12,51.7478
2020-11-13,55.3386
2020-11-14,55.3386
2020-11-15,55.3386
2020-11-16,56.7764
2020-11-17,56.1355
2020-11-18,56.3901
2020-11-19,57.6203
2020-11-20,56.0413
2020-11-21,56.0413
2020-11-22,56.0413
2020-11-23,57.6285
2020-11-24,61.1756
2020-11-25,61.3605
2020-11-26,61.3605
2020-11-27,62.0888
2020-11-28,62.0888
2020-11-29,62.0888
2020-11-30,59.8736
2020-12-01,59.6949
2020-12-02,60.8039
2020-12-03,63.4695
2020-12-04,65.5818
2020-12-05,65.5818
2020-12-06,65.5818
2020-12-07,64.4842
2020-12-08,65.9819
2020-12-09,65.4685
2020-12-10,66.9484
2020-12-11,64.3827
2020-12-12,64.3827
2020-12-13,64.3827
2020-12-14,63.6259
2020-12-15,64.8545
2020-12-16,63.1905
2020-12-17,63.9451
2020-12-18,61.7417
2020-12-19,61.7417
2020-12-20,61.7417
2020-12-21,60.1568
2020-12-22,56.2606
2020-12-23,57.3562
2020-12-24,56.9798
2020-12-25,56.9798
2020-12-26,56.9798
2020-12-27,56.9798
2020-12-28,58.392
2020-12-29,57.2261
2020-12-30,57.6522
2020-12-31,56.368
2021-01-01,56.368
2021-01-02,56.368
2021-01-03,56.368
2021-01-04,52.3738
2021-01-05,54.2554
2021-01-06,55.3321
2021-01-07,55.7304
2021-01-08,55.67
2021-01-09,55.67
2021-01-10,55.67
2021-01-11,55.6076
2021-01-12,57.4329
2021-01-13,57.3999
2021-01-14,62.0261
2021-01-15,57.3729
2021-01-16,57.3729
2021-01-17,57.3729
2021-01-18,57.3729
2021-01-19,59.3347
2021-01-20,61.6001
2021-01-21,60.6195
2021-01-22,61.0207
2021-01-23,61.0207
2021-01-24,61.0207
2021-01-25,59.7302
2021-01-26,58.482
2021-01-27,54.3411
2021-01-28,57.1461
2021-01-29,55.0096
2021-01-30,55.0096
2021-01-31,55.0096
2021-02-01,56.9555
2021-02-02,56.8989
2021-02-03,61.5068
2021-02-04,63.3673
2021-02-05,62.4049
2021-02-06,62.4049
2021-02-07,62.4049
2021-02-08,65.5234
2021-02-09,64.2183
2021-02-10,66.2869
2021-02-11,59.229
2021-02-12,60.0207
2021-02-13,60.0207
2021-02-14,60.0207
2021-02-15,60.0207
2021-02-16,61.2687
2021-02-17,63.7327
2021-02-18,65.472
2021-02-19,67.229
2021-02-20,67.229
2021-02-21,67.229
2021-02-22,68.7395
2021-02-23,70.6188
2021-02-24,66.6497
2021-02-25,63.5844
2021-02-26,64.1444
2021-02-27,64.1444
2021-02-28,64.1444
2021-03-01,64.4859
2021-03-02,64.7531
2021-03-03,63.7606
2021-03-04,61.143
2021-03-05,60.1031
2021-03-06,60.1031
2021-03-07,60.1031
2021-03-08,63.7554
2021-03-09,64.1861
2021-03-10,62.2492
2021-03-11,62.3363
2021-03-12,65.2526
2021-03-13,65.2526
2021-03-14,65.2526
2021-03-15,66.1395
2021-03-16,63.051
2021-03-17,65.291
2021-03-18,62.7592
2021-03-19,64.1829
2021-03-20,64.1829
2021-03-21,64.1829
2021-03-22,59.1799
2021-03-23,55.9465
2021-03-24,54.1149
2021-03-25,57.2157
2021-03-26,57.3827
2021-03-27,57.3827
2021-03-28,57.3827
2021-03-29,56.3956
2021-03-30,58.0467
2021-03-31,56.6572
2021-04-01,57.3322
2021-04-02,57.3322
2021-04-03,57.3322
2021-04-04,57.3322
2021-04-05,57.5256
2021-04-06,58.7169
2021-04-07,57.1419
2021-04-08,57.3599
2021-04-09,56.4269
2021-04-10,56.4269
2021-04-11,56.4269
2021-04-12,53.9117
2021-04-13,55.6387
2021-04-14,56.0358
2021-04-15,55.7776
2021-04-16,55.0989
2021-04-17,55.0989
2021-04-18,55.0989
2021-04-19,53.5129
2021-04-20,50.5246
2021-04-21,53.0498
2021-04-22,51.9128
2021-04-23,55.1615
2021-04-24,55.1615
2021-04-25,55.1615
2021-04-26,55.7029
2021-04-27,54.7204
2021-04-28,50.5129
2021-04-29,51.5947
2021-04-30,51.9263
2021-05-01,51.9263
2021-05-02,51.9263
2021-05-03,50.0349
2021-05-04,48.9964
2021-05-05,49.3789
2021-05-06,49.5847
2021-05-07,50.6637
2021-05-08,50.6637
2021-05-09,50.6637
2021-05-10,49.1974
2021-05-11,47.2763
2021-05-12,45.6647
2021-05-13,46.4385
2021-05-14,50.6702
2021-05-15,50.6702
2021-05-16,50.6702
2021-05-17,52.0556
2021-05-18,52.1351
2021-05-19,51.9126
2021-05-20,50.8792
2021-05-21,49.8745
2021-05-22,49.8745
2021-05-23,49.8745
2021-05-24,51.354
2021-05-25,50.8443
2021-05-26,52.0528
2021-05-27,52.7866
2021-05-28,52.013
2021-05-29,52.013
2021-05-30,52.013
2021-05-31,52.013
2021-06-01,54.7775
2021-06-02,53.4524
2021-06-03,51.7103
2021-06-04,50.7089
2021-06-05,50.7089
2021-06-06,50.7089
2021-06-07,51.02
2021-06-08,51.0446
2021-06-09,49.3283
2021-06-10,47.5984
2021-06-11,48.2687
2021-06-12,48.2687
2021-06-13,48.2687
2021-06-14,47.3908
2021-06-15,47.3654
2021-06-16,48.0297
2021-06-17,45.8188
2021-06-18,45.2609
2021-06-19,45.2609
2021-06-20,45.2609
2021-06-21,48.028
2021-06-22,46.6381
2021-06-23,45.134
2021-06-24,44.6542
2021-06-25,42.7728
2021-06-26,42.7728
2021-06-27,42.7728
2021-06-28,41.2813
2021-06-29,39.6905
2021-06-30,39.1553
2021-07-01,42.0196
2021-07-02,41.2399
2021-07-03,41.2399
2021-07-04,41.2399
2021-07-05,41.2399
2021-07-06,39.6707
2021-07-07,37.054
2021-07-08,36.0459
2021-07-09,39.5826
2021-07-10,39.5826
2021-07-11,39.5826
2021-07-12,39.1945
2021-07-13,37.0446
2021-07-14,36.1679
2021-07-15,36.0076
2021-07-16,33.1399
2021-07-17,33.1399
2021-07-18,33.1399
2021-07-19,31.5232
2021-07-20,36.8778
2021-07-21,40.9867
2021-07-22,40.3671
2021-07-23,39.8445
2021-07-24,39.8445
2021-07-25,39.8445
2021-07-26,43.2087
2021-07-27,41.3172
2021-07-28,42.6863
2021-07-29,42.3245
2021-07-30,39.5505
2021-07-31,39.5505
2021-08-01,39.5505
2021-08-02,39.2181
2021-08-03,39.138
2021-08-04,37.1381
2021-08-05,41.0773
2021-08-06,38.9071
2021-08-07,38.9071
2021-08-08,38.9071
2021-08-09,38.2665
2021-08-10,39.3004
2021-08-11,40.1242
