,NTAP US Equity
,RSI_30D
2020-01-01,60.9396
2020-01-02,62.7603
2020-01-03,59.6811
2020-01-04,59.6811
2020-01-05,59.6811
2020-01-06,59.2594
2020-01-07,60.0383
2020-01-08,62.2587
2020-01-09,62.8332
2020-01-10,61.8292
2020-01-11,61.8292
2020-01-12,61.8292
2020-01-13,63.6153
2020-01-14,62.595
2020-01-15,63.3505
2020-01-16,65.446
2020-01-17,57.0522
2020-01-18,57.0522
2020-01-19,57.0522
2020-01-20,57.0522
2020-01-21,52.6617
2020-01-22,52.4596
2020-01-23,52.6684
2020-01-24,50.9107
2020-01-25,50.9107
2020-01-26,50.9107
2020-01-27,47.3609
2020-01-28,44.9256
2020-01-29,42.4147
2020-01-30,41.223
2020-01-31,38.8501
2020-02-01,38.8501
2020-02-02,38.8501
2020-02-03,40.4161
2020-02-04,44.6333
2020-02-05,48.5632
2020-02-06,49.2425
2020-02-07,47.7332
2020-02-08,47.7332
2020-02-09,47.7332
2020-02-10,49.166
2020-02-11,51.1293
2020-02-12,54.2477
2020-02-13,44.6865
2020-02-14,43.3686
2020-02-15,43.3686
2020-02-16,43.3686
2020-02-17,43.3686
2020-02-18,42.2577
2020-02-19,41.9557
2020-02-20,42.9148
2020-02-21,40.5447
2020-02-22,40.5447
2020-02-23,40.5447
2020-02-24,38.1244
2020-02-25,36.579
2020-02-26,36.2052
2020-02-27,34.3771
2020-02-28,34.2106
2020-02-29,34.2106
2020-03-01,34.2106
2020-03-02,36.0268
2020-03-03,34.1237
2020-03-04,35.0432
2020-03-05,32.4196
2020-03-06,32.5712
2020-03-07,32.5712
2020-03-08,32.5712
2020-03-09,28.6384
2020-03-10,35.6825
2020-03-11,32.8715
2020-03-12,29.3048
2020-03-13,36.9299
2020-03-14,36.9299
2020-03-15,36.9299
2020-03-16,36.3085
2020-03-17,39.201
2020-03-18,39.4646
2020-03-19,36.2711
2020-03-20,34.476
2020-03-21,34.476
2020-03-22,34.476
2020-03-23,33.812
2020-03-24,37.8865
2020-03-25,37.4068
2020-03-26,43.389
2020-03-27,41.4765
2020-03-28,41.4765
2020-03-29,41.4765
2020-03-30,42.0596
2020-03-31,43.2182
2020-04-01,41.7234
2020-04-02,41.7234
2020-04-03,39.7806
2020-04-04,39.7806
2020-04-05,39.7806
2020-04-06,42.6323
2020-04-07,42.7935
2020-04-08,44.349
2020-04-09,46.4575
2020-04-10,46.4575
2020-04-11,46.4575
2020-04-12,46.4575
2020-04-13,45.3404
2020-04-14,47.1451
2020-04-15,44.4221
2020-04-16,45.3617
2020-04-17,46.4896
2020-04-18,46.4896
2020-04-19,46.4896
2020-04-20,45.2559
2020-04-21,43.2664
2020-04-22,44.2006
2020-04-23,45.8945
2020-04-24,48.3057
2020-04-25,48.3057
2020-04-26,48.3057
2020-04-27,47.9121
