,FTV US Equity
,RSI_30D
2020-01-01,58.7005
2020-01-02,61.1062
2020-01-03,60.107
2020-01-04,60.107
2020-01-05,60.107
2020-01-06,58.8624
2020-01-07,59.4059
2020-01-08,59.1794
2020-01-09,61.2945
2020-01-10,61.3372
2020-01-11,61.3372
2020-01-12,61.3372
2020-01-13,63.0262
2020-01-14,61.4299
2020-01-15,60.2629
2020-01-16,60.8513
2020-01-17,62.0148
2020-01-18,62.0148
2020-01-19,62.0148
2020-01-20,62.0148
2020-01-21,59.8901
2020-01-22,58.1053
2020-01-23,57.8651
2020-01-24,55.5576
2020-01-25,55.5576
2020-01-26,55.5576
2020-01-27,48.7808
2020-01-28,49.9124
2020-01-29,50.6821
2020-01-30,53.0544
2020-01-31,49.537
2020-02-01,49.537
2020-02-02,49.537
2020-02-03,49.1389
2020-02-04,53.5415
2020-02-05,56.0066
2020-02-06,56.6076
2020-02-07,59.1519
2020-02-08,59.1519
2020-02-09,59.1519
2020-02-10,59.8074
2020-02-11,59.9322
2020-02-12,58.6764
2020-02-13,53.5673
2020-02-14,54.8835
2020-02-15,54.8835
2020-02-16,54.8835
2020-02-17,54.8835
2020-02-18,54.4354
2020-02-19,52.2564
2020-02-20,52.0654
2020-02-21,49.4474
2020-02-22,49.4474
2020-02-23,49.4474
2020-02-24,42.1534
2020-02-25,38.1045
2020-02-26,39.3522
2020-02-27,38.6822
2020-02-28,36.804
2020-02-29,36.804
2020-03-01,36.804
2020-03-02,40.7295
2020-03-03,38.6146
2020-03-04,44.8855
2020-03-05,38.9088
2020-03-06,37.1423
2020-03-07,37.1423
2020-03-08,37.1423
2020-03-09,31.9226
2020-03-10,32.6517
2020-03-11,29.794
2020-03-12,26.828
2020-03-13,34.1585
2020-03-14,34.1585
2020-03-15,34.1585
2020-03-16,28.3609
2020-03-17,29.6447
2020-03-18,25.2979
2020-03-19,26.7454
2020-03-20,26.4933
2020-03-21,26.4933
2020-03-22,26.4933
2020-03-23,24.6663
2020-03-24,34.9485
2020-03-25,34.9298
2020-03-26,36.9995
2020-03-27,35.6677
2020-03-28,35.6677
2020-03-29,35.6677
2020-03-30,38.4476
2020-03-31,41.7327
2020-04-01,41.5693
2020-04-02,42.6567
2020-04-03,41.328
2020-04-04,41.328
2020-04-05,41.328
2020-04-06,44.4205
2020-04-07,45.6185
2020-04-08,47.745
2020-04-09,48.1283
2020-04-10,48.1283
2020-04-11,48.1283
2020-04-12,48.1283
2020-04-13,46.6935
2020-04-14,48.2596
2020-04-15,45.2172
2020-04-16,44.6301
2020-04-17,48.1422
2020-04-18,48.1422
2020-04-19,48.1422
2020-04-20,46.7207
2020-04-21,44.3849
2020-04-22,46.2323
2020-04-23,47.0557
2020-04-24,48.7002
2020-04-25,48.7002
2020-04-26,48.7002
2020-04-27,51.9312
2020-04-28,52.5512
2020-04-29,53.2687
2020-04-30,51.7743
2020-05-01,48.8044
2020-05-02,48.8044
2020-05-03,48.8044
2020-05-04,49.037
2020-05-05,46.6929
2020-05-06,46.2135
2020-05-07,46.3762
2020-05-08,47.7457
2020-05-09,47.7457
2020-05-10,47.7457
2020-05-11,47.3258
2020-05-12,44.9108
2020-05-13,43.445
2020-05-14,44.8684
2020-05-15,44.4148
2020-05-16,44.4148
2020-05-17,44.4148
2020-05-18,48.5705
2020-05-19,48.4944
2020-05-20,48.4846
2020-05-21,47.6649
2020-05-22,47.9425
2020-05-23,47.9425
2020-05-24,47.9425
2020-05-25,47.9425
2020-05-26,50.9965
2020-05-27,53.2827
2020-05-28,51.0737
2020-05-29,50.4823
2020-05-30,50.4823
2020-05-31,50.4823
2020-06-01,51.7115
2020-06-02,53.575
2020-06-03,56.4273
2020-06-04,56.7696
2020-06-05,59.4983
2020-06-06,59.4983
2020-06-07,59.4983
2020-06-08,59.216
2020-06-09,58.2219
2020-06-10,54.9759
2020-06-11,50.6678
2020-06-12,51.4529
2020-06-13,51.4529
2020-06-14,51.4529
2020-06-15,52.1812
2020-06-16,55.3812
2020-06-17,55.4624
2020-06-18,55.7215
2020-06-19,55.329
2020-06-20,55.329
2020-06-21,55.329
2020-06-22,55.865
2020-06-23,55.7267
2020-06-24,52.9168
2020-06-25,54.6295
2020-06-26,53.0682
2020-06-27,53.0682
2020-06-28,53.0682
2020-06-29,54.6782
2020-06-30,54.3546
2020-07-01,54.0999
2020-07-02,54.855
2020-07-03,54.855
2020-07-04,54.855
2020-07-05,54.855
2020-07-06,55.9417
2020-07-07,54.4634
2020-07-08,54.7133
2020-07-09,53.3371
2020-07-10,53.3094
2020-07-11,53.3094
2020-07-12,53.3094
2020-07-13,53.7696
2020-07-14,55.6399
2020-07-15,57.9735
2020-07-16,58.5513
2020-07-17,58.9777
2020-07-18,58.9777
2020-07-19,58.9777
2020-07-20,56.8446
2020-07-21,57.3801
2020-07-22,57.7776
2020-07-23,58.9769
2020-07-24,56.4395
2020-07-25,56.4395
2020-07-26,56.4395
2020-07-27,57.5509
