,TMP US Equity
,RSI_30D
2020-01-01,68.6488
2020-01-02,68.1463
2020-01-03,68.7276
2020-01-04,68.7276
2020-01-05,68.7276
2020-01-06,66.2272
2020-01-07,62.9374
2020-01-08,64.9544
2020-01-09,64.6943
2020-01-10,62.3271
2020-01-11,62.3271
2020-01-12,62.3271
2020-01-13,65.3552
2020-01-14,65.5357
2020-01-15,62.9078
2020-01-16,66.393
2020-01-17,64.6497
2020-01-18,64.6497
2020-01-19,64.6497
2020-01-20,64.6497
2020-01-21,60.6643
2020-01-22,58.5116
2020-01-23,59.7192
2020-01-24,53.2121
2020-01-25,53.2121
2020-01-26,53.2121
2020-01-27,52.6161
2020-01-28,49.3025
2020-01-29,46.7305
2020-01-30,48.9513
2020-01-31,44.8613
2020-02-01,44.8613
2020-02-02,44.8613
2020-02-03,50.3825
2020-02-04,49.8779
2020-02-05,54.008
2020-02-06,51.8002
2020-02-07,49.7313
2020-02-08,49.7313
2020-02-09,49.7313
2020-02-10,51.0936
2020-02-11,50.6675
2020-02-12,50.6911
2020-02-13,51.6732
2020-02-14,50.5305
2020-02-15,50.5305
2020-02-16,50.5305
2020-02-17,50.5305
2020-02-18,47.5343
2020-02-19,47.9718
2020-02-20,48.4168
2020-02-21,47.2128
2020-02-22,47.2128
2020-02-23,47.2128
2020-02-24,43.6385
2020-02-25,42.1571
2020-02-26,41.45
2020-02-27,36.3654
2020-02-28,33.6967
2020-02-29,33.6967
2020-03-01,33.6967
2020-03-02,41.6494
2020-03-03,37.758
2020-03-04,40.8519
2020-03-05,36.4875
2020-03-06,41.0726
2020-03-07,41.0726
2020-03-08,41.0726
2020-03-09,32.8542
2020-03-10,35.1762
2020-03-11,32.1074
2020-03-12,26.1033
2020-03-13,35.2208
2020-03-14,35.2208
2020-03-15,35.2208
2020-03-16,32.328
2020-03-17,44.6234
2020-03-18,45.2295
2020-03-19,47.8043
2020-03-20,39.8385
2020-03-21,39.8385
2020-03-22,39.8385
2020-03-23,38.3518
2020-03-24,43.5383
2020-03-25,41.9233
2020-03-26,44.7297
2020-03-27,42.2471
2020-03-28,42.2471
2020-03-29,42.2471
2020-03-30,44.5885
2020-03-31,45.5159
2020-04-01,43.2684
2020-04-02,45.4362
2020-04-03,43.5952
2020-04-04,43.5952
2020-04-05,43.5952
2020-04-06,46.4901
2020-04-07,45.5585
2020-04-08,45.7493
2020-04-09,48.6559
2020-04-10,48.6559
2020-04-11,48.6559
2020-04-12,48.6559
2020-04-13,46.2993
2020-04-14,46.1105
2020-04-15,44.0917
2020-04-16,43.5623
2020-04-17,46.5528
2020-04-18,46.5528
2020-04-19,46.5528
2020-04-20,45.1005
2020-04-21,45.1748
2020-04-22,45.1231
2020-04-23,45.1808
2020-04-24,44.4203
2020-04-25,44.4203
2020-04-26,44.4203
2020-04-27,47.117
2020-04-28,47.3105
2020-04-29,50.3195
2020-04-30,45.7749
2020-05-01,46.2453
2020-05-02,46.2453
2020-05-03,46.2453
2020-05-04,44.7225
2020-05-05,44.342
2020-05-06,43.7671
2020-05-07,43.0937
2020-05-08,44.9694
2020-05-09,44.9694
2020-05-10,44.9694
2020-05-11,43.1664
2020-05-12,41.5881
2020-05-13,40.0453
2020-05-14,39.85
2020-05-15,40.0402
2020-05-16,40.0402
2020-05-17,40.0402
2020-05-18,44.0498
2020-05-19,41.9773
2020-05-20,44.6404
2020-05-21,44.5223
2020-05-22,44.5159
2020-05-23,44.5159
2020-05-24,44.5159
2020-05-25,44.5159
2020-05-26,47.0414
2020-05-27,51.0598
2020-05-28,48.8867
2020-05-29,47.5034
2020-05-30,47.5034
2020-05-31,47.5034
2020-06-01,46.3923
2020-06-02,46.281
2020-06-03,48.4634
2020-06-04,49.0468
2020-06-05,51.5256
2020-06-06,51.5256
2020-06-07,51.5256
2020-06-08,51.6807
2020-06-09,51.1955
2020-06-10,49.041
2020-06-11,46.2371
2020-06-12,46.8077
2020-06-13,46.8077
2020-06-14,46.8077
2020-06-15,47.1462
2020-06-16,48.4314
2020-06-17,46.2369
2020-06-18,46.8186
2020-06-19,46.9881
2020-06-20,46.9881
2020-06-21,46.9881
2020-06-22,46.6191
2020-06-23,45.6762
2020-06-24,44.4044
2020-06-25,46.428
2020-06-26,45.0418
2020-06-27,45.0418
2020-06-28,45.0418
2020-06-29,47.9346
2020-06-30,49.231
2020-07-01,47.0481
2020-07-02,46.9688
2020-07-03,46.9688
2020-07-04,46.9688
2020-07-05,46.9688
2020-07-06,47.1438
2020-07-07,45.8911
2020-07-08,44.9483
2020-07-09,43.6371
2020-07-10,46.6136
2020-07-11,46.6136
2020-07-12,46.6136
2020-07-13,47.2697
2020-07-14,46.941
2020-07-15,49.6384
2020-07-16,49.4271
2020-07-17,47.8694
2020-07-18,47.8694
2020-07-19,47.8694
2020-07-20,47.9891
2020-07-21,51.6631
2020-07-22,50.118
2020-07-23,50.9425
2020-07-24,50.1148
2020-07-25,50.1148
2020-07-26,50.1148
2020-07-27,50.4382
2020-07-28,50.2646
2020-07-29,52.207
2020-07-30,51.5946
2020-07-31,50.6062
2020-08-01,50.6062
2020-08-02,50.6062
2020-08-03,49.9106
2020-08-04,49.9106
2020-08-05,51.6444
2020-08-06,50.7818
2020-08-07,55.0049
2020-08-08,55.0049
2020-08-09,55.0049
2020-08-10,55.3988
2020-08-11,56.6073
2020-08-12,56.8824
2020-08-13,55.1764
2020-08-14,55.8917
2020-08-15,55.8917
2020-08-16,55.8917
2020-08-17,54.6367
2020-08-18,52.9332
2020-08-19,53.8948
2020-08-20,52.376
2020-08-21,51.6991
2020-08-22,51.6991
2020-08-23,51.6991
2020-08-24,54.337
2020-08-25,53.5965
2020-08-26,51.9995
2020-08-27,53.24
2020-08-28,52.0214
2020-08-29,52.0214
2020-08-30,52.0214
2020-08-31,50.2996
2020-09-01,49.7362
2020-09-02,49.7231
2020-09-03,49.2669
2020-09-04,50.6044
2020-09-05,50.6044
2020-09-06,50.6044
2020-09-07,50.6044
2020-09-08,46.0001
2020-09-09,44.7001
2020-09-10,43.8151
2020-09-11,43.3709
2020-09-12,43.3709
2020-09-13,43.3709
2020-09-14,45.2008
2020-09-15,42.6444
2020-09-16,43.4524
2020-09-17,42.5858
2020-09-18,43.0305
2020-09-19,43.0305
2020-09-20,43.0305
2020-09-21,40.471
2020-09-22,39.7733
2020-09-23,38.2989
2020-09-24,39.2749
2020-09-25,38.807
2020-09-26,38.807
2020-09-27,38.807
2020-09-28,40.7373
2020-09-29,40.3694
2020-09-30,41.0621
2020-10-01,40.1709
2020-10-02,42.4329
2020-10-03,42.4329
2020-10-04,42.4329
2020-10-05,45.0756
2020-10-06,44.6515
2020-10-07,44.1936
2020-10-08,44.9021
2020-10-09,43.837
2020-10-10,43.837
2020-10-11,43.837
2020-10-12,45.1821
2020-10-13,42.4264
2020-10-14,39.8963
2020-10-15,43.1346
2020-10-16,43.2926
2020-10-17,43.2926
2020-10-18,43.2926
2020-10-19,41.5793
2020-10-20,43.3415
2020-10-21,45.073
2020-10-22,46.4245
2020-10-23,46.7334
2020-10-24,46.7334
2020-10-25,46.7334
2020-10-26,45.7777
2020-10-27,43.2093
2020-10-28,41.8774
2020-10-29,44.3123
2020-10-30,43.9116
2020-10-31,43.9116
2020-11-01,43.9116
2020-11-02,46.7324
2020-11-03,49.6205
2020-11-04,44.5767
2020-11-05,46.6657
2020-11-06,44.1372
2020-11-07,44.1372
2020-11-08,44.1372
2020-11-09,55.5925
2020-11-10,58.0621
2020-11-11,55.51
2020-11-12,54.1094
2020-11-13,55.572
2020-11-14,55.572
2020-11-15,55.572
2020-11-16,59.3179
2020-11-17,58.5216
2020-11-18,56.341
2020-11-19,57.0901
2020-11-20,56.2217
2020-11-21,56.2217
2020-11-22,56.2217
2020-11-23,57.5188
2020-11-24,60.2812
2020-11-25,57.4639
2020-11-26,57.4639
2020-11-27,56.3489
2020-11-28,56.3489
2020-11-29,56.3489
2020-11-30,52.1497
2020-12-01,53.3021
2020-12-02,54.9796
2020-12-03,54.0759
2020-12-04,56.8377
2020-12-05,56.8377
2020-12-06,56.8377
2020-12-07,56.0693
2020-12-08,57.485
2020-12-09,56.6292
2020-12-10,57.3441
