,NWN US Equity
,RSI_30D
2020-01-01,60.2324
2020-01-02,59.9811
2020-01-03,60.7079
2020-01-04,60.7079
2020-01-05,60.7079
2020-01-06,58.7577
2020-01-07,55.9512
2020-01-08,55.0335
2020-01-09,51.1443
2020-01-10,51.641
2020-01-11,51.641
2020-01-12,51.641
2020-01-13,54.1916
2020-01-14,53.6388
2020-01-15,57.076
2020-01-16,55.9125
2020-01-17,57.5494
2020-01-18,57.5494
2020-01-19,57.5494
2020-01-20,57.5494
2020-01-21,59.8391
2020-01-22,60.7159
2020-01-23,63.2496
2020-01-24,60.1366
2020-01-25,60.1366
2020-01-26,60.1366
2020-01-27,60.7582
2020-01-28,60.9382
2020-01-29,57.9474
2020-01-30,57.3661
2020-01-31,55.112
2020-02-01,55.112
2020-02-02,55.112
2020-02-03,59.2749
2020-02-04,59.1422
2020-02-05,58.0332
2020-02-06,56.2798
2020-02-07,54.6679
2020-02-08,54.6679
2020-02-09,54.6679
2020-02-10,55.12
2020-02-11,55.975
2020-02-12,56.3513
2020-02-13,59.5692
2020-02-14,61.28
2020-02-15,61.28
2020-02-16,61.28
2020-02-17,61.28
2020-02-18,62.6031
2020-02-19,60.7823
2020-02-20,60.5273
2020-02-21,61.2716
2020-02-22,61.2716
2020-02-23,61.2716
2020-02-24,57.5765
2020-02-25,53.8236
2020-02-26,50.7611
2020-02-27,42.8696
2020-02-28,34.9423
2020-02-29,34.9423
2020-03-01,34.9423
2020-03-02,36.2963
2020-03-03,34.4424
2020-03-04,43.8019
2020-03-05,43.123
2020-03-06,44.5415
2020-03-07,44.5415
2020-03-08,44.5415
2020-03-09,39.1318
2020-03-10,42.5308
2020-03-11,37.2917
2020-03-12,28.4861
2020-03-13,36.1653
2020-03-14,36.1653
2020-03-15,36.1653
2020-03-16,31.5288
2020-03-17,47.4508
2020-03-18,49.2115
2020-03-19,50.6579
2020-03-20,41.4928
2020-03-21,41.4928
2020-03-22,41.4928
2020-03-23,38.6912
2020-03-24,42.2631
2020-03-25,43.1909
2020-03-26,46.6006
2020-03-27,45.1694
2020-03-28,45.1694
2020-03-29,45.1694
2020-03-30,48.5946
2020-03-31,46.6563
2020-04-01,43.523
2020-04-02,44.4398
2020-04-03,43.6484
2020-04-04,43.6484
2020-04-05,43.6484
2020-04-06,47.1999
2020-04-07,46.1004
2020-04-08,46.8978
2020-04-09,49.9608
2020-04-10,49.9608
2020-04-11,49.9608
2020-04-12,49.9608
2020-04-13,47.8537
2020-04-14,49.4681
2020-04-15,47.9386
2020-04-16,48.1683
2020-04-17,49.6227
2020-04-18,49.6227
2020-04-19,49.6227
2020-04-20,47.7623
2020-04-21,48.9046
2020-04-22,49.2661
2020-04-23,48.8086
2020-04-24,49.1963
2020-04-25,49.1963
2020-04-26,49.1963
2020-04-27,50.3105
2020-04-28,50.8014
2020-04-29,51.3485
2020-04-30,50.4462
2020-05-01,48.3822
2020-05-02,48.3822
2020-05-03,48.3822
2020-05-04,48.3611
2020-05-05,49.1563
2020-05-06,47.6667
2020-05-07,49.2499
2020-05-08,50.7457
2020-05-09,50.7457
2020-05-10,50.7457
2020-05-11,49.3703
2020-05-12,46.9773
2020-05-13,46.2888
2020-05-14,45.9086
2020-05-15,46.4581
2020-05-16,46.4581
2020-05-17,46.4581
2020-05-18,49.2181
2020-05-19,47.6668
2020-05-20,49.7669
2020-05-21,49.4656
2020-05-22,49.5404
2020-05-23,49.5404
2020-05-24,49.5404
2020-05-25,49.5404
2020-05-26,49.9832
2020-05-27,51.3834
2020-05-28,50.6369
2020-05-29,50.6006
2020-05-30,50.6006
2020-05-31,50.6006
2020-06-01,50.2936
2020-06-02,49.9611
2020-06-03,51.0517
2020-06-04,49.3155
2020-06-05,50.6137
2020-06-06,50.6137
2020-06-07,50.6137
2020-06-08,51.4836
2020-06-09,50.482
2020-06-10,48.4426
2020-06-11,44.4799
2020-06-12,44.0618
2020-06-13,44.0618
2020-06-14,44.0618
2020-06-15,45.5213
2020-06-16,45.8676
2020-06-17,44.2314
2020-06-18,44.3113
2020-06-19,42.3217
2020-06-20,42.3217
2020-06-21,42.3217
2020-06-22,43.4574
2020-06-23,43.4814
2020-06-24,42.1856
2020-06-25,41.6898
2020-06-26,40.8348
2020-06-27,40.8348
2020-06-28,40.8348
2020-06-29,43.4657
2020-06-30,44.4552
2020-07-01,44.4145
2020-07-02,44.3409
2020-07-03,44.3409
2020-07-04,44.3409
2020-07-05,44.3409
