,PARAA US Equity
,RSI_30D
2020-01-01,56.8762
2020-01-02,57.756
2020-01-03,57.8594
2020-01-04,57.8594
2020-01-05,57.8594
2020-01-06,59.2824
2020-01-07,60.0906
2020-01-08,57.6066
2020-01-09,55.2173
2020-01-10,55.5315
2020-01-11,55.5315
2020-01-12,55.5315
2020-01-13,55.1597
2020-01-14,53.3958
2020-01-15,52.6098
2020-01-16,53.4702
2020-01-17,51.6169
2020-01-18,51.6169
2020-01-19,51.6169
2020-01-20,51.6169
2020-01-21,49.9366
2020-01-22,48.6474
2020-01-23,44.3088
2020-01-24,41.6249
2020-01-25,41.6249
2020-01-26,41.6249
2020-01-27,41.6037
2020-01-28,42.6608
2020-01-29,41.1207
2020-01-30,39.5386
2020-01-31,38.7571
2020-02-01,38.7571
2020-02-02,38.7571
2020-02-03,36.3327
2020-02-04,37.8885
2020-02-05,42.0968
2020-02-06,41.6735
2020-02-07,42.8332
2020-02-08,42.8332
2020-02-09,42.8332
2020-02-10,40.9748
2020-02-11,44.5352
2020-02-12,44.7594
2020-02-13,43.5086
2020-02-14,44.3568
2020-02-15,44.3568
2020-02-16,44.3568
2020-02-17,44.3568
2020-02-18,44.6237
2020-02-19,45.877
2020-02-20,34.6823
2020-02-21,33.3728
2020-02-22,33.3728
2020-02-23,33.3728
2020-02-24,31.244
2020-02-25,29.5664
2020-02-26,28.7501
2020-02-27,27.7287
2020-02-28,32.4695
2020-02-29,32.4695
2020-03-01,32.4695
2020-03-02,31.4404
2020-03-03,30.3952
2020-03-04,31.6524
2020-03-05,28.9695
2020-03-06,28.6499
2020-03-07,28.6499
2020-03-08,28.6499
2020-03-09,26.0561
2020-03-10,28.6702
2020-03-11,27.8572
2020-03-12,24.7591
2020-03-13,25.2241
2020-03-14,25.2241
2020-03-15,25.2241
2020-03-16,23.2354
2020-03-17,22.365
2020-03-18,20.8935
2020-03-19,27.1343
2020-03-20,26.2387
2020-03-21,26.2387
2020-03-22,26.2387
2020-03-23,25.1684
2020-03-24,29.8973
2020-03-25,31.4324
2020-03-26,31.0664
2020-03-27,29.5168
2020-03-28,29.5168
2020-03-29,29.5168
2020-03-30,32.3307
2020-03-31,33.6312
2020-04-01,32.0715
2020-04-02,33.319
2020-04-03,32.6193
2020-04-04,32.6193
2020-04-05,32.6193
2020-04-06,35.9958
2020-04-07,36.0348
2020-04-08,38.5159
2020-04-09,39.2773
2020-04-10,39.2773
2020-04-11,39.2773
2020-04-12,39.2773
2020-04-13,38.5246
2020-04-14,38.2882
2020-04-15,36.8478
2020-04-16,35.9393
2020-04-17,38.5976
2020-04-18,38.5976
2020-04-19,38.5976
2020-04-20,38.0282
2020-04-21,37.3193
2020-04-22,37.7054
2020-04-23,38.4032
2020-04-24,40.535
2020-04-25,40.535
2020-04-26,40.535
2020-04-27,43.2051
2020-04-28,43.548
2020-04-29,46.6637
2020-04-30,43.4932
2020-05-01,43.3432
2020-05-02,43.3432
2020-05-03,43.3432
2020-05-04,42.1399
2020-05-05,40.7218
2020-05-06,40.0181
2020-05-07,44.4748
2020-05-08,47.0287
2020-05-09,47.0287
2020-05-10,47.0287
2020-05-11,47.3374
2020-05-12,47.8185
2020-05-13,45.0048
2020-05-14,46.26
2020-05-15,46.6986
2020-05-16,46.6986
2020-05-17,46.6986
2020-05-18,50.3439
2020-05-19,51.3928
2020-05-20,52.0116
2020-05-21,52.2735
2020-05-22,51.4029
2020-05-23,51.4029
2020-05-24,51.4029
2020-05-25,51.4029
2020-05-26,55.3362
2020-05-27,56.2597
2020-05-28,54.9822
2020-05-29,53.3125
2020-05-30,53.3125
2020-05-31,53.3125
2020-06-01,55.6827
2020-06-02,54.817
2020-06-03,57.1261
2020-06-04,58.9064
2020-06-05,59.3649
2020-06-06,59.3649
2020-06-07,59.3649
2020-06-08,63.8119
