,SBSI US Equity
,RSI_30D
2023-02-06,64.6328
2023-02-07,65.832
2023-02-08,66.5076
2023-02-09,62.8734
2023-02-10,62.1172
2023-02-11,62.1172
2023-02-12,62.1172
2023-02-13,61.1926
2023-02-14,58.5921
2023-02-15,60.5562
2023-02-16,57.7237
2023-02-17,59.3337
2023-02-18,59.3337
2023-02-19,59.3337
2023-02-20,59.3337
2023-02-21,57.9636
2023-02-22,57.1048
2023-02-23,58.3077
2023-02-24,57.6285
2023-02-25,57.6285
2023-02-26,57.6285
2023-02-27,57.746
2023-02-28,55.4145
2023-03-01,54.5345
2023-03-02,52.3587
2023-03-03,54.5612
2023-03-04,54.5612
2023-03-05,54.5612
2023-03-06,51.1918
2023-03-07,47.2805
2023-03-08,47.5568
2023-03-09,41.6475
2023-03-10,40.9106
2023-03-11,40.9106
2023-03-12,40.9106
2023-03-13,34.703
2023-03-14,39.0629
2023-03-15,41.0169
2023-03-16,44.2064
2023-03-17,39.3187
2023-03-18,39.3187
