,BGS US Equity
,RSI_30D
2020-01-01,59.1757
2020-01-02,55.9056
2020-01-03,56.7125
2020-01-04,56.7125
2020-01-05,56.7125
2020-01-06,55.0452
2020-01-07,51.0955
2020-01-08,49.5285
2020-01-09,48.58
2020-01-10,49.4562
2020-01-11,49.4562
2020-01-12,49.4562
2020-01-13,48.963
2020-01-14,48.8371
2020-01-15,45.2826
2020-01-16,43.1357
2020-01-17,45.0031
2020-01-18,45.0031
2020-01-19,45.0031
2020-01-20,45.0031
2020-01-21,47.3862
2020-01-22,48.7891
2020-01-23,49.2977
2020-01-24,49.3627
2020-01-25,49.3627
2020-01-26,49.3627
2020-01-27,50.5438
2020-01-28,48.094
2020-01-29,47.5296
2020-01-30,48.0204
2020-01-31,47.5602
2020-02-01,47.5602
2020-02-02,47.5602
2020-02-03,43.3259
2020-02-04,40.871
2020-02-05,43.3079
2020-02-06,39.2511
2020-02-07,39.0619
2020-02-08,39.0619
2020-02-09,39.0619
2020-02-10,36.4272
2020-02-11,38.4271
2020-02-12,37.7001
2020-02-13,36.3226
2020-02-14,36.2784
2020-02-15,36.2784
2020-02-16,36.2784
2020-02-17,36.2784
2020-02-18,37.768
2020-02-19,37.0142
2020-02-20,38.2883
2020-02-21,37.794
2020-02-22,37.794
2020-02-23,37.794
2020-02-24,34.904
2020-02-25,33.5759
2020-02-26,51.7649
2020-02-27,45.3996
2020-02-28,47.7507
2020-02-29,47.7507
2020-03-01,47.7507
2020-03-02,52.9501
2020-03-03,54.546
2020-03-04,55.3648
2020-03-05,53.8382
2020-03-06,54.9398
2020-03-07,54.9398
2020-03-08,54.9398
2020-03-09,48.7246
2020-03-10,51.6453
2020-03-11,48.3011
2020-03-12,38.9029
2020-03-13,45.9049
2020-03-14,45.9049
2020-03-15,45.9049
2020-03-16,51.9191
2020-03-17,53.2515
2020-03-18,54.5766
2020-03-19,54.4115
2020-03-20,55.3657
2020-03-21,55.3657
2020-03-22,55.3657
2020-03-23,52.457
2020-03-24,53.9814
2020-03-25,52.0916
2020-03-26,52.6791
2020-03-27,52.8288
2020-03-28,52.8288
2020-03-29,52.8288
2020-03-30,54.2033
2020-03-31,57.1716
2020-04-01,55.6547
2020-04-02,55.9929
2020-04-03,55.6168
2020-04-04,55.6168
2020-04-05,55.6168
2020-04-06,54.6982
2020-04-07,50.9186
2020-04-08,52.4821
2020-04-09,53.8967
2020-04-10,53.8967
2020-04-11,53.8967
2020-04-12,53.8967
2020-04-13,52.6067
2020-04-14,54.5687
