,KR US Equity
,RSI_30D
2020-01-01,66.7244
2020-01-02,64.2363
2020-01-03,64.4028
2020-01-04,64.4028
2020-01-05,64.4028
2020-01-06,64.8261
2020-01-07,63.1934
2020-01-08,61.8881
2020-01-09,61.9837
2020-01-10,61.3471
2020-01-11,61.3471
2020-01-12,61.3471
2020-01-13,61.6527
2020-01-14,63.7289
2020-01-15,59.3741
2020-01-16,57.8136
2020-01-17,58.1925
2020-01-18,58.1925
2020-01-19,58.1925
2020-01-20,58.1925
2020-01-21,59.5871
2020-01-22,59.2725
2020-01-23,59.6581
2020-01-24,57.6415
2020-01-25,57.6415
2020-01-26,57.6415
2020-01-27,58.455
2020-01-28,58.455
2020-01-29,51.7668
2020-01-30,52.407
2020-01-31,47.872
2020-02-01,47.872
2020-02-02,47.872
2020-02-03,48.6711
2020-02-04,51.3093
2020-02-05,55.3084
2020-02-06,55.1048
2020-02-07,54.4825
2020-02-08,54.4825
2020-02-09,54.4825
2020-02-10,55.5217
2020-02-11,57.2063
2020-02-12,58.5594
2020-02-13,59.0975
2020-02-14,56.0839
2020-02-15,56.0839
2020-02-16,56.0839
2020-02-17,56.0839
2020-02-18,63.2558
2020-02-19,62.0517
2020-02-20,63.0781
2020-02-21,65.2269
2020-02-22,65.2269
2020-02-23,65.2269
2020-02-24,64.9319
2020-02-25,60.6734
2020-02-26,54.9564
2020-02-27,52.7756
2020-02-28,51.5282
2020-02-29,51.5282
2020-03-01,51.5282
2020-03-02,58.3855
2020-03-03,56.5695
2020-03-04,62.3428
2020-03-05,68.957
2020-03-06,62.4884
2020-03-07,62.4884
2020-03-08,62.4884
2020-03-09,59.3088
2020-03-10,62.6669
2020-03-11,55.5997
2020-03-12,51.2288
2020-03-13,55.172
2020-03-14,55.172
2020-03-15,55.172
2020-03-16,56.0732
2020-03-17,60.1141
2020-03-18,61.8529
2020-03-19,62.3565
2020-03-20,55.5804
2020-03-21,55.5804
2020-03-22,55.5804
2020-03-23,53.8473
2020-03-24,51.6037
2020-03-25,46.8093
2020-03-26,49.1533
2020-03-27,49.436
2020-03-28,49.436
2020-03-29,49.436
2020-03-30,50.5731
2020-03-31,51.591
2020-04-01,52.4107
2020-04-02,54.7074
2020-04-03,56.0827
2020-04-04,56.0827
2020-04-05,56.0827
2020-04-06,56.7521
2020-04-07,54.7954
2020-04-08,52.7431
2020-04-09,52.8301
2020-04-10,52.8301
2020-04-11,52.8301
2020-04-12,52.8301
2020-04-13,53.429
2020-04-14,55.0893
2020-04-15,54.9294
2020-04-16,54.7103
2020-04-17,54.6539
2020-04-18,54.6539
2020-04-19,54.6539
2020-04-20,54.6539
2020-04-21,55.2462
2020-04-22,55.5961
2020-04-23,57.0118
2020-04-24,57.2099
2020-04-25,57.2099
2020-04-26,57.2099
2020-04-27,58.0105
2020-04-28,54.9526
2020-04-29,52.3463
2020-04-30,52.5955
2020-05-01,53.5722
2020-05-02,53.5722
2020-05-03,53.5722
