,AL US Equity
,RSI_30D
2020-01-01,63.2971
2020-01-02,62.0472
2020-01-03,63.1756
2020-01-04,63.1756
2020-01-05,63.1756
2020-01-06,60.5082
2020-01-07,56.7605
2020-01-08,57.5144
2020-01-09,60.0369
2020-01-10,61.0619
2020-01-11,61.0619
2020-01-12,61.0619
2020-01-13,64.3546
2020-01-14,64.1754
2020-01-15,65.5321
2020-01-16,67.664
2020-01-17,66.3715
2020-01-18,66.3715
2020-01-19,66.3715
2020-01-20,66.3715
2020-01-21,57.3114
2020-01-22,54.2559
2020-01-23,55.3225
2020-01-24,49.7007
2020-01-25,49.7007
2020-01-26,49.7007
2020-01-27,44.079
2020-01-28,45.0914
2020-01-29,44.7689
2020-01-30,43.3886
2020-01-31,40.0057
2020-02-01,40.0057
2020-02-02,40.0057
2020-02-03,40.3853
2020-02-04,45.426
2020-02-05,48.9425
2020-02-06,46.3767
2020-02-07,42.6429
2020-02-08,42.6429
2020-02-09,42.6429
2020-02-10,44.2035
2020-02-11,46.2864
2020-02-12,47.2072
2020-02-13,49.8135
2020-02-14,49.7824
2020-02-15,49.7824
2020-02-16,49.7824
2020-02-17,49.7824
2020-02-18,44.6377
2020-02-19,45.4522
2020-02-20,48.3154
2020-02-21,44.763
2020-02-22,44.763
2020-02-23,44.763
2020-02-24,40.6062
2020-02-25,34.9591
2020-02-26,33.4254
2020-02-27,33.9562
2020-02-28,35.8847
2020-02-29,35.8847
2020-03-01,35.8847
2020-03-02,38.4056
2020-03-03,36.6657
2020-03-04,36.4392
2020-03-05,31.6334
2020-03-06,31.8441
2020-03-07,31.8441
2020-03-08,31.8441
2020-03-09,27.8717
2020-03-10,33.3408
2020-03-11,29.7942
2020-03-12,22.7548
2020-03-13,25.6239
2020-03-14,25.6239
2020-03-15,25.6239
2020-03-16,23.1661
2020-03-17,20.7259
2020-03-18,18.4949
2020-03-19,25.5999
2020-03-20,28.3964
2020-03-21,28.3964
2020-03-22,28.3964
2020-03-23,27.7064
2020-03-24,37.3605
2020-03-25,41.907
2020-03-26,40.8762
2020-03-27,37.903
2020-03-28,37.903
2020-03-29,37.903
2020-03-30,38.901
2020-03-31,39.264
2020-04-01,38.1359
2020-04-02,37.9455
2020-04-03,36.883
2020-04-04,36.883
2020-04-05,36.883
2020-04-06,40.2376
2020-04-07,42.7041
2020-04-08,43.4936
2020-04-09,45.0388
2020-04-10,45.0388
2020-04-11,45.0388
2020-04-12,45.0388
2020-04-13,43.4462
2020-04-14,43.5024
2020-04-15,42.7558
2020-04-16,41.3563
2020-04-17,43.6868
2020-04-18,43.6868
2020-04-19,43.6868
2020-04-20,42.2482
2020-04-21,41.6598
2020-04-22,40.4346
2020-04-23,40.5863
2020-04-24,41.1675
2020-04-25,41.1675
2020-04-26,41.1675
2020-04-27,42.7634
2020-04-28,44.289
2020-04-29,48.6102
2020-04-30,48.0151
2020-05-01,46.0211
2020-05-02,46.0211
2020-05-03,46.0211
2020-05-04,45.4207
2020-05-05,45.8591
2020-05-06,45.2327
2020-05-07,46.5051
2020-05-08,49.6335
2020-05-09,49.6335
2020-05-10,49.6335
2020-05-11,47.1733
2020-05-12,46.1531
2020-05-13,44.3133
2020-05-14,44.869
2020-05-15,44.5036
2020-05-16,44.5036
2020-05-17,44.5036
2020-05-18,49.4449
2020-05-19,48.5419
2020-05-20,49.416
2020-05-21,50.1863
2020-05-22,50.222
2020-05-23,50.222
2020-05-24,50.222
2020-05-25,50.222
2020-05-26,52.3276
2020-05-27,54.4222
2020-05-28,54.3959
2020-05-29,54.0312
2020-05-30,54.0312
2020-05-31,54.0312
2020-06-01,55.3056
2020-06-02,56.0773
2020-06-03,58.9457
2020-06-04,59.0502
2020-06-05,59.4451
2020-06-06,59.4451
2020-06-07,59.4451
2020-06-08,61.5597
2020-06-09,59.0761
2020-06-10,54.6306
2020-06-11,51.5254
2020-06-12,53.7249
2020-06-13,53.7249
2020-06-14,53.7249
2020-06-15,54.1794
2020-06-16,54.707
2020-06-17,52.7164
2020-06-18,51.9939
2020-06-19,51.3846
2020-06-20,51.3846
2020-06-21,51.3846
2020-06-22,51.0751
2020-06-23,51.7162
2020-06-24,49.7879
2020-06-25,49.6648
2020-06-26,48.3185
2020-06-27,48.3185
2020-06-28,48.3185
2020-06-29,50.391
2020-06-30,50.234
2020-07-01,48.8457
2020-07-02,48.6878
2020-07-03,48.6878
2020-07-04,48.6878
2020-07-05,48.6878
2020-07-06,50.6236
2020-07-07,47.9954
2020-07-08,48.7707
2020-07-09,46.4664
2020-07-10,48.0908
2020-07-11,48.0908
2020-07-12,48.0908
2020-07-13,48.0333
2020-07-14,48.6989
2020-07-15,51.7004
2020-07-16,50.4753
2020-07-17,50.3659
2020-07-18,50.3659
2020-07-19,50.3659
2020-07-20,48.8634
2020-07-21,47.773
2020-07-22,47.4951
2020-07-23,47.7397
2020-07-24,46.3668
2020-07-25,46.3668
2020-07-26,46.3668
2020-07-27,45.563
2020-07-28,45.1188
2020-07-29,47.7536
2020-07-30,47.0197
2020-07-31,46.218
2020-08-01,46.218
2020-08-02,46.218
2020-08-03,47.9211
2020-08-04,48.7511
2020-08-05,50.2607
2020-08-06,50.2041
2020-08-07,52.9304
2020-08-08,52.9304
2020-08-09,52.9304
2020-08-10,54.6541
2020-08-11,55.6126
2020-08-12,56.0175
2020-08-13,54.7263
2020-08-14,54.4235
2020-08-15,54.4235
2020-08-16,54.4235
2020-08-17,53.057
2020-08-18,52.7093
2020-08-19,52.7893
2020-08-20,51.9482
2020-08-21,50.4426
2020-08-22,50.4426
2020-08-23,50.4426
2020-08-24,54.2504
2020-08-25,54.1579
2020-08-26,51.9786
2020-08-27,54.8288
2020-08-28,56.4981
2020-08-29,56.4981
2020-08-30,56.4981
2020-08-31,53.6928
2020-09-01,54.6585
2020-09-02,54.4282
2020-09-03,53.9114
2020-09-04,55.6348
2020-09-05,55.6348
2020-09-06,55.6348
2020-09-07,55.6348
2020-09-08,55.0232
2020-09-09,53.6088
2020-09-10,52.902
2020-09-11,54.486
2020-09-12,54.486
2020-09-13,54.486
2020-09-14,56.6076
2020-09-15,54.5341
2020-09-16,56.9417
2020-09-17,55.8544
2020-09-18,52.164
2020-09-19,52.164
2020-09-20,52.164
2020-09-21,49.4637
2020-09-22,49.2706
2020-09-23,45.8557
2020-09-24,44.0482
2020-09-25,46.04
2020-09-26,46.04
2020-09-27,46.04
2020-09-28,50.0008
2020-09-29,48.8382
2020-09-30,49.1545
2020-10-01,52.2301
2020-10-02,52.4665
2020-10-03,52.4665
2020-10-04,52.4665
2020-10-05,53.3422
2020-10-06,49.9862
2020-10-07,51.4143
2020-10-08,51.5981
2020-10-09,52.5474
2020-10-10,52.5474
2020-10-11,52.5474
2020-10-12,52.0197
2020-10-13,49.3451
2020-10-14,48.7829
2020-10-15,49.6726
2020-10-16,49.5813
2020-10-17,49.5813
2020-10-18,49.5813
2020-10-19,50.9579
2020-10-20,52.3938
2020-10-21,50.8773
2020-10-22,54.2572
2020-10-23,54.5112
2020-10-24,54.5112
2020-10-25,54.5112
2020-10-26,51.0881
2020-10-27,47.826
2020-10-28,44.1737
2020-10-29,45.6894
2020-10-30,44.1628
2020-10-31,44.1628
2020-11-01,44.1628
2020-11-02,47.7732
2020-11-03,49.5857
2020-11-04,48.1193
2020-11-05,51.7584
2020-11-06,51.3856
2020-11-07,51.3856
2020-11-08,51.3856
2020-11-09,60.5223
2020-11-10,55.9493
2020-11-11,57.105
2020-11-12,56.8194
2020-11-13,57.9929
2020-11-14,57.9929
2020-11-15,57.9929
2020-11-16,62.2392
2020-11-17,63.3051
2020-11-18,63.471
2020-11-19,61.4586
2020-11-20,58.8583
2020-11-21,58.8583
2020-11-22,58.8583
2020-11-23,61.405
2020-11-24,62.0641
2020-11-25,59.757
2020-11-26,59.757
2020-11-27,58.5174
2020-11-28,58.5174
2020-11-29,58.5174
2020-11-30,55.9147
2020-12-01,57.6425
2020-12-02,58.1582
2020-12-03,61.4544
2020-12-04,63.68
2020-12-05,63.68
2020-12-06,63.68
2020-12-07,60.5127
2020-12-08,60.3665
2020-12-09,60.6003
2020-12-10,62.3653
2020-12-11,62.306
2020-12-12,62.306
2020-12-13,62.306
2020-12-14,61.1427
2020-12-15,61.1685
2020-12-16,60.7087
2020-12-17,61.6742
2020-12-18,60.0196
2020-12-19,60.0196
2020-12-20,60.0196
2020-12-21,60.4614
2020-12-22,58.0428
2020-12-23,60.9594
2020-12-24,61.5156
2020-12-25,61.5156
2020-12-26,61.5156
2020-12-27,61.5156
2020-12-28,61.6946
2020-12-29,61.7229
2020-12-30,63.0654
2020-12-31,63.2479
2021-01-01,63.2479
2021-01-02,63.2479
2021-01-03,63.2479
2021-01-04,58.5733
2021-01-05,60.5778
2021-01-06,61.4636
2021-01-07,60.0233
2021-01-08,59.1275
2021-01-09,59.1275
2021-01-10,59.1275
2021-01-11,61.5468
2021-01-12,62.5321
2021-01-13,59.2349
2021-01-14,60.7636
2021-01-15,56.6801
2021-01-16,56.6801
2021-01-17,56.6801
2021-01-18,56.6801
2021-01-19,57.9542
2021-01-20,58.7371
2021-01-21,55.7199
2021-01-22,54.4196
2021-01-23,54.4196
2021-01-24,54.4196
2021-01-25,54.907
2021-01-26,53.1433
2021-01-27,50.4958
2021-01-28,53.1806
2021-01-29,48.9564
2021-01-30,48.9564
2021-01-31,48.9564
2021-02-01,50.3662
2021-02-02,52.3905
2021-02-03,54.6118
2021-02-04,54.912
2021-02-05,54.5389
2021-02-06,54.5389
2021-02-07,54.5389
2021-02-08,55.0757
2021-02-09,54.5271
2021-02-10,55.04
2021-02-11,53.2755
2021-02-12,54.0376
2021-02-13,54.0376
2021-02-14,54.0376
2021-02-15,54.0376
2021-02-16,53.0409
2021-02-17,54.6139
2021-02-18,53.7558
2021-02-19,56.9792
2021-02-20,56.9792
2021-02-21,56.9792
2021-02-22,59.3227
2021-02-23,59.7879
2021-02-24,60.8923
2021-02-25,55.6959
2021-02-26,56.871
2021-02-27,56.871
2021-02-28,56.871
2021-03-01,56.705
2021-03-02,54.8424
2021-03-03,58.4793
2021-03-04,59.1829
2021-03-05,59.6399
2021-03-06,59.6399
2021-03-07,59.6399
2021-03-08,63.1125
2021-03-09,59.5376
2021-03-10,59.3943
2021-03-11,63.6253
2021-03-12,63.5206
2021-03-13,63.5206
2021-03-14,63.5206
2021-03-15,62.5202
2021-03-16,60.0435
2021-03-17,60.6666
2021-03-18,58.0328
2021-03-19,55.6498
2021-03-20,55.6498
2021-03-21,55.6498
2021-03-22,56.269
2021-03-23,51.7648
2021-03-24,52.7935
2021-03-25,55.9205
2021-03-26,57.6292
2021-03-27,57.6292
2021-03-28,57.6292
2021-03-29,56.5597
2021-03-30,57.4056
2021-03-31,55.5228
