,HUM US Equity
,RSI_30D
2020-01-01,75.3728
2020-01-02,72.5147
2020-01-03,73.0371
2020-01-04,73.0371
2020-01-05,73.0371
2020-01-06,74.7788
2020-01-07,71.6808
2020-01-08,74.1302
2020-01-09,66.4579
2020-01-10,66.1944
2020-01-11,66.1944
2020-01-12,66.1944
2020-01-13,61.5109
2020-01-14,61.6543
2020-01-15,64.1984
2020-01-16,65.2679
2020-01-17,64.8878
2020-01-18,64.8878
2020-01-19,64.8878
2020-01-20,64.8878
2020-01-21,63.775
2020-01-22,64.0972
2020-01-23,62.6457
2020-01-24,58.3767
2020-01-25,58.3767
2020-01-26,58.3767
2020-01-27,52.8092
2020-01-28,55.4242
2020-01-29,54.7479
2020-01-30,50.5921
2020-01-31,47.4602
2020-02-01,47.4602
2020-02-02,47.4602
2020-02-03,46.1309
2020-02-04,50.527
2020-02-05,58.5202
2020-02-06,56.1169
2020-02-07,53.737
2020-02-08,53.737
2020-02-09,53.737
2020-02-10,53.6331
2020-02-11,55.0739
2020-02-12,60.1951
2020-02-13,61.9017
2020-02-14,60.0736
2020-02-15,60.0736
2020-02-16,60.0736
2020-02-17,60.0736
2020-02-18,58.54
2020-02-19,60.3372
2020-02-20,57.3134
2020-02-21,56.7972
2020-02-22,56.7972
2020-02-23,56.7972
2020-02-24,48.7137
2020-02-25,44.751
2020-02-26,43.8762
2020-02-27,40.3809
2020-02-28,42.1592
2020-02-29,42.1592
2020-03-01,42.1592
2020-03-02,49.6212
2020-03-03,44.9513
2020-03-04,55.1995
2020-03-05,54.8085
2020-03-06,53.9922
2020-03-07,53.9922
2020-03-08,53.9922
2020-03-09,47.8679
2020-03-10,50.238
2020-03-11,46.4335
2020-03-12,41.066
2020-03-13,44.9691
2020-03-14,44.9691
2020-03-15,44.9691
2020-03-16,39.3249
2020-03-17,39.7491
2020-03-18,36.8267
2020-03-19,38.5541
2020-03-20,35.8545
2020-03-21,35.8545
2020-03-22,35.8545
2020-03-23,34.2837
2020-03-24,37.7087
2020-03-25,43.1645
2020-03-26,47.9507
2020-03-27,47.0936
2020-03-28,47.0936
2020-03-29,47.0936
2020-03-30,48.9799
2020-03-31,49.3325
2020-04-01,47.4747
2020-04-02,47.6563
2020-04-03,46.6166
2020-04-04,46.6166
2020-04-05,46.6166
2020-04-06,51.2652
2020-04-07,50.3266
2020-04-08,52.4169
2020-04-09,52.9689
2020-04-10,52.9689
2020-04-11,52.9689
2020-04-12,52.9689
2020-04-13,53.73
2020-04-14,54.2061
2020-04-15,54.3696
2020-04-16,57.196
2020-04-17,56.6281
2020-04-18,56.6281
2020-04-19,56.6281
2020-04-20,55.666
2020-04-21,54.373
2020-04-22,55.4239
2020-04-23,55.2497
2020-04-24,55.6457
2020-04-25,55.6457
2020-04-26,55.6457
2020-04-27,56.2335
2020-04-28,54.4393
2020-04-29,56.4
2020-04-30,56.9859
2020-05-01,55.3263
2020-05-02,55.3263
2020-05-03,55.3263
2020-05-04,56.0994
2020-05-05,56.9554
2020-05-06,55.3281
2020-05-07,54.6918
2020-05-08,55.5916
2020-05-09,55.5916
2020-05-10,55.5916
2020-05-11,55.9694
2020-05-12,56.5224
2020-05-13,55.2913
2020-05-14,56.5958
2020-05-15,58.4509
2020-05-16,58.4509
2020-05-17,58.4509
2020-05-18,57.2575
2020-05-19,57.5791
2020-05-20,56.8875
2020-05-21,57.5438
2020-05-22,57.3578
2020-05-23,57.3578
2020-05-24,57.3578
2020-05-25,57.3578
2020-05-26,57.8045
2020-05-27,58.1877
2020-05-28,58.9539
2020-05-29,60.111
2020-05-30,60.111
2020-05-31,60.111
2020-06-01,57.8541
2020-06-02,58.4537
2020-06-03,55.7577
2020-06-04,55.4122
2020-06-05,54.8319
2020-06-06,54.8319
2020-06-07,54.8319
2020-06-08,56.4452
2020-06-09,54.5093
2020-06-10,54.9792
2020-06-11,50.5788
2020-06-12,51.6715
2020-06-13,51.6715
2020-06-14,51.6715
2020-06-15,51.6992
2020-06-16,51.4994
2020-06-17,51.9514
2020-06-18,51.7196
2020-06-19,52.1213
2020-06-20,52.1213
2020-06-21,52.1213
2020-06-22,51.8703
2020-06-23,52.3624
2020-06-24,49.6994
2020-06-25,50.8219
2020-06-26,50.4214
2020-06-27,50.4214
2020-06-28,50.4214
2020-06-29,51.8325
2020-06-30,53.9605
2020-07-01,54.8941
2020-07-02,54.9786
2020-07-03,54.9786
2020-07-04,54.9786
2020-07-05,54.9786
2020-07-06,56.1217
2020-07-07,54.6273
2020-07-08,52.8829
2020-07-09,51.9554
2020-07-10,51.5486
2020-07-11,51.5486
2020-07-12,51.5486
2020-07-13,51.6334
2020-07-14,55.6914
2020-07-15,55.3086
2020-07-16,55.4494
2020-07-17,57.7281
2020-07-18,57.7281
2020-07-19,57.7281
2020-07-20,55.1072
2020-07-21,55.3324
2020-07-22,56.629
2020-07-23,55.0318
2020-07-24,53.1489
