,NAVI US Equity
,RSI_30D
2020-01-01,61.1358
2020-01-02,60.7583
2020-01-03,59.4668
2020-01-04,59.4668
2020-01-05,59.4668
2020-01-06,59.882
2020-01-07,59.7238
2020-01-08,60.4798
2020-01-09,58.8474
2020-01-10,56.4818
2020-01-11,56.4818
2020-01-12,56.4818
2020-01-13,57.5412
2020-01-14,58.127
2020-01-15,57.1482
2020-01-16,58.5909
2020-01-17,61.2875
2020-01-18,61.2875
2020-01-19,61.2875
2020-01-20,61.2875
2020-01-21,61.2875
2020-01-22,72.0142
2020-01-23,73.5641
2020-01-24,68.546
2020-01-25,68.546
2020-01-26,68.546
2020-01-27,64.1503
2020-01-28,65.8414
2020-01-29,65.5853
2020-01-30,64.2922
2020-01-31,58.127
2020-02-01,58.127
2020-02-02,58.127
2020-02-03,54.2946
2020-02-04,52.4574
2020-02-05,54.5508
2020-02-06,54.7978
2020-02-07,53.8887
2020-02-08,53.8887
2020-02-09,53.8887
2020-02-10,54.4961
2020-02-11,57.9356
2020-02-12,59.8777
2020-02-13,59.6585
2020-02-14,57.7981
2020-02-15,57.7981
2020-02-16,57.7981
2020-02-17,57.7981
2020-02-18,54.9811
2020-02-19,55.2735
2020-02-20,56.2393
2020-02-21,53.3382
2020-02-22,53.3382
2020-02-23,53.3382
2020-02-24,45.3077
2020-02-25,39.9547
2020-02-26,37.5724
2020-02-27,33.8496
2020-02-28,33.5937
2020-02-29,33.5937
2020-03-01,33.5937
2020-03-02,36.7422
2020-03-03,32.3055
2020-03-04,36.4375
2020-03-05,34.2436
2020-03-06,34.6427
2020-03-07,34.6427
2020-03-08,34.6427
2020-03-09,29.4003
2020-03-10,35.9015
2020-03-11,34.1343
2020-03-12,29.8482
2020-03-13,33.4646
2020-03-14,33.4646
2020-03-15,33.4646
2020-03-16,29.7533
2020-03-17,26.771
2020-03-18,24.9378
2020-03-19,31.478
2020-03-20,30.8693
2020-03-21,30.8693
2020-03-22,30.8693
2020-03-23,31.1644
2020-03-24,35.9703
2020-03-25,39.8464
2020-03-26,40.1757
2020-03-27,40.0622
2020-03-28,40.0622
2020-03-29,40.0622
2020-03-30,40.583
2020-03-31,38.9214
2020-04-01,37.3399
2020-04-02,35.6068
2020-04-03,34.8216
2020-04-04,34.8216
2020-04-05,34.8216
2020-04-06,39.0389
2020-04-07,40.4178
2020-04-08,41.8618
2020-04-09,44.4265
2020-04-10,44.4265
2020-04-11,44.4265
2020-04-12,44.4265
2020-04-13,43.6886
2020-04-14,42.9971
2020-04-15,41.4841
2020-04-16,41.0873
2020-04-17,42.5308
2020-04-18,42.5308
2020-04-19,42.5308
2020-04-20,41.0185
2020-04-21,39.534
2020-04-22,39.6723
2020-04-23,40.2378
2020-04-24,41.6984
2020-04-25,41.6984
2020-04-26,41.6984
2020-04-27,43.3165
2020-04-28,43.7777
2020-04-29,47.1161
2020-04-30,44.8742
2020-05-01,42.8184
2020-05-02,42.8184
2020-05-03,42.8184
2020-05-04,43.6929
2020-05-05,43.5868
2020-05-06,42.8689
2020-05-07,45.426
2020-05-08,46.4627
2020-05-09,46.4627
2020-05-10,46.4627
2020-05-11,44.8532
2020-05-12,43.6975
2020-05-13,41.5027
2020-05-14,43.3455
2020-05-15,42.8737
2020-05-16,42.8737
2020-05-17,42.8737
2020-05-18,45.785
2020-05-19,44.17
2020-05-20,45.2388
2020-05-21,45.6134
2020-05-22,44.7815
2020-05-23,44.7815
2020-05-24,44.7815
2020-05-25,44.7815
2020-05-26,46.4183
2020-05-27,48.4635
2020-05-28,48.2039
2020-05-29,47.1163
2020-05-30,47.1163
2020-05-31,47.1163
2020-06-01,48.228
2020-06-02,49.1417
2020-06-03,50.7048
2020-06-04,51.6083
2020-06-05,54.3205
2020-06-06,54.3205
2020-06-07,54.3205
2020-06-08,55.9723
2020-06-09,53.3791
2020-06-10,50.0452
2020-06-11,47.5477
2020-06-12,48.9925
2020-06-13,48.9925
2020-06-14,48.9925
2020-06-15,50.2054
2020-06-16,50.5497
2020-06-17,49.7433
2020-06-18,50.3696
2020-06-19,49.056
2020-06-20,49.056
2020-06-21,49.056
2020-06-22,48.5707
2020-06-23,48.1762
2020-06-24,46.5863
2020-06-25,47.3332
2020-06-26,45.2484
2020-06-27,45.2484
2020-06-28,45.2484
2020-06-29,46.7164
2020-06-30,45.6927
2020-07-01,45.1085
2020-07-02,45.0588
2020-07-03,45.0588
2020-07-04,45.0588
2020-07-05,45.0588
2020-07-06,47.2807
2020-07-07,44.8227
2020-07-08,45.4577
2020-07-09,43.3912
2020-07-10,46.1641
2020-07-11,46.1641
2020-07-12,46.1641
2020-07-13,45.7109
2020-07-14,46.8504
2020-07-15,49.0624
2020-07-16,49.5199
2020-07-17,47.7453
2020-07-18,47.7453
2020-07-19,47.7453
2020-07-20,47.1445
2020-07-21,50.2916
2020-07-22,52.4014
2020-07-23,53.2544
2020-07-24,52.5241
2020-07-25,52.5241
2020-07-26,52.5241
2020-07-27,54.2286
2020-07-28,53.2553
2020-07-29,53.2833
2020-07-30,51.9015
2020-07-31,51.8368
2020-08-01,51.8368
2020-08-02,51.8368
2020-08-03,52.7505
2020-08-04,53.3306
2020-08-05,55.8118
2020-08-06,54.6314
2020-08-07,56.2555
2020-08-08,56.2555
2020-08-09,56.2555
2020-08-10,57.3278
2020-08-11,57.9452
2020-08-12,56.4849
2020-08-13,55.495
2020-08-14,56.8198
2020-08-15,56.8198
2020-08-16,56.8198
2020-08-17,56.1129
2020-08-18,54.7812
2020-08-19,55.2977
2020-08-20,54.4137
2020-08-21,53.767
2020-08-22,53.767
2020-08-23,53.767
2020-08-24,55.6089
2020-08-25,55.5242
2020-08-26,54.7473
2020-08-27,57.9274
2020-08-28,58.5682
2020-08-29,58.5682
2020-08-30,58.5682
2020-08-31,56.6059
2020-09-01,56.8777
2020-09-02,57.1553
2020-09-03,56.9622
2020-09-04,58.5548
2020-09-05,58.5548
2020-09-06,58.5548
2020-09-07,58.5548
2020-09-08,56.0671
2020-09-09,54.9774
2020-09-10,52.941
2020-09-11,51.0731
2020-09-12,51.0731
2020-09-13,51.0731
2020-09-14,51.1579
2020-09-15,51.2455
2020-09-16,52.5643
2020-09-17,51.5073
2020-09-18,49.5399
2020-09-19,49.5399
2020-09-20,49.5399
2020-09-21,46.7265
2020-09-22,46.0501
2020-09-23,43.3712
2020-09-24,45.074
2020-09-25,47.1065
2020-09-26,47.1065
2020-09-27,47.1065
2020-09-28,50.1934
2020-09-29,50.4573
2020-09-30,51.9498
2020-10-01,52.4726
2020-10-02,53.8574
2020-10-03,53.8574
2020-10-04,53.8574
2020-10-05,57.0156
2020-10-06,55.2114
2020-10-07,56.2458
2020-10-08,59.4505
2020-10-09,59.8047
2020-10-10,59.8047
2020-10-11,59.8047
2020-10-12,61.7403
2020-10-13,59.9277
2020-10-14,59.9277
2020-10-15,62.6218
2020-10-16,60.4653
2020-10-17,60.4653
2020-10-18,60.4653
2020-10-19,59.9315
2020-10-20,61.0692
2020-10-21,53.9397
2020-10-22,53.6696
2020-10-23,55.5499
2020-10-24,55.5499
2020-10-25,55.5499
2020-10-26,52.9633
2020-10-27,48.5338
2020-10-28,44.9676
2020-10-29,45.7589
2020-10-30,44.6405
2020-10-31,44.6405
2020-11-01,44.6405
2020-11-02,48.9185
2020-11-03,51.3405
2020-11-04,54.8004
2020-11-05,54.8326
2020-11-06,53.7222
2020-11-07,53.7222
2020-11-08,53.7222
2020-11-09,58.5036
2020-11-10,59.35
2020-11-11,58.1236
2020-11-12,57.4684
2020-11-13,60.0318
2020-11-14,60.0318
2020-11-15,60.0318
2020-11-16,61.3993
