,NXST US Equity
,RSI_30D
2020-01-01,63.5535
2020-01-02,60.6424
2020-01-03,61.8503
2020-01-04,61.8503
2020-01-05,61.8503
2020-01-06,61.4055
2020-01-07,66.7216
2020-01-08,67.996
2020-01-09,65.0405
2020-01-10,62.6914
2020-01-11,62.6914
2020-01-12,62.6914
2020-01-13,63.1851
2020-01-14,64.921
2020-01-15,67.7956
2020-01-16,68.3177
2020-01-17,68.9767
2020-01-18,68.9767
2020-01-19,68.9767
2020-01-20,68.9767
2020-01-21,67.3495
2020-01-22,65.2351
2020-01-23,65.5706
2020-01-24,61.0982
2020-01-25,61.0982
2020-01-26,61.0982
2020-01-27,58.5255
2020-01-28,58.8487
2020-01-29,59.0842
2020-01-30,57.5729
2020-01-31,56.6487
2020-02-01,56.6487
2020-02-02,56.6487
2020-02-03,59.2095
2020-02-04,57.3772
2020-02-05,59.3531
2020-02-06,60.0922
2020-02-07,55.8564
2020-02-08,55.8564
2020-02-09,55.8564
2020-02-10,56.9945
2020-02-11,57.9467
2020-02-12,58.2062
2020-02-13,59.1719
2020-02-14,59.4185
2020-02-15,59.4185
2020-02-16,59.4185
2020-02-17,59.4185
2020-02-18,61.0258
2020-02-19,61.3299
2020-02-20,56.4059
2020-02-21,52.9597
2020-02-22,52.9597
2020-02-23,52.9597
2020-02-24,48.7936
2020-02-25,46.365
2020-02-26,41.1578
2020-02-27,45.6122
2020-02-28,48.2128
2020-02-29,48.2128
2020-03-01,48.2128
2020-03-02,48.5402
2020-03-03,44.0139
2020-03-04,44.5244
2020-03-05,39.9015
2020-03-06,37.4611
2020-03-07,37.4611
2020-03-08,37.4611
2020-03-09,31.3953
2020-03-10,36.2459
2020-03-11,33.0383
2020-03-12,28.6057
2020-03-13,34.2162
2020-03-14,34.2162
2020-03-15,34.2162
2020-03-16,30.1931
2020-03-17,31.4063
2020-03-18,28.8908
2020-03-19,32.7965
2020-03-20,29.9012
2020-03-21,29.9012
2020-03-22,29.9012
2020-03-23,29.0498
2020-03-24,34.1804
2020-03-25,37.5614
2020-03-26,39.346
2020-03-27,37.9369
2020-03-28,37.9369
2020-03-29,37.9369
2020-03-30,37.2214
2020-03-31,36.6296
2020-04-01,35.5228
2020-04-02,36.4793
2020-04-03,35.1577
2020-04-04,35.1577
2020-04-05,35.1577
2020-04-06,38.7902
2020-04-07,39.1484
2020-04-08,41.548
2020-04-09,41.0104
2020-04-10,41.0104
2020-04-11,41.0104
2020-04-12,41.0104
2020-04-13,39.6885
2020-04-14,41.9843
2020-04-15,40.7846
2020-04-16,40.5607
2020-04-17,43.7819
2020-04-18,43.7819
2020-04-19,43.7819
2020-04-20,42.287
2020-04-21,41.3206
2020-04-22,40.6687
2020-04-23,41.598
2020-04-24,41.8733
2020-04-25,41.8733
2020-04-26,41.8733
2020-04-27,44.3354
2020-04-28,45.7739
2020-04-29,49.4924
2020-04-30,47.0897
2020-05-01,45.8132
2020-05-02,45.8132
2020-05-03,45.8132
2020-05-04,45.024
2020-05-05,45.3906
2020-05-06,48.3552
2020-05-07,48.6802
2020-05-08,51.021
2020-05-09,51.021
2020-05-10,51.021
2020-05-11,50.6825
2020-05-12,49.5711
