,AMAT US Equity
,RSI_30D
2020-01-01,61.2853
2020-01-02,63.0736
2020-01-03,60.6021
2020-01-04,60.6021
2020-01-05,60.6021
2020-01-06,57.4948
2020-01-07,60.2576
2020-01-08,60.164
2020-01-09,60.7781
2020-01-10,59.5604
2020-01-11,59.5604
2020-01-12,59.5604
2020-01-13,60.1225
2020-01-14,61.0127
2020-01-15,59.9361
2020-01-16,62.0474
2020-01-17,61.1104
2020-01-18,61.1104
2020-01-19,61.1104
2020-01-20,61.1104
2020-01-21,61.6923
2020-01-22,62.8265
2020-01-23,62.8265
2020-01-24,57.8093
2020-01-25,57.8093
2020-01-26,57.8093
2020-01-27,51.2065
2020-01-28,53.3372
2020-01-29,52.5665
2020-01-30,53.3764
2020-01-31,48.8421
2020-02-01,48.8421
2020-02-02,48.8421
2020-02-03,52.0666
2020-02-04,57.3546
2020-02-05,58.4921
2020-02-06,57.2718
2020-02-07,54.4223
2020-02-08,54.4223
2020-02-09,54.4223
2020-02-10,56.2628
2020-02-11,58.4571
2020-02-12,59.7144
2020-02-13,62.2815
2020-02-14,61.232
2020-02-15,61.232
2020-02-16,61.232
2020-02-17,61.232
2020-02-18,58.329
2020-02-19,61.2204
2020-02-20,59.3094
2020-02-21,55.5279
2020-02-22,55.5279
2020-02-23,55.5279
2020-02-24,50.536
2020-02-25,47.4641
2020-02-26,48.8407
2020-02-27,45.2153
2020-02-28,46.8423
2020-02-29,46.8423
2020-03-01,46.8423
2020-03-02,49.6592
2020-03-03,46.9826
2020-03-04,50.229
2020-03-05,48.5068
2020-03-06,46.9031
2020-03-07,46.9031
2020-03-08,46.9031
2020-03-09,40.9279
2020-03-10,46.0264
2020-03-11,42.6115
2020-03-12,36.9275
2020-03-13,43.0792
2020-03-14,43.0792
2020-03-15,43.0792
2020-03-16,36.4817
2020-03-17,40.4264
2020-03-18,37.2842
2020-03-19,38.1683
2020-03-20,36.9933
2020-03-21,36.9933
2020-03-22,36.9933
2020-03-23,38.9208
2020-03-24,43.031
2020-03-25,42.7853
2020-03-26,46.2469
2020-03-27,43.7072
2020-03-28,43.7072
2020-03-29,43.7072
2020-03-30,45.3893
2020-03-31,44.4848
2020-04-01,42.9763
2020-04-02,42.9404
2020-04-03,42.3553
2020-04-04,42.3553
2020-04-05,42.3553
2020-04-06,45.4546
2020-04-07,46.5379
2020-04-08,49.4128
2020-04-09,48.129
2020-04-10,48.129
2020-04-11,48.129
2020-04-12,48.129
2020-04-13,48.3443
2020-04-14,50.2521
2020-04-15,48.7422
2020-04-16,50.1155
2020-04-17,50.8263
2020-04-18,50.8263
2020-04-19,50.8263
2020-04-20,48.916
2020-04-21,47.2711
2020-04-22,50.1226
2020-04-23,49.2408
2020-04-24,49.8741
2020-04-25,49.8741
2020-04-26,49.8741
2020-04-27,49.3359
2020-04-28,48.8672
2020-04-29,51.9047
2020-04-30,48.371
2020-05-01,46.414
2020-05-02,46.414
2020-05-03,46.414
2020-05-04,46.963
2020-05-05,47.9778
2020-05-06,49.282
2020-05-07,49.873
2020-05-08,51.8539
2020-05-09,51.8539
2020-05-10,51.8539
2020-05-11,52.0071
2020-05-12,50.6071
2020-05-13,49.9122
2020-05-14,52.2846
2020-05-15,50.2818
2020-05-16,50.2818
2020-05-17,50.2818
2020-05-18,52.1234
2020-05-19,52.9854
2020-05-20,54.2419
2020-05-21,52.583
2020-05-22,52.0255
2020-05-23,52.0255
2020-05-24,52.0255
2020-05-25,52.0255
2020-05-26,52.6438
2020-05-27,53.6814
2020-05-28,52.0613
2020-05-29,53.333
2020-05-30,53.333
2020-05-31,53.333
2020-06-01,52.8575
2020-06-02,52.9495
2020-06-03,54.7095
2020-06-04,54.9854
2020-06-05,56.7406
2020-06-06,56.7406
2020-06-07,56.7406
2020-06-08,56.4202
2020-06-09,56.2955
2020-06-10,56.359
2020-06-11,51.4428
2020-06-12,52.5399
2020-06-13,52.5399
2020-06-14,52.5399
2020-06-15,53.0215
2020-06-16,54.4466
2020-06-17,55.8055
2020-06-18,56.1576
2020-06-19,56.6931
2020-06-20,56.6931
2020-06-21,56.6931
2020-06-22,56.9981
2020-06-23,56.4455
2020-06-24,55.3228
2020-06-25,55.3334
2020-06-26,53.2495
2020-06-27,53.2495
2020-06-28,53.2495
2020-06-29,54.011
2020-06-30,55.5422
2020-07-01,54.5023
2020-07-02,55.9644
