,NTRS US Equity
,RSI_30D
2020-01-01,62.022
2020-01-02,64.1286
2020-01-03,58.5844
2020-01-04,58.5844
2020-01-05,58.5844
2020-01-06,58.2778
2020-01-07,59.2618
2020-01-08,60.8589
2020-01-09,62.9281
2020-01-10,60.1322
2020-01-11,60.1322
2020-01-12,60.1322
2020-01-13,62.6858
2020-01-14,61.0579
2020-01-15,58.7821
2020-01-16,60.2069
2020-01-17,62.352
2020-01-18,62.352
2020-01-19,62.352
2020-01-20,62.352
2020-01-21,60.4683
2020-01-22,53.1296
2020-01-23,51.469
2020-01-24,47.3886
2020-01-25,47.3886
2020-01-26,47.3886
2020-01-27,42.8554
2020-01-28,45.0743
2020-01-29,44.9204
2020-01-30,47.3056
2020-01-31,42.8905
2020-02-01,42.8905
2020-02-02,42.8905
2020-02-03,42.6997
2020-02-04,47.1742
2020-02-05,51.4381
2020-02-06,50.3589
2020-02-07,48.46
2020-02-08,48.46
2020-02-09,48.46
2020-02-10,48.1896
2020-02-11,50.7893
2020-02-12,50.1351
2020-02-13,48.424
2020-02-14,48.4099
2020-02-15,48.4099
2020-02-16,48.4099
2020-02-17,48.4099
2020-02-18,47.8797
2020-02-19,51.2254
2020-02-20,50.6697
2020-02-21,49.5278
2020-02-22,49.5278
2020-02-23,49.5278
2020-02-24,42.4787
2020-02-25,37.0358
2020-02-26,35.5021
2020-02-27,34.0993
2020-02-28,34.2266
2020-02-29,34.2266
2020-03-01,34.2266
2020-03-02,35.4041
2020-03-03,31.3833
2020-03-04,33.8606
2020-03-05,30.8806
2020-03-06,28.83
2020-03-07,28.83
2020-03-08,28.83
2020-03-09,25.2023
2020-03-10,29.9302
2020-03-11,28.4093
2020-03-12,24.8771
2020-03-13,38.2455
2020-03-14,38.2455
2020-03-15,38.2455
2020-03-16,31.986
2020-03-17,36.8776
2020-03-18,35.8782
2020-03-19,36.7977
2020-03-20,35.5748
2020-03-21,35.5748
2020-03-22,35.5748
2020-03-23,34.9633
2020-03-24,39.9357
2020-03-25,41.9753
2020-03-26,43.6192
2020-03-27,42.927
2020-03-28,42.927
2020-03-29,42.927
2020-03-30,44.1386
2020-03-31,43.9626
2020-04-01,42.6509
2020-04-02,45.3393
2020-04-03,45.4136
2020-04-04,45.4136
2020-04-05,45.4136
2020-04-06,48.2821
2020-04-07,49.0668
2020-04-08,49.5688
2020-04-09,50.5449
2020-04-10,50.5449
2020-04-11,50.5449
2020-04-12,50.5449
2020-04-13,49.6625
2020-04-14,49.5556
2020-04-15,46.6359
2020-04-16,46.0558
2020-04-17,47.5367
2020-04-18,47.5367
