,SCL US Equity
,RSI_30D
2020-01-01,61.4311
2020-01-02,64.1517
2020-01-03,59.2738
2020-01-04,59.2738
2020-01-05,59.2738
2020-01-06,59.7726
2020-01-07,59.1404
2020-01-08,60.4545
2020-01-09,57.3371
2020-01-10,57.388
2020-01-11,57.388
2020-01-12,57.388
2020-01-13,63.0297
2020-01-14,60.7209
2020-01-15,55.7377
2020-01-16,57.1886
2020-01-17,59.389
2020-01-18,59.389
2020-01-19,59.389
2020-01-20,59.389
2020-01-21,54.3547
2020-01-22,54.249
2020-01-23,55.5459
2020-01-24,53.1455
2020-01-25,53.1455
2020-01-26,53.1455
2020-01-27,54.2446
2020-01-28,54.3062
2020-01-29,52.5497
2020-01-30,51.2459
2020-01-31,48.3075
2020-02-01,48.3075
2020-02-02,48.3075
2020-02-03,50.7396
2020-02-04,53.8003
2020-02-05,55.4933
2020-02-06,55.439
2020-02-07,51.3302
2020-02-08,51.3302
2020-02-09,51.3302
2020-02-10,52.5879
2020-02-11,53.4826
2020-02-12,54.5357
2020-02-13,55.2837
2020-02-14,55.7207
2020-02-15,55.7207
2020-02-16,55.7207
2020-02-17,55.7207
2020-02-18,52.7068
2020-02-19,53.0114
2020-02-20,52.8631
2020-02-21,50.1077
2020-02-22,50.1077
2020-02-23,50.1077
2020-02-24,46.3431
2020-02-25,40.1085
2020-02-26,38.6861
2020-02-27,33.1914
2020-02-28,34.4439
2020-02-29,34.4439
2020-03-01,34.4439
2020-03-02,38.8691
2020-03-03,36.9509
2020-03-04,42.5715
2020-03-05,38.2101
2020-03-06,36.9334
2020-03-07,36.9334
2020-03-08,36.9334
2020-03-09,32.363
2020-03-10,35.3611
2020-03-11,31.9375
2020-03-12,29.035
2020-03-13,41.2757
2020-03-14,41.2757
2020-03-15,41.2757
2020-03-16,40.9929
2020-03-17,53.4319
2020-03-18,54.8766
2020-03-19,52.3852
2020-03-20,40.4071
2020-03-21,40.4071
2020-03-22,40.4071
2020-03-23,43.1772
2020-03-24,45.644
2020-03-25,44.5229
2020-03-26,46.4462
2020-03-27,43.4755
2020-03-28,43.4755
2020-03-29,43.4755
2020-03-30,47.784
2020-03-31,48.4417
2020-04-01,46.287
2020-04-02,48.2434
2020-04-03,49.4107
2020-04-04,49.4107
2020-04-05,49.4107
2020-04-06,50.992
2020-04-07,50.9872
2020-04-08,51.6427
2020-04-09,52.5217
2020-04-10,52.5217
2020-04-11,52.5217
2020-04-12,52.5217
2020-04-13,50.9457
2020-04-14,51.7002
2020-04-15,49.2524
2020-04-16,49.6422
2020-04-17,51.1485
2020-04-18,51.1485
2020-04-19,51.1485
2020-04-20,49.6942
2020-04-21,49.007
2020-04-22,48.797
2020-04-23,50.9386
2020-04-24,49.5775
2020-04-25,49.5775
2020-04-26,49.5775
2020-04-27,51.2068
2020-04-28,52.3975
2020-04-29,53.5899
2020-04-30,51.7195
2020-05-01,50.7323
2020-05-02,50.7323
2020-05-03,50.7323
2020-05-04,49.2865
2020-05-05,49.7363
2020-05-06,50.3782
2020-05-07,50.7215
2020-05-08,51.2747
2020-05-09,51.2747
2020-05-10,51.2747
2020-05-11,50.7304
2020-05-12,49.0696
2020-05-13,47.6289
2020-05-14,47.2426
2020-05-15,48.2286
2020-05-16,48.2286
2020-05-17,48.2286
2020-05-18,49.298
2020-05-19,48.6121
2020-05-20,51.9301
2020-05-21,52.4063
2020-05-22,52.3483
2020-05-23,52.3483
2020-05-24,52.3483
2020-05-25,52.3483
2020-05-26,53.133
2020-05-27,55.6574
2020-05-28,54.6692
2020-05-29,53.1414
2020-05-30,53.1414
2020-05-31,53.1414
2020-06-01,53.1258
2020-06-02,54.2519
2020-06-03,54.8167
2020-06-04,54.7059
2020-06-05,56.1651
2020-06-06,56.1651
2020-06-07,56.1651
2020-06-08,56.8118
2020-06-09,56.7745
2020-06-10,54.0251
2020-06-11,48.9638
2020-06-12,50.1273
2020-06-13,50.1273
2020-06-14,50.1273
2020-06-15,51.1781
2020-06-16,51.303
2020-06-17,50.8823
2020-06-18,48.7086
2020-06-19,48.1903
2020-06-20,48.1903
2020-06-21,48.1903
2020-06-22,48.3148
2020-06-23,47.7303
2020-06-24,46.5647
2020-06-25,47.2503
2020-06-26,44.5127
2020-06-27,44.5127
2020-06-28,44.5127
2020-06-29,51.1358
2020-06-30,52.4766
2020-07-01,50.398
2020-07-02,52.0755
2020-07-03,52.0755
2020-07-04,52.0755
2020-07-05,52.0755
2020-07-06,52.4618
2020-07-07,51.1901
2020-07-08,49.6882
2020-07-09,48.0076
2020-07-10,50.6286
2020-07-11,50.6286
2020-07-12,50.6286
2020-07-13,50.1447
2020-07-14,51.8326
2020-07-15,54.4022
2020-07-16,54.9151
2020-07-17,54.3487
2020-07-18,54.3487
2020-07-19,54.3487
2020-07-20,53.4646
2020-07-21,55.4478
2020-07-22,57.8643
2020-07-23,60.9077
2020-07-24,60.3794
2020-07-25,60.3794
2020-07-26,60.3794
2020-07-27,60.7921
2020-07-28,59.0803
2020-07-29,60.4162
2020-07-30,59.6214
2020-07-31,60.0562
2020-08-01,60.0562
2020-08-02,60.0562
2020-08-03,60.3361
2020-08-04,59.7661
2020-08-05,61.06
2020-08-06,62.5549
2020-08-07,63.4166
2020-08-08,63.4166
2020-08-09,63.4166
2020-08-10,63.5028
2020-08-11,63.9493
2020-08-12,64.7895
2020-08-13,64.0775
2020-08-14,65.052
2020-08-15,65.052
2020-08-16,65.052
2020-08-17,65.7615
2020-08-18,65.8512
2020-08-19,64.7118
2020-08-20,62.7116
2020-08-21,60.945
2020-08-22,60.945
2020-08-23,60.945
2020-08-24,62.7622
2020-08-25,62.9818
2020-08-26,61.7646
2020-08-27,60.2588
2020-08-28,62.0628
2020-08-29,62.0628
2020-08-30,62.0628
2020-08-31,60.3133
2020-09-01,61.9067
2020-09-02,60.7673
2020-09-03,57.003
2020-09-04,57.3719
2020-09-05,57.3719
2020-09-06,57.3719
2020-09-07,57.3719
2020-09-08,59.1925
2020-09-09,60.7137
2020-09-10,60.0179
2020-09-11,57.9297
2020-09-12,57.9297
2020-09-13,57.9297
2020-09-14,59.3155
2020-09-15,58.6353
2020-09-16,55.6379
2020-09-17,55.3693
2020-09-18,55.5469
2020-09-19,55.5469
2020-09-20,55.5469
2020-09-21,49.5426
2020-09-22,49.7929
2020-09-23,46.1396
2020-09-24,47.8381
2020-09-25,47.1302
2020-09-26,47.1302
2020-09-27,47.1302
2020-09-28,50.5818
2020-09-29,48.8639
2020-09-30,49.4366
2020-10-01,47.9185
2020-10-02,48.5286
2020-10-03,48.5286
2020-10-04,48.5286
2020-10-05,51.7997
2020-10-06,52.6884
2020-10-07,53.3557
2020-10-08,55.2282
2020-10-09,56.6617
2020-10-10,56.6617
2020-10-11,56.6617
2020-10-12,56.7767
2020-10-13,53.7848
2020-10-14,55.6079
2020-10-15,55.1923
2020-10-16,55.569
2020-10-17,55.569
2020-10-18,55.569
2020-10-19,53.2399
2020-10-20,55.8378
2020-10-21,56.2067
2020-10-22,54.8953
2020-10-23,58.3397
2020-10-24,58.3397
2020-10-25,58.3397
2020-10-26,57.8994
2020-10-27,56.1047
2020-10-28,53.9654
2020-10-29,55.8404
2020-10-30,55.33
2020-10-31,55.33
2020-11-01,55.33
2020-11-02,56.7342
2020-11-03,57.8144
2020-11-04,55.3143
2020-11-05,58.3289
2020-11-06,57.1452
2020-11-07,57.1452
2020-11-08,57.1452
2020-11-09,59.4747
2020-11-10,63.4753
2020-11-11,61.2147
2020-11-12,58.9233
2020-11-13,60.8557
2020-11-14,60.8557
2020-11-15,60.8557
2020-11-16,64.4867
2020-11-17,63.3845
2020-11-18,58.2245
2020-11-19,57.4338
2020-11-20,57.6351
2020-11-21,57.6351
2020-11-22,57.6351
2020-11-23,56.8731
2020-11-24,57.7716
2020-11-25,51.4771
2020-11-26,51.4771
2020-11-27,52.3535
2020-11-28,52.3535
2020-11-29,52.3535
2020-11-30,49.3481
2020-12-01,48.8563
2020-12-02,47.0519
2020-12-03,46.2912
2020-12-04,49.7967
2020-12-05,49.7967
2020-12-06,49.7967
2020-12-07,48.1328
2020-12-08,50.3507
2020-12-09,52.6356
2020-12-10,51.4664
2020-12-11,51.4253
2020-12-12,51.4253
2020-12-13,51.4253
2020-12-14,50.6924
2020-12-15,52.7523
2020-12-16,50.8417
2020-12-17,52.8252
2020-12-18,51.4123
2020-12-19,51.4123
2020-12-20,51.4123
2020-12-21,50.6951
2020-12-22,49.1412
2020-12-23,49.6024
2020-12-24,50.7624
2020-12-25,50.7624
2020-12-26,50.7624
2020-12-27,50.7624
2020-12-28,51.0323
2020-12-29,50.4487
2020-12-30,51.594
2020-12-31,52.5942
2021-01-01,52.5942
2021-01-02,52.5942
2021-01-03,52.5942
2021-01-04,54.5273
2021-01-05,53.8922
2021-01-06,60.7651
2021-01-07,63.2442
2021-01-08,59.3753
2021-01-09,59.3753
2021-01-10,59.3753
2021-01-11,55.8414
2021-01-12,58.0418
2021-01-13,55.0666
2021-01-14,54.7282
2021-01-15,53.0224
2021-01-16,53.0224
2021-01-17,53.0224
2021-01-18,53.0224
2021-01-19,52.6463
2021-01-20,53.0928
2021-01-21,51.6752
2021-01-22,53.0489
2021-01-23,53.0489
2021-01-24,53.0489
2021-01-25,51.9486
2021-01-26,51.8082
2021-01-27,48.6013
2021-01-28,45.6765
2021-01-29,43.2223
2021-01-30,43.2223
2021-01-31,43.2223
2021-02-01,49.5247
2021-02-02,49.7449
2021-02-03,49.0532
2021-02-04,49.8515
2021-02-05,50.9157
2021-02-06,50.9157
2021-02-07,50.9157
2021-02-08,54.7295
2021-02-09,53.4488
2021-02-10,52.4882
2021-02-11,54.1658
2021-02-12,52.9982
2021-02-13,52.9982
2021-02-14,52.9982
2021-02-15,52.9982
2021-02-16,54.1375
2021-02-17,53.2956
2021-02-18,49.6515
2021-02-19,49.7391
2021-02-20,49.7391
2021-02-21,49.7391
2021-02-22,48.6868
2021-02-23,50.7047
2021-02-24,52.8598
2021-02-25,51.949
2021-02-26,50.1903
2021-02-27,50.1903
2021-02-28,50.1903
2021-03-01,52.4339
2021-03-02,50.8476
2021-03-03,50.7559
2021-03-04,49.9417
2021-03-05,53.6186
2021-03-06,53.6186
2021-03-07,53.6186
2021-03-08,57.0074
2021-03-09,55.9636
2021-03-10,57.6836
2021-03-11,56.8363
2021-03-12,58.7891
2021-03-13,58.7891
2021-03-14,58.7891
2021-03-15,56.4055
2021-03-16,55.8039
2021-03-17,56.7496
2021-03-18,57.9535
2021-03-19,56.8733
2021-03-20,56.8733
2021-03-21,56.8733
2021-03-22,54.2739
2021-03-23,52.5009
2021-03-24,51.8216
2021-03-25,53.0586
2021-03-26,56.8096
2021-03-27,56.8096
2021-03-28,56.8096
2021-03-29,55.2359
2021-03-30,55.047
2021-03-31,53.2843
2021-04-01,55.5001
2021-04-02,55.5001
2021-04-03,55.5001
2021-04-04,55.5001
2021-04-05,55.6367
2021-04-06,55.6367
2021-04-07,52.0352
2021-04-08,51.6087
2021-04-09,53.2552
2021-04-10,53.2552
2021-04-11,53.2552
2021-04-12,52.7736
2021-04-13,52.668
2021-04-14,53.9596
2021-04-15,53.9703
2021-04-16,56.0626
2021-04-17,56.0626
2021-04-18,56.0626
2021-04-19,54.0941
2021-04-20,52.5931
2021-04-21,55.0257
2021-04-22,53.5059
2021-04-23,57.4428
2021-04-24,57.4428
2021-04-25,57.4428
2021-04-26,56.2943
