,AEE US Equity
,RSI_30D
2020-01-01,53.8864
2020-01-02,51.0525
2020-01-03,51.1588
2020-01-04,51.1588
2020-01-05,51.1588
2020-01-06,51.4134
2020-01-07,52.4396
2020-01-08,51.913
2020-01-09,53.0021
2020-01-10,54.5446
2020-01-11,54.5446
2020-01-12,54.5446
2020-01-13,56.714
2020-01-14,56.6238
2020-01-15,58.6313
2020-01-16,61.7649
2020-01-17,63.3024
2020-01-18,63.3024
2020-01-19,63.3024
2020-01-20,63.3024
2020-01-21,64.0772
2020-01-22,63.483
2020-01-23,64.5871
2020-01-24,64.8409
2020-01-25,64.8409
2020-01-26,64.8409
2020-01-27,63.3791
2020-01-28,64.0086
2020-01-29,66.0228
2020-01-30,68.3279
2020-01-31,68.7023
2020-02-01,68.7023
2020-02-02,68.7023
2020-02-03,70.1154
2020-02-04,68.14
2020-02-05,69.1635
2020-02-06,70.3415
2020-02-07,71.3356
2020-02-08,71.3356
2020-02-09,71.3356
2020-02-10,72.1879
2020-02-11,72.8257
2020-02-12,73.4766
2020-02-13,75.8323
2020-02-14,77.6426
2020-02-15,77.6426
2020-02-16,77.6426
2020-02-17,77.6426
2020-02-18,77.4119
2020-02-19,72.5604
2020-02-20,71.39
2020-02-21,69.6984
2020-02-22,69.6984
2020-02-23,69.6984
2020-02-24,67.0284
2020-02-25,61.1561
2020-02-26,65.2771
2020-02-27,52.5532
2020-02-28,46.0037
2020-02-29,46.0037
2020-03-01,46.0037
2020-03-02,57.5465
2020-03-03,54.7327
2020-03-04,60.8741
2020-03-05,58.7241
2020-03-06,57.2876
2020-03-07,57.2876
2020-03-08,57.2876
2020-03-09,50.4488
2020-03-10,52.7724
2020-03-11,49.965
2020-03-12,39.3112
2020-03-13,44.7107
2020-03-14,44.7107
2020-03-15,44.7107
2020-03-16,35.7587
2020-03-17,48.1254
2020-03-18,46.9002
2020-03-19,43.7086
2020-03-20,38.0885
2020-03-21,38.0885
2020-03-22,38.0885
2020-03-23,37.2254
2020-03-24,40.7173
2020-03-25,42.6128
2020-03-26,46.7244
2020-03-27,47.7931
2020-03-28,47.7931
2020-03-29,47.7931
2020-03-30,50.5731
2020-03-31,47.0514
2020-04-01,44.0226
2020-04-02,46.7614
2020-04-03,45.0708
2020-04-04,45.0708
2020-04-05,45.0708
2020-04-06,48.7104
2020-04-07,47.1019
2020-04-08,49.8809
2020-04-09,51.6351
2020-04-10,51.6351
2020-04-11,51.6351
2020-04-12,51.6351
2020-04-13,49.7204
2020-04-14,50.5261
2020-04-15,49.5108
2020-04-16,50.5932
2020-04-17,50.9455
2020-04-18,50.9455
2020-04-19,50.9455
2020-04-20,48.0889
2020-04-21,48.5956
2020-04-22,50.3689
2020-04-23,48.7368
2020-04-24,48.3923
2020-04-25,48.3923
2020-04-26,48.3923
2020-04-27,48.2512
2020-04-28,48.8335
2020-04-29,49.0977
2020-04-30,47.8072
2020-05-01,46.9204
2020-05-02,46.9204
2020-05-03,46.9204
2020-05-04,46.9135
2020-05-05,47.4828
2020-05-06,45.8286
2020-05-07,45.6931
2020-05-08,46.7303
2020-05-09,46.7303
2020-05-10,46.7303
2020-05-11,46.7075
2020-05-12,45.2853
2020-05-13,44.8148
2020-05-14,45.1665
2020-05-15,45.2056
2020-05-16,45.2056
2020-05-17,45.2056
2020-05-18,48.4976
2020-05-19,47.1629
2020-05-20,46.8926
2020-05-21,46.0142
2020-05-22,46.5372
2020-05-23,46.5372
2020-05-24,46.5372
2020-05-25,46.5372
2020-05-26,47.4886
2020-05-27,47.2572
2020-05-28,50.6684
2020-05-29,51.417
2020-05-30,51.417
2020-05-31,51.417
2020-06-01,51.0518
2020-06-02,51.5854
2020-06-03,52.7403
2020-06-04,50.5137
2020-06-05,52.105
2020-06-06,52.105
2020-06-07,52.105
2020-06-08,53.6939
2020-06-09,52.0974
2020-06-10,51.6498
2020-06-11,48.4759
2020-06-12,48.3843
2020-06-13,48.3843
2020-06-14,48.3843
2020-06-15,49.0378
2020-06-16,49.2742
2020-06-17,49.1731
2020-06-18,49.1731
2020-06-19,46.1748
2020-06-20,46.1748
2020-06-21,46.1748
2020-06-22,47.2015
2020-06-23,46.5076
2020-06-24,45.8997
2020-06-25,45.1646
2020-06-26,45.2901
2020-06-27,45.2901
2020-06-28,45.2901
2020-06-29,46.4592
2020-06-30,47.3427
2020-07-01,50.2161
2020-07-02,51.1737
2020-07-03,51.1737
2020-07-04,51.1737
2020-07-05,51.1737
2020-07-06,51.3176
2020-07-07,51.3176
2020-07-08,52.1415
2020-07-09,51.704
2020-07-10,52.9571
2020-07-11,52.9571
2020-07-12,52.9571
2020-07-13,54.361
2020-07-14,55.7148
2020-07-15,54.6521
2020-07-16,55.8235
2020-07-17,58.347
2020-07-18,58.347
2020-07-19,58.347
2020-07-20,56.7142
2020-07-21,56.9895
2020-07-22,59.7741
2020-07-23,60.1485
2020-07-24,58.3366
2020-07-25,58.3366
