,NBTB US Equity
,RSI_30D
2020-01-01,59.7513
2020-01-02,60.4442
2020-01-03,60.2908
2020-01-04,60.2908
2020-01-05,60.2908
2020-01-06,58.7485
2020-01-07,54.6959
2020-01-08,56.5242
2020-01-09,56.8517
2020-01-10,54.1107
2020-01-11,54.1107
2020-01-12,54.1107
2020-01-13,55.5874
2020-01-14,56.4243
2020-01-15,57.0109
2020-01-16,59.7094
2020-01-17,59.5563
2020-01-18,59.5563
2020-01-19,59.5563
2020-01-20,59.5563
2020-01-21,54.6276
2020-01-22,53.0903
2020-01-23,52.8229
2020-01-24,49.4715
2020-01-25,49.4715
2020-01-26,49.4715
2020-01-27,46.4795
2020-01-28,43.8948
2020-01-29,43.1196
2020-01-30,45.3494
2020-01-31,41.096
2020-02-01,41.096
2020-02-02,41.096
2020-02-03,44.9971
2020-02-04,47.6101
2020-02-05,50.948
2020-02-06,48.7547
2020-02-07,47.2381
2020-02-08,47.2381
2020-02-09,47.2381
2020-02-10,47.7802
2020-02-11,48.7604
2020-02-12,50.2628
2020-02-13,51.6254
2020-02-14,50.0435
2020-02-15,50.0435
2020-02-16,50.0435
2020-02-17,50.0435
2020-02-18,49.5293
2020-02-19,49.8937
2020-02-20,51.3475
2020-02-21,49.9632
2020-02-22,49.9632
2020-02-23,49.9632
2020-02-24,44.7152
2020-02-25,40.688
2020-02-26,39.4883
2020-02-27,35.1983
2020-02-28,29.8433
2020-02-29,29.8433
2020-03-01,29.8433
2020-03-02,39.2965
2020-03-03,36.7617
2020-03-04,38.5689
2020-03-05,34.8726
2020-03-06,33.8675
2020-03-07,33.8675
2020-03-08,33.8675
2020-03-09,28.0356
2020-03-10,31.4939
2020-03-11,29.4572
2020-03-12,26.9128
2020-03-13,37.4113
2020-03-14,37.4113
2020-03-15,37.4113
2020-03-16,33.8397
2020-03-17,44.6723
2020-03-18,43.9476
2020-03-19,46.3614
2020-03-20,41.6448
2020-03-21,41.6448
2020-03-22,41.6448
2020-03-23,39.3531
2020-03-24,43.4996
2020-03-25,42.1754
2020-03-26,46.8449
2020-03-27,44.0666
2020-03-28,44.0666
2020-03-29,44.0666
2020-03-30,45.5856
2020-03-31,45.7364
2020-04-01,44.5171
2020-04-02,46.3244
2020-04-03,45.8681
2020-04-04,45.8681
2020-04-05,45.8681
2020-04-06,46.449
2020-04-07,45.3505
2020-04-08,46.5314
2020-04-09,50.6708
2020-04-10,50.6708
2020-04-11,50.6708
2020-04-12,50.6708
2020-04-13,47.5934
2020-04-14,47.217
2020-04-15,45.1623
2020-04-16,44.2031
2020-04-17,46.009
2020-04-18,46.009
2020-04-19,46.009
2020-04-20,45.4127
2020-04-21,44.6495
2020-04-22,44.6684
2020-04-23,45.4188
2020-04-24,45.4384
2020-04-25,45.4384
2020-04-26,45.4384
2020-04-27,48.7375
2020-04-28,48.4572
2020-04-29,52.5509
2020-04-30,49.1237
2020-05-01,46.9991
2020-05-02,46.9991
2020-05-03,46.9991
2020-05-04,46.9672
2020-05-05,46.6566
2020-05-06,45.4935
2020-05-07,45.1328
2020-05-08,46.8947
2020-05-09,46.8947
2020-05-10,46.8947
2020-05-11,44.6134
2020-05-12,42.1662
2020-05-13,40.7325
2020-05-14,40.6887
2020-05-15,40.5984
2020-05-16,40.5984
2020-05-17,40.5984
2020-05-18,45.3091
2020-05-19,42.9299
2020-05-20,46.3972
2020-05-21,45.9979
2020-05-22,46.0555
2020-05-23,46.0555
2020-05-24,46.0555
2020-05-25,46.0555
2020-05-26,48.6807
2020-05-27,52.4201
2020-05-28,50.2889
2020-05-29,49.2446
2020-05-30,49.2446
2020-05-31,49.2446
2020-06-01,48.1426
2020-06-02,48.0912
2020-06-03,50.1109
2020-06-04,50.4644
2020-06-05,53.7093
2020-06-06,53.7093
2020-06-07,53.7093
2020-06-08,53.8769
2020-06-09,52.9254
2020-06-10,50.2844
2020-06-11,46.0787
2020-06-12,47.3847
2020-06-13,47.3847
2020-06-14,47.3847
2020-06-15,47.3847
2020-06-16,48.8801
2020-06-17,47.3215
2020-06-18,47.6435
2020-06-19,47.5706
2020-06-20,47.5706
2020-06-21,47.5706
2020-06-22,47.5048
2020-06-23,46.7121
2020-06-24,44.7573
2020-06-25,46.7126
2020-06-26,44.9022
2020-06-27,44.9022
2020-06-28,44.9022
2020-06-29,48.0678
2020-06-30,49.143
2020-07-01,46.2991
2020-07-02,46.2991
2020-07-03,46.2991
2020-07-04,46.2991
2020-07-05,46.2991
2020-07-06,45.9249
2020-07-07,44.5829
