,NKE US Equity
,RSI_30D
2020-01-01,59.492
2020-01-02,61.1423
2020-01-03,60.3422
2020-01-04,60.3422
2020-01-05,60.3422
2020-01-06,60.0808
2020-01-07,59.9316
2020-01-08,59.2316
2020-01-09,59.0145
2020-01-10,57.2175
2020-01-11,57.2175
2020-01-12,57.2175
2020-01-13,59.9577
2020-01-14,61.4965
2020-01-15,61.0811
2020-01-16,62.2576
2020-01-17,64.4793
2020-01-18,64.4793
2020-01-19,64.4793
2020-01-20,64.4793
2020-01-21,64.5723
2020-01-22,64.2591
2020-01-23,59.3911
2020-01-24,56.4136
2020-01-25,56.4136
2020-01-26,56.4136
2020-01-27,51.5773
2020-01-28,51.9817
2020-01-29,50.5182
2020-01-30,46.5901
2020-01-31,42.6595
2020-02-01,42.6595
2020-02-02,42.6595
2020-02-03,49.575
2020-02-04,53.6806
2020-02-05,51.939
2020-02-06,51.3847
2020-02-07,49.698
2020-02-08,49.698
2020-02-09,49.698
2020-02-10,50.8639
2020-02-11,50.8639
2020-02-12,56.4184
2020-02-13,57.0421
2020-02-14,57.3323
2020-02-15,57.3323
2020-02-16,57.3323
2020-02-17,57.3323
2020-02-18,53.9185
2020-02-19,54.751
2020-02-20,54.8794
2020-02-21,50.0925
2020-02-22,50.0925
2020-02-23,50.0925
2020-02-24,42.7498
2020-02-25,38.6817
2020-02-26,37.5757
2020-02-27,33.7491
2020-02-28,35.8604
2020-02-29,35.8604
2020-03-01,35.8604
2020-03-02,41.7549
2020-03-03,39.7508
2020-03-04,44.2728
2020-03-05,40.7239
2020-03-06,38.5152
2020-03-07,38.5152
2020-03-08,38.5152
2020-03-09,34.7794
2020-03-10,40.6504
2020-03-11,37.1045
2020-03-12,30.7752
2020-03-13,32.4536
2020-03-14,32.4536
2020-03-15,32.4536
2020-03-16,27.983
2020-03-17,31.3762
2020-03-18,30.4989
2020-03-19,32.9761
2020-03-20,31.516
2020-03-21,31.516
2020-03-22,31.516
2020-03-23,29.3526
2020-03-24,38.3279
2020-03-25,43.53
2020-03-26,47.1799
2020-03-27,46.5504
2020-03-28,46.5504
2020-03-29,46.5504
2020-03-30,47.9929
2020-03-31,46.4021
2020-04-01,44.3789
2020-04-02,45.0218
2020-04-03,44.2772
2020-04-04,44.2772
2020-04-05,44.2772
2020-04-06,48.2675
2020-04-07,47.978
2020-04-08,48.7493
2020-04-09,49.7565
2020-04-10,49.7565
2020-04-11,49.7565
2020-04-12,49.7565
2020-04-13,48.2234
2020-04-14,50.2711
2020-04-15,48.6638
2020-04-16,49.5294
2020-04-17,51.9316
2020-04-18,51.9316
2020-04-19,51.9316
2020-04-20,50.5459
2020-04-21,48.7387
2020-04-22,51.1287
2020-04-23,50.1663
2020-04-24,50.8537
2020-04-25,50.8537
2020-04-26,50.8537
2020-04-27,51.5318
2020-04-28,51.116
2020-04-29,50.5752
2020-04-30,49.9093
2020-05-01,48.6874
2020-05-02,48.6874
2020-05-03,48.6874
2020-05-04,48.8533
2020-05-05,50.0076
2020-05-06,50.9862
2020-05-07,51.0821
2020-05-08,52.6006
2020-05-09,52.6006
2020-05-10,52.6006
2020-05-11,52.9742
2020-05-12,50.6293
2020-05-13,48.7563
2020-05-14,49.2161
2020-05-15,49.6045
2020-05-16,49.6045
2020-05-17,49.6045
2020-05-18,53.0254
2020-05-19,53.4051
2020-05-20,54.569
2020-05-21,55.6125
2020-05-22,55.1028
2020-05-23,55.1028
2020-05-24,55.1028
2020-05-25,55.1028
2020-05-26,57.377
2020-05-27,59.7645
2020-05-28,58.2988
2020-05-29,58.5716
2020-05-30,58.5716
2020-05-31,58.5716
2020-06-01,59.2959
2020-06-02,60.1958
2020-06-03,62.5982
2020-06-04,59.4796
2020-06-05,60.508
2020-06-06,60.508
2020-06-07,60.508
2020-06-08,61.6214
2020-06-09,59.7894
2020-06-10,59.2298
2020-06-11,52.3251
2020-06-12,53.3451
2020-06-13,53.3451
2020-06-14,53.3451
2020-06-15,54.4728
2020-06-16,55.4213
2020-06-17,55.557
2020-06-18,54.7857
2020-06-19,52.1543
2020-06-20,52.1543
2020-06-21,52.1543
2020-06-22,55.2599
2020-06-23,57.1202
2020-06-24,55.304
2020-06-25,56.3344
2020-06-26,49.431
2020-06-27,49.431
2020-06-28,49.431
2020-06-29,51.1919
2020-06-30,52.8741
2020-07-01,52.318
2020-07-02,53.1262
2020-07-03,53.1262
2020-07-04,53.1262
2020-07-05,53.1262
2020-07-06,54.3086
2020-07-07,51.7499
2020-07-08,53.1532
2020-07-09,51.5327
2020-07-10,52.3451
2020-07-11,52.3451
2020-07-12,52.3451
2020-07-13,50.9923
2020-07-14,51.2479
2020-07-15,52.76
2020-07-16,51.5701
2020-07-17,50.6651
2020-07-18,50.6651
2020-07-19,50.6651
2020-07-20,50.0807
2020-07-21,52.518
2020-07-22,52.9998
2020-07-23,52.3899
2020-07-24,52.5104
2020-07-25,52.5104
2020-07-26,52.5104
2020-07-27,51.2512
2020-07-28,50.2901
2020-07-29,50.998
2020-07-30,50.8375
2020-07-31,51.6663
2020-08-01,51.6663
2020-08-02,51.6663
2020-08-03,52.4224
2020-08-04,51.27
2020-08-05,54.9671
2020-08-06,54.3877
2020-08-07,55.7754
2020-08-08,55.7754
2020-08-09,55.7754
2020-08-10,59.0225
2020-08-11,58.6585
2020-08-12,58.7492
2020-08-13,59.9319
2020-08-14,59.8091
2020-08-15,59.8091
2020-08-16,59.8091
2020-08-17,58.7437
2020-08-18,59.9978
2020-08-19,61.3164
2020-08-20,60.7619
2020-08-21,62.3736
2020-08-22,62.3736
2020-08-23,62.3736
2020-08-24,64.1923
2020-08-25,63.7023
2020-08-26,63.7202
