,MRO US Equity
,RSI_30D
2020-01-01,62.0042
2020-01-02,62.6377
2020-01-03,63.0835
2020-01-04,63.0835
2020-01-05,63.0835
2020-01-06,64.4015
2020-01-07,62.5319
2020-01-08,57.3636
2020-01-09,58.545
2020-01-10,55.9956
2020-01-11,55.9956
2020-01-12,55.9956
2020-01-13,56.0689
2020-01-14,56.7398
2020-01-15,56.3442
2020-01-16,57.1174
2020-01-17,55.7886
2020-01-18,55.7886
2020-01-19,55.7886
2020-01-20,55.7886
2020-01-21,52.3027
2020-01-22,48.7979
2020-01-23,46.9275
2020-01-24,44.693
2020-01-25,44.693
2020-01-26,44.693
2020-01-27,42.9424
2020-01-28,43.7028
2020-01-29,43.5527
2020-01-30,44.6346
2020-01-31,41.0122
2020-02-01,41.0122
2020-02-02,41.0122
2020-02-03,42.0059
2020-02-04,44.8871
2020-02-05,48.3387
2020-02-06,46.4854
2020-02-07,44.712
2020-02-08,44.712
2020-02-09,44.712
2020-02-10,42.6099
2020-02-11,44.3248
2020-02-12,44.6848
2020-02-13,41.2371
2020-02-14,38.3591
2020-02-15,38.3591
2020-02-16,38.3591
2020-02-17,38.3591
2020-02-18,36.7158
2020-02-19,38.3182
2020-02-20,37.0619
2020-02-21,36.2788
2020-02-22,36.2788
2020-02-23,36.2788
2020-02-24,32.9365
2020-02-25,30.52
2020-02-26,28.4786
2020-02-27,26.7374
2020-02-28,29.9673
2020-02-29,29.9673
2020-03-01,29.9673
2020-03-02,30.5106
2020-03-03,29.4852
2020-03-04,29.7669
2020-03-05,28.5477
2020-03-06,25.2058
2020-03-07,25.2058
2020-03-08,25.2058
2020-03-09,18.0105
2020-03-10,23.45
2020-03-11,22.8195
2020-03-12,22.5964
2020-03-13,26.3211
2020-03-14,26.3211
2020-03-15,26.3211
2020-03-16,25.1163
2020-03-17,24.2916
2020-03-18,23.928
2020-03-19,26.4729
2020-03-20,25.8376
2020-03-21,25.8376
2020-03-22,25.8376
2020-03-23,25.3481
2020-03-24,27.1165
2020-03-25,27.0401
2020-03-26,29.1079
2020-03-27,28.1186
2020-03-28,28.1186
2020-03-29,28.1186
2020-03-30,27.3701
2020-03-31,27.7255
2020-04-01,27.2564
2020-04-02,29.7866
2020-04-03,31.0622
2020-04-04,31.0622
2020-04-05,31.0622
2020-04-06,30.9652
2020-04-07,31.4084
2020-04-08,33.3986
2020-04-09,34.6339
2020-04-10,34.6339
2020-04-11,34.6339
2020-04-12,34.6339
2020-04-13,36.567
2020-04-14,35.996
2020-04-15,35.9132
2020-04-16,34.5156
2020-04-17,37.898
2020-04-18,37.898
2020-04-19,37.898
2020-04-20,37.2915
2020-04-21,37.5132
2020-04-22,39.6465
2020-04-23,41.8422
2020-04-24,42.4707
2020-04-25,42.4707
2020-04-26,42.4707
2020-04-27,42.0528
2020-04-28,43.0671
2020-04-29,48.7657
2020-04-30,50.3788
2020-05-01,46.8731
2020-05-02,46.8731
2020-05-03,46.8731
2020-05-04,48.7188
2020-05-05,47.187
2020-05-06,47.613
2020-05-07,47.1076
2020-05-08,48.7944
2020-05-09,48.7944
2020-05-10,48.7944
2020-05-11,48.6162
2020-05-12,49.9401
2020-05-13,47.5272
2020-05-14,48.0465
2020-05-15,47.8628
2020-05-16,47.8628
2020-05-17,47.8628
2020-05-18,50.906
2020-05-19,49.2606
2020-05-20,50.0949
2020-05-21,50.0295
2020-05-22,49.6936
2020-05-23,49.6936
2020-05-24,49.6936
2020-05-25,49.6936
2020-05-26,50.6533
2020-05-27,51.4741
2020-05-28,48.3539
2020-05-29,46.044
2020-05-30,46.044
2020-05-31,46.044
2020-06-01,48.5175
2020-06-02,49.6766
2020-06-03,50.2896
2020-06-04,52.1648
2020-06-05,58.4734
2020-06-06,58.4734
2020-06-07,58.4734
2020-06-08,63.539
2020-06-09,58.4246
2020-06-10,55.1448
2020-06-11,50.6032
2020-06-12,52.1383
2020-06-13,52.1383
2020-06-14,52.1383
2020-06-15,52.2343
2020-06-16,52.918
2020-06-17,50.9251
2020-06-18,51.5375
2020-06-19,50.8267
2020-06-20,50.8267
2020-06-21,50.8267
2020-06-22,50.3297
2020-06-23,50.6624
2020-06-24,47.6879
2020-06-25,48.7825
2020-06-26,47.4842
2020-06-27,47.4842
2020-06-28,47.4842
2020-06-29,48.7769
2020-06-30,49.7083
2020-07-01,48.7343
2020-07-02,49.7528
2020-07-03,49.7528
2020-07-04,49.7528
2020-07-05,49.7528
2020-07-06,48.2366
2020-07-07,46.5981
2020-07-08,47.2374
2020-07-09,45.0078
2020-07-10,45.5396
2020-07-11,45.5396
2020-07-12,45.5396
2020-07-13,44.3203
2020-07-14,45.9534
2020-07-15,48.055
2020-07-16,48.2501
2020-07-17,46.9722
2020-07-18,46.9722
2020-07-19,46.9722
2020-07-20,46.85
2020-07-21,49.3716
2020-07-22,48.9174
2020-07-23,48.7187
2020-07-24,48.4473
2020-07-25,48.4473
2020-07-26,48.4473
2020-07-27,47.827
2020-07-28,47.1334
2020-07-29,48.7481
2020-07-30,47.1176
2020-07-31,46.9762
2020-08-01,46.9762
2020-08-02,46.9762
2020-08-03,47.2219
2020-08-04,49.3269
2020-08-05,50.8856
2020-08-06,48.5674
2020-08-07,49.0476
2020-08-08,49.0476
2020-08-09,49.0476
2020-08-10,51.3952
2020-08-11,50.5914
2020-08-12,50.9091
2020-08-13,50.1585
2020-08-14,51.4743
2020-08-15,51.4743
2020-08-16,51.4743
2020-08-17,50.3569
2020-08-18,50.6128
2020-08-19,48.7077
2020-08-20,46.8822
2020-08-21,44.9797
2020-08-22,44.9797
2020-08-23,44.9797
2020-08-24,46.6591
2020-08-25,47.0308
2020-08-26,45.4738
2020-08-27,46.0572
2020-08-28,46.3541
2020-08-29,46.3541
2020-08-30,46.3541
2020-08-31,45.4062
2020-09-01,45.8229
2020-09-02,44.0823
2020-09-03,42.9845
2020-09-04,42.4793
2020-09-05,42.4793
2020-09-06,42.4793
2020-09-07,42.4793
2020-09-08,39.075
2020-09-09,39.5413
2020-09-10,38.181
2020-09-11,39.4968
2020-09-12,39.4968
