,SYF US Equity
,RSI_30D
2020-01-01,54.078
2020-01-02,55.4485
2020-01-03,51.3283
2020-01-04,51.3283
2020-01-05,51.3283
2020-01-06,51.2525
2020-01-07,47.6171
2020-01-08,49.6136
2020-01-09,49.4691
2020-01-10,49.7717
2020-01-11,49.7717
2020-01-12,49.7717
2020-01-13,49.3135
2020-01-14,49.2353
2020-01-15,47.672
2020-01-16,49.9725
2020-01-17,52.1488
2020-01-18,52.1488
2020-01-19,52.1488
2020-01-20,52.1488
2020-01-21,51.8157
2020-01-22,56.8102
2020-01-23,54.9581
2020-01-24,35.5192
2020-01-25,35.5192
2020-01-26,35.5192
2020-01-27,34.0199
2020-01-28,36.4092
2020-01-29,36.8568
2020-01-30,39.8591
2020-01-31,37.1558
2020-02-01,37.1558
2020-02-02,37.1558
2020-02-03,37.2178
2020-02-04,38.6586
2020-02-05,43.2294
2020-02-06,43.1436
2020-02-07,43.1436
2020-02-08,43.1436
2020-02-09,43.1436
2020-02-10,43.6228
2020-02-11,43.989
2020-02-12,45.5147
2020-02-13,46.9498
2020-02-14,46.5797
2020-02-15,46.5797
2020-02-16,46.5797
2020-02-17,46.5797
2020-02-18,44.1125
2020-02-19,44.7432
2020-02-20,46.4319
2020-02-21,44.8056
2020-02-22,44.8056
2020-02-23,44.8056
2020-02-24,39.7834
2020-02-25,34.2969
2020-02-26,33.7475
2020-02-27,30.9982
2020-02-28,29.4181
2020-02-29,29.4181
2020-03-01,29.4181
2020-03-02,36.8274
2020-03-03,32.6497
2020-03-04,38.6638
2020-03-05,36.3379
2020-03-06,33.9155
2020-03-07,33.9155
2020-03-08,33.9155
2020-03-09,27.7872
2020-03-10,32.6586
2020-03-11,29.7065
2020-03-12,25.8735
2020-03-13,33.6045
2020-03-14,33.6045
2020-03-15,33.6045
2020-03-16,26.3476
2020-03-17,25.9871
2020-03-18,23.0357
2020-03-19,24.7145
2020-03-20,23.7622
2020-03-21,23.7622
2020-03-22,23.7622
2020-03-23,23.2863
2020-03-24,28.028
2020-03-25,32.3114
2020-03-26,37.0922
2020-03-27,35.0092
2020-03-28,35.0092
2020-03-29,35.0092
2020-03-30,34.6648
2020-03-31,33.953
2020-04-01,32.3558
2020-04-02,32.1578
2020-04-03,31.1134
2020-04-04,31.1134
2020-04-05,31.1134
2020-04-06,35.6797
2020-04-07,36.8967
2020-04-08,38.2399
2020-04-09,39.756
2020-04-10,39.756
2020-04-11,39.756
2020-04-12,39.756
2020-04-13,38.0644
2020-04-14,37.6853
2020-04-15,36.5667
2020-04-16,35.6675
2020-04-17,38.5724
