,PKG US Equity
,RSI_30D
2020-01-01,55.5295
2020-01-02,52.5542
2020-01-03,49.325
2020-01-04,49.325
2020-01-05,49.325
2020-01-06,43.3543
2020-01-07,41.5608
2020-01-08,43.4409
2020-01-09,42.3237
2020-01-10,43.7339
2020-01-11,43.7339
2020-01-12,43.7339
2020-01-13,47.1478
2020-01-14,45.949
2020-01-15,49.0379
2020-01-16,50.5813
2020-01-17,50.506
2020-01-18,50.506
2020-01-19,50.506
2020-01-20,50.506
2020-01-21,45.3516
2020-01-22,45.7592
2020-01-23,47.2328
2020-01-24,44.8921
2020-01-25,44.8921
2020-01-26,44.8921
2020-01-27,42.4094
2020-01-28,43.1368
2020-01-29,44.2299
2020-01-30,36.9844
2020-01-31,32.9256
2020-02-01,32.9256
2020-02-02,32.9256
2020-02-03,35.5717
2020-02-04,39.6528
2020-02-05,46.2426
2020-02-06,46.9605
2020-02-07,43.5476
2020-02-08,43.5476
2020-02-09,43.5476
2020-02-10,42.6669
2020-02-11,45.5234
2020-02-12,44.5617
2020-02-13,42.6221
2020-02-14,41.5235
2020-02-15,41.5235
2020-02-16,41.5235
2020-02-17,41.5235
2020-02-18,42.0877
2020-02-19,41.6609
2020-02-20,41.9265
2020-02-21,46.7359
2020-02-22,46.7359
2020-02-23,46.7359
2020-02-24,42.8818
2020-02-25,38.4163
2020-02-26,38.3542
2020-02-27,36.3659
2020-02-28,35.2915
2020-02-29,35.2915
2020-03-01,35.2915
2020-03-02,41.0816
2020-03-03,37.8157
2020-03-04,41.5387
2020-03-05,39.1993
2020-03-06,39.0196
2020-03-07,39.0196
2020-03-08,39.0196
2020-03-09,34.8908
2020-03-10,40.6
2020-03-11,37.4272
2020-03-12,33.2971
2020-03-13,39.9424
2020-03-14,39.9424
2020-03-15,39.9424
2020-03-16,38.028
2020-03-17,47.7812
2020-03-18,46.1855
2020-03-19,44.7203
2020-03-20,43.2939
2020-03-21,43.2939
2020-03-22,43.2939
2020-03-23,38.5336
2020-03-24,40.8729
2020-03-25,41.0456
2020-03-26,45.9094
2020-03-27,45.2963
2020-03-28,45.2963
2020-03-29,45.2963
2020-03-30,48.1323
2020-03-31,46.0537
2020-04-01,44.5693
2020-04-02,44.6072
2020-04-03,42.8673
2020-04-04,42.8673
2020-04-05,42.8673
2020-04-06,45.9759
2020-04-07,45.7509
2020-04-08,47.5066
2020-04-09,49.0794
2020-04-10,49.0794
2020-04-11,49.0794
2020-04-12,49.0794
2020-04-13,48.1676
2020-04-14,47.9603
2020-04-15,46.2716
2020-04-16,46.0612
2020-04-17,49.6823
2020-04-18,49.6823
2020-04-19,49.6823
2020-04-20,46.9625
