,GPS US Equity
,RSI_30D
2020-01-01,53.6545
2020-01-02,51.3771
2020-01-03,52.2164
2020-01-04,52.2164
2020-01-05,52.2164
2020-01-06,56.3117
2020-01-07,56.2666
2020-01-08,56.4592
2020-01-09,52.6238
2020-01-10,54.4734
2020-01-11,54.4734
2020-01-12,54.4734
2020-01-13,55.3507
2020-01-14,56.1281
2020-01-15,54.7717
2020-01-16,58.0601
2020-01-17,57.5581
2020-01-18,57.5581
2020-01-19,57.5581
2020-01-20,57.5581
2020-01-21,55.2127
2020-01-22,54.073
2020-01-23,53.1765
2020-01-24,52.2799
2020-01-25,52.2799
2020-01-26,52.2799
2020-01-27,52.4458
2020-01-28,54.8284
2020-01-29,54.6995
2020-01-30,54.7545
2020-01-31,50.2712
2020-02-01,50.2712
2020-02-02,50.2712
2020-02-03,50.5073
2020-02-04,52.5474
2020-02-05,57.1421
2020-02-06,55.9325
2020-02-07,52.09
2020-02-08,52.09
2020-02-09,52.09
2020-02-10,51.0137
2020-02-11,50.8421
2020-02-12,55.1589
2020-02-13,54.3851
2020-02-14,53.2555
2020-02-15,53.2555
2020-02-16,53.2555
2020-02-17,53.2555
2020-02-18,49.1431
2020-02-19,48.003
2020-02-20,49.5975
2020-02-21,47.4686
2020-02-22,47.4686
2020-02-23,47.4686
2020-02-24,43.8149
2020-02-25,40.0086
2020-02-26,37.551
2020-02-27,35.8184
2020-02-28,36.6485
2020-02-29,36.6485
2020-03-01,36.6485
2020-03-02,35.6271
2020-03-03,34.9223
2020-03-04,37.7144
2020-03-05,34.6396
2020-03-06,34.108
2020-03-07,34.108
2020-03-08,34.108
2020-03-09,30.1148
2020-03-10,33.8391
2020-03-11,30.1609
2020-03-12,28.2058
2020-03-13,31.9574
2020-03-14,31.9574
2020-03-15,31.9574
2020-03-16,27.0726
2020-03-17,27.1192
2020-03-18,26.318
2020-03-19,27.1888
2020-03-20,25.7048
2020-03-21,25.7048
2020-03-22,25.7048
2020-03-23,24.194
2020-03-24,32.2955
2020-03-25,35.5683
2020-03-26,34.4928
2020-03-27,33.1996
2020-03-28,33.1996
2020-03-29,33.1996
2020-03-30,32.4931
2020-03-31,31.7746
2020-04-01,29.7176
2020-04-02,29.0577
2020-04-03,29.679
2020-04-04,29.679
2020-04-05,29.679
2020-04-06,33.4572
2020-04-07,34.9195
2020-04-08,38.1742
2020-04-09,42.3751
2020-04-10,42.3751
2020-04-11,42.3751
2020-04-12,42.3751
2020-04-13,40.625
2020-04-14,40.9569
2020-04-15,39.3197
2020-04-16,39.1398
2020-04-17,41.6256
2020-04-18,41.6256
2020-04-19,41.6256
2020-04-20,40.416
2020-04-21,39.7598
2020-04-22,38.7147
2020-04-23,38.6914
2020-04-24,38.2139
2020-04-25,38.2139
2020-04-26,38.2139
2020-04-27,41.535
2020-04-28,44.3843
2020-04-29,45.8492
2020-04-30,43.3524
2020-05-01,42.604
2020-05-02,42.604
2020-05-03,42.604
2020-05-04,42.9902
2020-05-05,41.6974
2020-05-06,40.9691
2020-05-07,41.9063
2020-05-08,44.3906
2020-05-09,44.3906
2020-05-10,44.3906
2020-05-11,43.1826
2020-05-12,42.2153
2020-05-13,41.1792
2020-05-14,42.0694
2020-05-15,43.7168
2020-05-16,43.7168
2020-05-17,43.7168
2020-05-18,44.5513
2020-05-19,43.9084
2020-05-20,43.0816
2020-05-21,46.3706
2020-05-22,46.446
2020-05-23,46.446
2020-05-24,46.446
2020-05-25,46.446
2020-05-26,49.108
2020-05-27,54.4439
2020-05-28,51.13
2020-05-29,48.9594
2020-05-30,48.9594
2020-05-31,48.9594
2020-06-01,51.9848
2020-06-02,54.1434
2020-06-03,57.5226
2020-06-04,57.9906
2020-06-05,58.4147
2020-06-06,58.4147
2020-06-07,58.4147
2020-06-08,61.5777
2020-06-09,57.5876
2020-06-10,53.233
2020-06-11,50.778
2020-06-12,51.8112
2020-06-13,51.8112
2020-06-14,51.8112
2020-06-15,51.671
2020-06-16,53.9657
2020-06-17,52.1802
2020-06-18,52.573
2020-06-19,51.8389
2020-06-20,51.8389
2020-06-21,51.8389
2020-06-22,54.169
2020-06-23,54.0154
2020-06-24,50.8249
2020-06-25,50.0813
2020-06-26,55.0761
2020-06-27,55.0761
2020-06-28,55.0761
2020-06-29,56.1223
2020-06-30,56.385
2020-07-01,55.9128
2020-07-02,55.3059
2020-07-03,55.3059
2020-07-04,55.3059
2020-07-05,55.3059
2020-07-06,55.9053
2020-07-07,54.1417
2020-07-08,55.0916
2020-07-09,53.297
2020-07-10,52.908
2020-07-11,52.908
2020-07-12,52.908
2020-07-13,51.3884
2020-07-14,51.2911
2020-07-15,55.4229
2020-07-16,56.759
2020-07-17,56.1325
2020-07-18,56.1325
2020-07-19,56.1325
2020-07-20,54.4736
2020-07-21,55.4941
2020-07-22,55.6654
2020-07-23,56.2749
2020-07-24,54.7186
2020-07-25,54.7186
2020-07-26,54.7186
2020-07-27,55.4768
2020-07-28,56.0553
2020-07-29,59.2013
2020-07-30,57.181
2020-07-31,56.1892
2020-08-01,56.1892
2020-08-02,56.1892
2020-08-03,55.1988
2020-08-04,56.2422
2020-08-05,57.5361
2020-08-06,56.6892
2020-08-07,57.9396
2020-08-08,57.9396
2020-08-09,57.9396
2020-08-10,59.5881
2020-08-11,60.6701
2020-08-12,61.0393
2020-08-13,59.6143
2020-08-14,60.3622
2020-08-15,60.3622
2020-08-16,60.3622
2020-08-17,61.2819
2020-08-18,59.3073
2020-08-19,58.9418
2020-08-20,57.5655
2020-08-21,56.8785
2020-08-22,56.8785
2020-08-23,56.8785
2020-08-24,60.3686
2020-08-25,64.8028
2020-08-26,64.4322
2020-08-27,65.3295
2020-08-28,65.7382
2020-08-29,65.7382
2020-08-30,65.7382
2020-08-31,64.9951
2020-09-01,66.0023
2020-09-02,67.5769
2020-09-03,64.062
2020-09-04,63.2945
2020-09-05,63.2945
2020-09-06,63.2945
2020-09-07,63.2945
2020-09-08,62.234
2020-09-09,62.7331
2020-09-10,60.4013
2020-09-11,58.754
2020-09-12,58.754
2020-09-13,58.754
2020-09-14,60.8675
2020-09-15,58.8199
2020-09-16,59.9907
2020-09-17,58.412
2020-09-18,57.902
2020-09-19,57.902
2020-09-20,57.902
2020-09-21,56.1054
2020-09-22,57.1974
2020-09-23,56.4476
2020-09-24,55.3682
2020-09-25,55.2257
2020-09-26,55.2257
2020-09-27,55.2257
2020-09-28,58.5713
2020-09-29,56.2309
2020-09-30,57.3814
2020-10-01,60.2208
2020-10-02,61.7281
2020-10-03,61.7281
2020-10-04,61.7281
2020-10-05,64.2941
2020-10-06,61.391
2020-10-07,64.5636
2020-10-08,64.694
2020-10-09,64.5956
2020-10-10,64.5956
2020-10-11,64.5956
2020-10-12,62.0094
2020-10-13,62.1867
2020-10-14,62.9907
2020-10-15,63.7295
2020-10-16,61.0084
2020-10-17,61.0084
2020-10-18,61.0084
2020-10-19,59.9299
2020-10-20,59.5832
2020-10-21,57.518
2020-10-22,65.0884
2020-10-23,65.7594
2020-10-24,65.7594
2020-10-25,65.7594
2020-10-26,62.0148
2020-10-27,60.9207
2020-10-28,56.8531
2020-10-29,57.6881
2020-10-30,56.8748
2020-10-31,56.8748
2020-11-01,56.8748
2020-11-02,60.8178
2020-11-03,61.1374
2020-11-04,61.0516
2020-11-05,62.0711
2020-11-06,62.4285
2020-11-07,62.4285
2020-11-08,62.4285
2020-11-09,66.5211
2020-11-10,67.1568
2020-11-11,64.7055
2020-11-12,60.2011
2020-11-13,61.0915
2020-11-14,61.0915
2020-11-15,61.0915
2020-11-16,65.9371
2020-11-17,66.7568
2020-11-18,63.2533
2020-11-19,64.8199
2020-11-20,64.7027
2020-11-21,64.7027
2020-11-22,64.7027
2020-11-23,68.0691
2020-11-24,69.5109
2020-11-25,53.3098
2020-11-26,53.3098
2020-11-27,53.628
2020-11-28,53.628
2020-11-29,53.628
2020-11-30,51.7078
2020-12-01,53.2212
