,NGHC US Equity
,RSI_30D
2020-01-01,48.6017
2020-01-02,48.3211
2020-01-03,49.4533
2020-01-04,49.4533
2020-01-05,49.4533
2020-01-06,50.936
2020-01-07,49.3632
2020-01-08,49.2882
2020-01-09,49.1339
2020-01-10,47.0745
2020-01-11,47.0745
2020-01-12,47.0745
2020-01-13,49.6613
2020-01-14,50.0559
2020-01-15,49.5735
2020-01-16,53.4413
2020-01-17,53.8804
2020-01-18,53.8804
2020-01-19,53.8804
2020-01-20,53.8804
2020-01-21,52.8491
2020-01-22,52.1181
2020-01-23,51.2978
2020-01-24,50.6039
2020-01-25,50.6039
2020-01-26,50.6039
2020-01-27,49.0594
2020-01-28,50.9522
2020-01-29,48.1745
2020-01-30,49.4698
2020-01-31,45.6896
2020-02-01,45.6896
2020-02-02,45.6896
2020-02-03,48.5694
2020-02-04,48.6522
2020-02-05,52.9629
2020-02-06,50.6439
2020-02-07,47.8064
2020-02-08,47.8064
2020-02-09,47.8064
2020-02-10,49.3139
2020-02-11,48.9018
2020-02-12,47.5563
2020-02-13,48.8504
2020-02-14,47.1212
2020-02-15,47.1212
2020-02-16,47.1212
2020-02-17,47.1212
2020-02-18,47.3726
2020-02-19,44.4577
2020-02-20,43.7613
2020-02-21,48.5928
2020-02-22,48.5928
2020-02-23,48.5928
2020-02-24,46.1194
2020-02-25,45.1016
2020-02-26,42.2106
2020-02-27,36.4385
2020-02-28,34.168
2020-02-29,34.168
2020-03-01,34.168
2020-03-02,40.1984
2020-03-03,36.8399
2020-03-04,39.9147
2020-03-05,37.9605
2020-03-06,37.794
2020-03-07,37.794
2020-03-08,37.794
2020-03-09,31.4464
2020-03-10,36.6984
2020-03-11,32.6496
2020-03-12,28.8166
2020-03-13,34.6064
2020-03-14,34.6064
2020-03-15,34.6064
2020-03-16,27.714
2020-03-17,31.1135
2020-03-18,29.2963
2020-03-19,31.6447
2020-03-20,31.5513
2020-03-21,31.5513
2020-03-22,31.5513
2020-03-23,32.6217
2020-03-24,39.5434
2020-03-25,38.0914
2020-03-26,39.7219
2020-03-27,38.2582
2020-03-28,38.2582
2020-03-29,38.2582
2020-03-30,41.9466
2020-03-31,43.5685
2020-04-01,42.0436
2020-04-02,42.9156
2020-04-03,38.5991
2020-04-04,38.5991
2020-04-05,38.5991
2020-04-06,42.0784
2020-04-07,41.5564
2020-04-08,44.4947
2020-04-09,48.5241
2020-04-10,48.5241
2020-04-11,48.5241
2020-04-12,48.5241
2020-04-13,45.6915
2020-04-14,46.324
2020-04-15,44.4497
2020-04-16,43.6878
2020-04-17,46.429
2020-04-18,46.429
2020-04-19,46.429
2020-04-20,46.9317
2020-04-21,47.1208
2020-04-22,46.6783
2020-04-23,46.5527
2020-04-24,46.7307
2020-04-25,46.7307
2020-04-26,46.7307
2020-04-27,49.8678
2020-04-28,50.8835
2020-04-29,54.2524
2020-04-30,53.5221
2020-05-01,52.5273
2020-05-02,52.5273
2020-05-03,52.5273
2020-05-04,51.8239
2020-05-05,51.6153
2020-05-06,51.2496
2020-05-07,52.0406
2020-05-08,53.7096
2020-05-09,53.7096
2020-05-10,53.7096
2020-05-11,51.1687
2020-05-12,48.6113
2020-05-13,46.4338
2020-05-14,47.1868
2020-05-15,48.4366
2020-05-16,48.4366
2020-05-17,48.4366
2020-05-18,52.5058
2020-05-19,50.9894
2020-05-20,52.5192
2020-05-21,53.6884
2020-05-22,54.0153
2020-05-23,54.0153
2020-05-24,54.0153
2020-05-25,54.0153
2020-05-26,55.7519
2020-05-27,57.6869
2020-05-28,56.1723
2020-05-29,56.3042
2020-05-30,56.3042
2020-05-31,56.3042
2020-06-01,54.6046
2020-06-02,55.711
2020-06-03,57.9128
2020-06-04,58.326
2020-06-05,61.138
2020-06-06,61.138
2020-06-07,61.138
2020-06-08,63.7359
2020-06-09,59.8117
2020-06-10,57.1709
2020-06-11,52.2633
2020-06-12,53.0444
2020-06-13,53.0444
2020-06-14,53.0444
2020-06-15,54.1704
2020-06-16,56.0132
2020-06-17,54.4631
2020-06-18,55.057
2020-06-19,54.5662
2020-06-20,54.5662
2020-06-21,54.5662
2020-06-22,54.9813
2020-06-23,54.8194
2020-06-24,52.731
2020-06-25,54.2564
2020-06-26,52.6893
2020-06-27,52.6893
2020-06-28,52.6893
2020-06-29,54.3054
2020-06-30,55.7903
2020-07-01,53.7533
2020-07-02,53.2987
2020-07-03,53.2987
2020-07-04,53.2987
2020-07-05,53.2987
2020-07-06,53.4442
2020-07-07,51.8083
2020-07-08,74.1999
2020-07-09,73.9749
2020-07-10,73.9612
2020-07-11,73.9612
2020-07-12,73.9612
2020-07-13,73.8203
2020-07-14,74.0353
2020-07-15,73.9157
2020-07-16,73.6388
2020-07-17,73.6615
2020-07-18,73.6615
2020-07-19,73.6615
2020-07-20,73.7083
2020-07-21,73.7264
2020-07-22,73.6739
2020-07-23,73.7062
2020-07-24,73.4268
2020-07-25,73.4268
2020-07-26,73.4268
2020-07-27,73.5513
2020-07-28,73.4327
2020-07-29,73.521
2020-07-30,73.0603
2020-07-31,73.3586
2020-08-01,73.3586
2020-08-02,73.3586
2020-08-03,72.8317
2020-08-04,73.0487
2020-08-05,73.3031
2020-08-06,72.3608
2020-08-07,72.7414
2020-08-08,72.7414
2020-08-09,72.7414
2020-08-10,72.8336
2020-08-11,72.378
2020-08-12,72.4572
2020-08-13,72.4776
2020-08-14,72.1457
2020-08-15,72.1457
2020-08-16,72.1457
2020-08-17,72.277
2020-08-18,72.0428
2020-08-19,72.0662
2020-08-20,72.2823
2020-08-21,71.9624
2020-08-22,71.9624
2020-08-23,71.9624
2020-08-24,71.3093
2020-08-25,71.109
2020-08-26,70.8346
2020-08-27,70.413
2020-08-28,70.7135
2020-08-29,70.7135
2020-08-30,70.7135
2020-08-31,70.7135
2020-09-01,70.4837
2020-09-02,70.5002
2020-09-03,70.5173
2020-09-04,70.5349
2020-09-05,70.5349
2020-09-06,70.5349
2020-09-07,70.5349
2020-09-08,70.2304
2020-09-09,69.9626
2020-09-10,69.9626
2020-09-11,70.0034
2020-09-12,70.0034
2020-09-13,70.0034
2020-09-14,70.0034
2020-09-15,70.0034
2020-09-16,69.8983
2020-09-17,69.8983
2020-09-18,69.6744
2020-09-19,69.6744
2020-09-20,69.6744
2020-09-21,69.6744
2020-09-22,69.5551
2020-09-23,68.7038
2020-09-24,68.8727
2020-09-25,68.5537
2020-09-26,68.5537
2020-09-27,68.5537
2020-09-28,68.7037
2020-09-29,68.7653
2020-09-30,67.2558
2020-10-01,67.853
2020-10-02,66.5965
2020-10-03,66.5965
2020-10-04,66.5965
2020-10-05,66.8785
2020-10-06,66.5878
2020-10-07,66.8856
2020-10-08,67.1131
2020-10-09,67.4217
2020-10-10,67.4217
2020-10-11,67.4217
2020-10-12,67.6573
2020-10-13,68.6725
2020-10-14,67.9932
2020-10-15,68.0748
2020-10-16,68.0748
2020-10-17,68.0748
2020-10-18,68.0748
2020-10-19,67.8894
2020-10-20,67.509
2020-10-21,67.3139
2020-10-22,66.3226
2020-10-23,66.5266
2020-10-24,66.5266
2020-10-25,66.5266
2020-10-26,67.0428
2020-10-27,67.0428
2020-10-28,66.1691
2020-10-29,66.6191
2020-10-30,66.1639
2020-10-31,66.1639
2020-11-01,66.1639
2020-11-02,66.2831
2020-11-03,66.6476
2020-11-04,67.3774
2020-11-05,67.9814
2020-11-06,66.4541
2020-11-07,66.4541
2020-11-08,66.4541
2020-11-09,64.9447
2020-11-10,64.9447
2020-11-11,66.3096
2020-11-12,66.0435
2020-11-13,66.0435
2020-11-14,66.0435
2020-11-15,66.0435
2020-11-16,66.6168
2020-11-17,66.6168
2020-11-18,66.0204
2020-11-19,65.7161
2020-11-20,65.0954
2020-11-21,65.0954
2020-11-22,65.0954
2020-11-23,64.155
2020-11-24,64.3327
2020-11-25,64.873
2020-11-26,64.873
2020-11-27,65.0556
2020-11-28,65.0556
2020-11-29,65.0556
2020-11-30,64.3635
2020-12-01,66.5708
2020-12-02,66.5708
2020-12-03,65.8434
2020-12-04,66.2252
2020-12-05,66.2252
2020-12-06,66.2252
2020-12-07,63.6494
2020-12-08,64.0625
2020-12-09,63.3181
2020-12-10,63.7538
2020-12-11,63.7538
2020-12-12,63.7538
2020-12-13,63.7538
2020-12-14,62.1731
2020-12-15,62.4141
2020-12-16,62.4141
2020-12-17,62.9198
2020-12-18,62.9198
2020-12-19,62.9198
2020-12-20,62.9198
2020-12-21,60.7339
2020-12-22,57.8245
2020-12-23,59.5429
2020-12-24,59.8252
2020-12-25,59.8252
2020-12-26,59.8252
2020-12-27,59.8252
2020-12-28,61.2243
2020-12-29,62.8313
2020-12-30,62.8313
2020-12-31,63.6388
2021-01-01,63.6388
2021-01-02,63.6388
2021-01-03,63.6388
2021-01-04,63.6388
2021-01-05,63.6388
2021-01-06,63.6388
2021-01-07,63.6388
2021-01-08,63.6388
2021-01-09,63.6388
2021-01-10,63.6388
2021-01-11,63.6388
2021-01-12,63.6388
2021-01-13,63.6388
2021-01-14,63.6388
2021-01-15,63.6388
2021-01-16,63.6388
2021-01-17,63.6388
2021-01-18,63.6388
2021-01-19,63.6388
2021-01-20,63.6388
2021-01-21,63.6388
2021-01-22,63.6388
2021-01-23,63.6388
2021-01-24,63.6388
2021-01-25,63.6388
2021-01-26,63.6388
2021-01-27,63.6388
2021-01-28,63.6388
2021-01-29,63.6388
2021-01-30,63.6388
2021-01-31,63.6388
2021-02-01,63.6388
2021-02-02,63.6388
2021-02-03,63.6388
2021-02-04,63.6388
2021-02-05,63.6388
2021-02-06,63.6388
2021-02-07,63.6388
2021-02-08,63.6388
2021-02-09,63.6388
2021-02-10,63.6388
2021-02-11,63.6388
2021-02-12,63.6388
2021-02-13,63.6388
2021-02-14,63.6388
2021-02-15,63.6388
2021-02-16,63.6388
2021-02-17,63.6388
2021-02-18,63.6388
2021-02-19,63.6388
2021-02-20,63.6388
2021-02-21,63.6388
2021-02-22,63.6388
2021-02-23,63.6388
2021-02-24,63.6388
2021-02-25,63.6388
2021-02-26,63.6388
2021-02-27,63.6388
2021-02-28,63.6388
2021-03-01,63.6388
2021-03-02,63.6388
2021-03-03,63.6388
2021-03-04,63.6388
2021-03-05,63.6388
2021-03-06,63.6388
2021-03-07,63.6388
2021-03-08,63.6388
2021-03-09,63.6388
2021-03-10,63.6388
2021-03-11,63.6388
2021-03-12,63.6388
2021-03-13,63.6388
2021-03-14,63.6388
2021-03-15,63.6388
2021-03-16,63.6388
2021-03-17,63.6388
2021-03-18,63.6388
2021-03-19,63.6388
2021-03-20,63.6388
2021-03-21,63.6388
2021-03-22,63.6388
2021-03-23,63.6388
2021-03-24,63.6388
2021-03-25,63.6388
2021-03-26,63.6388
2021-03-27,63.6388
2021-03-28,63.6388
2021-03-29,63.6388
2021-03-30,63.6388
2021-03-31,63.6388
2021-04-01,63.6388
2021-04-02,63.6388
2021-04-03,63.6388
2021-04-04,63.6388
2021-04-05,63.6388
2021-04-06,63.6388
2021-04-07,63.6388
2021-04-08,63.6388
2021-04-09,63.6388
2021-04-10,63.6388
2021-04-11,63.6388
2021-04-12,63.6388
2021-04-13,63.6388
2021-04-14,63.6388
2021-04-15,63.6388
2021-04-16,63.6388
2021-04-17,63.6388
2021-04-18,63.6388
2021-04-19,63.6388
2021-04-20,63.6388
2021-04-21,63.6388
2021-04-22,63.6388
2021-04-23,63.6388
2021-04-24,63.6388
2021-04-25,63.6388
2021-04-26,63.6388
2021-04-27,63.6388
2021-04-28,63.6388
2021-04-29,63.6388
2021-04-30,63.6388
2021-05-01,63.6388
2021-05-02,63.6388
2021-05-03,63.6388
2021-05-04,63.6388
2021-05-05,63.6388
2021-05-06,63.6388
2021-05-07,63.6388
2021-05-08,63.6388
2021-05-09,63.6388
2021-05-10,63.6388
2021-05-11,63.6388
2021-05-12,63.6388
2021-05-13,63.6388
2021-05-14,63.6388
2021-05-15,63.6388
2021-05-16,63.6388
2021-05-17,63.6388
2021-05-18,63.6388
2021-05-19,63.6388
2021-05-20,63.6388
2021-05-21,63.6388
2021-05-22,63.6388
2021-05-23,63.6388
2021-05-24,63.6388
2021-05-25,63.6388
2021-05-26,63.6388
2021-05-27,63.6388
2021-05-28,63.6388
2021-05-29,63.6388
2021-05-30,63.6388
2021-05-31,63.6388
2021-06-01,63.6388
2021-06-02,63.6388
2021-06-03,63.6388
2021-06-04,63.6388
2021-06-05,63.6388
2021-06-06,63.6388
2021-06-07,63.6388
2021-06-08,63.6388
2021-06-09,63.6388
2021-06-10,63.6388
2021-06-11,63.6388
2021-06-12,63.6388
2021-06-13,63.6388
2021-06-14,63.6388
2021-06-15,63.6388
2021-06-16,63.6388
2021-06-17,63.6388
2021-06-18,63.6388
2021-06-19,63.6388
2021-06-20,63.6388
2021-06-21,63.6388
2021-06-22,63.6388
2021-06-23,63.6388
2021-06-24,63.6388
2021-06-25,63.6388
2021-06-26,63.6388
2021-06-27,63.6388
2021-06-28,63.6388
2021-06-29,63.6388
2021-06-30,63.6388
2021-07-01,63.6388
2021-07-02,63.6388
2021-07-03,63.6388
2021-07-04,63.6388
2021-07-05,63.6388
2021-07-06,63.6388
2021-07-07,63.6388
2021-07-08,63.6388
2021-07-09,63.6388
2021-07-10,63.6388
2021-07-11,63.6388
2021-07-12,63.6388
2021-07-13,63.6388
2021-07-14,63.6388
2021-07-15,63.6388
2021-07-16,63.6388
2021-07-17,63.6388
2021-07-18,63.6388
2021-07-19,63.6388
2021-07-20,63.6388
2021-07-21,63.6388
2021-07-22,63.6388
2021-07-23,63.6388
2021-07-24,63.6388
2021-07-25,63.6388
2021-07-26,63.6388
2021-07-27,63.6388
2021-07-28,63.6388
2021-07-29,63.6388
2021-07-30,63.6388
2021-07-31,63.6388
2021-08-01,63.6388
