,INGR US Equity
,RSI_30D
2020-01-01,67.2661
2020-01-02,67.2661
2020-01-03,68.2525
2020-01-04,68.2525
2020-01-05,68.2525
2020-01-06,66.1092
2020-01-07,62.9626
2020-01-08,61.9209
2020-01-09,60.5558
2020-01-10,61.7512
2020-01-11,61.7512
2020-01-12,61.7512
2020-01-13,62.3885
2020-01-14,62.5339
2020-01-15,60.4662
2020-01-16,63.166
2020-01-17,62.3649
2020-01-18,62.3649
2020-01-19,62.3649
2020-01-20,62.3649
2020-01-21,60.6413
2020-01-22,61.1876
2020-01-23,62.2546
2020-01-24,60.5596
2020-01-25,60.5596
2020-01-26,60.5596
2020-01-27,58.2571
2020-01-28,57.8128
2020-01-29,55.2242
2020-01-30,57.018
2020-01-31,49.9242
2020-02-01,49.9242
2020-02-02,49.9242
2020-02-03,50.4151
2020-02-04,50.6445
2020-02-05,54.6138
2020-02-06,53.1401
2020-02-07,53.6231
2020-02-08,53.6231
2020-02-09,53.6231
2020-02-10,55.6655
2020-02-11,66.3098
2020-02-12,64.7845
2020-02-13,63.822
2020-02-14,63.8002
2020-02-15,63.8002
2020-02-16,63.8002
2020-02-17,63.8002
2020-02-18,61.6236
2020-02-19,58.0005
2020-02-20,58.5278
2020-02-21,58.3843
2020-02-22,58.3843
2020-02-23,58.3843
2020-02-24,55.624
2020-02-25,52.318
2020-02-26,50.5617
2020-02-27,41.6753
2020-02-28,40.142
2020-02-29,40.142
2020-03-01,40.142
2020-03-02,43.9459
2020-03-03,41.5583
2020-03-04,48.5375
2020-03-05,43.1126
2020-03-06,45.2648
2020-03-07,45.2648
2020-03-08,45.2648
2020-03-09,40.3907
2020-03-10,43.2465
2020-03-11,40.7521
2020-03-12,33.8185
2020-03-13,37.8193
2020-03-14,37.8193
2020-03-15,37.8193
2020-03-16,32.5774
2020-03-17,39.052
2020-03-18,34.1796
2020-03-19,37.9006
2020-03-20,38.5554
2020-03-21,38.5554
2020-03-22,38.5554
2020-03-23,39.5214
2020-03-24,41.2761
2020-03-25,41.3851
2020-03-26,45.1813
2020-03-27,44.4675
2020-03-28,44.4675
2020-03-29,44.4675
2020-03-30,47.0154
2020-03-31,46.2997
2020-04-01,46.3291
2020-04-02,47.4889
2020-04-03,46.8909
2020-04-04,46.8909
2020-04-05,46.8909
2020-04-06,50.0701
2020-04-07,49.0917
2020-04-08,49.8234
2020-04-09,51.2097
2020-04-10,51.2097
2020-04-11,51.2097
2020-04-12,51.2097
2020-04-13,50.8558
2020-04-14,50.7939
2020-04-15,46.3429
2020-04-16,46.6673
2020-04-17,50.3344
2020-04-18,50.3344
2020-04-19,50.3344
2020-04-20,50.4146
2020-04-21,47.9682
2020-04-22,47.911
2020-04-23,49.0437
2020-04-24,50.4147
2020-04-25,50.4147
2020-04-26,50.4147
2020-04-27,52.5202
2020-04-28,52.2922
2020-04-29,52.2998
2020-04-30,50.6849
2020-05-01,49.5635
2020-05-02,49.5635
2020-05-03,49.5635
2020-05-04,48.7189
2020-05-05,51.57
2020-05-06,49.7886
2020-05-07,50.4505
2020-05-08,53.0136
2020-05-09,53.0136
2020-05-10,53.0136
2020-05-11,51.3645
2020-05-12,50.3022
2020-05-13,48.674
2020-05-14,48.013
2020-05-15,47.9963
2020-05-16,47.9963
2020-05-17,47.9963
2020-05-18,49.6752
2020-05-19,47.7792
2020-05-20,48.8216
2020-05-21,48.7245
2020-05-22,49.4151
2020-05-23,49.4151
2020-05-24,49.4151
2020-05-25,49.4151
2020-05-26,52.8103
2020-05-27,55.3279
2020-05-28,53.0874
2020-05-29,53.2548
2020-05-30,53.2548
2020-05-31,53.2548
2020-06-01,53.2806
2020-06-02,53.9224
2020-06-03,54.5854
2020-06-04,56.2191
2020-06-05,57.7898
2020-06-06,57.7898
2020-06-07,57.7898
2020-06-08,58.5106
2020-06-09,57.3705
2020-06-10,54.0678
2020-06-11,49.3642
2020-06-12,49.9275
2020-06-13,49.9275
2020-06-14,49.9275
2020-06-15,50.7121
2020-06-16,53.4315
2020-06-17,53.2992
2020-06-18,53.5736
2020-06-19,53.1643
2020-06-20,53.1643
2020-06-21,53.1643
2020-06-22,52.0071
2020-06-23,51.252
2020-06-24,49.2853
2020-06-25,48.8165
2020-06-26,46.9084
2020-06-27,46.9084
2020-06-28,46.9084
2020-06-29,48.5091
2020-06-30,51.0279
2020-07-01,49.0547
2020-07-02,51.8506
2020-07-03,51.8506
2020-07-04,51.8506
2020-07-05,51.8506
2020-07-06,52.3813
2020-07-07,50.5333
2020-07-08,49.2023
2020-07-09,46.2142
2020-07-10,48.8781
2020-07-11,48.8781
2020-07-12,48.8781
2020-07-13,48.7974
2020-07-14,50.8226
2020-07-15,52.6302
2020-07-16,52.5635
2020-07-17,53.6954
2020-07-18,53.6954
2020-07-19,53.6954
2020-07-20,50.5221
2020-07-21,52.7519
2020-07-22,52.8019
2020-07-23,54.9618
2020-07-24,55.1074
2020-07-25,55.1074
2020-07-26,55.1074
2020-07-27,55.8843
2020-07-28,55.6321
2020-07-29,56.3553
2020-07-30,55.7856
2020-07-31,53.546
2020-08-01,53.546
2020-08-02,53.546
2020-08-03,54.6091
2020-08-04,42.6326
2020-08-05,45.3679
2020-08-06,44.8798
2020-08-07,46.6811
2020-08-08,46.6811
2020-08-09,46.6811
2020-08-10,48.5828
2020-08-11,49.583
2020-08-12,49.8655
2020-08-13,47.1798
2020-08-14,48.8583
2020-08-15,48.8583
2020-08-16,48.8583
2020-08-17,48.0682
2020-08-18,46.3823
2020-08-19,45.299
2020-08-20,45.186
2020-08-21,45.1666
2020-08-22,45.1666
2020-08-23,45.1666
2020-08-24,46.3121
2020-08-25,46.022
2020-08-26,45.371
2020-08-27,46.7289
2020-08-28,48.459
2020-08-29,48.459
2020-08-30,48.459
2020-08-31,48.5938
2020-09-01,48.0971
2020-09-02,49.4461
2020-09-03,47.9383
2020-09-04,50.06
2020-09-05,50.06
2020-09-06,50.06
2020-09-07,50.06
2020-09-08,49.8335
2020-09-09,50.6797
2020-09-10,47.6084
2020-09-11,46.9331
2020-09-12,46.9331
2020-09-13,46.9331
2020-09-14,48.5116
2020-09-15,49.7667
2020-09-16,51.4796
2020-09-17,51.5053
2020-09-18,49.9307
2020-09-19,49.9307
2020-09-20,49.9307
2020-09-21,46.6467
2020-09-22,45.9626
2020-09-23,42.7219
2020-09-24,43.6756
2020-09-25,44.2371
2020-09-26,44.2371
2020-09-27,44.2371
2020-09-28,44.5082
2020-09-29,42.6379
2020-09-30,44.6325
2020-10-01,43.5043
2020-10-02,45.0794
2020-10-03,45.0794
2020-10-04,45.0794
2020-10-05,46.6043
2020-10-06,46.0413
2020-10-07,46.7837
2020-10-08,46.941
2020-10-09,46.7551
2020-10-10,46.7551
2020-10-11,46.7551
2020-10-12,47.4996
2020-10-13,47.8683
2020-10-14,48.8645
2020-10-15,50.7934
2020-10-16,50.8426
2020-10-17,50.8426
2020-10-18,50.8426
2020-10-19,49.6448
2020-10-20,46.9632
2020-10-21,46.3006
2020-10-22,47.3077
2020-10-23,46.5847
2020-10-24,46.5847
2020-10-25,46.5847
2020-10-26,46.2853
2020-10-27,44.4941
2020-10-28,40.7523
2020-10-29,39.0927
2020-10-30,38.1314
2020-10-31,38.1314
2020-11-01,38.1314
2020-11-02,40.6939
2020-11-03,41.1615
2020-11-04,37.8711
2020-11-05,40.6745
2020-11-06,38.0603
2020-11-07,38.0603
2020-11-08,38.0603
2020-11-09,44.7794
2020-11-10,47.2297
2020-11-11,45.0934
2020-11-12,43.6718
2020-11-13,46.1193
2020-11-14,46.1193
2020-11-15,46.1193
2020-11-16,51.3354
2020-11-17,52.7228
2020-11-18,50.7325
2020-11-19,49.9125
2020-11-20,51.2228
2020-11-21,51.2228
2020-11-22,51.2228
2020-11-23,52.4056
2020-11-24,56.0557
