,MTOR US Equity
,RSI_30D
2020-01-01,64.4393
2020-01-02,65.5555
2020-01-03,64.6229
2020-01-04,64.6229
2020-01-05,64.6229
2020-01-06,63.4098
2020-01-07,62.7536
2020-01-08,62.782
2020-01-09,60.2576
2020-01-10,59.6954
2020-01-11,59.6954
2020-01-12,59.6954
2020-01-13,60.1124
2020-01-14,60.0136
2020-01-15,59.1583
2020-01-16,58.3986
2020-01-17,57.734
2020-01-18,57.734
2020-01-19,57.734
2020-01-20,57.734
2020-01-21,55.7155
2020-01-22,52.9391
2020-01-23,52.6583
2020-01-24,49.5327
2020-01-25,49.5327
2020-01-26,49.5327
2020-01-27,47.1814
2020-01-28,49.1436
2020-01-29,49.6276
2020-01-30,46.2732
2020-01-31,43.9945
2020-02-01,43.9945
2020-02-02,43.9945
2020-02-03,46.9236
2020-02-04,50.9267
2020-02-05,56.0054
2020-02-06,55.0702
2020-02-07,53.9359
2020-02-08,53.9359
2020-02-09,53.9359
2020-02-10,53.6501
2020-02-11,56.2535
2020-02-12,57.8642
2020-02-13,57.5573
2020-02-14,57.5573
2020-02-15,57.5573
2020-02-16,57.5573
2020-02-17,57.5573
2020-02-18,57.7287
2020-02-19,55.1925
2020-02-20,57.4765
2020-02-21,57.1519
2020-02-22,57.1519
2020-02-23,57.1519
2020-02-24,49.8695
2020-02-25,46.7363
2020-02-26,44.7745
2020-02-27,45.25
2020-02-28,45.7733
2020-02-29,45.7733
2020-03-01,45.7733
2020-03-02,45.4278
2020-03-03,41.7148
2020-03-04,42.4827
2020-03-05,37.0173
2020-03-06,34.3451
2020-03-07,34.3451
2020-03-08,34.3451
2020-03-09,31.0133
2020-03-10,34.6142
2020-03-11,33.3343
2020-03-12,32.2174
2020-03-13,35.4206
2020-03-14,35.4206
2020-03-15,35.4206
2020-03-16,29.9368
2020-03-17,28.7097
2020-03-18,26.8445
2020-03-19,30.5836
2020-03-20,29.1552
2020-03-21,29.1552
2020-03-22,29.1552
2020-03-23,30.3546
2020-03-24,34.855
2020-03-25,38.4753
2020-03-26,39.2023
2020-03-27,37.6788
2020-03-28,37.6788
2020-03-29,37.6788
2020-03-30,35.9319
2020-03-31,35.3933
2020-04-01,33.9266
2020-04-02,36.1865
2020-04-03,35.0444
2020-04-04,35.0444
2020-04-05,35.0444
2020-04-06,41.2879
2020-04-07,41.8961
2020-04-08,44.3319
2020-04-09,45.7249
2020-04-10,45.7249
2020-04-11,45.7249
2020-04-12,45.7249
2020-04-13,44.3588
2020-04-14,43.7707
2020-04-15,42.2261
2020-04-16,41.3211
2020-04-17,45.3594
2020-04-18,45.3594
2020-04-19,45.3594
2020-04-20,44.2758
2020-04-21,43.8815
2020-04-22,43.9847
2020-04-23,45.9886
2020-04-24,46.8461
2020-04-25,46.8461
2020-04-26,46.8461
2020-04-27,49.5047
2020-04-28,51.1062
2020-04-29,54.2598
2020-04-30,56.3871
2020-05-01,53.3367
2020-05-02,53.3367
2020-05-03,53.3367
2020-05-04,51.9523
2020-05-05,52.6933
2020-05-06,51.2451
2020-05-07,50.5496
2020-05-08,53.8938
2020-05-09,53.8938
2020-05-10,53.8938
2020-05-11,52.4959
2020-05-12,49.6293
2020-05-13,47.9652
2020-05-14,49.1855
2020-05-15,49.5031
2020-05-16,49.5031
2020-05-17,49.5031
2020-05-18,53.4779
2020-05-19,52.5754
2020-05-20,52.8288
2020-05-21,52.2036
2020-05-22,52.3159
2020-05-23,52.3159
2020-05-24,52.3159
2020-05-25,52.3159
2020-05-26,57.1471
2020-05-27,58.0566
2020-05-28,55.1073
2020-05-29,54.4229
2020-05-30,54.4229
2020-05-31,54.4229
2020-06-01,56.0173
2020-06-02,56.1379
2020-06-03,57.0115
2020-06-04,57.7404
2020-06-05,58.6275
2020-06-06,58.6275
2020-06-07,58.6275
2020-06-08,61.2654
2020-06-09,58.9006
2020-06-10,54.7858
2020-06-11,50.1731
2020-06-12,51.3947
2020-06-13,51.3947
2020-06-14,51.3947
2020-06-15,52.0861
2020-06-16,53.2331
2020-06-17,51.3823
2020-06-18,50.7886
2020-06-19,50.9464
2020-06-20,50.9464
