,AEO US Equity
,RSI_30D
2020-01-01,48.6066
2020-01-02,46.6345
2020-01-03,47.6194
2020-01-04,47.6194
2020-01-05,47.6194
2020-01-06,47.9036
2020-01-07,46.9162
2020-01-08,47.8065
2020-01-09,47.3953
2020-01-10,46.0965
2020-01-11,46.0965
2020-01-12,46.0965
2020-01-13,49.488
2020-01-14,50.4203
2020-01-15,47.2295
2020-01-16,50.3392
2020-01-17,50.2696
2020-01-18,50.2696
2020-01-19,50.2696
2020-01-20,50.2696
2020-01-21,48.1339
2020-01-22,50.0461
2020-01-23,50.2569
2020-01-24,49.0437
2020-01-25,49.0437
2020-01-26,49.0437
2020-01-27,48.9718
2020-01-28,50.6201
2020-01-29,50.8441
2020-01-30,51.7498
2020-01-31,48.0839
2020-02-01,48.0839
2020-02-02,48.0839
2020-02-03,48.0106
2020-02-04,48.5782
2020-02-05,52.0591
2020-02-06,50.2602
2020-02-07,47.1117
2020-02-08,47.1117
2020-02-09,47.1117
2020-02-10,47.5073
2020-02-11,49.5375
2020-02-12,52.4635
2020-02-13,50.9358
2020-02-14,51.3752
2020-02-15,51.3752
2020-02-16,51.3752
2020-02-17,51.3752
2020-02-18,47.8302
2020-02-19,45.5928
2020-02-20,50.9837
2020-02-21,51.2502
2020-02-22,51.2502
2020-02-23,51.2502
2020-02-24,46.6577
2020-02-25,42.9075
2020-02-26,40.5089
2020-02-27,39.7268
2020-02-28,40.2489
2020-02-29,40.2489
2020-03-01,40.2489
2020-03-02,41.6677
2020-03-03,39.1854
2020-03-04,41.3255
2020-03-05,36.6755
2020-03-06,37.254
2020-03-07,37.254
2020-03-08,37.254
2020-03-09,33.2478
2020-03-10,32.0253
2020-03-11,29.1432
2020-03-12,27.1438
2020-03-13,34.6197
2020-03-14,34.6197
2020-03-15,34.6197
2020-03-16,30.295
2020-03-17,31.7646
2020-03-18,29.3744
2020-03-19,36.2318
2020-03-20,35.1004
2020-03-21,35.1004
2020-03-22,35.1004
2020-03-23,32.6707
2020-03-24,34.5179
2020-03-25,36.46
2020-03-26,36.7373
2020-03-27,35.4568
2020-03-28,35.4568
2020-03-29,35.4568
2020-03-30,35.5052
2020-03-31,34.9623
2020-04-01,32.5665
2020-04-02,32.0054
2020-04-03,31.9065
2020-04-04,31.9065
2020-04-05,31.9065
2020-04-06,38.8902
2020-04-07,42.2332
2020-04-08,43.9019
2020-04-09,44.9453
2020-04-10,44.9453
2020-04-11,44.9453
2020-04-12,44.9453
2020-04-13,42.6418
2020-04-14,45.1133
2020-04-15,42.1723
2020-04-16,43.3924
2020-04-17,44.8674
2020-04-18,44.8674
2020-04-19,44.8674
2020-04-20,42.6297
2020-04-21,42.1594
2020-04-22,37.8165
2020-04-23,38.8685
2020-04-24,38.4544
2020-04-25,38.4544
2020-04-26,38.4544
2020-04-27,42.2722
2020-04-28,43.5181
2020-04-29,44.605
2020-04-30,43.2397
2020-05-01,42.6525
2020-05-02,42.6525
2020-05-03,42.6525
2020-05-04,41.7722
2020-05-05,41.1571
2020-05-06,41.957
2020-05-07,42.4681
2020-05-08,44.7331
2020-05-09,44.7331
2020-05-10,44.7331
2020-05-11,44.2657
2020-05-12,43.2636
2020-05-13,43.1289
2020-05-14,42.9905
2020-05-15,45.1312
2020-05-16,45.1312
2020-05-17,45.1312
2020-05-18,48.2129
2020-05-19,47.827
2020-05-20,47.0478
2020-05-21,49.2298
2020-05-22,49.2298
2020-05-23,49.2298
2020-05-24,49.2298
2020-05-25,49.2298
2020-05-26,51.5746
2020-05-27,54.5598
2020-05-28,51.329
2020-05-29,49.8036
2020-05-30,49.8036
2020-05-31,49.8036
2020-06-01,52.6028
2020-06-02,54.0551
2020-06-03,58.9654
2020-06-04,60.4982
2020-06-05,62.2856
2020-06-06,62.2856
2020-06-07,62.2856
2020-06-08,62.5016
2020-06-09,60.9223
2020-06-10,57.8543
2020-06-11,55.6102
2020-06-12,57.2327
2020-06-13,57.2327
2020-06-14,57.2327
