,CWH US Equity
,RSI_30D
2020-01-01,71.208
2020-01-02,68.2975
2020-01-03,66.2381
2020-01-04,66.2381
2020-01-05,66.2381
2020-01-06,61.128
2020-01-07,59.7056
2020-01-08,60.9282
2020-01-09,57.7226
2020-01-10,59.1251
2020-01-11,59.1251
2020-01-12,59.1251
2020-01-13,63.9464
2020-01-14,68.4442
2020-01-15,70.4114
2020-01-16,69.1651
2020-01-17,69.2244
2020-01-18,69.2244
2020-01-19,69.2244
2020-01-20,69.2244
2020-01-21,68.61
2020-01-22,70.449
2020-01-23,70.3093
2020-01-24,67.5382
2020-01-25,67.5382
2020-01-26,67.5382
2020-01-27,63.5237
2020-01-28,63.2727
2020-01-29,63.5705
2020-01-30,62.3287
2020-01-31,61.7378
2020-02-01,61.7378
2020-02-02,61.7378
2020-02-03,62.5938
2020-02-04,62.758
2020-02-05,63.8257
2020-02-06,61.5104
2020-02-07,59.2856
2020-02-08,59.2856
2020-02-09,59.2856
2020-02-10,58.885
2020-02-11,56.578
2020-02-12,58.7286
2020-02-13,60.6549
2020-02-14,61.178
2020-02-15,61.178
2020-02-16,61.178
2020-02-17,61.178
2020-02-18,60.6221
2020-02-19,61.5262
2020-02-20,63.1035
2020-02-21,61.7219
2020-02-22,61.7219
2020-02-23,61.7219
2020-02-24,58.2502
2020-02-25,52.7832
2020-02-26,50.7354
2020-02-27,46.4986
2020-02-28,46.4031
2020-02-29,46.4031
2020-03-01,46.4031
2020-03-02,47.6807
2020-03-03,42.0459
2020-03-04,40.4249
2020-03-05,34.7465
2020-03-06,33.4726
2020-03-07,33.4726
2020-03-08,33.4726
2020-03-09,29.2827
2020-03-10,33.2897
2020-03-11,29.635
2020-03-12,26.7136
2020-03-13,30.9431
2020-03-14,30.9431
2020-03-15,30.9431
2020-03-16,29.1875
2020-03-17,28.9841
2020-03-18,25.7448
2020-03-19,25.8341
2020-03-20,27.5471
2020-03-21,27.5471
2020-03-22,27.5471
2020-03-23,30.2656
2020-03-24,35.9588
2020-03-25,37.1182
2020-03-26,38.7464
2020-03-27,38.0742
2020-03-28,38.0742
2020-03-29,38.0742
2020-03-30,36.1715
2020-03-31,35.6725
2020-04-01,33.6277
2020-04-02,34.8498
2020-04-03,33.8514
2020-04-04,33.8514
2020-04-05,33.8514
2020-04-06,36.7042
2020-04-07,39.1226
2020-04-08,41.403
2020-04-09,43.6546
2020-04-10,43.6546
2020-04-11,43.6546
2020-04-12,43.6546
2020-04-13,42.7786
2020-04-14,43.605
2020-04-15,43.0688
2020-04-16,42.8507
2020-04-17,45.252
2020-04-18,45.252
2020-04-19,45.252
2020-04-20,47.2043
2020-04-21,46.9612
2020-04-22,45.6536
2020-04-23,45.3801
2020-04-24,46.6658
2020-04-25,46.6658
2020-04-26,46.6658
2020-04-27,50.3934
2020-04-28,51.6871
2020-04-29,52.6766
2020-04-30,50.1081
2020-05-01,48.0404
2020-05-02,48.0404
2020-05-03,48.0404
2020-05-04,49.1594
2020-05-05,51.0753
2020-05-06,54.8671
2020-05-07,56.0511
2020-05-08,63.5615
2020-05-09,63.5615
2020-05-10,63.5615
2020-05-11,65.4566
2020-05-12,64.8574
2020-05-13,64.6773
2020-05-14,64.0151
2020-05-15,66.5172
2020-05-16,66.5172
2020-05-17,66.5172
2020-05-18,69.8473
2020-05-19,70.0841
2020-05-20,72.1081
2020-05-21,74.0086
2020-05-22,71.4542
2020-05-23,71.4542
2020-05-24,71.4542
2020-05-25,71.4542
2020-05-26,74.4827
2020-05-27,71.9724
2020-05-28,69.4541
2020-05-29,69.956
2020-05-30,69.956
2020-05-31,69.956
2020-06-01,72.4653
2020-06-02,72.2067
2020-06-03,72.0073
2020-06-04,72.4661
2020-06-05,68.4539
2020-06-06,68.4539
2020-06-07,68.4539
2020-06-08,72.2616
2020-06-09,71.219
2020-06-10,69.0958
2020-06-11,61.4838
2020-06-12,64.8749
2020-06-13,64.8749
2020-06-14,64.8749
2020-06-15,67.2244
2020-06-16,66.1902
2020-06-17,66.8558
2020-06-18,68.0824
2020-06-19,68.8921
2020-06-20,68.8921
2020-06-21,68.8921
2020-06-22,69.9701
2020-06-23,67.7757
2020-06-24,63.5997
2020-06-25,64.2037
2020-06-26,62.9786
2020-06-27,62.9786
2020-06-28,62.9786
2020-06-29,65.0356
2020-06-30,65.4149
2020-07-01,66.4155
2020-07-02,65.9286
2020-07-03,65.9286
2020-07-04,65.9286
2020-07-05,65.9286
2020-07-06,62.7001
2020-07-07,60.3536
2020-07-08,62.6194
2020-07-09,60.4965
2020-07-10,65.8809
2020-07-11,65.8809
2020-07-12,65.8809
2020-07-13,65.4131
2020-07-14,69.0121
2020-07-15,69.6227
2020-07-16,70.9595
2020-07-17,70.3873
2020-07-18,70.3873
2020-07-19,70.3873
2020-07-20,68.9382
2020-07-21,71.1429
2020-07-22,72.5265
2020-07-23,66.9559
2020-07-24,65.7503
2020-07-25,65.7503
2020-07-26,65.7503
2020-07-27,68.7394
2020-07-28,65.4401
2020-07-29,62.4992
2020-07-30,64.2334
2020-07-31,64.3337
2020-08-01,64.3337
2020-08-02,64.3337
2020-08-03,67.5634
2020-08-04,65.7848
2020-08-05,68.5768
2020-08-06,55.1795
2020-08-07,54.4335
2020-08-08,54.4335
2020-08-09,54.4335
2020-08-10,54.1689
2020-08-11,54.0577
2020-08-12,54.434
2020-08-13,55.4373
2020-08-14,55.3424
2020-08-15,55.3424
2020-08-16,55.3424
2020-08-17,57.676
2020-08-18,57.676
2020-08-19,58.5687
2020-08-20,54.0738
2020-08-21,54.4916
2020-08-22,54.4916
2020-08-23,54.4916
2020-08-24,53.1929
2020-08-25,48.8519
2020-08-26,50.5996
2020-08-27,51.0531
2020-08-28,51.9535
2020-08-29,51.9535
2020-08-30,51.9535
2020-08-31,48.7846
2020-09-01,52.5396
2020-09-02,52.2556
2020-09-03,50.8585
2020-09-04,50.3166
2020-09-05,50.3166
2020-09-06,50.3166
2020-09-07,50.3166
2020-09-08,53.8647
2020-09-09,55.9528
2020-09-10,55.6092
2020-09-11,54.7488
2020-09-12,54.7488
2020-09-13,54.7488
2020-09-14,56.5524
2020-09-15,52.6062
2020-09-16,49.3284
2020-09-17,50.1035
2020-09-18,49.0493
2020-09-19,49.0493
2020-09-20,49.0493
2020-09-21,50.158
2020-09-22,50.4101
2020-09-23,48.0175
2020-09-24,46.9457
2020-09-25,46.8875
2020-09-26,46.8875
2020-09-27,46.8875
2020-09-28,47.2125
2020-09-29,47.75
2020-09-30,48.9899
2020-10-01,50.9434
2020-10-02,50.9296
2020-10-03,50.9296
2020-10-04,50.9296
2020-10-05,52.5926
2020-10-06,51.4243
2020-10-07,52.4496
2020-10-08,50.5053
2020-10-09,50.3755
2020-10-10,50.3755
2020-10-11,50.3755
2020-10-12,49.773
2020-10-13,52.1143
2020-10-14,50.0866
2020-10-15,52.3836
2020-10-16,51.5407
2020-10-17,51.5407
2020-10-18,51.5407
2020-10-19,50.4019
2020-10-20,50.4019
2020-10-21,46.0732
2020-10-22,46.0191
2020-10-23,46.199
2020-10-24,46.199
2020-10-25,46.199
2020-10-26,44.9727
2020-10-27,45.7264
2020-10-28,46.0219
2020-10-29,44.4463
2020-10-30,43.8511
2020-10-31,43.8511
2020-11-01,43.8511
2020-11-02,45.3467
2020-11-03,48.9906
2020-11-04,50.3602
2020-11-05,51.072
2020-11-06,47.3671
2020-11-07,47.3671
2020-11-08,47.3671
2020-11-09,41.8327
2020-11-10,44.1278
2020-11-11,44.8725
2020-11-12,45.2825
2020-11-13,47.9725
2020-11-14,47.9725
2020-11-15,47.9725
2020-11-16,48.8245
2020-11-17,49.324
2020-11-18,49.138
2020-11-19,49.9036
2020-11-20,49.2187
2020-11-21,49.2187
2020-11-22,49.2187
2020-11-23,52.9855
2020-11-24,53.0311
2020-11-25,51.7328
2020-11-26,51.7328
2020-11-27,53.0333
2020-11-28,53.0333
2020-11-29,53.0333
2020-11-30,51.9387
2020-12-01,53.8918
2020-12-02,51.922
2020-12-03,50.9501
2020-12-04,50.8973
2020-12-05,50.8973
2020-12-06,50.8973
2020-12-07,51.1591
2020-12-08,49.2923
2020-12-09,48.8981
2020-12-10,48.1555
2020-12-11,47.753
2020-12-12,47.753
2020-12-13,47.753
2020-12-14,47.3097
2020-12-15,53.7411
2020-12-16,49.9
2020-12-17,50.1542
2020-12-18,50.2288
2020-12-19,50.2288
2020-12-20,50.2288
2020-12-21,48.4648
2020-12-22,49.6708
2020-12-23,51.0471
2020-12-24,51.2196
2020-12-25,51.2196
2020-12-26,51.2196
2020-12-27,51.2196
2020-12-28,48.8645
2020-12-29,47.9446
2020-12-30,47.6354
2020-12-31,45.1681
2021-01-01,45.1681
2021-01-02,45.1681
2021-01-03,45.1681
2021-01-04,46.1807
2021-01-05,49.8273
2021-01-06,50.7156
2021-01-07,50.9153
2021-01-08,48.2641
2021-01-09,48.2641
2021-01-10,48.2641
2021-01-11,51.1563
2021-01-12,55.9025
2021-01-13,54.5121
2021-01-14,56.5349
2021-01-15,54.3791
2021-01-16,54.3791
2021-01-17,54.3791
2021-01-18,54.3791
2021-01-19,55.5374
2021-01-20,56.9585
2021-01-21,60.3274
2021-01-22,61.6996
2021-01-23,61.6996
2021-01-24,61.6996
2021-01-25,63.0099
2021-01-26,64.9043
2021-01-27,60.6882
2021-01-28,57.5624
2021-01-29,56.2329
2021-01-30,56.2329
2021-01-31,56.2329
2021-02-01,56.5835
