,PAR US Equity
,RSI_30D
2020-01-01,69.7718
2020-01-02,71.963
2020-01-03,72.2356
2020-01-04,72.2356
2020-01-05,72.2356
2020-01-06,69.625
2020-01-07,69.372
2020-01-08,65.494
2020-01-09,65.374
2020-01-10,65.2503
2020-01-11,65.2503
2020-01-12,65.2503
2020-01-13,66.6536
2020-01-14,60.3771
2020-01-15,59.6173
2020-01-16,61.3772
2020-01-17,60.6517
2020-01-18,60.6517
2020-01-19,60.6517
2020-01-20,60.6517
2020-01-21,60.0866
2020-01-22,63.7867
2020-01-23,67.6239
2020-01-24,70.4658
2020-01-25,70.4658
2020-01-26,70.4658
2020-01-27,68.4131
2020-01-28,69.3135
2020-01-29,72.0735
2020-01-30,71.6434
2020-01-31,68.022
2020-02-01,68.022
2020-02-02,68.022
2020-02-03,68.4287
2020-02-04,67.283
2020-02-05,59.9655
2020-02-06,58.1505
2020-02-07,58.3023
2020-02-08,58.3023
2020-02-09,58.3023
2020-02-10,56.4795
2020-02-11,56.0998
2020-02-12,55.6269
2020-02-13,55.7322
2020-02-14,56.7235
2020-02-15,56.7235
2020-02-16,56.7235
2020-02-17,56.7235
2020-02-18,55.8001
2020-02-19,53.0741
2020-02-20,53.3447
2020-02-21,50.3015
2020-02-22,50.3015
2020-02-23,50.3015
2020-02-24,48.84
2020-02-25,42.367
2020-02-26,41.527
2020-02-27,39.0918
2020-02-28,37.6705
2020-02-29,37.6705
2020-03-01,37.6705
2020-03-02,41.5096
2020-03-03,37.8266
2020-03-04,38.2848
2020-03-05,36.2737
2020-03-06,33.6455
2020-03-07,33.6455
2020-03-08,33.6455
2020-03-09,29.5102
2020-03-10,29.3886
2020-03-11,26.4117
2020-03-12,20.8309
2020-03-13,23.036
2020-03-14,23.036
2020-03-15,23.036
2020-03-16,19.103
2020-03-17,22.4129
2020-03-18,20.8308
2020-03-19,24.4512
2020-03-20,23.7122
2020-03-21,23.7122
2020-03-22,23.7122
2020-03-23,23.5879
2020-03-24,26.3291
2020-03-25,29.6211
2020-03-26,33.2427
2020-03-27,31.4506
2020-03-28,31.4506
2020-03-29,31.4506
2020-03-30,30.8507
2020-03-31,31.6397
2020-04-01,30.2352
2020-04-02,31.219
2020-04-03,29.9983
2020-04-04,29.9983
2020-04-05,29.9983
2020-04-06,35.031
2020-04-07,35.3154
2020-04-08,38.5611
2020-04-09,39.0807
2020-04-10,39.0807
2020-04-11,39.0807
2020-04-12,39.0807
2020-04-13,37.7179
2020-04-14,39.8423
2020-04-15,39.4087
2020-04-16,39.3781
2020-04-17,40.8497
2020-04-18,40.8497
2020-04-19,40.8497
2020-04-20,40.327
2020-04-21,39.3345
2020-04-22,42.6385
2020-04-23,44.3868
2020-04-24,43.8659
2020-04-25,43.8659
2020-04-26,43.8659
2020-04-27,46.7842
2020-04-28,48.3121
2020-04-29,51.8477
2020-04-30,50.1337
2020-05-01,48.5693
2020-05-02,48.5693
2020-05-03,48.5693
2020-05-04,46.9779
2020-05-05,49.1087
2020-05-06,49.9801
2020-05-07,51.9716
2020-05-08,54.4143
2020-05-09,54.4143
2020-05-10,54.4143
2020-05-11,58.295
2020-05-12,54.3376
2020-05-13,53.6456
2020-05-14,52.6817
2020-05-15,53.2894
2020-05-16,53.2894
2020-05-17,53.2894
2020-05-18,59.2865
2020-05-19,59.2865
2020-05-20,58.0128
2020-05-21,59.325
2020-05-22,60.5164
2020-05-23,60.5164
2020-05-24,60.5164
2020-05-25,60.5164
2020-05-26,59.4654
2020-05-27,59.2698
2020-05-28,57.2565
2020-05-29,58.0646
2020-05-30,58.0646
2020-05-31,58.0646
2020-06-01,58.4154
2020-06-02,58.5946
2020-06-03,60.952
2020-06-04,59.2653
2020-06-05,62.7597
2020-06-06,62.7597
2020-06-07,62.7597
2020-06-08,59.5784
2020-06-09,59.6827
2020-06-10,57.853
2020-06-11,54.6578
2020-06-12,56.0845
2020-06-13,56.0845
2020-06-14,56.0845
2020-06-15,60.3831
2020-06-16,61.525
2020-06-17,59.3393
2020-06-18,61.8246
2020-06-19,61.5317
2020-06-20,61.5317
2020-06-21,61.5317
2020-06-22,62.6811
2020-06-23,61.282
2020-06-24,60.6145
2020-06-25,60.5704
2020-06-26,58.653
2020-06-27,58.653
2020-06-28,58.653
2020-06-29,59.4018
2020-06-30,59.953
2020-07-01,60.0154
2020-07-02,60.2079
2020-07-03,60.2079
2020-07-04,60.2079
2020-07-05,60.2079
2020-07-06,61.6861
2020-07-07,60.3641
2020-07-08,60.2129
2020-07-09,58.9657
2020-07-10,57.9023
2020-07-11,57.9023
2020-07-12,57.9023
2020-07-13,55.724
2020-07-14,54.8986
2020-07-15,57.7368
2020-07-16,54.7242
2020-07-17,55.0897
2020-07-18,55.0897
2020-07-19,55.0897
2020-07-20,57.0531
2020-07-21,57.697
2020-07-22,59.354
2020-07-23,58.8101
2020-07-24,56.3184
2020-07-25,56.3184
2020-07-26,56.3184
2020-07-27,58.6136
2020-07-28,58.6498
2020-07-29,60.5447
2020-07-30,58.6306
2020-07-31,56.922
2020-08-01,56.922
2020-08-02,56.922
2020-08-03,57.9623
2020-08-04,60.7606
2020-08-05,63.3187
2020-08-06,64.0506
2020-08-07,63.0742
2020-08-08,63.0742
2020-08-09,63.0742
2020-08-10,62.3909
2020-08-11,63.74
2020-08-12,63.4845
2020-08-13,64.9537
2020-08-14,62.744
2020-08-15,62.744
2020-08-16,62.744
2020-08-17,63.1149
2020-08-18,61.5027
2020-08-19,64.5319
2020-08-20,67.6059
2020-08-21,67.2345
2020-08-22,67.2345
2020-08-23,67.2345
2020-08-24,65.0726
2020-08-25,63.5158
2020-08-26,62.4667
2020-08-27,61.69
2020-08-28,62.3133
2020-08-29,62.3133
2020-08-30,62.3133
2020-08-31,62.8173
2020-09-01,67.9414
2020-09-02,66.6369
2020-09-03,59.5414
2020-09-04,57.4548
2020-09-05,57.4548
2020-09-06,57.4548
2020-09-07,57.4548
2020-09-08,59.6109
2020-09-09,62.7985
2020-09-10,64.6688
2020-09-11,64.2686
2020-09-12,64.2686
2020-09-13,64.2686
2020-09-14,64.903
2020-09-15,66.8199
2020-09-16,63.7886
2020-09-17,64.7904
2020-09-18,65.357
2020-09-19,65.357
2020-09-20,65.357
2020-09-21,62.8371
2020-09-22,64.8226
2020-09-23,61.0015
2020-09-24,61.2102
2020-09-25,62.9078
2020-09-26,62.9078
2020-09-27,62.9078
2020-09-28,64.6132
2020-09-29,63.6048
2020-09-30,55.8754
2020-10-01,49.7978
2020-10-02,50.8997
2020-10-03,50.8997
2020-10-04,50.8997
2020-10-05,51.3537
2020-10-06,49.1896
2020-10-07,50.9259
2020-10-08,49.3224
2020-10-09,48.6152
2020-10-10,48.6152
2020-10-11,48.6152
2020-10-12,48.1956
2020-10-13,50.9068
2020-10-14,52.1024
2020-10-15,52.5218
2020-10-16,52.6648
2020-10-17,52.6648
2020-10-18,52.6648
2020-10-19,51.057
2020-10-20,50.5309
2020-10-21,49.459
2020-10-22,51.1462
2020-10-23,51.4952
2020-10-24,51.4952
2020-10-25,51.4952
2020-10-26,50.433
2020-10-27,51.5574
2020-10-28,48.683
2020-10-29,51.3793
2020-10-30,49.548
2020-10-31,49.548
