,FLO US Equity
,RSI_30D
2020-01-01,51.1975
2020-01-02,45.0797
2020-01-03,46.5337
2020-01-04,46.5337
2020-01-05,46.5337
2020-01-06,46.9301
2020-01-07,48.1238
2020-01-08,46.2123
2020-01-09,50.1787
2020-01-10,51.9522
2020-01-11,51.9522
2020-01-12,51.9522
2020-01-13,53.8772
2020-01-14,53.8772
2020-01-15,54.6773
2020-01-16,56.2477
2020-01-17,55.6775
2020-01-18,55.6775
2020-01-19,55.6775
2020-01-20,55.6775
2020-01-21,54.394
2020-01-22,50.7626
2020-01-23,51.2613
2020-01-24,49.5732
2020-01-25,49.5732
2020-01-26,49.5732
2020-01-27,51.6024
2020-01-28,48.5697
2020-01-29,51.0497
2020-01-30,53.2645
2020-01-31,48.0556
2020-02-01,48.0556
2020-02-02,48.0556
2020-02-03,50.7721
2020-02-04,50.7721
2020-02-05,50.3029
2020-02-06,51.8004
2020-02-07,56.4004
2020-02-08,56.4004
2020-02-09,56.4004
2020-02-10,57.2635
2020-02-11,57.3605
2020-02-12,55.5347
2020-02-13,56.8539
2020-02-14,58.1387
2020-02-15,58.1387
2020-02-16,58.1387
2020-02-17,58.1387
2020-02-18,55.1339
2020-02-19,53.6376
2020-02-20,54.0675
2020-02-21,52.1904
2020-02-22,52.1904
2020-02-23,52.1904
2020-02-24,51.3301
2020-02-25,47.8343
2020-02-26,53.9928
2020-02-27,56.4402
2020-02-28,48.2671
2020-02-29,48.2671
2020-03-01,48.2671
2020-03-02,55.7282
2020-03-03,58.8015
2020-03-04,62.6734
2020-03-05,60.589
2020-03-06,61.5664
2020-03-07,61.5664
2020-03-08,61.5664
2020-03-09,53.1455
2020-03-10,53.1455
2020-03-11,49.4249
2020-03-12,41.7532
2020-03-13,53.2579
2020-03-14,53.2579
2020-03-15,53.2579
2020-03-16,47.1556
2020-03-17,58.3036
2020-03-18,54.7958
2020-03-19,52.9605
2020-03-20,47.8511
2020-03-21,47.8511
2020-03-22,47.8511
2020-03-23,42.4376
2020-03-24,41.3836
2020-03-25,38.3134
2020-03-26,44.3161
2020-03-27,44.2193
2020-03-28,44.2193
2020-03-29,44.2193
2020-03-30,48.6822
2020-03-31,47.2598
2020-04-01,47.9065
2020-04-02,49.25
2020-04-03,49.168
2020-04-04,49.168
2020-04-05,49.168
2020-04-06,51.1585
2020-04-07,51.2697
2020-04-08,51.2697
2020-04-09,51.9142
