,TPB US Equity
,RSI_30D
2020-01-01,64.4839
2020-01-02,61.8438
2020-01-03,61.3156
2020-01-04,61.3156
2020-01-05,61.3156
2020-01-06,61.6264
2020-01-07,63.5801
2020-01-08,62.9728
2020-01-09,64.1182
2020-01-10,63.972
2020-01-11,63.972
2020-01-12,63.972
2020-01-13,64.1973
2020-01-14,60.5272
2020-01-15,58.4977
2020-01-16,59.3313
2020-01-17,56.4443
2020-01-18,56.4443
2020-01-19,56.4443
2020-01-20,56.4443
2020-01-21,54.6811
2020-01-22,54.0001
2020-01-23,51.1577
2020-01-24,49.3657
2020-01-25,49.3657
2020-01-26,49.3657
2020-01-27,47.1732
2020-01-28,44.1478
2020-01-29,44.0482
2020-01-30,41.4364
2020-01-31,39.6069
2020-02-01,39.6069
2020-02-02,39.6069
2020-02-03,38.8505
2020-02-04,36.4676
2020-02-05,36.2005
2020-02-06,38.2587
2020-02-07,36.7802
2020-02-08,36.7802
2020-02-09,36.7802
2020-02-10,39.6047
2020-02-11,39.1091
2020-02-12,39.8873
2020-02-13,39.8563
2020-02-14,38.6447
2020-02-15,38.6447
2020-02-16,38.6447
2020-02-17,38.6447
2020-02-18,42.2753
2020-02-19,46.2412
2020-02-20,46.2412
2020-02-21,49.3323
2020-02-22,49.3323
2020-02-23,49.3323
2020-02-24,47.766
2020-02-25,43.8166
2020-02-26,53.041
2020-02-27,53.2169
2020-02-28,55.351
2020-02-29,55.351
2020-03-01,55.351
2020-03-02,54.4141
2020-03-03,53.4096
2020-03-04,54.4299
2020-03-05,49.5743
2020-03-06,48.0656
2020-03-07,48.0656
2020-03-08,48.0656
2020-03-09,42.8332
2020-03-10,42.734
2020-03-11,38.8051
2020-03-12,32.8832
2020-03-13,38.5243
2020-03-14,38.5243
2020-03-15,38.5243
2020-03-16,33.081
2020-03-17,33.7957
2020-03-18,32.6309
2020-03-19,39.1139
2020-03-20,37.6882
2020-03-21,37.6882
2020-03-22,37.6882
2020-03-23,38.0326
2020-03-24,45.1741
2020-03-25,49.1992
2020-03-26,48.5213
2020-03-27,47.0927
2020-03-28,47.0927
2020-03-29,47.0927
2020-03-30,48.8568
2020-03-31,48.1327
2020-04-01,46.616
2020-04-02,45.9107
2020-04-03,47.9378
2020-04-04,47.9378
2020-04-05,47.9378
2020-04-06,47.8651
2020-04-07,48.9671
2020-04-08,47.3118
2020-04-09,50.201
2020-04-10,50.201
2020-04-11,50.201
2020-04-12,50.201
2020-04-13,50.336
2020-04-14,50.2756
2020-04-15,48.5659
2020-04-16,48.2861
2020-04-17,47.9594
2020-04-18,47.9594
2020-04-19,47.9594
2020-04-20,46.3772
2020-04-21,45.6384
2020-04-22,46.5198
2020-04-23,46.7371
2020-04-24,48.071
2020-04-25,48.071
2020-04-26,48.071
2020-04-27,50.2503
2020-04-28,53.3227
2020-04-29,51.2558
2020-04-30,53.6768
2020-05-01,53.8811
2020-05-02,53.8811
2020-05-03,53.8811
2020-05-04,53.6121
2020-05-05,53.2123
2020-05-06,52.8049
2020-05-07,51.7547
2020-05-08,54.7307
2020-05-09,54.7307
2020-05-10,54.7307
2020-05-11,53.5567
2020-05-12,52.4701
2020-05-13,49.5248
2020-05-14,48.6932
2020-05-15,48.8455
2020-05-16,48.8455
2020-05-17,48.8455
2020-05-18,49.1319
2020-05-19,48.6706
2020-05-20,51.1737
2020-05-21,51.7628
2020-05-22,52.6115
2020-05-23,52.6115
2020-05-24,52.6115
2020-05-25,52.6115
2020-05-26,54.6141
2020-05-27,57.2096
2020-05-28,57.7944
2020-05-29,54.4207
2020-05-30,54.4207
2020-05-31,54.4207
2020-06-01,55.1804
2020-06-02,55.1507
2020-06-03,54.0663
