,ALB US Equity
,RSI_30D
2020-01-01,58.9413
2020-01-02,58.1097
2020-01-03,56.1285
2020-01-04,56.1285
2020-01-05,56.1285
2020-01-06,55.9766
2020-01-07,57.3784
2020-01-08,54.9705
2020-01-09,57.2847
2020-01-10,56.0619
2020-01-11,56.0619
2020-01-12,56.0619
2020-01-13,61.1076
2020-01-14,63.7637
2020-01-15,65.785
2020-01-16,66.0876
2020-01-17,66.5769
2020-01-18,66.5769
2020-01-19,66.5769
2020-01-20,66.5769
2020-01-21,67.0078
2020-01-22,67.0705
2020-01-23,67.6225
2020-01-24,66.037
2020-01-25,66.037
2020-01-26,66.037
2020-01-27,61.4034
2020-01-28,62.9175
2020-01-29,63.5398
2020-01-30,63.5994
2020-01-31,62.5415
2020-02-01,62.5415
2020-02-02,62.5415
2020-02-03,63.1876
2020-02-04,72.4726
2020-02-05,67.2824
2020-02-06,66.1983
2020-02-07,59.2815
2020-02-08,59.2815
2020-02-09,59.2815
2020-02-10,59.978
2020-02-11,61.3831
2020-02-12,63.3176
2020-02-13,64.2781
2020-02-14,65.7215
2020-02-15,65.7215
2020-02-16,65.7215
2020-02-17,65.7215
2020-02-18,64.2453
2020-02-19,64.8021
2020-02-20,68.7162
2020-02-21,65.8507
2020-02-22,65.8507
2020-02-23,65.8507
2020-02-24,61.8487
2020-02-25,57.0416
2020-02-26,56.824
2020-02-27,51.3634
2020-02-28,52.3881
2020-02-29,52.3881
2020-03-01,52.3881
2020-03-02,54.6922
2020-03-03,53.0552
2020-03-04,56.182
2020-03-05,54.5616
2020-03-06,52.3039
2020-03-07,52.3039
2020-03-08,52.3039
2020-03-09,43.9469
2020-03-10,46.0112
2020-03-11,42.3103
2020-03-12,39.1765
2020-03-13,42.095
2020-03-14,42.095
2020-03-15,42.095
2020-03-16,36.9413
2020-03-17,43.3617
2020-03-18,44.5019
2020-03-19,40.8908
2020-03-20,36.9594
2020-03-21,36.9594
2020-03-22,36.9594
2020-03-23,35.8873
2020-03-24,39.5372
2020-03-25,42.1854
2020-03-26,42.4729
2020-03-27,39.9336
2020-03-28,39.9336
2020-03-29,39.9336
2020-03-30,40.3271
2020-03-31,40.8591
2020-04-01,40.1238
2020-04-02,39.5557
2020-04-03,39.09
2020-04-04,39.09
2020-04-05,39.09
2020-04-06,42.1924
2020-04-07,42.2428
2020-04-08,45.6175
2020-04-09,48.9467
2020-04-10,48.9467
2020-04-11,48.9467
2020-04-12,48.9467
2020-04-13,46.8308
2020-04-14,47.0669
2020-04-15,44.0945
2020-04-16,44.3089
2020-04-17,46.2418
2020-04-18,46.2418
2020-04-19,46.2418
2020-04-20,45.4152
2020-04-21,44.2248
2020-04-22,45.3263
2020-04-23,46.1634
2020-04-24,46.7695
2020-04-25,46.7695
2020-04-26,46.7695
2020-04-27,47.2777
2020-04-28,48.7266
2020-04-29,48.9801
2020-04-30,46.8249
2020-05-01,44.3394
2020-05-02,44.3394
2020-05-03,44.3394
2020-05-04,44.2299
2020-05-05,45.172
2020-05-06,44.8224
2020-05-07,46.2644
2020-05-08,49.6556
2020-05-09,49.6556
2020-05-10,49.6556
2020-05-11,49.7719
2020-05-12,46.216
2020-05-13,46.7206
2020-05-14,46.5768
2020-05-15,47.8734
2020-05-16,47.8734
2020-05-17,47.8734
2020-05-18,49.854
2020-05-19,49.537
2020-05-20,52.9487
2020-05-21,52.813
2020-05-22,52.9158
2020-05-23,52.9158
2020-05-24,52.9158
2020-05-25,52.9158
2020-05-26,57.5712
2020-05-27,57.6411
2020-05-28,58.2171
2020-05-29,58.6031
2020-05-30,58.6031
2020-05-31,58.6031
2020-06-01,59.198
2020-06-02,59.9716
2020-06-03,60.2051
2020-06-04,60.8994
2020-06-05,63.6628
2020-06-06,63.6628
2020-06-07,63.6628
2020-06-08,65.0918
2020-06-09,63.2493
2020-06-10,62.0587
2020-06-11,53.7925
2020-06-12,55.7011
2020-06-13,55.7011
2020-06-14,55.7011
2020-06-15,54.9382
2020-06-16,56.8335
2020-06-17,56.781
2020-06-18,56.4569
2020-06-19,56.0341
2020-06-20,56.0341
2020-06-21,56.0341
2020-06-22,53.7094
2020-06-23,53.9707
2020-06-24,51.494
2020-06-25,52.0066
2020-06-26,52.5745
2020-06-27,52.5745
2020-06-28,52.5745
2020-06-29,53.9549
2020-06-30,54.6658
2020-07-01,53.5482
2020-07-02,55.5899
2020-07-03,55.5899
2020-07-04,55.5899
2020-07-05,55.5899
2020-07-06,57.6392
2020-07-07,54.4904
2020-07-08,54.4426
2020-07-09,52.3533
2020-07-10,54.9083
2020-07-11,54.9083
2020-07-12,54.9083
2020-07-13,56.9395
2020-07-14,58.8018
2020-07-15,60.4745
2020-07-16,60.3194
2020-07-17,61.6818
2020-07-18,61.6818
2020-07-19,61.6818
2020-07-20,60.1719
2020-07-21,60.2711
2020-07-22,60.6405
2020-07-23,60.8178
2020-07-24,59.7844
2020-07-25,59.7844
2020-07-26,59.7844
2020-07-27,58.3328
2020-07-28,56.0103
2020-07-29,56.1233
2020-07-30,55.1874
2020-07-31,54.5749
2020-08-01,54.5749
2020-08-02,54.5749
2020-08-03,55.3999
2020-08-04,57.2465
2020-08-05,60.0445
2020-08-06,54.1476
2020-08-07,55.1016
2020-08-08,55.1016
2020-08-09,55.1016
2020-08-10,57.4176
2020-08-11,61.3025
2020-08-12,59.7604
2020-08-13,60.1807
2020-08-14,60.7582
2020-08-15,60.7582
2020-08-16,60.7582
2020-08-17,60.0511
2020-08-18,60.3819
2020-08-19,60.4213
2020-08-20,58.9646
2020-08-21,57.4017
2020-08-22,57.4017
2020-08-23,57.4017
2020-08-24,59.3095
2020-08-25,58.2374
2020-08-26,58.9363
