,BIG US Equity
,RSI_30D
2020-01-01,64.8142
2020-01-02,61.0851
2020-01-03,59.785
2020-01-04,59.785
2020-01-05,59.785
2020-01-06,62.882
2020-01-07,63.8032
2020-01-08,63.6966
2020-01-09,63.3678
2020-01-10,63.3678
2020-01-11,63.3678
2020-01-12,63.3678
2020-01-13,65.4459
2020-01-14,64.6714
2020-01-15,63.8506
2020-01-16,60.5568
2020-01-17,58.8248
2020-01-18,58.8248
2020-01-19,58.8248
2020-01-20,58.8248
2020-01-21,56.0275
2020-01-22,54.6339
2020-01-23,53.5834
2020-01-24,56.5793
2020-01-25,56.5793
2020-01-26,56.5793
2020-01-27,55.6421
2020-01-28,57.0101
2020-01-29,57.4539
2020-01-30,55.4007
2020-01-31,53.329
2020-02-01,53.329
2020-02-02,53.329
2020-02-03,56.2499
2020-02-04,54.6945
2020-02-05,56.3419
2020-02-06,55.3018
2020-02-07,52.7973
2020-02-08,52.7973
2020-02-09,52.7973
2020-02-10,53.9188
2020-02-11,52.7836
2020-02-12,51.6271
2020-02-13,48.2832
2020-02-14,47.9038
2020-02-15,47.9038
2020-02-16,47.9038
2020-02-17,47.9038
2020-02-18,48.0013
2020-02-19,47.9086
2020-02-20,48.7959
2020-02-21,47.1656
2020-02-22,47.1656
2020-02-23,47.1656
2020-02-24,46.1339
2020-02-25,45.2953
2020-02-26,39.7087
2020-02-27,38.8499
2020-02-28,27.2853
2020-02-29,27.2853
2020-03-01,27.2853
2020-03-02,31.4558
2020-03-03,33.033
2020-03-04,34.2962
2020-03-05,32.1316
2020-03-06,35.5007
2020-03-07,35.5007
2020-03-08,35.5007
2020-03-09,34.6119
2020-03-10,35.4478
2020-03-11,34.2454
2020-03-12,29.3845
2020-03-13,32.209
2020-03-14,32.209
2020-03-15,32.209
2020-03-16,28.2684
2020-03-17,35.4069
2020-03-18,32.462
2020-03-19,37.2051
2020-03-20,36.1903
2020-03-21,36.1903
2020-03-22,36.1903
2020-03-23,35.6305
2020-03-24,42.7365
2020-03-25,41.3328
2020-03-26,40.3146
2020-03-27,39.7478
2020-03-28,39.7478
2020-03-29,39.7478
2020-03-30,41.398
2020-03-31,42.0118
2020-04-01,41.4438
2020-04-02,41.8035
2020-04-03,43.1531
2020-04-04,43.1531
2020-04-05,43.1531
2020-04-06,45.2437
2020-04-07,44.1729
2020-04-08,45.4165
2020-04-09,51.8138
2020-04-10,51.8138
2020-04-11,51.8138
2020-04-12,51.8138
2020-04-13,50.7615
2020-04-14,50.8084
2020-04-15,50.3283
2020-04-16,50.2774
2020-04-17,51.0617
2020-04-18,51.0617
2020-04-19,51.0617
2020-04-20,51.8474
2020-04-21,50.6407
2020-04-22,51.7496
2020-04-23,51.5026
2020-04-24,53.1573
2020-04-25,53.1573
2020-04-26,53.1573
2020-04-27,56.9629
2020-04-28,58.677
2020-04-29,60.57
2020-04-30,57.0589
2020-05-01,57.8862
2020-05-02,57.8862
2020-05-03,57.8862
2020-05-04,59.2401
2020-05-05,57.5087
2020-05-06,57.613
2020-05-07,58.692
2020-05-08,60.4704
2020-05-09,60.4704
2020-05-10,60.4704
2020-05-11,60.993
2020-05-12,60.993
2020-05-13,61.0971
2020-05-14,61.7163
2020-05-15,63.7128
2020-05-16,63.7128
2020-05-17,63.7128
2020-05-18,66.6783
2020-05-19,67.7752
2020-05-20,68.2153
2020-05-21,69.1346
2020-05-22,68.504
2020-05-23,68.504
2020-05-24,68.504
2020-05-25,68.504
2020-05-26,72.3332
