,GSBC US Equity
,RSI_30D
2020-01-01,61.1985
2020-01-02,60.3816
2020-01-03,59.0897
2020-01-04,59.0897
2020-01-05,59.0897
2020-01-06,56.0224
2020-01-07,52.4844
2020-01-08,53.5642
2020-01-09,52.0492
2020-01-10,53.0012
2020-01-11,53.0012
2020-01-12,53.0012
2020-01-13,56.5691
2020-01-14,52.6097
2020-01-15,50.7459
2020-01-16,55.6247
2020-01-17,53.5853
2020-01-18,53.5853
2020-01-19,53.5853
2020-01-20,53.5853
2020-01-21,50.2613
2020-01-22,47.9535
2020-01-23,44.7834
2020-01-24,42.6007
2020-01-25,42.6007
2020-01-26,42.6007
2020-01-27,41.5167
2020-01-28,40.8128
2020-01-29,39.0812
2020-01-30,42.6967
2020-01-31,37.0009
2020-02-01,37.0009
2020-02-02,37.0009
2020-02-03,39.184
2020-02-04,40.2314
2020-02-05,44.4596
2020-02-06,42.5705
2020-02-07,40.4494
2020-02-08,40.4494
2020-02-09,40.4494
2020-02-10,42.3291
2020-02-11,43.2344
2020-02-12,42.2861
2020-02-13,43.1315
2020-02-14,41.5732
2020-02-15,41.5732
2020-02-16,41.5732
2020-02-17,41.5732
2020-02-18,40.5416
2020-02-19,39.9962
2020-02-20,42.1282
2020-02-21,40.6346
2020-02-22,40.6346
2020-02-23,40.6346
2020-02-24,36.7146
2020-02-25,35.1611
2020-02-26,35.6468
2020-02-27,31.1773
2020-02-28,27.5124
2020-02-29,27.5124
2020-03-01,27.5124
2020-03-02,34.1694
2020-03-03,31.6216
2020-03-04,32.6299
2020-03-05,29.4194
2020-03-06,28.8665
2020-03-07,28.8665
2020-03-08,28.8665
2020-03-09,22.6314
2020-03-10,22.7358
2020-03-11,20.738
2020-03-12,18.0026
2020-03-13,26.2613
2020-03-14,26.2613
2020-03-15,26.2613
2020-03-16,22.1221
2020-03-17,29.4523
2020-03-18,25.9602
2020-03-19,27.4467
2020-03-20,25.6895
2020-03-21,25.6895
2020-03-22,25.6895
2020-03-23,26.0859
2020-03-24,30.9977
2020-03-25,30.1541
2020-03-26,35.0156
2020-03-27,33.5816
2020-03-28,33.5816
2020-03-29,33.5816
2020-03-30,37.9421
2020-03-31,39.7766
2020-04-01,36.6359
2020-04-02,38.0417
2020-04-03,36.7028
2020-04-04,36.7028
2020-04-05,36.7028
2020-04-06,40.4774
2020-04-07,39.9619
2020-04-08,41.8157
2020-04-09,45.7262
2020-04-10,45.7262
2020-04-11,45.7262
2020-04-12,45.7262
2020-04-13,43.9048
2020-04-14,43.0234
2020-04-15,40.3936
2020-04-16,39.2807
2020-04-17,42.3935
2020-04-18,42.3935
2020-04-19,42.3935
2020-04-20,41.7673
2020-04-21,42.0843
2020-04-22,42.1929
2020-04-23,43.0212
2020-04-24,43.1616
2020-04-25,43.1616
2020-04-26,43.1616
2020-04-27,45.8402
2020-04-28,46.9075
2020-04-29,50.5025
2020-04-30,48.3061
2020-05-01,46.7375
2020-05-02,46.7375
2020-05-03,46.7375
2020-05-04,46.1756
2020-05-05,44.4824
2020-05-06,43.2911
2020-05-07,43.6847
2020-05-08,45.9573
2020-05-09,45.9573
2020-05-10,45.9573
2020-05-11,44.1912
2020-05-12,41.8594
2020-05-13,40.6491
2020-05-14,40.3974
2020-05-15,40.9122
2020-05-16,40.9122
2020-05-17,40.9122
2020-05-18,45.5221
2020-05-19,43.4736
2020-05-20,46.8061
2020-05-21,46.348
2020-05-22,46.5592
2020-05-23,46.5592
2020-05-24,46.5592
2020-05-25,46.5592
2020-05-26,49.0483
2020-05-27,52.6157
2020-05-28,50.3661
2020-05-29,48.9387
2020-05-30,48.9387
2020-05-31,48.9387
2020-06-01,48.3347
2020-06-02,48.36
2020-06-03,51.5691
2020-06-04,51.1909
2020-06-05,54.4297
2020-06-06,54.4297
2020-06-07,54.4297
2020-06-08,55.4421
2020-06-09,54.3805
2020-06-10,50.5644
2020-06-11,45.954
2020-06-12,47.7317
2020-06-13,47.7317
2020-06-14,47.7317
2020-06-15,47.5054
2020-06-16,49.2822
2020-06-17,46.8229
2020-06-18,47.1383
2020-06-19,47.3123
2020-06-20,47.3123
2020-06-21,47.3123
2020-06-22,47.8452
2020-06-23,47.3264
2020-06-24,45.6283
2020-06-25,47.4454
2020-06-26,46.6205
2020-06-27,46.6205
2020-06-28,46.6205
2020-06-29,48.7834
2020-06-30,49.822
2020-07-01,47.1864
2020-07-02,46.9452
2020-07-03,46.9452
2020-07-04,46.9452
2020-07-05,46.9452
2020-07-06,47.6238
2020-07-07,45.8174
2020-07-08,45.5481
2020-07-09,43.6885
2020-07-10,46.5053
2020-07-11,46.5053
2020-07-12,46.5053
2020-07-13,46.7207
2020-07-14,47.0296
2020-07-15,49.0381
2020-07-16,48.7196
2020-07-17,47.1627
2020-07-18,47.1627
2020-07-19,47.1627
2020-07-20,46.1237
2020-07-21,49.3047
2020-07-22,48.5081
2020-07-23,49.442
2020-07-24,48.0538
2020-07-25,48.0538
2020-07-26,48.0538
2020-07-27,46.1335
2020-07-28,46.4995
2020-07-29,47.9004
2020-07-30,46.3869
2020-07-31,45.5028
2020-08-01,45.5028
2020-08-02,45.5028
2020-08-03,46.243
2020-08-04,46.3629
2020-08-05,47.8581
2020-08-06,47.7947
2020-08-07,50.3937
2020-08-08,50.3937
2020-08-09,50.3937
2020-08-10,51.9621
2020-08-11,53.224
2020-08-12,52.3876
2020-08-13,50.3335
2020-08-14,51.598
2020-08-15,51.598
2020-08-16,51.598
2020-08-17,49.8364
2020-08-18,48.1846
2020-08-19,48.735
2020-08-20,48.273
2020-08-21,47.4119
2020-08-22,47.4119
2020-08-23,47.4119
2020-08-24,50.1703
2020-08-25,49.9355
2020-08-26,47.3433
2020-08-27,48.6197
2020-08-28,49.4949
2020-08-29,49.4949
2020-08-30,49.4949
2020-08-31,49.7587
2020-09-01,49.7587
2020-09-02,50.8188
2020-09-03,50.9576
2020-09-04,51.7225
2020-09-05,51.7225
2020-09-06,51.7225
2020-09-07,51.7225
2020-09-08,49.4144
2020-09-09,48.6187
2020-09-10,47.7018
2020-09-11,47.4958
2020-09-12,47.4958
2020-09-13,47.4958
2020-09-14,49.1534
2020-09-15,48.099
