,HUBB US Equity
,RSI_30D
2020-01-01,63.8668
2020-01-02,64.8392
2020-01-03,64.8823
2020-01-04,64.8823
2020-01-05,64.8823
2020-01-06,63.0423
2020-01-07,62.4581
2020-01-08,63.3991
2020-01-09,56.7187
2020-01-10,54.0164
2020-01-11,54.0164
2020-01-12,54.0164
2020-01-13,56.9813
2020-01-14,54.4274
2020-01-15,56.8262
2020-01-16,59.9961
2020-01-17,61.1022
2020-01-18,61.1022
2020-01-19,61.1022
2020-01-20,61.1022
2020-01-21,59.5708
2020-01-22,60.4235
2020-01-23,59.6732
2020-01-24,55.9527
2020-01-25,55.9527
2020-01-26,55.9527
2020-01-27,53.2593
2020-01-28,54.9029
2020-01-29,55.9655
2020-01-30,57.1654
2020-01-31,48.6516
2020-02-01,48.6516
2020-02-02,48.6516
2020-02-03,52.2957
2020-02-04,49.3311
2020-02-05,55.6696
2020-02-06,54.115
2020-02-07,51.3999
2020-02-08,51.3999
2020-02-09,51.3999
2020-02-10,53.7623
2020-02-11,56.352
2020-02-12,55.758
2020-02-13,56.2121
2020-02-14,53.3366
2020-02-15,53.3366
2020-02-16,53.3366
2020-02-17,53.3366
2020-02-18,51.3071
2020-02-19,52.4207
2020-02-20,52.0846
2020-02-21,49.1253
2020-02-22,49.1253
2020-02-23,49.1253
2020-02-24,45.1115
2020-02-25,40.3106
2020-02-26,40.064
2020-02-27,37.6381
2020-02-28,38.3285
2020-02-29,38.3285
2020-03-01,38.3285
2020-03-02,47.1492
2020-03-03,41.2195
2020-03-04,48.3526
2020-03-05,45.2061
2020-03-06,43.676
2020-03-07,43.676
2020-03-08,43.676
2020-03-09,35.9861
2020-03-10,42.7905
2020-03-11,38.5467
2020-03-12,32.3629
2020-03-13,40.3432
2020-03-14,40.3432
2020-03-15,40.3432
2020-03-16,36.4709
2020-03-17,36.5776
2020-03-18,32.7769
2020-03-19,35.4939
2020-03-20,34.0433
2020-03-21,34.0433
2020-03-22,34.0433
2020-03-23,31.3205
2020-03-24,37.555
2020-03-25,41.5333
2020-03-26,44.0091
2020-03-27,42.0768
2020-03-28,42.0768
2020-03-29,42.0768
2020-03-30,44.5656
2020-03-31,45.2831
2020-04-01,43.7956
2020-04-02,44.7737
2020-04-03,43.1824
2020-04-04,43.1824
2020-04-05,43.1824
2020-04-06,46.4926
2020-04-07,46.6641
2020-04-08,48.1708
2020-04-09,49.8726
2020-04-10,49.8726
2020-04-11,49.8726
2020-04-12,49.8726
2020-04-13,47.9072
2020-04-14,49.6307
2020-04-15,48.0743
2020-04-16,47.549
2020-04-17,48.5693
2020-04-18,48.5693
2020-04-19,48.5693
2020-04-20,47.24
2020-04-21,46.3759
2020-04-22,47.7915
2020-04-23,48.1041
2020-04-24,48.4278
2020-04-25,48.4278
2020-04-26,48.4278
2020-04-27,49.8153
2020-04-28,50.3126
2020-04-29,51.639
2020-04-30,50.5587
2020-05-01,49.4921
2020-05-02,49.4921
2020-05-03,49.4921
2020-05-04,48.5542
2020-05-05,49.3091
2020-05-06,48.1978
2020-05-07,48.2732
2020-05-08,49.8532
2020-05-09,49.8532
2020-05-10,49.8532
2020-05-11,49.3664
2020-05-12,45.9643
2020-05-13,43.9942
2020-05-14,45.5675
2020-05-15,46.021
2020-05-16,46.021
2020-05-17,46.021
2020-05-18,48.9558
2020-05-19,48.2334
2020-05-20,48.7361
2020-05-21,48.2712
2020-05-22,47.7994
2020-05-23,47.7994
2020-05-24,47.7994
2020-05-25,47.7994
2020-05-26,49.9643
2020-05-27,52.279
2020-05-28,52.2566
2020-05-29,51.1406
2020-05-30,51.1406
2020-05-31,51.1406
2020-06-01,52.5094
2020-06-02,54.3967
2020-06-03,55.6486
2020-06-04,56.8119
2020-06-05,58.7909
2020-06-06,58.7909
2020-06-07,58.7909
