,MANH US Equity
,RSI_30D
2020-01-01,51.6072
2020-01-02,53.5084
2020-01-03,52.953
2020-01-04,52.953
2020-01-05,52.953
2020-01-06,54.8904
2020-01-07,54.8904
2020-01-08,57.0587
2020-01-09,58.4123
2020-01-10,58.3331
2020-01-11,58.3331
2020-01-12,58.3331
2020-01-13,59.782
2020-01-14,59.5317
2020-01-15,60.5752
2020-01-16,62.1715
2020-01-17,62.0222
2020-01-18,62.0222
2020-01-19,62.0222
2020-01-20,62.0222
2020-01-21,59.0865
2020-01-22,61.5704
2020-01-23,62.1821
2020-01-24,62.0919
2020-01-25,62.0919
2020-01-26,62.0919
2020-01-27,59.4449
2020-01-28,62.4067
2020-01-29,63.2792
2020-01-30,64.5555
2020-01-31,57.9938
2020-02-01,57.9938
2020-02-02,57.9938
2020-02-03,61.0482
2020-02-04,63.7877
2020-02-05,44.0887
2020-02-06,44.5774
2020-02-07,42.3441
2020-02-08,42.3441
2020-02-09,42.3441
2020-02-10,45.3081
2020-02-11,45.1769
2020-02-12,45.6816
2020-02-13,47.6906
2020-02-14,48.1036
2020-02-15,48.1036
2020-02-16,48.1036
2020-02-17,48.1036
2020-02-18,49.6075
2020-02-19,50.2356
2020-02-20,46.1312
2020-02-21,43.8612
2020-02-22,43.8612
2020-02-23,43.8612
2020-02-24,40.506
2020-02-25,39.1976
2020-02-26,38.2715
2020-02-27,34.9745
2020-02-28,33.3507
2020-02-29,33.3507
2020-03-01,33.3507
2020-03-02,35.0599
2020-03-03,32.9596
2020-03-04,37.4048
2020-03-05,36.3496
2020-03-06,37.0809
2020-03-07,37.0809
2020-03-08,37.0809
2020-03-09,32.0233
2020-03-10,37.4676
2020-03-11,36.1369
2020-03-12,30.1917
2020-03-13,33.0314
2020-03-14,33.0314
2020-03-15,33.0314
2020-03-16,27.3633
2020-03-17,27.4589
2020-03-18,23.701
2020-03-19,31.9038
2020-03-20,33.5897
2020-03-21,33.5897
2020-03-22,33.5897
2020-03-23,31.5538
2020-03-24,36.252
2020-03-25,37.6722
2020-03-26,41.8849
2020-03-27,41.0884
2020-03-28,41.0884
2020-03-29,41.0884
2020-03-30,40.757
2020-03-31,39.0893
2020-04-01,36.8875
2020-04-02,37.4744
2020-04-03,37.1517
2020-04-04,37.1517
2020-04-05,37.1517
2020-04-06,41.3166
2020-04-07,41.6103
2020-04-08,43.9834
2020-04-09,46.6245
2020-04-10,46.6245
2020-04-11,46.6245
2020-04-12,46.6245
2020-04-13,45.6035
2020-04-14,48.095
2020-04-15,45.4743
2020-04-16,45.8689
2020-04-17,47.0304
2020-04-18,47.0304
2020-04-19,47.0304
2020-04-20,45.7006
2020-04-21,43.7085
2020-04-22,47.9151
2020-04-23,46.776
2020-04-24,48.1259
2020-04-25,48.1259
2020-04-26,48.1259
2020-04-27,51.3491
2020-04-28,53.6442
2020-04-29,56.3547
2020-04-30,55.6341
2020-05-01,54.2529
2020-05-02,54.2529
2020-05-03,54.2529
2020-05-04,55.2996
2020-05-05,54.7837
2020-05-06,55.7079
2020-05-07,58.016
2020-05-08,58.5478
2020-05-09,58.5478
2020-05-10,58.5478
2020-05-11,58.7389
2020-05-12,56.6095
2020-05-13,53.2658
2020-05-14,54.2816
2020-05-15,54.8258
2020-05-16,54.8258
2020-05-17,54.8258
2020-05-18,56.314
2020-05-19,55.2998
2020-05-20,55.4423
2020-05-21,57.3326
2020-05-22,58.1061
2020-05-23,58.1061
2020-05-24,58.1061
2020-05-25,58.1061
2020-05-26,60.553
2020-05-27,63.9519
2020-05-28,63.9758
2020-05-29,63.3236
2020-05-30,63.3236
2020-05-31,63.3236
2020-06-01,66.1377
2020-06-02,63.3065
2020-06-03,63.4619
2020-06-04,60.2591
2020-06-05,60.2644
2020-06-06,60.2644
2020-06-07,60.2644
2020-06-08,63.1137
2020-06-09,60.4012
2020-06-10,58.4521
2020-06-11,55.5946
2020-06-12,56.1603
2020-06-13,56.1603
2020-06-14,56.1603
2020-06-15,57.4297
2020-06-16,58.9501
2020-06-17,58.1283
2020-06-18,58.1852
2020-06-19,58.3433
2020-06-20,58.3433
2020-06-21,58.3433
2020-06-22,60.408
2020-06-23,61.0733
2020-06-24,59.1621
2020-06-25,60.0494
2020-06-26,58.6787
2020-06-27,58.6787
2020-06-28,58.6787
2020-06-29,60.3962
2020-06-30,60.5356
2020-07-01,59.2408
2020-07-02,59.2908
2020-07-03,59.2908
2020-07-04,59.2908
2020-07-05,59.2908
2020-07-06,59.4966
2020-07-07,56.7162
2020-07-08,57.591
2020-07-09,58.3395
2020-07-10,56.647
2020-07-11,56.647
2020-07-12,56.647
2020-07-13,52.4496
2020-07-14,52.1167
2020-07-15,56.1214
2020-07-16,57.0504
2020-07-17,58.7282
2020-07-18,58.7282
2020-07-19,58.7282
2020-07-20,59.7249
2020-07-21,60.3272
2020-07-22,59.2016
2020-07-23,58.4463
2020-07-24,58.2323
2020-07-25,58.2323
2020-07-26,58.2323
2020-07-27,60.1926
2020-07-28,57.1372
2020-07-29,59.6843
2020-07-30,57.6911
2020-07-31,56.7704
2020-08-01,56.7704
2020-08-02,56.7704
2020-08-03,57.7675
2020-08-04,56.7263
2020-08-05,57.8202
2020-08-06,56.2343
2020-08-07,54.8479
2020-08-08,54.8479
2020-08-09,54.8479
2020-08-10,52.5153
2020-08-11,52.3534
2020-08-12,53.0769
2020-08-13,54.7044
2020-08-14,52.7912
2020-08-15,52.7912
2020-08-16,52.7912
2020-08-17,54.0806
2020-08-18,54.1304
2020-08-19,53.3713
2020-08-20,54.3559
2020-08-21,53.8355
2020-08-22,53.8355
2020-08-23,53.8355
2020-08-24,54.529
2020-08-25,55.6217
2020-08-26,56.8781
2020-08-27,57.1415
2020-08-28,58.3859
2020-08-29,58.3859
2020-08-30,58.3859
2020-08-31,55.9934
2020-09-01,57.3016
2020-09-02,59.7437
2020-09-03,53.1683
2020-09-04,50.6672
2020-09-05,50.6672
2020-09-06,50.6672
2020-09-07,50.6672
2020-09-08,49.262
2020-09-09,51.6294
2020-09-10,52.3346
2020-09-11,50.8581
2020-09-12,50.8581
2020-09-13,50.8581
2020-09-14,52.2077
2020-09-15,53.5021
2020-09-16,54.0402
2020-09-17,52.5852
2020-09-18,52.4092
2020-09-19,52.4092
2020-09-20,52.4092
2020-09-21,51.86
2020-09-22,53.5077
2020-09-23,50.779
2020-09-24,49.6918
2020-09-25,51.1774
2020-09-26,51.1774
2020-09-27,51.1774
2020-09-28,52.2588
2020-09-29,52.1821
2020-09-30,52.3785
2020-10-01,54.3593
2020-10-02,52.3842
2020-10-03,52.3842
2020-10-04,52.3842
2020-10-05,53.5348
2020-10-06,53.7619
2020-10-07,56.2452
2020-10-08,57.1511
2020-10-09,58.5856
2020-10-10,58.5856
2020-10-11,58.5856
2020-10-12,60.1823
2020-10-13,60.4244
2020-10-14,59.373
2020-10-15,60.3954
2020-10-16,57.1083
2020-10-17,57.1083
2020-10-18,57.1083
2020-10-19,54.4739
2020-10-20,51.6857
2020-10-21,52.9318
2020-10-22,57.5843
2020-10-23,51.0606
2020-10-24,51.0606
2020-10-25,51.0606
2020-10-26,46.4172
2020-10-27,45.5731
2020-10-28,42.6127
2020-10-29,42.3988
2020-10-30,40.9851
2020-10-31,40.9851
2020-11-01,40.9851
2020-11-02,40.9244
2020-11-03,45.2552
2020-11-04,49.749
