,CVI US Equity
,RSI_30D
2020-01-01,43.1164
2020-01-02,43.8354
2020-01-03,43.1232
2020-01-04,43.1232
2020-01-05,43.1232
2020-01-06,42.2647
2020-01-07,44.6994
2020-01-08,42.6871
2020-01-09,44.3504
2020-01-10,43.7396
2020-01-11,43.7396
2020-01-12,43.7396
2020-01-13,44.0188
2020-01-14,41.6663
2020-01-15,39.4834
2020-01-16,38.1671
2020-01-17,35.9648
2020-01-18,35.9648
2020-01-19,35.9648
2020-01-20,35.9648
2020-01-21,35.1685
2020-01-22,35.4374
2020-01-23,34.1435
2020-01-24,33.2664
2020-01-25,33.2664
2020-01-26,33.2664
2020-01-27,30.1677
2020-01-28,32.9682
2020-01-29,31.3728
2020-01-30,33.9819
2020-01-31,32.5114
2020-02-01,32.5114
2020-02-02,32.5114
2020-02-03,31.7091
2020-02-04,30.6266
2020-02-05,34.7651
2020-02-06,32.6661
2020-02-07,33.7719
2020-02-08,33.7719
2020-02-09,33.7719
2020-02-10,37.3588
2020-02-11,38.2709
2020-02-12,37.2879
2020-02-13,36.1669
2020-02-14,35.4469
2020-02-15,35.4469
2020-02-16,35.4469
2020-02-17,35.4469
2020-02-18,34.129
2020-02-19,37.91
2020-02-20,41.1819
2020-02-21,39.7221
2020-02-22,39.7221
2020-02-23,39.7221
2020-02-24,36.366
2020-02-25,34.0225
2020-02-26,31.08
2020-02-27,29.9847
2020-02-28,29.7103
2020-02-29,29.7103
2020-03-01,29.7103
2020-03-02,28.8588
2020-03-03,27.2866
2020-03-04,26.4332
2020-03-05,24.1187
2020-03-06,23.835
2020-03-07,23.835
2020-03-08,23.835
2020-03-09,20.4205
2020-03-10,19.9801
2020-03-11,18.3033
2020-03-12,15.8197
2020-03-13,31.2042
2020-03-14,31.2042
2020-03-15,31.2042
2020-03-16,28.4474
2020-03-17,31.7939
2020-03-18,31.2795
2020-03-19,33.1094
2020-03-20,33.7109
2020-03-21,33.7109
2020-03-22,33.7109
2020-03-23,30.0918
2020-03-24,29.0836
2020-03-25,29.4299
2020-03-26,33.285
2020-03-27,31.1946
2020-03-28,31.1946
2020-03-29,31.1946
2020-03-30,32.3093
2020-03-31,33.9593
2020-04-01,32.1126
2020-04-02,32.0259
2020-04-03,31.7402
2020-04-04,31.7402
2020-04-05,31.7402
2020-04-06,35.5544
2020-04-07,38.2231
2020-04-08,40.6027
2020-04-09,39.6309
2020-04-10,39.6309
2020-04-11,39.6309
2020-04-12,39.6309
2020-04-13,40.3144
2020-04-14,40.783
2020-04-15,39.0694
2020-04-16,37.6978
2020-04-17,41.7421
2020-04-18,41.7421
2020-04-19,41.7421
2020-04-20,41.8505
2020-04-21,40.9436
2020-04-22,40.864
2020-04-23,43.7149
2020-04-24,43.2012
2020-04-25,43.2012
2020-04-26,43.2012
2020-04-27,46.4895
2020-04-28,47.9288
2020-04-29,51.4508
2020-04-30,51.7744
2020-05-01,46.7965
2020-05-02,46.7965
2020-05-03,46.7965
2020-05-04,49.597
2020-05-05,48.1204
2020-05-06,46.7236
2020-05-07,46.1359
2020-05-08,49.1898
2020-05-09,49.1898
2020-05-10,49.1898
2020-05-11,48.0708
2020-05-12,47.9389
2020-05-13,45.9677
2020-05-14,45.4137
2020-05-15,44.6988
2020-05-16,44.6988
2020-05-17,44.6988
2020-05-18,49.5144
2020-05-19,47.5733
2020-05-20,49.1593
2020-05-21,48.4467
2020-05-22,48.8709
2020-05-23,48.8709
2020-05-24,48.8709
2020-05-25,48.8709
2020-05-26,50.9887
2020-05-27,51.3832
2020-05-28,49.3292
2020-05-29,48.1972
2020-05-30,48.1972
2020-05-31,48.1972
2020-06-01,48.6437
2020-06-02,49.9146
2020-06-03,51.2471
2020-06-04,49.9253
2020-06-05,54.6392
2020-06-06,54.6392
2020-06-07,54.6392
2020-06-08,55.3589
2020-06-09,53.3917
2020-06-10,51.2673
2020-06-11,46.8931
2020-06-12,48.2266
2020-06-13,48.2266
2020-06-14,48.2266
2020-06-15,49.0179
2020-06-16,50.5962
2020-06-17,48.3592
2020-06-18,50.8882
2020-06-19,51.0422
2020-06-20,51.0422
2020-06-21,51.0422
2020-06-22,50.8114
2020-06-23,49.9108
2020-06-24,46.1933
2020-06-25,46.3503
