,JWN US Equity
,RSI_30D
2020-01-01,60.7828
2020-01-02,58.179
2020-01-03,57.4648
2020-01-04,57.4648
2020-01-05,57.4648
2020-01-06,59.9005
2020-01-07,61.969
2020-01-08,62.268
2020-01-09,62.3904
2020-01-10,60.8591
2020-01-11,60.8591
2020-01-12,60.8591
2020-01-13,60.5856
2020-01-14,59.993
2020-01-15,56.3378
2020-01-16,56.5388
2020-01-17,56.0383
2020-01-18,56.0383
2020-01-19,56.0383
2020-01-20,56.0383
2020-01-21,53.8994
2020-01-22,54.4254
2020-01-23,52.6589
2020-01-24,50.5529
2020-01-25,50.5529
2020-01-26,50.5529
2020-01-27,49.3641
2020-01-28,50.0803
2020-01-29,50.112
2020-01-30,50.5994
2020-01-31,45.0998
2020-02-01,45.0998
2020-02-02,45.0998
2020-02-03,47.262
2020-02-04,49.6847
2020-02-05,55.5361
2020-02-06,53.5382
2020-02-07,48.9936
2020-02-08,48.9936
2020-02-09,48.9936
2020-02-10,48.4333
2020-02-11,50.019
2020-02-12,53.1275
2020-02-13,52.2529
2020-02-14,54.389
2020-02-15,54.389
2020-02-16,54.389
2020-02-17,54.389
2020-02-18,53.4612
2020-02-19,54.8378
2020-02-20,56.156
2020-02-21,54.5673
2020-02-22,54.5673
2020-02-23,54.5673
2020-02-24,50.2883
2020-02-25,45.2183
2020-02-26,44.3236
2020-02-27,41.6064
2020-02-28,40.9476
2020-02-29,40.9476
2020-03-01,40.9476
2020-03-02,40.4025
2020-03-03,38.5448
2020-03-04,37.5248
2020-03-05,32.0294
2020-03-06,31.5796
2020-03-07,31.5796
2020-03-08,31.5796
2020-03-09,29.137
2020-03-10,30.0891
2020-03-11,26.5386
2020-03-12,22.7902
2020-03-13,27.1747
2020-03-14,27.1747
2020-03-15,27.1747
2020-03-16,23.6064
2020-03-17,27.0521
2020-03-18,29.2946
2020-03-19,32.3756
2020-03-20,29.364
2020-03-21,29.364
2020-03-22,29.364
2020-03-23,27.6012
2020-03-24,33.0524
2020-03-25,32.7927
2020-03-26,32.502
2020-03-27,30.8559
2020-03-28,30.8559
2020-03-29,30.8559
2020-03-30,30.6635
2020-03-31,30.2896
2020-04-01,28.6084
2020-04-02,28.5205
2020-04-03,28.4138
2020-04-04,28.4138
2020-04-05,28.4138
2020-04-06,34.5513
2020-04-07,37.775
2020-04-08,39.3864
2020-04-09,43.0719
2020-04-10,43.0719
2020-04-11,43.0719
2020-04-12,43.0719
2020-04-13,42.0682
2020-04-14,41.6235
2020-04-15,39.5183
2020-04-16,38.4592
2020-04-17,41.1512
2020-04-18,41.1512
2020-04-19,41.1512
2020-04-20,39.6296
2020-04-21,38.865
2020-04-22,38.481
2020-04-23,40.5406
2020-04-24,41.0427
2020-04-25,41.0427
2020-04-26,41.0427
2020-04-27,44.9387
