,EIX US Equity
,RSI_30D
2020-01-01,58.4615
2020-01-02,56.0027
2020-01-03,56.7337
2020-01-04,56.7337
2020-01-05,56.7337
2020-01-06,57.3748
2020-01-07,58.6954
2020-01-08,58.3878
2020-01-09,59.1264
2020-01-10,57.4389
2020-01-11,57.4389
2020-01-12,57.4389
2020-01-13,57.0964
2020-01-14,56.1901
2020-01-15,59.8724
2020-01-16,58.8755
2020-01-17,59.6273
2020-01-18,59.6273
2020-01-19,59.6273
2020-01-20,59.6273
2020-01-21,61.863
2020-01-22,58.7937
2020-01-23,59.9223
2020-01-24,57.8854
2020-01-25,57.8854
2020-01-26,57.8854
2020-01-27,56.0673
2020-01-28,57.2223
2020-01-29,57.5743
2020-01-30,56.7424
2020-01-31,56.416
2020-02-01,56.416
2020-02-02,56.416
2020-02-03,58.69
2020-02-04,53.0417
2020-02-05,56.7027
2020-02-06,54.256
2020-02-07,55.6088
2020-02-08,55.6088
2020-02-09,55.6088
2020-02-10,57.7912
2020-02-11,57.3055
2020-02-12,56.0863
2020-02-13,55.7672
2020-02-14,55.1924
2020-02-15,55.1924
2020-02-16,55.1924
2020-02-17,55.1924
2020-02-18,55.1413
2020-02-19,53.9018
2020-02-20,55.372
2020-02-21,55.9068
2020-02-22,55.9068
2020-02-23,55.9068
2020-02-24,52.6436
2020-02-25,49.6684
2020-02-26,47.9285
2020-02-27,40.2394
2020-02-28,35.7657
2020-02-29,35.7657
2020-03-01,35.7657
2020-03-02,42.7579
2020-03-03,39.8063
2020-03-04,43.324
2020-03-05,41.763
2020-03-06,39.9255
2020-03-07,39.9255
2020-03-08,39.9255
2020-03-09,33.6391
2020-03-10,37.3664
2020-03-11,33.5664
2020-03-12,28.3188
2020-03-13,29.5961
2020-03-14,29.5961
2020-03-15,29.5961
2020-03-16,25.5226
2020-03-17,32.5679
2020-03-18,31.208
2020-03-19,31.0461
2020-03-20,29.9555
2020-03-21,29.9555
2020-03-22,29.9555
2020-03-23,28.6461
2020-03-24,35.8224
2020-03-25,39.487
2020-03-26,43.2942
2020-03-27,41.651
2020-03-28,41.651
2020-03-29,41.651
2020-03-30,43.1632
2020-03-31,42.083
2020-04-01,39.7026
2020-04-02,39.9621
2020-04-03,38.5304
2020-04-04,38.5304
2020-04-05,38.5304
2020-04-06,42.2859
2020-04-07,43.0976
