,STC US Equity
,RSI_30D
2020-01-01,52.2861
2020-01-02,52.1438
2020-01-03,53.155
2020-01-04,53.155
2020-01-05,53.155
2020-01-06,54.5796
2020-01-07,51.3949
2020-01-08,51.7534
2020-01-09,51.6057
2020-01-10,51.555
2020-01-11,51.555
2020-01-12,51.555
2020-01-13,52.2826
2020-01-14,52.9166
2020-01-15,50.8211
2020-01-16,52.2262
2020-01-17,51.6267
2020-01-18,51.6267
2020-01-19,51.6267
2020-01-20,51.6267
2020-01-21,51.3496
2020-01-22,51.3496
2020-01-23,53.8422
2020-01-24,55.7868
2020-01-25,55.7868
2020-01-26,55.7868
2020-01-27,57.0351
2020-01-28,58.3453
2020-01-29,56.9341
2020-01-30,59.0309
2020-01-31,55.3161
2020-02-01,55.3161
2020-02-02,55.3161
2020-02-03,58.2598
2020-02-04,57.1219
2020-02-05,61.0938
2020-02-06,49.4058
2020-02-07,45.4579
2020-02-08,45.4579
2020-02-09,45.4579
2020-02-10,44.2276
2020-02-11,45.7466
2020-02-12,49.7513
2020-02-13,48.6996
2020-02-14,48.9389
2020-02-15,48.9389
2020-02-16,48.9389
2020-02-17,48.9389
2020-02-18,47.0835
2020-02-19,47.4619
2020-02-20,47.3452
2020-02-21,48.2236
2020-02-22,48.2236
2020-02-23,48.2236
2020-02-24,46.9278
2020-02-25,44.7137
2020-02-26,41.3174
2020-02-27,36.7457
2020-02-28,34.7813
2020-02-29,34.7813
2020-03-01,34.7813
2020-03-02,43.7416
2020-03-03,40.5653
2020-03-04,45.2644
2020-03-05,44.6204
2020-03-06,43.5781
2020-03-07,43.5781
2020-03-08,43.5781
2020-03-09,36.1617
2020-03-10,35.5194
2020-03-11,32.823
2020-03-12,27.295
2020-03-13,39.8111
2020-03-14,39.8111
2020-03-15,39.8111
2020-03-16,31.2807
2020-03-17,29.8884
2020-03-18,27.1682
2020-03-19,31.2252
2020-03-20,31.381
2020-03-21,31.381
2020-03-22,31.381
2020-03-23,30.8922
2020-03-24,35.6357
2020-03-25,36.8697
2020-03-26,39.0047
2020-03-27,37.889
2020-03-28,37.889
2020-03-29,37.889
2020-03-30,38.6262
2020-03-31,38.718
2020-04-01,36.2931
2020-04-02,36.2387
2020-04-03,35.2556
2020-04-04,35.2556
2020-04-05,35.2556
2020-04-06,38.8589
2020-04-07,38.8775
2020-04-08,42.9568
2020-04-09,45.5881
2020-04-10,45.5881
2020-04-11,45.5881
2020-04-12,45.5881
2020-04-13,44.7026
2020-04-14,44.2047
2020-04-15,43.447
2020-04-16,42.9842
2020-04-17,46.2585
2020-04-18,46.2585
2020-04-19,46.2585
2020-04-20,44.7592
2020-04-21,44.2415
2020-04-22,45.1986
2020-04-23,46.8925
2020-04-24,47.1885
2020-04-25,47.1885
2020-04-26,47.1885
2020-04-27,47.9301
2020-04-28,48.8848
2020-04-29,50.9852
2020-04-30,51.257
2020-05-01,49.2786
2020-05-02,49.2786
2020-05-03,49.2786
2020-05-04,49.6199
2020-05-05,45.7642
2020-05-06,43.3119
2020-05-07,45.0055
2020-05-08,47.2168
2020-05-09,47.2168
2020-05-10,47.2168
2020-05-11,46.4565
2020-05-12,44.629
2020-05-13,43.2855
2020-05-14,46.5934
2020-05-15,47.4786
2020-05-16,47.4786
2020-05-17,47.4786
2020-05-18,50.9441
2020-05-19,50.0486
2020-05-20,50.9569
2020-05-21,50.4223
2020-05-22,49.5889
2020-05-23,49.5889
2020-05-24,49.5889
2020-05-25,49.5889
2020-05-26,52.2426
2020-05-27,54.3919
2020-05-28,51.8868
2020-05-29,50.4614
2020-05-30,50.4614
2020-05-31,50.4614
2020-06-01,51.6532
2020-06-02,51.6354
2020-06-03,52.1316
2020-06-04,53.8869
2020-06-05,55.0189
2020-06-06,55.0189
2020-06-07,55.0189
2020-06-08,57.3425
2020-06-09,56.8092
2020-06-10,56.5581
2020-06-11,50.3588
2020-06-12,51.7275
2020-06-13,51.7275
2020-06-14,51.7275
2020-06-15,51.7963
2020-06-16,52.1663
2020-06-17,50.7838
2020-06-18,50.4381
2020-06-19,50.6697
2020-06-20,50.6697
2020-06-21,50.6697
2020-06-22,51.5863
2020-06-23,52.6513
2020-06-24,50.1608
2020-06-25,51.5631
2020-06-26,51.957
2020-06-27,51.957
2020-06-28,51.957
2020-06-29,52.6345
2020-06-30,52.7359
2020-07-01,50.4994
2020-07-02,49.9516
2020-07-03,49.9516
2020-07-04,49.9516
2020-07-05,49.9516
2020-07-06,50.9857
2020-07-07,50.3672
2020-07-08,51.8878
2020-07-09,49.71
2020-07-10,52.9482
2020-07-11,52.9482
2020-07-12,52.9482
2020-07-13,52.9246
2020-07-14,54.905
2020-07-15,56.8614
2020-07-16,57.4592
2020-07-17,58.5891
2020-07-18,58.5891
2020-07-19,58.5891
2020-07-20,58.6661
2020-07-21,60.9566
2020-07-22,61.8178
2020-07-23,63.6495
2020-07-24,61.6577
2020-07-25,61.6577
2020-07-26,61.6577
2020-07-27,68.5122
2020-07-28,66.1652
2020-07-29,67.4608
2020-07-30,66.7469
2020-07-31,66.3167
2020-08-01,66.3167
2020-08-02,66.3167
2020-08-03,66.5536
2020-08-04,66.9498
2020-08-05,68.1081
2020-08-06,67.9301
2020-08-07,69.1936
2020-08-08,69.1936
2020-08-09,69.1936
2020-08-10,69.2899
2020-08-11,66.8506
2020-08-12,60.1414
2020-08-13,58.9775
2020-08-14,57.9188
2020-08-15,57.9188
2020-08-16,57.9188
2020-08-17,58.3059
2020-08-18,59.3379
2020-08-19,59.0409
2020-08-20,60.3833
2020-08-21,61.3124
2020-08-22,61.3124
2020-08-23,61.3124
2020-08-24,62.9176
2020-08-25,62.2424
2020-08-26,60.5757
2020-08-27,61.7107
2020-08-28,61.9891
2020-08-29,61.9891
2020-08-30,61.9891
2020-08-31,61.5264
2020-09-01,65.9603
2020-09-02,64.6503
2020-09-03,61.7022
2020-09-04,61.4991
2020-09-05,61.4991
2020-09-06,61.4991
2020-09-07,61.4991
2020-09-08,63.1653
2020-09-09,64.1826
2020-09-10,62.3412
2020-09-11,61.268
2020-09-12,61.268
2020-09-13,61.268
2020-09-14,61.6689
2020-09-15,59.3392
2020-09-16,58.98
2020-09-17,59.7982
2020-09-18,57.5745
2020-09-19,57.5745
2020-09-20,57.5745
2020-09-21,53.1491
2020-09-22,54.0962
2020-09-23,52.103
2020-09-24,53.8164
2020-09-25,54.8689
2020-09-26,54.8689
2020-09-27,54.8689
2020-09-28,57.2357
2020-09-29,58.304
2020-09-30,58.1273
2020-10-01,59.5845
2020-10-02,63.0015
2020-10-03,63.0015
2020-10-04,63.0015
2020-10-05,65.2185
2020-10-06,65.418
2020-10-07,65.1924
2020-10-08,61.377
2020-10-09,60.388
2020-10-10,60.388
2020-10-11,60.388
2020-10-12,60.9015
