,MA US Equity
,RSI_30D
2020-01-01,62.5557
2020-01-02,65.2282
2020-01-03,62.3876
2020-01-04,62.3876
2020-01-05,62.3876
2020-01-06,62.84
2020-01-07,61.8586
2020-01-08,64.8111
2020-01-09,66.8202
2020-01-10,67.8043
2020-01-11,67.8043
2020-01-12,67.8043
2020-01-13,69.6233
2020-01-14,65.3057
2020-01-15,66.9791
2020-01-16,69.5272
2020-01-17,70.8208
2020-01-18,70.8208
2020-01-19,70.8208
2020-01-20,70.8208
2020-01-21,69.2549
2020-01-22,70.1928
2020-01-23,70.4553
2020-01-24,69.2223
2020-01-25,69.2223
2020-01-26,69.2223
2020-01-27,62.4088
2020-01-28,64.4696
2020-01-29,64.492
2020-01-30,66.3093
2020-01-31,59.7942
2020-02-01,59.7942
2020-02-02,59.7942
2020-02-03,63.5274
2020-02-04,65.3137
2020-02-05,64.7432
2020-02-06,65.1292
2020-02-07,63.443
2020-02-08,63.443
2020-02-09,63.443
2020-02-10,64.7879
2020-02-11,65.0474
2020-02-12,66.3466
2020-02-13,67.0044
2020-02-14,68.9163
2020-02-15,68.9163
2020-02-16,68.9163
2020-02-17,68.9163
2020-02-18,69.0217
2020-02-19,70.2175
2020-02-20,70.1247
2020-02-21,66.2164
2020-02-22,66.2164
2020-02-23,66.2164
2020-02-24,56.0
2020-02-25,45.4808
2020-02-26,43.5944
2020-02-27,39.3414
2020-02-28,41.4824
2020-02-29,41.4824
2020-03-01,41.4824
2020-03-02,48.4841
2020-03-03,43.6541
2020-03-04,47.4597
2020-03-05,44.008
2020-03-06,42.9738
2020-03-07,42.9738
2020-03-08,42.9738
2020-03-09,36.9389
2020-03-10,43.078
2020-03-11,40.6912
2020-03-12,35.3885
2020-03-13,43.1238
2020-03-14,43.1238
2020-03-15,43.1238
2020-03-16,37.5231
2020-03-17,38.0631
2020-03-18,36.6027
2020-03-19,36.4892
2020-03-20,34.2714
2020-03-21,34.2714
2020-03-22,34.2714
2020-03-23,33.194
2020-03-24,41.1529
2020-03-25,45.0457
2020-03-26,46.3138
2020-03-27,43.8855
2020-03-28,43.8855
2020-03-29,43.8855
2020-03-30,44.962
2020-03-31,43.1735
2020-04-01,41.2912
2020-04-02,43.3186
2020-04-03,43.0416
2020-04-04,43.0416
2020-04-05,43.0416
2020-04-06,48.3774
2020-04-07,47.29
2020-04-08,49.3979
2020-04-09,49.1411
2020-04-10,49.1411
2020-04-11,49.1411
2020-04-12,49.1411
2020-04-13,48.1291
2020-04-14,49.4408
2020-04-15,47.1701
2020-04-16,45.5172
2020-04-17,47.9199
2020-04-18,47.9199
2020-04-19,47.9199
2020-04-20,46.594
2020-04-21,45.5837
2020-04-22,47.7088
2020-04-23,47.5344
2020-04-24,48.0768
2020-04-25,48.0768
2020-04-26,48.0768
2020-04-27,49.2667
2020-04-28,49.1714
2020-04-29,52.6502
2020-04-30,51.0008
2020-05-01,49.8466
2020-05-02,49.8466
2020-05-03,49.8466
2020-05-04,49.9444
2020-05-05,50.8446
2020-05-06,50.5378
2020-05-07,51.7177
2020-05-08,52.4896
2020-05-09,52.4896
2020-05-10,52.4896
2020-05-11,52.2263
2020-05-12,50.2609
2020-05-13,49.6358
2020-05-14,51.3644
2020-05-15,51.7074
2020-05-16,51.7074
2020-05-17,51.7074
2020-05-18,53.9652
2020-05-19,54.1332
2020-05-20,55.7571
2020-05-21,54.6314
2020-05-22,54.7667
2020-05-23,54.7667
2020-05-24,54.7667
2020-05-25,54.7667
2020-05-26,56.5044
2020-05-27,55.5706
2020-05-28,56.1039
2020-05-29,55.7184
2020-05-30,55.7184
2020-05-31,55.7184
2020-06-01,55.8319
2020-06-02,56.3295
2020-06-03,57.1235
2020-06-04,55.4163
2020-06-05,57.8208
2020-06-06,57.8208
2020-06-07,57.8208
2020-06-08,57.3731
2020-06-09,57.6225
2020-06-10,58.0131
2020-06-11,51.531
2020-06-12,53.1483
2020-06-13,53.1483
2020-06-14,53.1483
2020-06-15,52.9749
2020-06-16,54.774
2020-06-17,54.5613
2020-06-18,54.836
2020-06-19,52.3294
2020-06-20,52.3294
2020-06-21,52.3294
2020-06-22,54.3807
2020-06-23,54.9963
2020-06-24,51.2244
2020-06-25,52.2767
2020-06-26,49.8644
2020-06-27,49.8644
2020-06-28,49.8644
2020-06-29,50.8362
2020-06-30,51.5853
2020-07-01,53.0466
2020-07-02,53.3793
2020-07-03,53.3793
2020-07-04,53.3793
2020-07-05,53.3793
2020-07-06,54.2248
2020-07-07,52.4565
2020-07-08,52.6374
2020-07-09,50.897
2020-07-10,51.224
2020-07-11,51.224
2020-07-12,51.224
2020-07-13,49.5028
2020-07-14,52.1547
2020-07-15,54.0805
2020-07-16,52.0416
2020-07-17,53.3859
2020-07-18,53.3859
2020-07-19,53.3859
2020-07-20,55.5477
2020-07-21,54.1148
2020-07-22,55.68
2020-07-23,54.523
2020-07-24,53.5347
2020-07-25,53.5347
2020-07-26,53.5347
2020-07-27,54.0951
2020-07-28,53.229
2020-07-29,54.121
2020-07-30,54.0134
2020-07-31,53.8398
2020-08-01,53.8398
2020-08-02,53.8398
2020-08-03,55.1281
2020-08-04,55.6953
2020-08-05,59.6811
2020-08-06,60.2626
2020-08-07,59.3849
2020-08-08,59.3849
2020-08-09,59.3849
2020-08-10,57.292
2020-08-11,58.9404
2020-08-12,58.5644
2020-08-13,57.9592
2020-08-14,58.1488
2020-08-15,58.1488
2020-08-16,58.1488
2020-08-17,59.2182
2020-08-18,59.4588
2020-08-19,59.9037
2020-08-20,61.4419
2020-08-21,61.3331
2020-08-22,61.3331
2020-08-23,61.3331
2020-08-24,63.3308
2020-08-25,64.4971
2020-08-26,65.4473
2020-08-27,66.8094
2020-08-28,69.3494
2020-08-29,69.3494
2020-08-30,69.3494
2020-08-31,65.2986
2020-09-01,64.663
2020-09-02,65.681
2020-09-03,58.0107
2020-09-04,54.5587
2020-09-05,54.5587
2020-09-06,54.5587
2020-09-07,54.5587
2020-09-08,52.6749
2020-09-09,55.6863
2020-09-10,53.2581
2020-09-11,52.3053
2020-09-12,52.3053
2020-09-13,52.3053
2020-09-14,54.8895
2020-09-15,55.0505
2020-09-16,55.8682
2020-09-17,54.9449
2020-09-18,53.3724
2020-09-19,53.3724
2020-09-20,53.3724
2020-09-21,50.7048
2020-09-22,53.1438
2020-09-23,49.4839
2020-09-24,50.6833
2020-09-25,51.831
2020-09-26,51.831
2020-09-27,51.831
2020-09-28,53.8866
2020-09-29,53.1203
2020-09-30,53.7316
2020-10-01,55.3463
2020-10-02,53.6551
2020-10-03,53.6551
2020-10-04,53.6551
2020-10-05,55.0388
2020-10-06,52.888
2020-10-07,54.9141
2020-10-08,55.4205
2020-10-09,57.583
2020-10-10,57.583
2020-10-11,57.583
2020-10-12,57.4437
2020-10-13,55.0044
2020-10-14,53.8073
2020-10-15,52.2597
2020-10-16,52.5435
2020-10-17,52.5435
2020-10-18,52.5435
2020-10-19,49.6975
2020-10-20,49.7158
2020-10-21,50.3485
2020-10-22,50.4168
2020-10-23,48.8743
2020-10-24,48.8743
2020-10-25,48.8743
2020-10-26,44.7724
2020-10-27,44.455
2020-10-28,37.0871
2020-10-29,37.8327
2020-10-30,36.6979
2020-10-31,36.6979
2020-11-01,36.6979
