,TOWN US Equity
,RSI_30D
2020-01-01,49.244
2020-01-02,49.0434
2020-01-03,47.1554
2020-01-04,47.1554
2020-01-05,47.1554
2020-01-06,46.4736
2020-01-07,44.6604
2020-01-08,47.9758
2020-01-09,49.59
2020-01-10,48.5839
2020-01-11,48.5839
2020-01-12,48.5839
2020-01-13,51.0006
2020-01-14,49.3663
2020-01-15,48.0716
2020-01-16,51.1313
2020-01-17,51.913
2020-01-18,51.913
2020-01-19,51.913
2020-01-20,51.913
2020-01-21,49.0712
2020-01-22,50.0808
2020-01-23,50.2847
2020-01-24,47.2875
2020-01-25,47.2875
2020-01-26,47.2875
2020-01-27,45.691
2020-01-28,45.2264
2020-01-29,42.5416
2020-01-30,44.4739
2020-01-31,39.1114
2020-02-01,39.1114
2020-02-02,39.1114
2020-02-03,42.7861
2020-02-04,46.2399
2020-02-05,52.5795
2020-02-06,49.8585
2020-02-07,48.7831
2020-02-08,48.7831
2020-02-09,48.7831
2020-02-10,48.7831
2020-02-11,49.6954
2020-02-12,50.196
2020-02-13,51.8482
2020-02-14,48.5961
2020-02-15,48.5961
2020-02-16,48.5961
2020-02-17,48.5961
2020-02-18,48.5154
2020-02-19,48.5154
2020-02-20,50.1974
2020-02-21,48.4729
2020-02-22,48.4729
2020-02-23,48.4729
2020-02-24,42.6391
2020-02-25,37.1176
2020-02-26,36.1696
2020-02-27,31.7024
2020-02-28,26.1367
2020-02-29,26.1367
2020-03-01,26.1367
2020-03-02,35.8882
2020-03-03,33.7552
2020-03-04,36.6453
2020-03-05,32.9298
2020-03-06,31.996
2020-03-07,31.996
2020-03-08,31.996
2020-03-09,27.7259
2020-03-10,31.4442
2020-03-11,28.6489
2020-03-12,25.2857
2020-03-13,32.6682
2020-03-14,32.6682
2020-03-15,32.6682
2020-03-16,29.1931
2020-03-17,39.0057
2020-03-18,33.2169
2020-03-19,35.3125
2020-03-20,32.6833
2020-03-21,32.6833
2020-03-22,32.6833
2020-03-23,30.9148
2020-03-24,35.4658
2020-03-25,34.7988
2020-03-26,38.2682
2020-03-27,36.8043
2020-03-28,36.8043
2020-03-29,36.8043
2020-03-30,38.4797
2020-03-31,39.6435
2020-04-01,38.2784
2020-04-02,38.9415
2020-04-03,38.0121
2020-04-04,38.0121
2020-04-05,38.0121
2020-04-06,41.2307
2020-04-07,41.8452
2020-04-08,42.7229
2020-04-09,47.7604
2020-04-10,47.7604
2020-04-11,47.7604
2020-04-12,47.7604
2020-04-13,45.6255
2020-04-14,44.914
2020-04-15,42.3649
2020-04-16,41.0719
2020-04-17,43.6907
2020-04-18,43.6907
2020-04-19,43.6907
2020-04-20,43.289
2020-04-21,42.918
2020-04-22,42.3731
2020-04-23,43.6989
2020-04-24,44.1843
2020-04-25,44.1843
2020-04-26,44.1843
2020-04-27,47.603
2020-04-28,49.0657
2020-04-29,51.0191
2020-04-30,48.6244
2020-05-01,46.6326
2020-05-02,46.6326
2020-05-03,46.6326
2020-05-04,46.1387
2020-05-05,44.3177
2020-05-06,43.354
2020-05-07,43.5871
2020-05-08,45.4449
2020-05-09,45.4449
2020-05-10,45.4449
2020-05-11,43.9276
2020-05-12,42.1144
2020-05-13,40.8865
2020-05-14,41.0532
2020-05-15,41.4234
2020-05-16,41.4234
2020-05-17,41.4234
2020-05-18,46.1343
2020-05-19,43.6837
2020-05-20,45.9007
2020-05-21,45.7736
2020-05-22,45.3192
2020-05-23,45.3192
2020-05-24,45.3192
2020-05-25,45.3192
2020-05-26,48.3021
2020-05-27,51.0636
2020-05-28,50.2402
2020-05-29,48.6854
2020-05-30,48.6854
2020-05-31,48.6854
2020-06-01,47.9071
2020-06-02,47.6061
2020-06-03,50.1248
2020-06-04,50.3692
2020-06-05,54.0706
2020-06-06,54.0706
2020-06-07,54.0706
2020-06-08,54.3144
2020-06-09,54.0715
2020-06-10,51.2267
2020-06-11,46.8365
2020-06-12,47.1389
2020-06-13,47.1389
2020-06-14,47.1389
2020-06-15,47.4736
2020-06-16,49.6313
2020-06-17,48.1625
2020-06-18,48.9062
2020-06-19,47.9733
2020-06-20,47.9733
2020-06-21,47.9733
2020-06-22,48.0542
2020-06-23,47.3683
2020-06-24,45.5018
2020-06-25,47.6363
2020-06-26,46.1891
2020-06-27,46.1891
2020-06-28,46.1891
2020-06-29,48.8757
2020-06-30,49.7144
2020-07-01,47.8292
2020-07-02,47.3136
2020-07-03,47.3136
2020-07-04,47.3136
2020-07-05,47.3136
2020-07-06,47.2741
2020-07-07,45.7578
2020-07-08,45.3004
2020-07-09,43.912
2020-07-10,47.1386
2020-07-11,47.1386
2020-07-12,47.1386
2020-07-13,47.8913
2020-07-14,47.3335
2020-07-15,49.7839
2020-07-16,49.519
2020-07-17,48.3658
2020-07-18,48.3658
2020-07-19,48.3658
2020-07-20,46.9447
2020-07-21,49.3633
2020-07-22,48.1829
2020-07-23,50.9148
2020-07-24,49.2437
2020-07-25,49.2437
2020-07-26,49.2437
2020-07-27,48.1918
2020-07-28,47.8686
2020-07-29,49.2763
2020-07-30,48.4458
2020-07-31,47.4952
2020-08-01,47.4952
2020-08-02,47.4952
2020-08-03,47.9384
2020-08-04,47.7779
2020-08-05,49.0826
2020-08-06,49.7495
2020-08-07,52.5896
2020-08-08,52.5896
2020-08-09,52.5896
2020-08-10,53.4642
2020-08-11,54.3672
2020-08-12,53.7887
2020-08-13,53.0108
2020-08-14,53.2903
2020-08-15,53.2903
2020-08-16,53.2903
2020-08-17,52.2848
2020-08-18,50.2071
2020-08-19,49.7059
2020-08-20,48.4737
2020-08-21,47.559
2020-08-22,47.559
2020-08-23,47.559
2020-08-24,49.3709
2020-08-25,50.6927
2020-08-26,48.4333
2020-08-27,49.8531
2020-08-28,48.9763
2020-08-29,48.9763
2020-08-30,48.9763
2020-08-31,46.9197
2020-09-01,46.6901
2020-09-02,47.0475
2020-09-03,47.4122
2020-09-04,48.803
2020-09-05,48.803
2020-09-06,48.803
2020-09-07,48.803
2020-09-08,46.173
2020-09-09,45.2591
2020-09-10,45.2188
2020-09-11,44.0436
2020-09-12,44.0436
2020-09-13,44.0436
2020-09-14,45.8994
2020-09-15,44.2974
2020-09-16,44.6051
2020-09-17,44.7104
2020-09-18,44.189
2020-09-19,44.189
2020-09-20,44.189
2020-09-21,40.2993
2020-09-22,39.7339
2020-09-23,38.686
2020-09-24,40.4275
2020-09-25,41.0624
2020-09-26,41.0624
2020-09-27,41.0624
2020-09-28,44.511
2020-09-29,44.0329
2020-09-30,44.8133
2020-10-01,45.598
2020-10-02,49.1759
2020-10-03,49.1759
2020-10-04,49.1759
2020-10-05,51.3969
2020-10-06,52.1184
2020-10-07,53.9114
2020-10-08,55.543
2020-10-09,54.0047
2020-10-10,54.0047
2020-10-11,54.0047
2020-10-12,56.413
2020-10-13,52.6133
2020-10-14,50.8896
2020-10-15,52.231
2020-10-16,52.3239
2020-10-17,52.3239
2020-10-18,52.3239
2020-10-19,51.6998
2020-10-20,52.9103
2020-10-21,54.193
2020-10-22,55.8516
2020-10-23,56.0801
2020-10-24,56.0801
2020-10-25,56.0801
2020-10-26,53.2301
2020-10-27,51.6551
2020-10-28,49.5626
2020-10-29,50.4452
2020-10-30,52.1766
2020-10-31,52.1766
2020-11-01,52.1766
2020-11-02,53.5109
2020-11-03,56.5314
2020-11-04,48.7224
2020-11-05,51.1112
2020-11-06,48.846
2020-11-07,48.846
2020-11-08,48.846
2020-11-09,56.7404
2020-11-10,61.1136
2020-11-11,60.1459
2020-11-12,57.615
2020-11-13,59.123
2020-11-14,59.123
2020-11-15,59.123
2020-11-16,63.6455
2020-11-17,63.4308
2020-11-18,61.6654
2020-11-19,61.6923
2020-11-20,60.1851
2020-11-21,60.1851
2020-11-22,60.1851
2020-11-23,60.7458
2020-11-24,64.7965
2020-11-25,62.2092
2020-11-26,62.2092
2020-11-27,60.3399
2020-11-28,60.3399
2020-11-29,60.3399
2020-11-30,58.1313
2020-12-01,59.3894
2020-12-02,60.3748
2020-12-03,60.8929
2020-12-04,62.7996
2020-12-05,62.7996
2020-12-06,62.7996
2020-12-07,61.5915
2020-12-08,61.5915
2020-12-09,62.0932
2020-12-10,61.4474
2020-12-11,59.838
2020-12-12,59.838
2020-12-13,59.838
2020-12-14,59.424
2020-12-15,61.8512
2020-12-16,61.1885
2020-12-17,60.6128
2020-12-18,61.5485
2020-12-19,61.5485
2020-12-20,61.5485
2020-12-21,59.2665
2020-12-22,57.0773
2020-12-23,59.2632
2020-12-24,59.6178
2020-12-25,59.6178
2020-12-26,59.6178
2020-12-27,59.6178
2020-12-28,60.8671
2020-12-29,57.6721
2020-12-30,58.0461
2020-12-31,59.2976
2021-01-01,59.2976
2021-01-02,59.2976
2021-01-03,59.2976
2021-01-04,57.5691
2021-01-05,58.643
2021-01-06,64.4652
2021-01-07,65.0426
2021-01-08,62.7881
2021-01-09,62.7881
2021-01-10,62.7881
2021-01-11,63.7828
2021-01-12,65.2508
2021-01-13,61.7216
2021-01-14,63.1775
2021-01-15,61.3998
2021-01-16,61.3998
2021-01-17,61.3998
2021-01-18,61.3998
2021-01-19,61.1715
2021-01-20,61.3203
2021-01-21,58.6248
2021-01-22,61.3235
2021-01-23,61.3235
2021-01-24,61.3235
2021-01-25,59.2136
2021-01-26,57.3461
2021-01-27,52.4149
2021-01-28,52.9882
2021-01-29,50.8984
2021-01-30,50.8984
2021-01-31,50.8984
2021-02-01,52.8562
2021-02-02,53.7596
2021-02-03,55.9893
2021-02-04,58.3955
2021-02-05,59.2595
2021-02-06,59.2595
2021-02-07,59.2595
2021-02-08,61.3362
2021-02-09,63.0011
2021-02-10,62.3072
2021-02-11,61.3462
2021-02-12,61.6521
2021-02-13,61.6521
2021-02-14,61.6521
2021-02-15,61.6521
2021-02-16,62.975
2021-02-17,61.8259
2021-02-18,61.4547
2021-02-19,63.4146
2021-02-20,63.4146
2021-02-21,63.4146
2021-02-22,65.2931
2021-02-23,65.7037
2021-02-24,67.9352
2021-02-25,65.983
2021-02-26,64.4035
2021-02-27,64.4035
2021-02-28,64.4035
2021-03-01,66.2041
2021-03-02,64.8187
2021-03-03,67.2852
2021-03-04,65.7738
2021-03-05,67.0652
2021-03-06,67.0652
2021-03-07,67.0652
2021-03-08,69.6537
2021-03-09,65.8858
2021-03-10,67.7965
2021-03-11,67.8811
2021-03-12,68.9566
2021-03-13,68.9566
2021-03-14,68.9566
2021-03-15,65.8269
2021-03-16,64.7626
2021-03-17,65.2489
2021-03-18,65.7499
2021-03-19,66.0153
2021-03-20,66.0153
2021-03-21,66.0153
2021-03-22,62.0788
2021-03-23,56.546
2021-03-24,56.8916
2021-03-25,59.3447
2021-03-26,61.2869
2021-03-27,61.2869
2021-03-28,61.2869
2021-03-29,57.4419
2021-03-30,58.7153
2021-03-31,57.8205
2021-04-01,58.6623
2021-04-02,58.6623
2021-04-03,58.6623
2021-04-04,58.6623
2021-04-05,59.4191
2021-04-06,58.3147
2021-04-07,55.7132
2021-04-08,56.1595
2021-04-09,58.2763
2021-04-10,58.2763
2021-04-11,58.2763
2021-04-12,58.5317
2021-04-13,55.6726
2021-04-14,57.4685
2021-04-15,56.9985
2021-04-16,57.5669
2021-04-17,57.5669
2021-04-18,57.5669
2021-04-19,56.9116
2021-04-20,51.6644
2021-04-21,54.0464
2021-04-22,52.3043
2021-04-23,55.4568
2021-04-24,55.4568
2021-04-25,55.4568
2021-04-26,55.2389
2021-04-27,55.2995
2021-04-28,54.0511
2021-04-29,54.787
2021-04-30,56.084
2021-05-01,56.084
2021-05-02,56.084
2021-05-03,57.7359
2021-05-04,58.4838
2021-05-05,59.4634
2021-05-06,61.1858
2021-05-07,61.2426
2021-05-08,61.2426
2021-05-09,61.2426
2021-05-10,58.2034
2021-05-11,57.308
2021-05-12,55.2158
2021-05-13,58.9377
2021-05-14,60.4399
2021-05-15,60.4399
2021-05-16,60.4399
2021-05-17,60.6925
2021-05-18,58.0102
2021-05-19,56.2152
2021-05-20,56.1743
2021-05-21,57.9454
2021-05-22,57.9454
2021-05-23,57.9454
2021-05-24,56.1838
2021-05-25,52.526
2021-05-26,53.83
2021-05-27,55.2641
2021-05-28,54.983
2021-05-29,54.983
2021-05-30,54.983
2021-05-31,54.983
2021-06-01,55.6497
2021-06-02,54.5221
2021-06-03,55.3199
2021-06-04,55.4955
2021-06-05,55.4955
2021-06-06,55.4955
2021-06-07,56.9651
2021-06-08,57.62
2021-06-09,53.4976
2021-06-10,51.3325
2021-06-11,52.0148
2021-06-12,52.0148
2021-06-13,52.0148
2021-06-14,50.4301
2021-06-15,51.7177
2021-06-16,52.8315
2021-06-17,48.8145
2021-06-18,44.9598
2021-06-19,44.9598
2021-06-20,44.9598
2021-06-21,49.1868
2021-06-22,49.1165
2021-06-23,49.601
2021-06-24,52.1734
2021-06-25,52.7011
2021-06-26,52.7011
2021-06-27,52.7011
2021-06-28,48.4948
2021-06-29,48.3186
2021-06-30,48.3962
2021-07-01,49.7989
2021-07-02,48.0354
2021-07-03,48.0354
2021-07-04,48.0354
2021-07-05,48.0354
2021-07-06,45.5166
2021-07-07,47.0144
2021-07-08,44.9418
2021-07-09,49.19
2021-07-10,49.19
2021-07-11,49.19
2021-07-12,49.5197
2021-07-13,47.9463
2021-07-14,47.5556
2021-07-15,48.8875
2021-07-16,47.4573
2021-07-17,47.4573
2021-07-18,47.4573
2021-07-19,44.5532
2021-07-20,47.482
2021-07-21,48.9155
2021-07-22,45.9133
2021-07-23,47.2083
2021-07-24,47.2083
2021-07-25,47.2083
2021-07-26,48.3374
2021-07-27,47.4623
2021-07-28,48.842
2021-07-29,49.339
2021-07-30,47.7516
2021-07-31,47.7516
2021-08-01,47.7516
2021-08-02,45.87
2021-08-03,48.0669
2021-08-04,46.7466
2021-08-05,48.5255
2021-08-06,51.853
2021-08-07,51.853
2021-08-08,51.853
2021-08-09,50.7593
2021-08-10,52.2677
2021-08-11,54.4994
2021-08-12,54.6344
2021-08-13,53.0467
2021-08-14,53.0467
2021-08-15,53.0467
2021-08-16,52.5605
2021-08-17,51.9854
2021-08-18,50.6346
2021-08-19,48.9211
2021-08-20,49.6588
2021-08-21,49.6588
2021-08-22,49.6588
2021-08-23,50.7623
2021-08-24,50.2558
2021-08-25,50.722
2021-08-26,48.2955
2021-08-27,52.12
2021-08-28,52.12
2021-08-29,52.12
2021-08-30,49.4468
2021-08-31,49.8967
2021-09-01,48.9946
2021-09-02,48.4998
2021-09-03,46.7498
2021-09-04,46.7498
2021-09-05,46.7498
2021-09-06,46.7498
2021-09-07,47.7477
2021-09-08,46.9208
2021-09-09,46.4218
2021-09-10,44.5432
2021-09-11,44.5432
2021-09-12,44.5432
2021-09-13,45.8732
2021-09-14,43.6283
2021-09-15,44.4815
2021-09-16,44.1158
2021-09-17,43.8259
2021-09-18,43.8259
2021-09-19,43.8259
2021-09-20,42.1871
2021-09-21,42.243
2021-09-22,44.8869
2021-09-23,49.4272
2021-09-24,50.2198
2021-09-25,50.2198
2021-09-26,50.2198
2021-09-27,55.5595
2021-09-28,52.2899
2021-09-29,54.3769
2021-09-30,55.1428
2021-10-01,57.5744
2021-10-02,57.5744
2021-10-03,57.5744
2021-10-04,57.5744
2021-10-05,58.1628
2021-10-06,57.3402
2021-10-07,58.2189
2021-10-08,58.2189
2021-10-09,58.2189
2021-10-10,58.2189
2021-10-11,56.1212
2021-10-12,57.1451
2021-10-13,56.8706
2021-10-14,57.1263
2021-10-15,57.2574
2021-10-16,57.2574
2021-10-17,57.2574
2021-10-18,55.9018
2021-10-19,53.6727
2021-10-20,55.8221
2021-10-21,55.96
2021-10-22,54.6085
2021-10-23,54.6085
2021-10-24,54.6085
2021-10-25,55.3362
2021-10-26,55.032
2021-10-27,48.764
2021-10-28,51.3028
2021-10-29,53.7225
2021-10-30,53.7225
2021-10-31,53.7225
2021-11-01,58.454
2021-11-02,55.7908
2021-11-03,56.9447
2021-11-04,56.3674
2021-11-05,58.3148
2021-11-06,58.3148
2021-11-07,58.3148
2021-11-08,59.6825
2021-11-09,58.4697
2021-11-10,58.5094
2021-11-11,58.8346
2021-11-12,56.9305
2021-11-13,56.9305
2021-11-14,56.9305
2021-11-15,57.1911
2021-11-16,57.8938
2021-11-17,56.6315
2021-11-18,57.7214
2021-11-19,58.0396
2021-11-20,58.0396
2021-11-21,58.0396
2021-11-22,60.6643
2021-11-23,60.749
2021-11-24,59.1681
2021-11-25,59.1681
2021-11-26,47.6712
2021-11-27,47.6712
2021-11-28,47.6712
2021-11-29,47.4053
2021-11-30,44.7782
2021-12-01,44.2378
2021-12-02,48.9003
2021-12-03,46.8936
2021-12-04,46.8936
2021-12-05,46.8936
2021-12-06,52.0869
2021-12-07,49.8592
2021-12-08,49.7346
2021-12-09,48.279
2021-12-10,48.9415
2021-12-11,48.9415
2021-12-12,48.9415
2021-12-13,46.8712
2021-12-14,47.4689
2021-12-15,48.6638
2021-12-16,49.5316
2021-12-17,46.4131
2021-12-18,46.4131
2021-12-19,46.4131
2021-12-20,44.7368
2021-12-21,48.749
2021-12-22,49.1827
2021-12-23,50.3562
2021-12-24,50.3562
2021-12-25,50.3562
2021-12-26,50.3562
2021-12-27,51.598
2021-12-28,51.813
2021-12-29,52.079
2021-12-30,50.587
2021-12-31,51.2396
2022-01-01,51.2396
2022-01-02,51.2396
