,LFUS US Equity
,RSI_30D
2020-01-01,54.0358
2020-01-02,56.0903
2020-01-03,53.298
2020-01-04,53.298
2020-01-05,53.298
2020-01-06,49.5574
2020-01-07,53.7671
2020-01-08,53.6548
2020-01-09,52.4502
2020-01-10,52.8805
2020-01-11,52.8805
2020-01-12,52.8805
2020-01-13,55.1095
2020-01-14,54.9222
2020-01-15,52.7726
2020-01-16,53.649
2020-01-17,52.0102
2020-01-18,52.0102
2020-01-19,52.0102
2020-01-20,52.0102
2020-01-21,52.0503
2020-01-22,53.0457
2020-01-23,51.8971
2020-01-24,50.7492
2020-01-25,50.7492
2020-01-26,50.7492
2020-01-27,45.4018
2020-01-28,47.7971
2020-01-29,42.2372
2020-01-30,44.9845
2020-01-31,40.4168
2020-02-01,40.4168
2020-02-02,40.4168
2020-02-03,40.6718
2020-02-04,47.0062
2020-02-05,50.7083
2020-02-06,50.1243
2020-02-07,47.3278
2020-02-08,47.3278
2020-02-09,47.3278
2020-02-10,47.7469
2020-02-11,47.6776
2020-02-12,48.6871
2020-02-13,48.7737
2020-02-14,47.8871
2020-02-15,47.8871
2020-02-16,47.8871
2020-02-17,47.8871
2020-02-18,48.724
2020-02-19,50.6278
2020-02-20,51.3646
2020-02-21,46.6262
2020-02-22,46.6262
2020-02-23,46.6262
2020-02-24,41.4922
2020-02-25,38.7239
2020-02-26,37.41
2020-02-27,33.7242
2020-02-28,32.86
2020-02-29,32.86
2020-03-01,32.86
2020-03-02,36.0745
2020-03-03,35.3029
2020-03-04,39.2563
2020-03-05,33.771
2020-03-06,35.3525
2020-03-07,35.3525
2020-03-08,35.3525
2020-03-09,29.9071
2020-03-10,35.7843
2020-03-11,32.0061
2020-03-12,29.3278
2020-03-13,29.3198
2020-03-14,29.3198
2020-03-15,29.3198
2020-03-16,26.2557
2020-03-17,34.0639
2020-03-18,28.3716
2020-03-19,33.6876
2020-03-20,32.7653
2020-03-21,32.7653
2020-03-22,32.7653
2020-03-23,32.6841
2020-03-24,39.7486
2020-03-25,38.7885
2020-03-26,43.398
2020-03-27,40.1601
2020-03-28,40.1601
2020-03-29,40.1601
2020-03-30,42.5835
2020-03-31,42.9026
2020-04-01,39.9906
2020-04-02,42.6517
2020-04-03,42.6715
2020-04-04,42.6715
2020-04-05,42.6715
2020-04-06,44.6085
2020-04-07,44.5739
2020-04-08,45.5376
2020-04-09,45.5546
2020-04-10,45.5546
2020-04-11,45.5546
2020-04-12,45.5546
2020-04-13,44.4428
2020-04-14,45.3472
2020-04-15,43.5611
2020-04-16,43.3946
2020-04-17,45.3
2020-04-18,45.3
2020-04-19,45.3
2020-04-20,44.098
2020-04-21,43.4392
2020-04-22,44.4835
2020-04-23,44.6838
2020-04-24,46.0307
2020-04-25,46.0307
2020-04-26,46.0307
2020-04-27,48.4415
2020-04-28,48.8485
2020-04-29,53.5217
2020-04-30,49.6444
2020-05-01,49.7971
2020-05-02,49.7971
2020-05-03,49.7971
2020-05-04,47.9877
2020-05-05,47.9411
2020-05-06,47.7559
2020-05-07,48.3143
2020-05-08,50.4097
2020-05-09,50.4097
2020-05-10,50.4097
2020-05-11,51.7515
2020-05-12,48.3875
2020-05-13,46.683
2020-05-14,47.7252
2020-05-15,47.9872
2020-05-16,47.9872
2020-05-17,47.9872
2020-05-18,53.5568
2020-05-19,53.2121
2020-05-20,54.0822
2020-05-21,53.2849
2020-05-22,53.8089
2020-05-23,53.8089
2020-05-24,53.8089
2020-05-25,53.8089
2020-05-26,56.5974
2020-05-27,57.1164
2020-05-28,55.6173
2020-05-29,55.6344
2020-05-30,55.6344
2020-05-31,55.6344
2020-06-01,56.9924
2020-06-02,57.17
2020-06-03,60.3559
2020-06-04,60.2185
2020-06-05,61.9045
2020-06-06,61.9045
2020-06-07,61.9045
2020-06-08,60.9146
2020-06-09,61.6834
2020-06-10,58.1986
2020-06-11,52.7782
2020-06-12,53.5378
2020-06-13,53.5378
2020-06-14,53.5378
2020-06-15,53.9301
2020-06-16,54.3685
2020-06-17,53.9689
2020-06-18,52.9472
2020-06-19,53.5886
2020-06-20,53.5886
2020-06-21,53.5886
2020-06-22,54.3313
2020-06-23,54.4836
2020-06-24,52.9174
2020-06-25,54.2325
2020-06-26,53.6274
2020-06-27,53.6274
2020-06-28,53.6274
2020-06-29,54.2542
2020-06-30,55.4944
2020-07-01,51.6374
2020-07-02,52.4405
2020-07-03,52.4405
2020-07-04,52.4405
2020-07-05,52.4405
2020-07-06,54.0703
2020-07-07,53.4803
2020-07-08,54.0784
2020-07-09,52.7582
2020-07-10,53.0059
2020-07-11,53.0059
2020-07-12,53.0059
2020-07-13,52.9084
2020-07-14,53.8542
2020-07-15,56.2619
2020-07-16,54.9802
2020-07-17,55.8886
2020-07-18,55.8886
2020-07-19,55.8886
2020-07-20,55.5777
2020-07-21,55.6022
2020-07-22,56.2531
2020-07-23,56.6876
2020-07-24,55.1587
2020-07-25,55.1587
2020-07-26,55.1587
2020-07-27,57.4997
2020-07-28,54.2439
2020-07-29,59.1095
2020-07-30,56.2776
2020-07-31,56.2363
2020-08-01,56.2363
2020-08-02,56.2363
2020-08-03,57.9839
2020-08-04,59.3568
2020-08-05,59.9049
2020-08-06,59.6755
2020-08-07,59.4131
2020-08-08,59.4131
2020-08-09,59.4131
2020-08-10,61.1525
2020-08-11,62.1702
2020-08-12,62.0331
2020-08-13,61.1521
2020-08-14,59.6549
2020-08-15,59.6549
2020-08-16,59.6549
2020-08-17,60.0547
2020-08-18,57.8865
2020-08-19,56.8226
2020-08-20,54.7682
2020-08-21,54.9356
2020-08-22,54.9356
2020-08-23,54.9356
2020-08-24,57.6525
2020-08-25,57.8311
2020-08-26,56.3197
2020-08-27,54.4628
2020-08-28,55.639
2020-08-29,55.639
2020-08-30,55.639
2020-08-31,53.5537
2020-09-01,55.1487
2020-09-02,56.5304
2020-09-03,51.3527
2020-09-04,52.3774
2020-09-05,52.3774
2020-09-06,52.3774
2020-09-07,52.3774
2020-09-08,48.4964
2020-09-09,50.5891
2020-09-10,48.4921
2020-09-11,49.4931
2020-09-12,49.4931
2020-09-13,49.4931
2020-09-14,51.0556
2020-09-15,51.4175
2020-09-16,51.5148
2020-09-17,52.153
2020-09-18,50.1254
2020-09-19,50.1254
2020-09-20,50.1254
2020-09-21,44.8497
2020-09-22,46.3825
2020-09-23,44.6245
2020-09-24,45.9218
2020-09-25,46.39
2020-09-26,46.39
2020-09-27,46.39
2020-09-28,50.8883
2020-09-29,51.4226
2020-09-30,51.1784
2020-10-01,54.8677
2020-10-02,53.1457
2020-10-03,53.1457
2020-10-04,53.1457
2020-10-05,56.0624
2020-10-06,55.2346
2020-10-07,57.2838
2020-10-08,56.4002
2020-10-09,56.0304
2020-10-10,56.0304
2020-10-11,56.0304
2020-10-12,56.8027
2020-10-13,56.9053
2020-10-14,56.7659
2020-10-15,58.526
2020-10-16,58.88
2020-10-17,58.88
2020-10-18,58.88
2020-10-19,57.6045
2020-10-20,58.5894
2020-10-21,60.5408
2020-10-22,62.4534
2020-10-23,63.6347
2020-10-24,63.6347
2020-10-25,63.6347
2020-10-26,58.4342
2020-10-27,58.7097
2020-10-28,55.7199
2020-10-29,59.6762
2020-10-30,58.207
2020-10-31,58.207
2020-11-01,58.207
2020-11-02,60.2698
2020-11-03,62.291
2020-11-04,60.2649
2020-11-05,63.5261
2020-11-06,64.3354
2020-11-07,64.3354
2020-11-08,64.3354
2020-11-09,64.8888
2020-11-10,67.406
2020-11-11,67.2033
2020-11-12,65.92
2020-11-13,68.0068
2020-11-14,68.0068
2020-11-15,68.0068
2020-11-16,70.2022
2020-11-17,68.9873
2020-11-18,69.5505
2020-11-19,69.8778
2020-11-20,70.0581
2020-11-21,70.0581
2020-11-22,70.0581
2020-11-23,71.1076
2020-11-24,73.082
2020-11-25,71.4609
2020-11-26,71.4609
2020-11-27,72.3206
2020-11-28,72.3206
2020-11-29,72.3206
2020-11-30,70.7895
2020-12-01,71.1395
2020-12-02,69.7956
2020-12-03,70.6836
2020-12-04,72.2428
2020-12-05,72.2428
2020-12-06,72.2428
2020-12-07,72.4184
2020-12-08,73.2763
2020-12-09,72.6113
