,TRMK US Equity
,RSI_30D
2020-10-21,52.9258
2020-10-22,56.2252
2020-10-23,56.4762
2020-10-24,56.4762
2020-10-25,56.4762
2020-10-26,55.5812
2020-10-27,52.4156
2020-10-28,49.8558
2020-10-29,50.4711
2020-10-30,51.5775
2020-10-31,51.5775
2020-11-01,51.5775
2020-11-02,53.1222
2020-11-03,54.919
2020-11-04,47.6817
2020-11-05,50.0168
2020-11-06,49.4184
2020-11-07,49.4184
2020-11-08,49.4184
2020-11-09,58.6872
2020-11-10,59.5596
2020-11-11,56.3517
2020-11-12,54.9977
2020-11-13,57.1022
2020-11-14,57.1022
2020-11-15,57.1022
2020-11-16,59.9684
2020-11-17,59.1579
2020-11-18,56.6558
2020-11-19,56.638
2020-11-20,55.3761
2020-11-21,55.3761
2020-11-22,55.3761
2020-11-23,56.2406
2020-11-24,59.312
2020-11-25,57.5374
2020-11-26,57.5374
2020-11-27,55.7751
2020-11-28,55.7751
2020-11-29,55.7751
2020-11-30,52.6818
2020-12-01,53.8297
2020-12-02,54.5318
2020-12-03,54.3537
2020-12-04,56.3595
2020-12-05,56.3595
2020-12-06,56.3595
2020-12-07,56.7068
2020-12-08,57.1768
2020-12-09,58.318
2020-12-10,58.9562
2020-12-11,59.7389
2020-12-12,59.7389
2020-12-13,59.7389
2020-12-14,58.1458
2020-12-15,60.5954
2020-12-16,59.951
2020-12-17,60.2715
2020-12-18,58.0438
2020-12-19,58.0438
2020-12-20,58.0438
2020-12-21,56.4359
2020-12-22,54.5042
2020-12-23,57.1817
2020-12-24,57.8008
2020-12-25,57.8008
2020-12-26,57.8008
2020-12-27,57.8008
2020-12-28,58.1451
2020-12-29,56.0796
2020-12-30,57.0013
2020-12-31,57.2004
2021-01-01,57.2004
2021-01-02,57.2004
2021-01-03,57.2004
2021-01-04,55.9934
2021-01-05,56.7625
2021-01-06,63.9345
2021-01-07,65.0016
2021-01-08,63.5539
2021-01-09,63.5539
2021-01-10,63.5539
2021-01-11,64.4747
2021-01-12,65.993
2021-01-13,64.3056
2021-01-14,65.3112
2021-01-15,64.1429
2021-01-16,64.1429
2021-01-17,64.1429
2021-01-18,64.1429
2021-01-19,63.2072
2021-01-20,63.808
2021-01-21,61.0875
2021-01-22,62.5951
2021-01-23,62.5951
2021-01-24,62.5951
2021-01-25,62.82
2021-01-26,60.8792
2021-01-27,53.5346
2021-01-28,52.5289
2021-01-29,50.0435
2021-01-30,50.0435
2021-01-31,50.0435
2021-02-01,51.6221
2021-02-02,51.8275
2021-02-03,51.6008
2021-02-04,54.6443
2021-02-05,55.6175
2021-02-06,55.6175
2021-02-07,55.6175
2021-02-08,57.4739
2021-02-09,58.8909
2021-02-10,58.5474
2021-02-11,56.8743
2021-02-12,57.1665
2021-02-13,57.1665
2021-02-14,57.1665
2021-02-15,57.1665
2021-02-16,58.6945
2021-02-17,57.7302
2021-02-18,55.7472
2021-02-19,57.5892
2021-02-20,57.5892
