,MC US Equity
,RSI_30D
2020-01-01,48.6393
2020-01-02,50.4222
2020-01-03,47.5856
2020-01-04,47.5856
2020-01-05,47.5856
2020-01-06,47.4857
2020-01-07,48.9634
2020-01-08,49.8036
2020-01-09,49.0768
2020-01-10,47.6386
2020-01-11,47.6386
2020-01-12,47.6386
2020-01-13,50.7375
2020-01-14,51.8388
2020-01-15,54.2939
2020-01-16,58.7365
2020-01-17,58.9331
2020-01-18,58.9331
2020-01-19,58.9331
2020-01-20,58.9331
2020-01-21,58.9331
2020-01-22,59.4063
2020-01-23,59.6767
2020-01-24,59.861
2020-01-25,59.861
2020-01-26,59.861
2020-01-27,58.6588
2020-01-28,60.6103
2020-01-29,61.9586
2020-01-30,63.0066
2020-01-31,60.7465
2020-02-01,60.7465
2020-02-02,60.7465
2020-02-03,61.6843
2020-02-04,63.2657
2020-02-05,66.6179
2020-02-06,70.615
2020-02-07,66.8588
2020-02-08,66.8588
2020-02-09,66.8588
2020-02-10,66.8808
2020-02-11,66.835
2020-02-12,64.2844
2020-02-13,61.5922
2020-02-14,60.7145
2020-02-15,60.7145
2020-02-16,60.7145
2020-02-17,60.7145
2020-02-18,61.8668
2020-02-19,64.4209
2020-02-20,62.2423
2020-02-21,58.8396
2020-02-22,58.8396
2020-02-23,58.8396
2020-02-24,53.9089
2020-02-25,51.9494
2020-02-26,50.3871
2020-02-27,47.0836
2020-02-28,43.7523
2020-02-29,43.7523
2020-03-01,43.7523
2020-03-02,44.838
2020-03-03,41.0004
2020-03-04,44.1331
2020-03-05,38.9529
2020-03-06,38.3058
2020-03-07,38.3058
2020-03-08,38.3058
2020-03-09,34.7929
2020-03-10,39.2674
2020-03-11,37.4989
2020-03-12,33.5075
2020-03-13,42.3176
2020-03-14,42.3176
2020-03-15,42.3176
2020-03-16,40.0062
2020-03-17,43.0256
2020-03-18,36.3938
2020-03-19,40.1433
2020-03-20,39.4486
2020-03-21,39.4486
2020-03-22,39.4486
2020-03-23,40.4165
2020-03-24,44.4821
2020-03-25,45.3706
2020-03-26,49.9449
2020-03-27,48.1176
2020-03-28,48.1176
2020-03-29,48.1176
2020-03-30,48.0725
2020-03-31,45.5125
2020-04-01,44.1022
2020-04-02,47.0116
2020-04-03,48.6575
2020-04-04,48.6575
2020-04-05,48.6575
2020-04-06,49.5081
2020-04-07,47.7794
2020-04-08,48.2223
2020-04-09,48.936
2020-04-10,48.936
2020-04-11,48.936
2020-04-12,48.936
2020-04-13,47.7795
2020-04-14,47.5565
2020-04-15,47.5926
2020-04-16,48.1655
2020-04-17,49.6351
2020-04-18,49.6351
2020-04-19,49.6351
2020-04-20,49.3816
2020-04-21,49.363
2020-04-22,51.0993
2020-04-23,47.4895
2020-04-24,43.4065
2020-04-25,43.4065
2020-04-26,43.4065
2020-04-27,46.711
2020-04-28,48.4718
2020-04-29,49.1738
2020-04-30,49.5647
2020-05-01,48.3049
2020-05-02,48.3049
2020-05-03,48.3049
2020-05-04,47.743
2020-05-05,49.5453
2020-05-06,49.8841
2020-05-07,50.0383
2020-05-08,51.5986
2020-05-09,51.5986
2020-05-10,51.5986
2020-05-11,52.1521
2020-05-12,49.4111
2020-05-13,46.2322
2020-05-14,47.4323
2020-05-15,47.535
2020-05-16,47.535
2020-05-17,47.535
2020-05-18,50.4198
2020-05-19,48.6888
2020-05-20,49.7594
2020-05-21,49.4236
2020-05-22,50.2812
2020-05-23,50.2812
2020-05-24,50.2812
2020-05-25,50.2812
2020-05-26,53.0647
2020-05-27,57.0259
2020-05-28,56.6973
2020-05-29,57.241
2020-05-30,57.241
2020-05-31,57.241
2020-06-01,57.2178
2020-06-02,59.2854
2020-06-03,60.7452
2020-06-04,62.2989
2020-06-05,63.952
2020-06-06,63.952
2020-06-07,63.952
2020-06-08,63.3872
2020-06-09,62.8651
2020-06-10,61.9415
2020-06-11,57.9173
2020-06-12,55.9434
2020-06-13,55.9434
2020-06-14,55.9434
2020-06-15,56.7957
2020-06-16,56.9424
2020-06-17,55.7673
2020-06-18,57.6327
2020-06-19,53.9701
2020-06-20,53.9701
2020-06-21,53.9701
2020-06-22,54.8755
2020-06-23,52.7735
2020-06-24,48.8398
2020-06-25,49.6086
2020-06-26,45.5687
2020-06-27,45.5687
2020-06-28,45.5687
2020-06-29,47.028
2020-06-30,47.8043
2020-07-01,46.7695
2020-07-02,47.0112
2020-07-03,47.0112
2020-07-04,47.0112
2020-07-05,47.0112
2020-07-06,48.5918
2020-07-07,44.353
2020-07-08,45.6076
2020-07-09,44.0921
2020-07-10,45.519
2020-07-11,45.519
2020-07-12,45.519
2020-07-13,44.7982
2020-07-14,45.2581
2020-07-15,48.477
2020-07-16,48.9057
2020-07-17,48.9497
2020-07-18,48.9497
2020-07-19,48.9497
2020-07-20,49.7543
2020-07-21,50.9321
2020-07-22,48.3861
2020-07-23,48.1264
2020-07-24,48.082
2020-07-25,48.082
2020-07-26,48.082
2020-07-27,47.9902
2020-07-28,47.1979
2020-07-29,47.1742
2020-07-30,46.1202
2020-07-31,45.9994
2020-08-01,45.9994
2020-08-02,45.9994
2020-08-03,47.8643
2020-08-04,47.0744
2020-08-05,48.5754
2020-08-06,49.7166
2020-08-07,50.65
2020-08-08,50.65
2020-08-09,50.65
2020-08-10,52.1051
2020-08-11,53.1036
2020-08-12,53.5638
2020-08-13,52.9005
2020-08-14,52.012
2020-08-15,52.012
2020-08-16,52.012
2020-08-17,50.5078
2020-08-18,51.8581
2020-08-19,52.0985
2020-08-20,51.9977
2020-08-21,52.9081
2020-08-22,52.9081
2020-08-23,52.9081
2020-08-24,55.4687
2020-08-25,56.4203
2020-08-26,55.3815
2020-08-27,53.6656
2020-08-28,52.3797
2020-08-29,52.3797
2020-08-30,52.3797
2020-08-31,51.6331
2020-09-01,52.7284
2020-09-02,53.682
2020-09-03,51.1427
2020-09-04,50.147
2020-09-05,50.147
2020-09-06,50.147
2020-09-07,50.147
2020-09-08,49.7178
2020-09-09,51.1241
2020-09-10,47.2993
2020-09-11,49.28
2020-09-12,49.28
2020-09-13,49.28
2020-09-14,54.2887
2020-09-15,53.2705
2020-09-16,55.7288
2020-09-17,57.2156
2020-09-18,58.0408
2020-09-19,58.0408
2020-09-20,58.0408
2020-09-21,53.0649
2020-09-22,53.9341
2020-09-23,52.0078
2020-09-24,52.6711
2020-09-25,53.3083
2020-09-26,53.3083
2020-09-27,53.3083
2020-09-28,56.9884
2020-09-29,56.8089
2020-09-30,59.3274
2020-10-01,59.2897
2020-10-02,61.5607
2020-10-03,61.5607
2020-10-04,61.5607
2020-10-05,63.0759
2020-10-06,63.1229
2020-10-07,64.5913
2020-10-08,66.3096
2020-10-09,66.8641
2020-10-10,66.8641
2020-10-11,66.8641
2020-10-12,67.7715
2020-10-13,66.2013
2020-10-14,64.8203
2020-10-15,64.733
2020-10-16,64.9528
2020-10-17,64.9528
2020-10-18,64.9528
2020-10-19,62.6206
2020-10-20,63.5323
2020-10-21,64.1271
2020-10-22,64.8996
2020-10-23,66.1319
2020-10-24,66.1319
2020-10-25,66.1319
2020-10-26,62.3864
2020-10-27,65.065
2020-10-28,54.7207
2020-10-29,57.1068
2020-10-30,56.1748
2020-10-31,56.1748
2020-11-01,56.1748
