,IP US Equity
,RSI_30D
2020-01-01,60.0958
2020-01-02,57.0137
2020-01-03,52.7864
2020-01-04,52.7864
2020-01-05,52.7864
2020-01-06,49.1573
2020-01-07,47.1121
2020-01-08,49.4719
2020-01-09,50.0148
2020-01-10,49.465
2020-01-11,49.465
2020-01-12,49.465
2020-01-13,51.5318
2020-01-14,51.4351
2020-01-15,51.8094
2020-01-16,55.5726
2020-01-17,57.1996
2020-01-18,57.1996
2020-01-19,57.1996
2020-01-20,57.1996
2020-01-21,51.3183
2020-01-22,51.1833
2020-01-23,51.8385
2020-01-24,46.9297
2020-01-25,46.9297
2020-01-26,46.9297
2020-01-27,43.3588
2020-01-28,44.5982
2020-01-29,46.9126
2020-01-30,42.723
2020-01-31,38.3134
2020-02-01,38.3134
2020-02-02,38.3134
2020-02-03,40.6001
2020-02-04,42.7139
2020-02-05,50.8097
2020-02-06,51.4633
2020-02-07,49.2396
2020-02-08,49.2396
2020-02-09,49.2396
2020-02-10,49.8247
2020-02-11,51.8347
2020-02-12,52.2431
2020-02-13,48.7867
2020-02-14,47.9737
2020-02-15,47.9737
2020-02-16,47.9737
2020-02-17,47.9737
2020-02-18,48.1113
2020-02-19,46.428
2020-02-20,49.1101
2020-02-21,50.1928
2020-02-22,50.1928
2020-02-23,50.1928
2020-02-24,44.3381
2020-02-25,39.1252
2020-02-26,38.2261
2020-02-27,34.6862
2020-02-28,34.4984
2020-02-29,34.4984
2020-03-01,34.4984
2020-03-02,38.8477
2020-03-03,36.5357
2020-03-04,39.2834
2020-03-05,36.6316
2020-03-06,35.1823
2020-03-07,35.1823
2020-03-08,35.1823
2020-03-09,30.0394
2020-03-10,35.4205
2020-03-11,32.746
2020-03-12,28.5904
2020-03-13,39.2405
2020-03-14,39.2405
2020-03-15,39.2405
2020-03-16,35.0652
2020-03-17,41.5818
2020-03-18,38.8635
2020-03-19,38.0331
2020-03-20,37.408
2020-03-21,37.408
2020-03-22,37.408
2020-03-23,34.5291
2020-03-24,36.9083
2020-03-25,38.341
2020-03-26,41.7393
2020-03-27,41.3236
2020-03-28,41.3236
2020-03-29,41.3236
2020-03-30,42.4041
2020-03-31,42.1777
2020-04-01,41.0667
2020-04-02,41.6025
2020-04-03,40.3266
2020-04-04,40.3266
2020-04-05,40.3266
2020-04-06,43.7966
2020-04-07,43.0296
2020-04-08,46.4121
2020-04-09,47.9183
2020-04-10,47.9183
2020-04-11,47.9183
2020-04-12,47.9183
2020-04-13,48.2621
2020-04-14,47.1485
2020-04-15,44.8525
2020-04-16,43.2254
2020-04-17,45.3532
2020-04-18,45.3532
2020-04-19,45.3532
2020-04-20,44.0296
2020-04-21,43.2247
2020-04-22,43.0397
2020-04-23,43.9821
2020-04-24,44.9573
2020-04-25,44.9573
2020-04-26,44.9573
2020-04-27,47.6422
2020-04-28,51.8905
2020-04-29,52.9254
2020-04-30,49.6671
2020-05-01,49.1978
2020-05-02,49.1978
2020-05-03,49.1978
2020-05-04,48.4457
2020-05-05,48.0657
2020-05-06,46.7586
2020-05-07,47.4422
2020-05-08,50.1376
2020-05-09,50.1376
2020-05-10,50.1376
2020-05-11,48.2647
2020-05-12,46.9191
2020-05-13,45.1772
2020-05-14,46.3454
2020-05-15,45.6191
2020-05-16,45.6191
2020-05-17,45.6191
2020-05-18,48.4326
2020-05-19,47.29
2020-05-20,48.8542
2020-05-21,48.7484
2020-05-22,48.3001
2020-05-23,48.3001
2020-05-24,48.3001
2020-05-25,48.3001
2020-05-26,51.8358
2020-05-27,54.0639
2020-05-28,52.8087
2020-05-29,51.1066
2020-05-30,51.1066
2020-05-31,51.1066
2020-06-01,52.1498
2020-06-02,52.914
2020-06-03,55.4042
2020-06-04,56.6804
2020-06-05,58.3079
2020-06-06,58.3079
2020-06-07,58.3079
2020-06-08,59.1805
2020-06-09,56.6174
2020-06-10,53.9215
2020-06-11,49.4167
2020-06-12,50.9055
2020-06-13,50.9055
2020-06-14,50.9055
2020-06-15,51.1139
2020-06-16,52.0905
2020-06-17,51.2273
2020-06-18,51.0621
2020-06-19,50.6901
2020-06-20,50.6901
2020-06-21,50.6901
2020-06-22,49.9375
2020-06-23,50.6778
2020-06-24,48.487
2020-06-25,48.8472
2020-06-26,48.8842
2020-06-27,48.8842
2020-06-28,48.8842
2020-06-29,51.0969
2020-06-30,51.4562
2020-07-01,50.6857
2020-07-02,51.6959
2020-07-03,51.6959
2020-07-04,51.6959
2020-07-05,51.6959
2020-07-06,52.7889
2020-07-07,51.3624
2020-07-08,49.2011
2020-07-09,47.2742
2020-07-10,50.082
2020-07-11,50.082
2020-07-12,50.082
2020-07-13,50.2927
2020-07-14,51.8407
2020-07-15,53.4156
2020-07-16,55.3354
2020-07-17,54.3275
2020-07-18,54.3275
2020-07-19,54.3275
2020-07-20,53.1137
2020-07-21,53.6028
2020-07-22,53.6797
2020-07-23,53.6338
2020-07-24,52.907
2020-07-25,52.907
2020-07-26,52.907
2020-07-27,54.0092
2020-07-28,52.382
2020-07-29,53.6151
2020-07-30,51.2708
2020-07-31,49.095
2020-08-01,49.095
2020-08-02,49.095
2020-08-03,50.5497
2020-08-04,50.1846
2020-08-05,50.873
2020-08-06,50.1324
2020-08-07,50.6597
2020-08-08,50.6597
2020-08-09,50.6597
2020-08-10,52.5926
2020-08-11,54.1997
2020-08-12,53.4083
2020-08-13,54.0708
2020-08-14,55.8635
2020-08-15,55.8635
2020-08-16,55.8635
2020-08-17,54.0721
2020-08-18,53.0007
2020-08-19,52.8895
2020-08-20,51.4383
2020-08-21,50.0717
2020-08-22,50.0717
2020-08-23,50.0717
2020-08-24,55.2166
2020-08-25,52.3844
2020-08-26,52.2797
2020-08-27,53.3171
2020-08-28,54.1092
2020-08-29,54.1092
2020-08-30,54.1092
2020-08-31,52.2742
2020-09-01,55.2476
2020-09-02,58.0994
2020-09-03,56.684
2020-09-04,58.1398
2020-09-05,58.1398
2020-09-06,58.1398
2020-09-07,58.1398
2020-09-08,53.5028
2020-09-09,55.5905
2020-09-10,54.76
2020-09-11,56.7446
2020-09-12,56.7446
2020-09-13,56.7446
2020-09-14,60.2918
