,UTL US Equity
,RSI_30D
2020-01-01,49.0627
2020-01-02,45.4697
2020-01-03,47.0735
2020-01-04,47.0735
2020-01-05,47.0735
2020-01-06,46.2987
2020-01-07,45.593
2020-01-08,44.8157
2020-01-09,44.9481
2020-01-10,47.8803
2020-01-11,47.8803
2020-01-12,47.8803
2020-01-13,50.6022
2020-01-14,47.7924
2020-01-15,51.0595
2020-01-16,54.5809
2020-01-17,54.1893
2020-01-18,54.1893
2020-01-19,54.1893
2020-01-20,54.1893
2020-01-21,54.6271
2020-01-22,55.0374
2020-01-23,56.8215
2020-01-24,57.6416
2020-01-25,57.6416
2020-01-26,57.6416
2020-01-27,56.4004
2020-01-28,56.8807
2020-01-29,54.2322
2020-01-30,56.3019
2020-01-31,47.9071
2020-02-01,47.9071
2020-02-02,47.9071
2020-02-03,46.5427
2020-02-04,48.0725
2020-02-05,51.2671
2020-02-06,51.0923
2020-02-07,51.469
2020-02-08,51.469
2020-02-09,51.469
2020-02-10,53.7468
2020-02-11,53.8785
2020-02-12,55.6741
2020-02-13,58.5016
2020-02-14,59.3995
2020-02-15,59.3995
2020-02-16,59.3995
2020-02-17,59.3995
2020-02-18,59.3566
2020-02-19,57.8876
2020-02-20,56.818
2020-02-21,54.3258
2020-02-22,54.3258
2020-02-23,54.3258
2020-02-24,52.3084
2020-02-25,48.7808
2020-02-26,50.0158
2020-02-27,39.8436
2020-02-28,34.3238
2020-02-29,34.3238
2020-03-01,34.3238
2020-03-02,40.4808
2020-03-03,37.7538
2020-03-04,43.3322
2020-03-05,40.804
2020-03-06,48.6348
2020-03-07,48.6348
2020-03-08,48.6348
2020-03-09,48.518
2020-03-10,48.2979
2020-03-11,44.4845
2020-03-12,34.6989
2020-03-13,41.6619
2020-03-14,41.6619
2020-03-15,41.6619
2020-03-16,33.386
2020-03-17,43.8045
2020-03-18,42.044
2020-03-19,41.3509
2020-03-20,35.6367
2020-03-21,35.6367
2020-03-22,35.6367
2020-03-23,33.625
2020-03-24,39.0949
2020-03-25,39.3501
2020-03-26,44.1885
2020-03-27,44.7632
2020-03-28,44.7632
2020-03-29,44.7632
2020-03-30,46.003
2020-03-31,45.4292
2020-04-01,43.1217
2020-04-02,44.5576
2020-04-03,42.9517
2020-04-04,42.9517
2020-04-05,42.9517
2020-04-06,47.8293
2020-04-07,46.2948
2020-04-08,47.5696
2020-04-09,51.3458
2020-04-10,51.3458
2020-04-11,51.3458
2020-04-12,51.3458
2020-04-13,49.1066
2020-04-14,48.8405
2020-04-15,46.5029
2020-04-16,46.2238
2020-04-17,48.7685
2020-04-18,48.7685
2020-04-19,48.7685
2020-04-20,45.7379
2020-04-21,45.4603
2020-04-22,46.6421
2020-04-23,45.7458
2020-04-24,47.1652
2020-04-25,47.1652
2020-04-26,47.1652
2020-04-27,48.494
2020-04-28,48.8476
2020-04-29,50.0976
2020-04-30,46.0335
2020-05-01,44.8042
2020-05-02,44.8042
2020-05-03,44.8042
2020-05-04,45.0028
2020-05-05,44.8276
2020-05-06,43.2357
2020-05-07,44.437
2020-05-08,46.4998
2020-05-09,46.4998
2020-05-10,46.4998
2020-05-11,45.2255
2020-05-12,43.3162
2020-05-13,42.4505
2020-05-14,42.524
2020-05-15,42.5823
2020-05-16,42.5823
2020-05-17,42.5823
2020-05-18,44.8188
2020-05-19,43.3438
2020-05-20,44.3321
2020-05-21,44.0515
2020-05-22,44.8933
2020-05-23,44.8933
2020-05-24,44.8933
2020-05-25,44.8933
2020-05-26,46.1506
2020-05-27,47.0082
2020-05-28,47.4411
2020-05-29,46.967
2020-05-30,46.967
2020-05-31,46.967
2020-06-01,46.8656
2020-06-02,46.7843
2020-06-03,48.3722
2020-06-04,47.1946
2020-06-05,49.9618
2020-06-06,49.9618
2020-06-07,49.9618
2020-06-08,50.5906
2020-06-09,48.4976
