,CMA US Equity
,RSI_30D
2020-01-01,60.2771
2020-01-02,60.2771
2020-01-03,56.7392
2020-01-04,56.7392
2020-01-05,56.7392
2020-01-06,53.6604
2020-01-07,52.348
2020-01-08,53.6482
2020-01-09,54.0298
2020-01-10,50.0248
2020-01-11,50.0248
2020-01-12,50.0248
2020-01-13,50.9059
2020-01-14,51.4426
2020-01-15,46.2863
2020-01-16,49.627
2020-01-17,50.8322
2020-01-18,50.8322
2020-01-19,50.8322
2020-01-20,50.8322
2020-01-21,45.2138
2020-01-22,45.4468
2020-01-23,44.5541
2020-01-24,41.9353
2020-01-25,41.9353
2020-01-26,41.9353
2020-01-27,38.2273
2020-01-28,39.4129
2020-01-29,37.3928
2020-01-30,38.78
2020-01-31,36.5673
2020-02-01,36.5673
2020-02-02,36.5673
2020-02-03,38.8636
2020-02-04,41.2221
2020-02-05,44.9793
2020-02-06,42.8277
2020-02-07,40.7426
2020-02-08,40.7426
2020-02-09,40.7426
2020-02-10,39.5412
2020-02-11,41.7326
2020-02-12,42.875
2020-02-13,43.4957
2020-02-14,43.1044
2020-02-15,43.1044
2020-02-16,43.1044
2020-02-17,43.1044
2020-02-18,41.6282
2020-02-19,44.1272
2020-02-20,45.2319
2020-02-21,43.3987
2020-02-22,43.3987
2020-02-23,43.3987
2020-02-24,38.778
2020-02-25,34.5623
2020-02-26,33.2492
2020-02-27,30.3728
2020-02-28,29.7725
2020-02-29,29.7725
2020-03-01,29.7725
2020-03-02,35.2962
2020-03-03,31.0314
2020-03-04,30.4538
2020-03-05,27.2921
2020-03-06,25.8473
2020-03-07,25.8473
2020-03-08,25.8473
2020-03-09,20.6303
2020-03-10,27.8859
2020-03-11,26.5789
2020-03-12,25.2264
2020-03-13,30.8671
2020-03-14,30.8671
2020-03-15,30.8671
2020-03-16,26.8069
2020-03-17,30.6619
2020-03-18,27.1604
2020-03-19,28.999
2020-03-20,28.9891
2020-03-21,28.9891
2020-03-22,28.9891
2020-03-23,28.1978
2020-03-24,32.0132
2020-03-25,34.9225
2020-03-26,35.9377
2020-03-27,35.2453
2020-03-28,35.2453
2020-03-29,35.2453
2020-03-30,34.1278
2020-03-31,33.1297
2020-04-01,31.8908
2020-04-02,32.6354
2020-04-03,32.3697
2020-04-04,32.3697
2020-04-05,32.3697
2020-04-06,34.3955
2020-04-07,36.4137
2020-04-08,39.0972
2020-04-09,41.0015
2020-04-10,41.0015
2020-04-11,41.0015
2020-04-12,41.0015
2020-04-13,39.5449
2020-04-14,38.1982
2020-04-15,36.3226
2020-04-16,34.9943
2020-04-17,39.371
2020-04-18,39.371
2020-04-19,39.371
2020-04-20,39.109
2020-04-21,38.9748
2020-04-22,40.1158
2020-04-23,41.3939
2020-04-24,41.9842
2020-04-25,41.9842
2020-04-26,41.9842
2020-04-27,44.5774
2020-04-28,45.3106
2020-04-29,47.6766
2020-04-30,45.3446
2020-05-01,43.6339
2020-05-02,43.6339
2020-05-03,43.6339
2020-05-04,43.0709
2020-05-05,42.586
2020-05-06,42.3817
2020-05-07,43.5944
2020-05-08,45.334
2020-05-09,45.334
2020-05-10,45.334
2020-05-11,43.7632
2020-05-12,42.2404
2020-05-13,41.1803
2020-05-14,43.9374
2020-05-15,42.5902
2020-05-16,42.5902
2020-05-17,42.5902
2020-05-18,46.6122
2020-05-19,45.2408
2020-05-20,46.4392
2020-05-21,46.2223
2020-05-22,45.8659
2020-05-23,45.8659
2020-05-24,45.8659
2020-05-25,45.8659
2020-05-26,50.2029
2020-05-27,52.853
2020-05-28,50.9588
2020-05-29,49.7329
2020-05-30,49.7329
2020-05-31,49.7329
2020-06-01,50.9535
2020-06-02,51.1132
2020-06-03,53.3715
2020-06-04,55.9869
2020-06-05,58.2084
2020-06-06,58.2084
2020-06-07,58.2084
2020-06-08,59.2241
2020-06-09,57.9877
2020-06-10,53.7092
2020-06-11,49.729
2020-06-12,51.6796
2020-06-13,51.6796
2020-06-14,51.6796
2020-06-15,52.6127
2020-06-16,53.7585
2020-06-17,52.2194
2020-06-18,52.3216
2020-06-19,51.6772
2020-06-20,51.6772
2020-06-21,51.6772
2020-06-22,51.7961
2020-06-23,52.0705
2020-06-24,49.5007
2020-06-25,50.7989
2020-06-26,47.4062
2020-06-27,47.4062
2020-06-28,47.4062
2020-06-29,49.147
2020-06-30,50.2785
2020-07-01,48.0852
2020-07-02,47.4214
2020-07-03,47.4214
2020-07-04,47.4214
2020-07-05,47.4214
2020-07-06,48.0196
2020-07-07,46.9351
2020-07-08,46.9468
2020-07-09,45.5351
2020-07-10,48.3358
2020-07-11,48.3358
2020-07-12,48.3358
2020-07-13,48.6011
2020-07-14,47.4288
2020-07-15,49.7267
2020-07-16,49.578
2020-07-17,48.1794
2020-07-18,48.1794
2020-07-19,48.1794
2020-07-20,47.4865
2020-07-21,50.2873
2020-07-22,49.6002
2020-07-23,50.4574
2020-07-24,50.5187
2020-07-25,50.5187
2020-07-26,50.5187
2020-07-27,49.7794
2020-07-28,49.5338
2020-07-29,52.3139
2020-07-30,51.5424
2020-07-31,51.8901
2020-08-01,51.8901
2020-08-02,51.8901
2020-08-03,51.2282
2020-08-04,50.9848
2020-08-05,51.6694
2020-08-06,51.3063
2020-08-07,53.9428
2020-08-08,53.9428
2020-08-09,53.9428
2020-08-10,55.2942
2020-08-11,56.7237
2020-08-12,56.5048
2020-08-13,55.183
2020-08-14,55.9752
2020-08-15,55.9752
2020-08-16,55.9752
2020-08-17,54.1651
2020-08-18,52.1252
2020-08-19,52.3647
2020-08-20,50.9638
2020-08-21,50.2117
2020-08-22,50.2117
2020-08-23,50.2117
2020-08-24,53.1209
2020-08-25,53.3771
2020-08-26,51.4274
2020-08-27,52.7126
2020-08-28,52.87
2020-08-29,52.87
2020-08-30,52.87
2020-08-31,51.6957
2020-09-01,52.2936
2020-09-02,52.7806
2020-09-03,53.2235
2020-09-04,54.9551
2020-09-05,54.9551
2020-09-06,54.9551
2020-09-07,54.9551
2020-09-08,51.9973
2020-09-09,51.5471
2020-09-10,50.6028
2020-09-11,51.3768
2020-09-12,51.3768
2020-09-13,51.3768
2020-09-14,55.0155
2020-09-15,54.1807
2020-09-16,55.1929
2020-09-17,54.3301
2020-09-18,54.0742
2020-09-19,54.0742
2020-09-20,54.0742
2020-09-21,50.0311
2020-09-22,47.2575
2020-09-23,46.0167
2020-09-24,46.0992
2020-09-25,47.7909
2020-09-26,47.7909
2020-09-27,47.7909
2020-09-28,50.2531
2020-09-29,48.6947
2020-09-30,49.7176
2020-10-01,49.3846
2020-10-02,51.8383
2020-10-03,51.8383
2020-10-04,51.8383
2020-10-05,56.2285
2020-10-06,55.1265
2020-10-07,58.0174
2020-10-08,58.0174
2020-10-09,56.3763
2020-10-10,56.3763
2020-10-11,56.3763
2020-10-12,57.1355
2020-10-13,53.4536
2020-10-14,52.5578
2020-10-15,54.6208
2020-10-16,54.4547
2020-10-17,54.4547
2020-10-18,54.4547
2020-10-19,53.4667
2020-10-20,56.8924
2020-10-21,55.2023
2020-10-22,59.4261
2020-10-23,61.1997
2020-10-24,61.1997
2020-10-25,61.1997
2020-10-26,58.9941
2020-10-27,55.1375
2020-10-28,52.956
2020-10-29,55.6486
2020-10-30,57.8366
2020-10-31,57.8366
2020-11-01,57.8366
2020-11-02,60.0579
2020-11-03,62.0067
2020-11-04,53.3119
2020-11-05,56.7464
2020-11-06,54.5181
2020-11-07,54.5181
2020-11-08,54.5181
2020-11-09,63.3208
2020-11-10,62.1023
2020-11-11,58.2915
2020-11-12,55.9327
2020-11-13,57.9847
2020-11-14,57.9847
2020-11-15,57.9847
2020-11-16,59.5169
2020-11-17,59.2249
2020-11-18,57.7468
2020-11-19,57.8219
2020-11-20,57.178
2020-11-21,57.178
2020-11-22,57.178
2020-11-23,58.6461
2020-11-24,61.0606
2020-11-25,59.3102
2020-11-26,59.3102
2020-11-27,56.9408
2020-11-28,56.9408
2020-11-29,56.9408
2020-11-30,54.1116
2020-12-01,56.0453
2020-12-02,56.8703
2020-12-03,57.5884
2020-12-04,58.9096
2020-12-05,58.9096
2020-12-06,58.9096
2020-12-07,57.623
2020-12-08,56.868
2020-12-09,56.5855
2020-12-10,57.2551
2020-12-11,56.7318
2020-12-12,56.7318
2020-12-13,56.7318
2020-12-14,56.4541
2020-12-15,57.7271
2020-12-16,57.7949
2020-12-17,57.414
2020-12-18,57.1866
2020-12-19,57.1866
2020-12-20,57.1866
2020-12-21,58.7675
2020-12-22,59.0185
2020-12-23,61.2382
2020-12-24,60.9521
2020-12-25,60.9521
2020-12-26,60.9521
2020-12-27,60.9521
2020-12-28,61.3028
2020-12-29,59.4972
2020-12-30,60.1416
2020-12-31,60.2924
2021-01-01,60.2924
2021-01-02,60.2924
2021-01-03,60.2924
2021-01-04,59.5926
2021-01-05,61.2718
2021-01-06,66.4237
2021-01-07,67.2966
2021-01-08,65.4198
2021-01-09,65.4198
2021-01-10,65.4198
2021-01-11,66.6138
2021-01-12,67.5583
2021-01-13,67.6947
2021-01-14,69.7623
2021-01-15,65.6155
2021-01-16,65.6155
2021-01-17,65.6155
2021-01-18,65.6155
2021-01-19,65.7359
2021-01-20,64.2238
2021-01-21,62.212
2021-01-22,62.3272
2021-01-23,62.3272
2021-01-24,62.3272
2021-01-25,60.7938
2021-01-26,58.4866
2021-01-27,52.9235
2021-01-28,55.7436
2021-01-29,53.0668
2021-01-30,53.0668
2021-01-31,53.0668
2021-02-01,54.3244
2021-02-02,56.6415
2021-02-03,57.8711
2021-02-04,60.4796
2021-02-05,59.2153
2021-02-06,59.2153
2021-02-07,59.2153
2021-02-08,59.8389
2021-02-09,59.2697
2021-02-10,59.4808
2021-02-11,56.8562
2021-02-12,57.8735
2021-02-13,57.8735
2021-02-14,57.8735
2021-02-15,57.8735
2021-02-16,61.9483
2021-02-17,60.1429
2021-02-18,59.2009
2021-02-19,61.8573
2021-02-20,61.8573
2021-02-21,61.8573
2021-02-22,63.3001
2021-02-23,64.7007
2021-02-24,66.9335
2021-02-25,62.8072
2021-02-26,60.5134
2021-02-27,60.5134
2021-02-28,60.5134
2021-03-01,62.6492
2021-03-02,62.0447
2021-03-03,61.9338
2021-03-04,59.5572
2021-03-05,61.1013
2021-03-06,61.1013
2021-03-07,61.1013
2021-03-08,63.2996
2021-03-09,59.3028
2021-03-10,60.4097
2021-03-11,60.1699
2021-03-12,61.4483
2021-03-13,61.4483
2021-03-14,61.4483
2021-03-15,60.0161
2021-03-16,57.413
2021-03-17,58.0976
2021-03-18,59.7448
2021-03-19,57.8037
2021-03-20,57.8037
2021-03-21,57.8037
2021-03-22,55.6554
2021-03-23,54.1816
2021-03-24,54.0393
2021-03-25,57.7481
2021-03-26,58.8126
2021-03-27,58.8126
2021-03-28,58.8126
2021-03-29,55.4184
2021-03-30,59.0875
2021-03-31,58.5089
2021-04-01,58.5089
2021-04-02,58.5089
