,CIR US Equity
,RSI_30D
2020-01-01,67.3319
2020-01-02,68.0802
2020-01-03,66.1108
2020-01-04,66.1108
2020-01-05,66.1108
2020-01-06,63.0245
2020-01-07,59.8148
2020-01-08,58.0561
2020-01-09,58.3317
2020-01-10,54.5854
2020-01-11,54.5854
2020-01-12,54.5854
2020-01-13,58.812
2020-01-14,55.8151
2020-01-15,55.7476
2020-01-16,58.0831
2020-01-17,57.6236
2020-01-18,57.6236
2020-01-19,57.6236
2020-01-20,57.6236
2020-01-21,55.8991
2020-01-22,57.4061
2020-01-23,57.7528
2020-01-24,55.7313
2020-01-25,55.7313
2020-01-26,55.7313
2020-01-27,52.6344
2020-01-28,54.0846
2020-01-29,52.4886
2020-01-30,52.6091
2020-01-31,46.6406
2020-02-01,46.6406
2020-02-02,46.6406
2020-02-03,48.3503
2020-02-04,51.0915
2020-02-05,54.4276
2020-02-06,53.4841
2020-02-07,52.8724
2020-02-08,52.8724
2020-02-09,52.8724
2020-02-10,53.9884
2020-02-11,55.4007
2020-02-12,55.0053
2020-02-13,55.8209
2020-02-14,56.8195
2020-02-15,56.8195
2020-02-16,56.8195
2020-02-17,56.8195
2020-02-18,54.2155
2020-02-19,51.6385
2020-02-20,49.4793
2020-02-21,52.1054
2020-02-22,52.1054
2020-02-23,52.1054
2020-02-24,44.275
2020-02-25,40.4121
2020-02-26,39.0563
2020-02-27,36.3359
2020-02-28,34.8557
2020-02-29,34.8557
2020-03-01,34.8557
2020-03-02,39.8408
2020-03-03,38.2823
2020-03-04,38.8051
2020-03-05,37.3743
2020-03-06,32.4789
2020-03-07,32.4789
2020-03-08,32.4789
2020-03-09,27.1792
2020-03-10,26.3591
2020-03-11,24.6934
2020-03-12,20.8448
2020-03-13,22.2379
2020-03-14,22.2379
2020-03-15,22.2379
2020-03-16,19.2602
2020-03-17,18.0571
2020-03-18,16.1981
2020-03-19,20.0952
2020-03-20,19.5249
2020-03-21,19.5249
2020-03-22,19.5249
2020-03-23,19.9593
2020-03-24,21.9986
2020-03-25,25.2137
2020-03-26,27.2629
2020-03-27,26.0775
2020-03-28,26.0775
2020-03-29,26.0775
2020-03-30,25.7972
2020-03-31,25.8164
2020-04-01,24.5057
2020-04-02,26.021
2020-04-03,25.2546
2020-04-04,25.2546
2020-04-05,25.2546
2020-04-06,28.0063
2020-04-07,28.0446
