,HSY US Equity
,RSI_30D
2020-01-01,45.6633
2020-01-02,41.8163
2020-01-03,43.9202
2020-01-04,43.9202
2020-01-05,43.9202
2020-01-06,43.0652
2020-01-07,43.5267
2020-01-08,45.47
2020-01-09,46.3211
2020-01-10,48.7564
2020-01-11,48.7564
2020-01-12,48.7564
2020-01-13,51.0535
2020-01-14,49.7809
2020-01-15,49.3078
2020-01-16,50.0142
2020-01-17,52.7955
2020-01-18,52.7955
2020-01-19,52.7955
2020-01-20,52.7955
2020-01-21,55.4936
2020-01-22,54.8548
2020-01-23,56.693
2020-01-24,57.7805
2020-01-25,57.7805
2020-01-26,57.7805
2020-01-27,54.7201
2020-01-28,53.6598
2020-01-29,52.0167
2020-01-30,60.4393
2020-01-31,56.1101
2020-02-01,56.1101
2020-02-02,56.1101
2020-02-03,55.3915
2020-02-04,52.4388
2020-02-05,52.9553
2020-02-06,54.646
2020-02-07,56.5384
2020-02-08,56.5384
2020-02-09,56.5384
2020-02-10,57.5458
2020-02-11,58.2486
2020-02-12,58.4749
2020-02-13,60.0432
2020-02-14,61.0877
2020-02-15,61.0877
2020-02-16,61.0877
2020-02-17,61.0877
2020-02-18,60.6331
2020-02-19,61.0931
2020-02-20,61.5201
2020-02-21,61.7522
2020-02-22,61.7522
2020-02-23,61.7522
2020-02-24,59.3198
2020-02-25,56.6119
2020-02-26,57.9124
2020-02-27,48.7561
2020-02-28,40.5272
2020-02-29,40.5272
2020-03-01,40.5272
2020-03-02,49.7424
2020-03-03,50.8069
2020-03-04,57.0239
2020-03-05,55.1395
2020-03-06,52.6388
2020-03-07,52.6388
2020-03-08,52.6388
2020-03-09,48.2225
2020-03-10,51.0723
2020-03-11,46.7395
2020-03-12,37.65
2020-03-13,42.7029
2020-03-14,42.7029
2020-03-15,42.7029
2020-03-16,36.5823
2020-03-17,44.3892
2020-03-18,36.316
2020-03-19,39.1448
2020-03-20,37.9
2020-03-21,37.9
2020-03-22,37.9
2020-03-23,36.0592
2020-03-24,40.9955
2020-03-25,42.8321
2020-03-26,45.4582
2020-03-27,44.9136
2020-03-28,44.9136
2020-03-29,44.9136
2020-03-30,47.7071
2020-03-31,45.8761
2020-04-01,45.5882
2020-04-02,47.2478
2020-04-03,48.8499
2020-04-04,48.8499
2020-04-05,48.8499
2020-04-06,49.6679
2020-04-07,49.3748
2020-04-08,50.0257
2020-04-09,50.5193
2020-04-10,50.5193
2020-04-11,50.5193
2020-04-12,50.5193
2020-04-13,49.9831
2020-04-14,51.4553
2020-04-15,49.9136
2020-04-16,51.1364
2020-04-17,51.5698
2020-04-18,51.5698
2020-04-19,51.5698
2020-04-20,50.7038
2020-04-21,49.3537
2020-04-22,50.1242
2020-04-23,47.2697
2020-04-24,46.7637
2020-04-25,46.7637
2020-04-26,46.7637
2020-04-27,46.4865
2020-04-28,46.1006
2020-04-29,46.1866
2020-04-30,45.2624
2020-05-01,45.3253
2020-05-02,45.3253
2020-05-03,45.3253
2020-05-04,44.7023
2020-05-05,44.7693
2020-05-06,45.001
2020-05-07,44.3763
2020-05-08,46.0924
2020-05-09,46.0924
2020-05-10,46.0924
2020-05-11,45.96
2020-05-12,45.6886
2020-05-13,45.3423
2020-05-14,44.8501
2020-05-15,44.4636
2020-05-16,44.4636
2020-05-17,44.4636
2020-05-18,45.8666
2020-05-19,45.02
2020-05-20,45.2583
2020-05-21,43.7211
2020-05-22,45.4882
2020-05-23,45.4882
2020-05-24,45.4882
2020-05-25,45.4882
2020-05-26,44.2068
2020-05-27,47.8567
2020-05-28,49.9336
2020-05-29,49.7238
2020-05-30,49.7238
2020-05-31,49.7238
2020-06-01,50.2642
2020-06-02,50.8111
2020-06-03,48.6279
2020-06-04,48.0578
2020-06-05,49.6127
2020-06-06,49.6127
2020-06-07,49.6127
2020-06-08,49.7906
2020-06-09,48.0139
2020-06-10,49.595
2020-06-11,45.1276
2020-06-12,45.144
2020-06-13,45.144
2020-06-14,45.144
2020-06-15,45.996
2020-06-16,48.0029
2020-06-17,47.778
2020-06-18,47.9965
2020-06-19,45.6488
2020-06-20,45.6488
2020-06-21,45.6488
2020-06-22,46.6191
2020-06-23,46.3799
2020-06-24,44.6446
2020-06-25,45.2883
2020-06-26,43.1662
2020-06-27,43.1662
2020-06-28,43.1662
2020-06-29,44.8351
2020-06-30,46.6847
2020-07-01,47.1408
2020-07-02,46.9249
2020-07-03,46.9249
2020-07-04,46.9249
2020-07-05,46.9249
2020-07-06,46.5768
2020-07-07,46.4032
2020-07-08,45.7589
2020-07-09,44.219
2020-07-10,45.295
2020-07-11,45.295
2020-07-12,45.295
2020-07-13,45.4365
2020-07-14,49.5114
2020-07-15,49.7096
2020-07-16,52.0932
2020-07-17,53.8925
2020-07-18,53.8925
2020-07-19,53.8925
2020-07-20,52.9534
2020-07-21,54.6082
2020-07-22,55.6394
2020-07-23,61.7856
2020-07-24,61.0627
2020-07-25,61.0627
2020-07-26,61.0627
2020-07-27,61.5
2020-07-28,60.851
2020-07-29,60.912
2020-07-30,60.2808
2020-07-31,60.3788
2020-08-01,60.3788
2020-08-02,60.3788
2020-08-03,59.7812
2020-08-04,58.9591
2020-08-05,56.4135
2020-08-06,57.7159
2020-08-07,57.9481
2020-08-08,57.9481
2020-08-09,57.9481
2020-08-10,57.9481
2020-08-11,56.0895
2020-08-12,59.4395
2020-08-13,59.935
2020-08-14,59.2543
2020-08-15,59.2543
2020-08-16,59.2543
2020-08-17,61.3091
2020-08-18,62.4026
2020-08-19,59.8607
2020-08-20,60.5762
2020-08-21,60.1377
2020-08-22,60.1377
2020-08-23,60.1377
2020-08-24,61.4508
2020-08-25,61.1994
2020-08-26,61.6576
2020-08-27,60.9594
2020-08-28,61.461
2020-08-29,61.461
2020-08-30,61.461
2020-08-31,60.5594
2020-09-01,60.2005
2020-09-02,61.2796
2020-09-03,59.5104
2020-09-04,60.0062
2020-09-05,60.0062
2020-09-06,60.0062
2020-09-07,60.0062
2020-09-08,54.8286
2020-09-09,57.3802
2020-09-10,53.7136
2020-09-11,54.1265
2020-09-12,54.1265
2020-09-13,54.1265
2020-09-14,52.7358
2020-09-15,52.5125
2020-09-16,50.9096
2020-09-17,47.4078
2020-09-18,45.5059
2020-09-19,45.5059
2020-09-20,45.5059
2020-09-21,43.3211
2020-09-22,43.9446
2020-09-23,40.6226
2020-09-24,45.225
2020-09-25,47.5798
2020-09-26,47.5798
2020-09-27,47.5798
2020-09-28,48.6721
2020-09-29,49.6238
2020-09-30,52.1533
2020-10-01,52.8258
2020-10-02,51.5429
2020-10-03,51.5429
2020-10-04,51.5429
2020-10-05,52.5462
2020-10-06,49.7744
2020-10-07,51.9685
2020-10-08,52.0855
2020-10-09,54.5163
2020-10-10,54.5163
2020-10-11,54.5163
2020-10-12,57.1171
2020-10-13,57.8997
2020-10-14,58.5302
2020-10-15,59.4917
2020-10-16,58.7501
2020-10-17,58.7501
2020-10-18,58.7501
2020-10-19,55.2983
2020-10-20,54.4504
2020-10-21,52.6978
2020-10-22,52.5095
2020-10-23,53.6118
2020-10-24,53.6118
2020-10-25,53.6118
2020-10-26,50.7163
2020-10-27,48.561
2020-10-28,43.7014
2020-10-29,43.3156
2020-10-30,42.9236
2020-10-31,42.9236
2020-11-01,42.9236
2020-11-02,47.3471
2020-11-03,49.7035
2020-11-04,51.1264
2020-11-05,51.8881
2020-11-06,56.9375
2020-11-07,56.9375
2020-11-08,56.9375
2020-11-09,57.2469
2020-11-10,59.6291
2020-11-11,60.8721
2020-11-12,60.734
2020-11-13,61.1355
2020-11-14,61.1355
2020-11-15,61.1355
2020-11-16,62.1547
2020-11-17,59.0238
2020-11-18,55.9738
2020-11-19,55.4068
2020-11-20,53.3305
2020-11-21,53.3305
2020-11-22,53.3305
2020-11-23,52.1452
2020-11-24,53.6919
2020-11-25,53.614
2020-11-26,53.614
2020-11-27,53.4801
2020-11-28,53.4801
2020-11-29,53.4801
2020-11-30,53.26
2020-12-01,55.7891
2020-12-02,54.6648
2020-12-03,55.3483
2020-12-04,56.5629
2020-12-05,56.5629
2020-12-06,56.5629
2020-12-07,54.8559
2020-12-08,55.9443
2020-12-09,57.695
2020-12-10,54.1012
2020-12-11,53.2711
2020-12-12,53.2711
2020-12-13,53.2711
2020-12-14,53.3088
2020-12-15,54.6823
2020-12-16,54.7455
2020-12-17,56.4173
2020-12-18,55.2582
2020-12-19,55.2582
2020-12-20,55.2582
2020-12-21,53.3628
2020-12-22,51.7961
2020-12-23,52.9369
2020-12-24,53.6209
2020-12-25,53.6209
2020-12-26,53.6209
2020-12-27,53.6209
2020-12-28,56.065
2020-12-29,55.4764
2020-12-30,53.9944
2020-12-31,56.379
2021-01-01,56.379
2021-01-02,56.379
2021-01-03,56.379
2021-01-04,54.0754
2021-01-05,53.8051
2021-01-06,54.5381
2021-01-07,54.3865
2021-01-08,55.6064
2021-01-09,55.6064
2021-01-10,55.6064
2021-01-11,52.3716
2021-01-12,51.2001
2021-01-13,52.0214
2021-01-14,48.1412
2021-01-15,49.754
2021-01-16,49.754
2021-01-17,49.754
2021-01-18,49.754
2021-01-19,50.2008
2021-01-20,51.553
2021-01-21,50.5051
2021-01-22,49.2621
2021-01-23,49.2621
2021-01-24,49.2621
2021-01-25,48.2078
2021-01-26,51.4035
2021-01-27,46.4429
2021-01-28,49.501
2021-01-29,45.7919
2021-01-30,45.7919
2021-01-31,45.7919
2021-02-01,45.3729
2021-02-02,48.3507
2021-02-03,47.6291
2021-02-04,48.5701
2021-02-05,47.711
2021-02-06,47.711
2021-02-07,47.711
2021-02-08,51.6099
2021-02-09,52.0032
