,FHI US Equity
,RSI_30D
2020-01-01,52.1171
2020-01-02,53.4555
2020-01-03,51.674
2020-01-04,51.674
2020-01-05,51.674
2020-01-06,51.674
2020-01-07,54.2031
2020-01-08,56.2743
2020-01-09,56.6606
2020-01-10,54.8439
2020-01-11,54.8439
2020-01-12,54.8439
2020-01-13,58.5858
2020-01-14,59.336
2020-01-15,59.9539
2020-01-16,60.3545
2020-01-17,57.3223
2020-01-18,57.3223
2020-01-19,57.3223
2020-01-20,57.3223
2020-01-21,56.6186
2020-01-22,58.6703
2020-01-23,59.2727
2020-01-24,55.7791
2020-01-25,55.7791
2020-01-26,55.7791
2020-01-27,56.9458
2020-01-28,57.43
2020-01-29,57.0319
2020-01-30,60.2172
2020-01-31,65.7454
2020-02-01,65.7454
2020-02-02,65.7454
2020-02-03,69.3681
2020-02-04,69.5405
2020-02-05,69.4058
2020-02-06,69.6203
2020-02-07,63.3799
2020-02-08,63.3799
2020-02-09,63.3799
2020-02-10,63.7338
2020-02-11,63.8062
2020-02-12,62.2635
2020-02-13,63.1093
2020-02-14,58.1455
2020-02-15,58.1455
2020-02-16,58.1455
2020-02-17,58.1455
2020-02-18,59.6063
2020-02-19,62.1496
2020-02-20,61.0808
2020-02-21,56.5532
2020-02-22,56.5532
2020-02-23,56.5532
2020-02-24,51.8868
2020-02-25,45.544
2020-02-26,44.6693
2020-02-27,37.8672
2020-02-28,33.3838
2020-02-29,33.3838
2020-03-01,33.3838
2020-03-02,41.3446
2020-03-03,38.7507
2020-03-04,36.1115
2020-03-05,32.1759
2020-03-06,32.7004
2020-03-07,32.7004
2020-03-08,32.7004
2020-03-09,27.3722
2020-03-10,34.0704
2020-03-11,30.0329
2020-03-12,26.6499
2020-03-13,30.3658
2020-03-14,30.3658
2020-03-15,30.3658
2020-03-16,27.9449
2020-03-17,28.9576
2020-03-18,26.9343
2020-03-19,32.4678
2020-03-20,29.9761
2020-03-21,29.9761
2020-03-22,29.9761
2020-03-23,27.6003
2020-03-24,31.3211
2020-03-25,33.4222
2020-03-26,38.4256
2020-03-27,37.6452
2020-03-28,37.6452
2020-03-29,37.6452
2020-03-30,39.5503
2020-03-31,39.2997
2020-04-01,37.9374
2020-04-02,39.437
2020-04-03,38.3677
2020-04-04,38.3677
2020-04-05,38.3677
2020-04-06,40.7491
2020-04-07,41.6055
2020-04-08,42.1315
2020-04-09,44.5321
2020-04-10,44.5321
2020-04-11,44.5321
2020-04-12,44.5321
2020-04-13,43.1062
2020-04-14,43.0804
2020-04-15,42.3487
2020-04-16,42.4751
2020-04-17,44.8163
2020-04-18,44.8163
2020-04-19,44.8163
2020-04-20,44.2896
2020-04-21,43.4894
2020-04-22,44.7255
2020-04-23,44.203
2020-04-24,44.8504
2020-04-25,44.8504
2020-04-26,44.8504
2020-04-27,47.9556
2020-04-28,48.2232
2020-04-29,48.6783
2020-04-30,48.5371
2020-05-01,46.1479
2020-05-02,46.1479
2020-05-03,46.1479
2020-05-04,48.6491
2020-05-05,47.5416
2020-05-06,47.7147
2020-05-07,47.5524
2020-05-08,48.1275
2020-05-09,48.1275
2020-05-10,48.1275
2020-05-11,48.8528
2020-05-12,45.5405
2020-05-13,46.3107
2020-05-14,46.142
2020-05-15,44.7546
2020-05-16,44.7546
2020-05-17,44.7546
2020-05-18,47.7003
2020-05-19,46.8707
2020-05-20,49.5114
2020-05-21,48.789
2020-05-22,48.2628
2020-05-23,48.2628
2020-05-24,48.2628
2020-05-25,48.2628
2020-05-26,52.0106
2020-05-27,53.1675
2020-05-28,51.2503
2020-05-29,48.9766
2020-05-30,48.9766
2020-05-31,48.9766
2020-06-01,50.4388
2020-06-02,51.0833
2020-06-03,54.5246
2020-06-04,54.4146
2020-06-05,56.381
2020-06-06,56.381
2020-06-07,56.381
2020-06-08,57.1598
2020-06-09,55.1458
2020-06-10,53.444
2020-06-11,48.8292
2020-06-12,50.4616
2020-06-13,50.4616
2020-06-14,50.4616
2020-06-15,50.833
2020-06-16,52.0467
2020-06-17,51.5162
2020-06-18,51.171
2020-06-19,51.3607
2020-06-20,51.3607
2020-06-21,51.3607
2020-06-22,51.1096
2020-06-23,51.2887
2020-06-24,48.7701
2020-06-25,50.3213
2020-06-26,47.4799
2020-06-27,47.4799
2020-06-28,47.4799
2020-06-29,50.012
2020-06-30,50.9596
2020-07-01,49.3614
2020-07-02,50.0687
2020-07-03,50.0687
2020-07-04,50.0687
2020-07-05,50.0687
2020-07-06,51.2058
2020-07-07,49.034
2020-07-08,48.9427
2020-07-09,46.0988
2020-07-10,47.528
2020-07-11,47.528
2020-07-12,47.528
2020-07-13,46.7977
2020-07-14,48.1951
2020-07-15,49.8263
2020-07-16,49.0395
2020-07-17,49.0647
2020-07-18,49.0647
2020-07-19,49.0647
2020-07-20,48.2256
2020-07-21,51.0288
2020-07-22,51.8139
2020-07-23,51.3878
2020-07-24,51.116
2020-07-25,51.116
2020-07-26,51.116
2020-07-27,52.4178
2020-07-28,51.7337
2020-07-29,54.0596
2020-07-30,53.6731
2020-07-31,57.9981
2020-08-01,57.9981
2020-08-02,57.9981
2020-08-03,57.8437
2020-08-04,55.4622
2020-08-05,56.484
2020-08-06,55.9535
2020-08-07,58.1538
2020-08-08,58.1538
2020-08-09,58.1538
2020-08-10,57.9909
2020-08-11,58.4246
2020-08-12,59.5523
2020-08-13,57.2617
2020-08-14,56.2266
2020-08-15,56.2266
2020-08-16,56.2266
2020-08-17,55.7557
2020-08-18,54.4747
2020-08-19,54.5884
2020-08-20,52.3257
2020-08-21,52.0591
2020-08-22,52.0591
2020-08-23,52.0591
2020-08-24,53.4987
2020-08-25,52.0203
2020-08-26,49.9291
2020-08-27,51.806
2020-08-28,50.8699
2020-08-29,50.8699
2020-08-30,50.8699
2020-08-31,48.7853
2020-09-01,49.5209
2020-09-02,50.881
2020-09-03,48.4125
