,SSB US Equity
,RSI_30D
2020-01-01,69.1409
2020-01-02,69.4292
2020-01-03,69.899
2020-01-04,69.899
2020-01-05,69.899
2020-01-06,68.5497
2020-01-07,62.1533
2020-01-08,63.1617
2020-01-09,63.8178
2020-01-10,62.0348
2020-01-11,62.0348
2020-01-12,62.0348
2020-01-13,63.9326
2020-01-14,63.7006
2020-01-15,62.1151
2020-01-16,64.8563
2020-01-17,63.6991
2020-01-18,63.6991
2020-01-19,63.6991
2020-01-20,63.6991
2020-01-21,59.565
2020-01-22,58.52
2020-01-23,60.0847
2020-01-24,57.3495
2020-01-25,57.3495
2020-01-26,57.3495
2020-01-27,40.5019
2020-01-28,36.352
2020-01-29,34.5621
2020-01-30,39.3544
2020-01-31,35.353
2020-02-01,35.353
2020-02-02,35.353
2020-02-03,40.2443
2020-02-04,44.8516
2020-02-05,48.2949
2020-02-06,47.3296
2020-02-07,44.1039
2020-02-08,44.1039
2020-02-09,44.1039
2020-02-10,43.974
2020-02-11,45.7504
2020-02-12,45.046
2020-02-13,45.1525
2020-02-14,44.5627
2020-02-15,44.5627
2020-02-16,44.5627
2020-02-17,44.5627
2020-02-18,43.7917
2020-02-19,43.0921
2020-02-20,44.2496
2020-02-21,43.6129
2020-02-22,43.6129
2020-02-23,43.6129
2020-02-24,42.1012
2020-02-25,38.9505
2020-02-26,37.0732
2020-02-27,32.2843
2020-02-28,29.8264
2020-02-29,29.8264
2020-03-01,29.8264
2020-03-02,36.1053
2020-03-03,34.1213
2020-03-04,38.2374
2020-03-05,35.6824
2020-03-06,34.6646
2020-03-07,34.6646
2020-03-08,34.6646
2020-03-09,27.2843
2020-03-10,30.4523
2020-03-11,27.808
2020-03-12,25.7202
2020-03-13,34.3202
2020-03-14,34.3202
2020-03-15,34.3202
2020-03-16,31.3603
2020-03-17,36.0508
2020-03-18,38.1504
2020-03-19,44.6755
2020-03-20,39.5528
2020-03-21,39.5528
2020-03-22,39.5528
2020-03-23,36.7135
2020-03-24,39.5589
2020-03-25,38.9684
2020-03-26,43.4714
2020-03-27,42.1799
2020-03-28,42.1799
2020-03-29,42.1799
2020-03-30,42.3833
2020-03-31,41.6385
2020-04-01,39.7874
2020-04-02,39.1143
2020-04-03,36.935
2020-04-04,36.935
2020-04-05,36.935
2020-04-06,41.1297
2020-04-07,40.093
2020-04-08,40.5223
2020-04-09,46.4384
2020-04-10,46.4384
2020-04-11,46.4384
2020-04-12,46.4384
2020-04-13,43.837
2020-04-14,43.2301
2020-04-15,40.79
2020-04-16,39.3344
2020-04-17,43.2019
2020-04-18,43.2019
2020-04-19,43.2019
2020-04-20,43.1676
2020-04-21,41.9893
2020-04-22,41.3794
2020-04-23,40.3151
2020-04-24,43.384
2020-04-25,43.384
2020-04-26,43.384
2020-04-27,44.832
2020-04-28,46.2101
2020-04-29,48.7363
2020-04-30,47.1416
2020-05-01,44.1352
2020-05-02,44.1352
2020-05-03,44.1352
2020-05-04,45.603
2020-05-05,44.1568
2020-05-06,42.6754
2020-05-07,43.6813
2020-05-08,45.0396
2020-05-09,45.0396
2020-05-10,45.0396
2020-05-11,42.704
2020-05-12,41.2993
2020-05-13,39.4703
2020-05-14,40.1173
2020-05-15,39.9328
2020-05-16,39.9328
2020-05-17,39.9328
2020-05-18,43.1061
2020-05-19,41.8359
2020-05-20,43.8577
2020-05-21,43.4395
2020-05-22,43.2576
2020-05-23,43.2576
2020-05-24,43.2576
2020-05-25,43.2576
2020-05-26,47.6752
2020-05-27,50.5044
2020-05-28,48.6126
2020-05-29,47.9795
2020-05-30,47.9795
2020-05-31,47.9795
2020-06-01,48.3093
2020-06-02,47.6358
2020-06-03,50.7758
2020-06-04,51.7252
2020-06-05,53.4791
2020-06-06,53.4791
2020-06-07,53.4791
2020-06-08,55.8426
2020-06-09,53.9447
2020-06-10,51.5127
2020-06-11,47.4375
2020-06-12,48.124
2020-06-13,48.124
2020-06-14,48.124
2020-06-15,47.0219
2020-06-16,48.3113
2020-06-17,47.1895
