,MTZ US Equity
,RSI_30D
2020-01-01,47.6889
2020-01-02,46.9106
2020-01-03,47.0248
2020-01-04,47.0248
2020-01-05,47.0248
2020-01-06,48.1589
2020-01-07,46.467
2020-01-08,46.1558
2020-01-09,44.5107
2020-01-10,43.6392
2020-01-11,43.6392
2020-01-12,43.6392
2020-01-13,44.9892
2020-01-14,47.0709
2020-01-15,46.9606
2020-01-16,48.0725
2020-01-17,47.9548
2020-01-18,47.9548
2020-01-19,47.9548
2020-01-20,47.9548
2020-01-21,47.0996
2020-01-22,47.505
2020-01-23,45.5394
2020-01-24,42.5997
2020-01-25,42.5997
2020-01-26,42.5997
2020-01-27,40.6907
2020-01-28,38.5647
2020-01-29,38.0813
2020-01-30,38.7728
2020-01-31,37.614
2020-02-01,37.614
2020-02-02,37.614
2020-02-03,37.5818
2020-02-04,39.0955
2020-02-05,40.1676
2020-02-06,37.9068
2020-02-07,37.0505
2020-02-08,37.0505
2020-02-09,37.0505
2020-02-10,36.6389
2020-02-11,44.07
2020-02-12,46.4098
2020-02-13,46.874
2020-02-14,46.3792
2020-02-15,46.3792
2020-02-16,46.3792
2020-02-17,46.3792
2020-02-18,46.5194
2020-02-19,48.5148
2020-02-20,48.722
2020-02-21,48.9345
2020-02-22,48.9345
2020-02-23,48.9345
2020-02-24,42.9227
2020-02-25,38.4962
2020-02-26,34.7349
2020-02-27,33.5784
2020-02-28,29.8862
2020-02-29,29.8862
2020-03-01,29.8862
2020-03-02,33.616
2020-03-03,32.0885
2020-03-04,35.5887
2020-03-05,33.2198
2020-03-06,30.888
2020-03-07,30.888
2020-03-08,30.888
2020-03-09,24.4717
2020-03-10,24.2902
2020-03-11,22.2377
2020-03-12,18.9557
2020-03-13,22.0035
2020-03-14,22.0035
2020-03-15,22.0035
2020-03-16,21.5904
2020-03-17,21.0854
2020-03-18,19.7385
2020-03-19,25.8587
2020-03-20,25.5851
2020-03-21,25.5851
2020-03-22,25.5851
2020-03-23,25.2
2020-03-24,29.1644
2020-03-25,30.5108
2020-03-26,33.4081
2020-03-27,31.9632
2020-03-28,31.9632
2020-03-29,31.9632
2020-03-30,33.9294
2020-03-31,36.2683
2020-04-01,33.6256
2020-04-02,36.012
2020-04-03,35.7377
2020-04-04,35.7377
2020-04-05,35.7377
2020-04-06,39.1433
