,BRK/A US Equity
,RSI_30D
2020-01-01,67.5356
2020-01-02,69.5047
2020-01-03,64.7781
2020-01-04,64.7781
2020-01-05,64.7781
2020-01-06,65.6001
2020-01-07,63.6922
2020-01-08,63.9301
2020-01-09,67.0972
2020-01-10,62.7893
2020-01-11,62.7893
2020-01-12,62.7893
2020-01-13,64.8164
2020-01-14,62.004
2020-01-15,63.4132
2020-01-16,64.8432
2020-01-17,65.1781
2020-01-18,65.1781
2020-01-19,65.1781
2020-01-20,65.1781
2020-01-21,62.1238
2020-01-22,63.6796
2020-01-23,63.3043
2020-01-24,58.0856
2020-01-25,58.0856
2020-01-26,58.0856
2020-01-27,51.2628
2020-01-28,53.3144
2020-01-29,53.7177
2020-01-30,58.0662
2020-01-31,52.5181
2020-02-01,52.5181
2020-02-02,52.5181
2020-02-03,51.554
2020-02-04,53.543
2020-02-05,57.2273
2020-02-06,58.1954
2020-02-07,55.3819
2020-02-08,55.3819
2020-02-09,55.3819
2020-02-10,54.9165
2020-02-11,55.2191
2020-02-12,55.3818
2020-02-13,53.1137
2020-02-14,54.4445
2020-02-15,54.4445
2020-02-16,54.4445
2020-02-17,54.4445
2020-02-18,54.004
2020-02-19,57.1879
2020-02-20,55.4359
2020-02-21,56.412
2020-02-22,56.412
2020-02-23,56.412
2020-02-24,48.0029
2020-02-25,44.5291
2020-02-26,42.2736
2020-02-27,36.2712
2020-02-28,34.7327
2020-02-29,34.7327
2020-03-01,34.7327
2020-03-02,45.2393
2020-03-03,40.5936
2020-03-04,47.0785
2020-03-05,42.6868
2020-03-06,41.2187
2020-03-07,41.2187
2020-03-08,41.2187
2020-03-09,34.9015
2020-03-10,40.9746
2020-03-11,37.891
2020-03-12,33.3227
2020-03-13,39.6765
2020-03-14,39.6765
2020-03-15,39.6765
2020-03-16,35.3695
2020-03-17,39.3423
2020-03-18,34.9917
2020-03-19,36.6235
2020-03-20,35.8727
2020-03-21,35.8727
2020-03-22,35.8727
2020-03-23,33.0723
2020-03-24,40.568
2020-03-25,41.4862
2020-03-26,42.8153
2020-03-27,41.3637
2020-03-28,41.3637
2020-03-29,41.3637
2020-03-30,42.8466
2020-03-31,42.4657
2020-04-01,40.4855
2020-04-02,43.0964
2020-04-03,42.4333
2020-04-04,42.4333
2020-04-05,42.4333
2020-04-06,44.7574
2020-04-07,44.6452
2020-04-08,47.1652
2020-04-09,47.9977
2020-04-10,47.9977
2020-04-11,47.9977
2020-04-12,47.9977
2020-04-13,46.3366
2020-04-14,48.0118
2020-04-15,46.7101
2020-04-16,46.3907
2020-04-17,46.9323
2020-04-18,46.9323
2020-04-19,46.9323
2020-04-20,46.5647
2020-04-21,44.9595
2020-04-22,46.027
2020-04-23,45.813
2020-04-24,46.0156
2020-04-25,46.0156
2020-04-26,46.0156
2020-04-27,46.5407
2020-04-28,46.369
2020-04-29,47.6185
2020-04-30,46.7897
2020-05-01,44.7486
2020-05-02,44.7486
2020-05-03,44.7486
2020-05-04,43.0159
2020-05-05,42.3273
2020-05-06,41.0693
2020-05-07,41.6409
2020-05-08,43.2053
2020-05-09,43.2053
2020-05-10,43.2053
2020-05-11,42.2537
2020-05-12,41.8388
2020-05-13,40.7316
2020-05-14,40.9259
2020-05-15,40.2031
2020-05-16,40.2031
2020-05-17,40.2031
2020-05-18,43.743
2020-05-19,42.5779
2020-05-20,44.5426
2020-05-21,43.9111
2020-05-22,44.353
2020-05-23,44.353
2020-05-24,44.353
2020-05-25,44.353
2020-05-26,46.9848
2020-05-27,49.7585
2020-05-28,49.2816
2020-05-29,49.8285
2020-05-30,49.8285
2020-05-31,49.8285
2020-06-01,48.7975
2020-06-02,49.8428
2020-06-03,52.4001
2020-06-04,52.9889
2020-06-05,57.0021
2020-06-06,57.0021
2020-06-07,57.0021
2020-06-08,57.3816
2020-06-09,54.2622
2020-06-10,51.8819
2020-06-11,45.8805
2020-06-12,47.1111
2020-06-13,47.1111
2020-06-14,47.1111
2020-06-15,47.2556
2020-06-16,47.7659
2020-06-17,48.2821
2020-06-18,47.6412
2020-06-19,47.1877
2020-06-20,47.1877
2020-06-21,47.1877
2020-06-22,47.3358
2020-06-23,47.602
2020-06-24,45.4757
2020-06-25,46.0334
2020-06-26,44.5388
2020-06-27,44.5388
2020-06-28,44.5388
2020-06-29,45.2916
2020-06-30,46.1566
