,BLKB US Equity
,RSI_30D
2020-01-01,42.7843
2020-01-02,46.0645
2020-01-03,41.9383
2020-01-04,41.9383
2020-01-05,41.9383
2020-01-06,43.5278
2020-01-07,40.7577
2020-01-08,41.4251
2020-01-09,44.3782
2020-01-10,43.2236
2020-01-11,43.2236
2020-01-12,43.2236
2020-01-13,47.3719
2020-01-14,46.3373
2020-01-15,46.2415
2020-01-16,50.7323
2020-01-17,50.1022
2020-01-18,50.1022
2020-01-19,50.1022
2020-01-20,50.1022
2020-01-21,50.3696
2020-01-22,50.9139
2020-01-23,48.4811
2020-01-24,46.3684
2020-01-25,46.3684
2020-01-26,46.3684
2020-01-27,48.7652
2020-01-28,48.5002
2020-01-29,46.4899
2020-01-30,46.8092
2020-01-31,43.4739
2020-02-01,43.4739
2020-02-02,43.4739
2020-02-03,46.1215
2020-02-04,45.7773
2020-02-05,40.1318
2020-02-06,45.4568
2020-02-07,44.9949
2020-02-08,44.9949
2020-02-09,44.9949
2020-02-10,44.1335
2020-02-11,51.2132
2020-02-12,48.9077
2020-02-13,52.0686
2020-02-14,50.7624
2020-02-15,50.7624
2020-02-16,50.7624
2020-02-17,50.7624
2020-02-18,47.4178
2020-02-19,45.7272
2020-02-20,44.0053
2020-02-21,42.2904
2020-02-22,42.2904
2020-02-23,42.2904
2020-02-24,41.0019
2020-02-25,39.5052
2020-02-26,38.8639
2020-02-27,34.8102
2020-02-28,33.4468
2020-02-29,33.4468
2020-03-01,33.4468
2020-03-02,37.418
2020-03-03,35.0227
2020-03-04,37.7645
2020-03-05,36.369
2020-03-06,35.0675
2020-03-07,35.0675
2020-03-08,35.0675
2020-03-09,30.9992
2020-03-10,35.4362
2020-03-11,32.8568
2020-03-12,28.4808
2020-03-13,30.3702
2020-03-14,30.3702
2020-03-15,30.3702
2020-03-16,24.4622
2020-03-17,25.1624
2020-03-18,23.1673
2020-03-19,33.2641
2020-03-20,35.7607
2020-03-21,35.7607
2020-03-22,35.7607
2020-03-23,34.3977
2020-03-24,37.5681
2020-03-25,36.217
2020-03-26,42.222
2020-03-27,40.1965
2020-03-28,40.1965
2020-03-29,40.1965
2020-03-30,41.1133
2020-03-31,42.1375
2020-04-01,40.2766
2020-04-02,40.9073
2020-04-03,38.5593
2020-04-04,38.5593
2020-04-05,38.5593
2020-04-06,39.2412
2020-04-07,38.0737
2020-04-08,40.1513
2020-04-09,43.6827
2020-04-10,43.6827
2020-04-11,43.6827
2020-04-12,43.6827
2020-04-13,42.7482
2020-04-14,42.7811
2020-04-15,41.0959
2020-04-16,40.4274
2020-04-17,41.8344
2020-04-18,41.8344
2020-04-19,41.8344
2020-04-20,41.209
2020-04-21,41.0124
2020-04-22,40.8887
2020-04-23,40.3847
2020-04-24,40.7624
2020-04-25,40.7624
2020-04-26,40.7624
2020-04-27,44.4598
2020-04-28,45.9427
2020-04-29,47.9503
2020-04-30,47.0427
2020-05-01,45.5085
2020-05-02,45.5085
2020-05-03,45.5085
2020-05-04,45.4698
2020-05-05,47.4948
2020-05-06,47.5133
2020-05-07,46.222
2020-05-08,46.163
2020-05-09,46.163
2020-05-10,46.163
2020-05-11,44.7533
2020-05-12,43.4426
2020-05-13,42.0102
2020-05-14,42.3389
2020-05-15,44.6747
2020-05-16,44.6747
2020-05-17,44.6747
2020-05-18,46.7313
2020-05-19,47.6817
2020-05-20,48.9055
2020-05-21,49.9674
2020-05-22,50.1677
2020-05-23,50.1677
2020-05-24,50.1677
2020-05-25,50.1677
2020-05-26,51.1289
2020-05-27,54.591
2020-05-28,51.6702
2020-05-29,51.8415
2020-05-30,51.8415
2020-05-31,51.8415
2020-06-01,52.8409
2020-06-02,53.1792
2020-06-03,54.3596
2020-06-04,53.0774
2020-06-05,56.0036
2020-06-06,56.0036
2020-06-07,56.0036
2020-06-08,55.2285
2020-06-09,52.4598
2020-06-10,50.7547
2020-06-11,47.9723
2020-06-12,49.0095
2020-06-13,49.0095
2020-06-14,49.0095
2020-06-15,51.8104
2020-06-16,53.895
2020-06-17,51.2307
2020-06-18,52.1414
2020-06-19,52.4095
2020-06-20,52.4095
2020-06-21,52.4095
2020-06-22,50.9848
2020-06-23,51.4299
2020-06-24,49.0922
2020-06-25,49.5918
2020-06-26,47.3714
2020-06-27,47.3714
2020-06-28,47.3714
2020-06-29,49.1408
2020-06-30,49.0989
2020-07-01,50.8443
2020-07-02,50.7884
2020-07-03,50.7884
2020-07-04,50.7884
2020-07-05,50.7884
2020-07-06,51.6687
2020-07-07,49.3187
2020-07-08,49.8569
2020-07-09,49.0881
2020-07-10,49.5089
2020-07-11,49.5089
2020-07-12,49.5089
2020-07-13,47.9964
2020-07-14,45.6162
2020-07-15,46.7826
2020-07-16,45.0472
2020-07-17,46.1715
2020-07-18,46.1715
2020-07-19,46.1715
2020-07-20,47.1981
2020-07-21,48.0032
2020-07-22,48.2271
2020-07-23,47.4683
2020-07-24,47.629
2020-07-25,47.629
2020-07-26,47.629
2020-07-27,46.7605
2020-07-28,47.2762
2020-07-29,49.4334
2020-07-30,59.1467
2020-07-31,55.9835
2020-08-01,55.9835
2020-08-02,55.9835
2020-08-03,57.4187
2020-08-04,57.2855
2020-08-05,57.3469
2020-08-06,59.2665
2020-08-07,60.2692
2020-08-08,60.2692
2020-08-09,60.2692
2020-08-10,58.5889
2020-08-11,57.1121
2020-08-12,55.7152
2020-08-13,55.8381
2020-08-14,55.577
2020-08-15,55.577
2020-08-16,55.577
2020-08-17,54.9858
2020-08-18,56.1792
2020-08-19,57.8264
2020-08-20,58.3321
2020-08-21,57.5134
2020-08-22,57.5134
2020-08-23,57.5134
2020-08-24,57.0459
2020-08-25,57.1092
2020-08-26,55.3385
2020-08-27,54.6376
2020-08-28,57.2265
2020-08-29,57.2265
2020-08-30,57.2265
2020-08-31,54.0517
2020-09-01,55.9886
2020-09-02,57.1133
2020-09-03,50.8056
2020-09-04,48.1472
2020-09-05,48.1472
2020-09-06,48.1472
2020-09-07,48.1472
2020-09-08,44.8989
2020-09-09,45.0126
2020-09-10,45.9785
2020-09-11,44.9782
2020-09-12,44.9782
2020-09-13,44.9782
2020-09-14,43.6368
2020-09-15,44.9263
2020-09-16,44.9263
2020-09-17,43.7542
2020-09-18,44.4793
2020-09-19,44.4793
2020-09-20,44.4793
2020-09-21,46.2936
2020-09-22,48.8854
2020-09-23,46.4576
2020-09-24,44.8237
2020-09-25,45.5721
2020-09-26,45.5721
2020-09-27,45.5721
2020-09-28,47.2977
2020-09-29,46.4944
2020-09-30,44.5445
2020-10-01,44.0505
2020-10-02,42.4856
2020-10-03,42.4856
2020-10-04,42.4856
2020-10-05,44.9403
2020-10-06,46.5971
2020-10-07,48.0435
2020-10-08,50.0306
2020-10-09,51.3857
2020-10-10,51.3857
2020-10-11,51.3857
2020-10-12,50.0569
2020-10-13,48.3945
2020-10-14,46.7185
2020-10-15,48.105
2020-10-16,48.7943
2020-10-17,48.7943
2020-10-18,48.7943
2020-10-19,48.8422
2020-10-20,49.0886
2020-10-21,49.1224
2020-10-22,49.5899
2020-10-23,47.6281
2020-10-24,47.6281
2020-10-25,47.6281
2020-10-26,48.7222
2020-10-27,49.6498
2020-10-28,48.3789
2020-10-29,39.4259
2020-10-30,36.983
2020-10-31,36.983
2020-11-01,36.983
2020-11-02,36.0001
2020-11-03,38.01
2020-11-04,35.9589
2020-11-05,41.7924
2020-11-06,40.498
2020-11-07,40.498
2020-11-08,40.498
2020-11-09,43.539
2020-11-10,43.5154
2020-11-11,43.626
2020-11-12,41.9856
2020-11-13,44.9367
2020-11-14,44.9367
2020-11-15,44.9367
2020-11-16,44.8478
2020-11-17,46.4435
2020-11-18,46.7404
2020-11-19,46.9645
2020-11-20,46.4875
2020-11-21,46.4875
2020-11-22,46.4875
2020-11-23,49.4491
2020-11-24,51.9462
2020-11-25,51.1172
2020-11-26,51.1172
2020-11-27,50.0264
2020-11-28,50.0264
2020-11-29,50.0264
2020-11-30,49.2346
2020-12-01,51.7002
2020-12-02,49.2268
2020-12-03,50.0049
2020-12-04,52.1298
2020-12-05,52.1298
2020-12-06,52.1298
2020-12-07,50.9928
2020-12-08,52.6044
2020-12-09,50.9207
2020-12-10,50.8721
2020-12-11,50.2765
2020-12-12,50.2765
2020-12-13,50.2765
2020-12-14,52.4825
2020-12-15,52.9053
2020-12-16,52.5648
2020-12-17,52.4729
2020-12-18,50.2018
2020-12-19,50.2018
2020-12-20,50.2018
2020-12-21,51.4029
2020-12-22,55.417
2020-12-23,55.3411
2020-12-24,54.682
2020-12-25,54.682
2020-12-26,54.682
2020-12-27,54.682
2020-12-28,52.9363
2020-12-29,51.262
2020-12-30,51.995
2020-12-31,52.1192
2021-01-01,52.1192
2021-01-02,52.1192
2021-01-03,52.1192
2021-01-04,51.3344
2021-01-05,53.0176
2021-01-06,55.77
2021-01-07,57.876
2021-01-08,59.739
2021-01-09,59.739
2021-01-10,59.739
2021-01-11,58.403
2021-01-12,59.2991
2021-01-13,58.0065
2021-01-14,61.0162
2021-01-15,61.1161
2021-01-16,61.1161
2021-01-17,61.1161
2021-01-18,61.1161
2021-01-19,61.394
2021-01-20,63.7091
2021-01-21,62.2032
2021-01-22,63.7808
2021-01-23,63.7808
2021-01-24,63.7808
2021-01-25,63.1115
2021-01-26,64.0318
2021-01-27,67.5358
2021-01-28,63.0253
2021-01-29,61.4442
