,THG US Equity
,RSI_30D
2020-01-01,53.8095
2020-01-02,53.4499
2020-01-03,53.4499
2020-01-04,53.4499
2020-01-05,53.4499
2020-01-06,54.5616
2020-01-07,52.6987
2020-01-08,53.1612
2020-01-09,55.7276
2020-01-10,53.6854
2020-01-11,53.6854
2020-01-12,53.6854
2020-01-13,53.4826
2020-01-14,55.1474
2020-01-15,56.2222
2020-01-16,56.9506
2020-01-17,57.6623
2020-01-18,57.6623
2020-01-19,57.6623
2020-01-20,57.6623
2020-01-21,56.1754
2020-01-22,56.6381
2020-01-23,53.4709
2020-01-24,51.916
2020-01-25,51.916
2020-01-26,51.916
2020-01-27,52.4451
2020-01-28,54.3873
2020-01-29,53.6468
2020-01-30,57.4933
2020-01-31,54.7445
2020-02-01,54.7445
2020-02-02,54.7445
2020-02-03,56.042
2020-02-04,58.0912
2020-02-05,55.9035
2020-02-06,54.0941
2020-02-07,53.8397
2020-02-08,53.8397
2020-02-09,53.8397
2020-02-10,54.0447
2020-02-11,52.276
2020-02-12,50.9141
2020-02-13,51.9659
2020-02-14,52.0069
2020-02-15,52.0069
2020-02-16,52.0069
2020-02-17,52.0069
2020-02-18,51.6654
2020-02-19,51.3862
2020-02-20,51.1479
2020-02-21,49.4631
2020-02-22,49.4631
2020-02-23,49.4631
2020-02-24,44.2022
2020-02-25,37.6394
2020-02-26,38.0028
2020-02-27,31.1329
2020-02-28,25.5534
2020-02-29,25.5534
2020-03-01,25.5534
2020-03-02,36.4368
2020-03-03,33.1356
2020-03-04,36.9395
2020-03-05,33.6854
2020-03-06,33.2152
2020-03-07,33.2152
2020-03-08,33.2152
2020-03-09,28.3917
2020-03-10,32.2442
2020-03-11,28.0772
2020-03-12,23.4564
2020-03-13,32.5192
2020-03-14,32.5192
2020-03-15,32.5192
2020-03-16,26.643
2020-03-17,31.2823
2020-03-18,28.3934
2020-03-19,30.2397
2020-03-20,29.7653
2020-03-21,29.7653
2020-03-22,29.7653
2020-03-23,29.3218
2020-03-24,34.6112
2020-03-25,35.3491
2020-03-26,36.7288
2020-03-27,35.6323
2020-03-28,35.6323
2020-03-29,35.6323
2020-03-30,36.7227
2020-03-31,35.8656
2020-04-01,34.7935
2020-04-02,35.1527
2020-04-03,33.6584
2020-04-04,33.6584
2020-04-05,33.6584
2020-04-06,37.0975
2020-04-07,39.8779
2020-04-08,41.0937
2020-04-09,43.3651
2020-04-10,43.3651
2020-04-11,43.3651
2020-04-12,43.3651
2020-04-13,43.862
2020-04-14,45.2306
2020-04-15,42.1844
2020-04-16,42.3894
2020-04-17,45.2586
2020-04-18,45.2586
2020-04-19,45.2586
2020-04-20,43.9352
2020-04-21,43.7614
2020-04-22,43.1538
2020-04-23,42.9955
2020-04-24,42.6769
2020-04-25,42.6769
2020-04-26,42.6769
2020-04-27,45.5289
2020-04-28,46.5662
2020-04-29,49.0491
2020-04-30,46.6176
2020-05-01,43.9285
2020-05-02,43.9285
2020-05-03,43.9285
2020-05-04,43.2189
2020-05-05,43.1759
2020-05-06,42.1121
2020-05-07,44.1177
2020-05-08,46.0243
2020-05-09,46.0243
2020-05-10,46.0243
2020-05-11,44.9454
2020-05-12,42.1756
2020-05-13,39.417
2020-05-14,39.6397
2020-05-15,39.9898
2020-05-16,39.9898
2020-05-17,39.9898
2020-05-18,43.6287
2020-05-19,42.545
2020-05-20,45.7295
2020-05-21,48.6786
2020-05-22,48.3184
2020-05-23,48.3184
2020-05-24,48.3184
2020-05-25,48.3184
2020-05-26,49.7804
2020-05-27,51.6643
2020-05-28,51.6643
2020-05-29,49.9824
2020-05-30,49.9824
2020-05-31,49.9824
2020-06-01,50.9581
2020-06-02,51.4954
2020-06-03,53.1273
2020-06-04,54.0752
2020-06-05,56.315
2020-06-06,56.315
2020-06-07,56.315
2020-06-08,58.7984
2020-06-09,57.3162
2020-06-10,55.0709
2020-06-11,49.4195
2020-06-12,49.4692
2020-06-13,49.4692
2020-06-14,49.4692
2020-06-15,49.8891
2020-06-16,50.0064
2020-06-17,49.7389
2020-06-18,50.1663
2020-06-19,50.587
2020-06-20,50.587
2020-06-21,50.587
2020-06-22,50.6157
2020-06-23,49.9914
2020-06-24,47.7031
2020-06-25,48.2606
2020-06-26,45.8398
2020-06-27,45.8398
2020-06-28,45.8398
2020-06-29,49.0732
2020-06-30,50.0447
2020-07-01,48.503
2020-07-02,48.1322
2020-07-03,48.1322
2020-07-04,48.1322
2020-07-05,48.1322
2020-07-06,48.3165
2020-07-07,45.9446
2020-07-08,46.9865
2020-07-09,44.4348
2020-07-10,46.3358
2020-07-11,46.3358
2020-07-12,46.3358
2020-07-13,47.1515
2020-07-14,48.5171
2020-07-15,51.3516
2020-07-16,50.5138
2020-07-17,48.6396
2020-07-18,48.6396
2020-07-19,48.6396
2020-07-20,46.806
2020-07-21,49.3643
2020-07-22,49.9325
2020-07-23,50.7009
2020-07-24,50.5045
2020-07-25,50.5045
2020-07-26,50.5045
2020-07-27,48.6059
2020-07-28,49.1468
2020-07-29,50.8605
2020-07-30,51.2665
2020-07-31,51.5959
2020-08-01,51.5959
2020-08-02,51.5959
2020-08-03,52.2971
2020-08-04,51.4971
2020-08-05,52.626
2020-08-06,52.4878
2020-08-07,55.2904
2020-08-08,55.2904
2020-08-09,55.2904
2020-08-10,56.233
2020-08-11,55.976
2020-08-12,54.9689
2020-08-13,54.7716
2020-08-14,55.2333
2020-08-15,55.2333
