,LPLA US Equity
,RSI_30D
2020-01-01,66.6979
2020-01-02,69.1245
2020-01-03,64.5243
2020-01-04,64.5243
2020-01-05,64.5243
2020-01-06,65.0001
2020-01-07,67.8491
2020-01-08,68.9835
2020-01-09,70.8399
2020-01-10,70.9239
2020-01-11,70.9239
2020-01-12,70.9239
2020-01-13,72.5927
2020-01-14,70.2026
2020-01-15,70.0862
2020-01-16,71.5854
2020-01-17,69.4768
2020-01-18,69.4768
2020-01-19,69.4768
2020-01-20,69.4768
2020-01-21,66.4669
2020-01-22,66.7869
2020-01-23,66.078
2020-01-24,60.4733
2020-01-25,60.4733
2020-01-26,60.4733
2020-01-27,55.4469
2020-01-28,58.0293
2020-01-29,57.8736
2020-01-30,60.0444
2020-01-31,52.8655
2020-02-01,52.8655
2020-02-02,52.8655
2020-02-03,50.6573
2020-02-04,53.7599
2020-02-05,56.5701
2020-02-06,55.2716
2020-02-07,55.9928
2020-02-08,55.9928
2020-02-09,55.9928
2020-02-10,54.4003
2020-02-11,57.7803
2020-02-12,57.2735
2020-02-13,56.0494
2020-02-14,55.3155
2020-02-15,55.3155
2020-02-16,55.3155
2020-02-17,55.3155
2020-02-18,54.7828
2020-02-19,59.2878
2020-02-20,60.9942
2020-02-21,53.9894
2020-02-22,53.9894
2020-02-23,53.9894
2020-02-24,44.2805
2020-02-25,41.044
2020-02-26,39.8827
2020-02-27,38.0573
2020-02-28,36.4129
2020-02-29,36.4129
2020-03-01,36.4129
2020-03-02,40.7156
2020-03-03,34.9689
2020-03-04,33.0624
2020-03-05,29.3027
2020-03-06,29.6017
2020-03-07,29.6017
2020-03-08,29.6017
2020-03-09,24.74
2020-03-10,29.6462
2020-03-11,28.5518
2020-03-12,25.4937
2020-03-13,34.4712
2020-03-14,34.4712
2020-03-15,34.4712
2020-03-16,31.4896
2020-03-17,30.506
2020-03-18,26.8246
2020-03-19,31.6834
2020-03-20,31.5535
2020-03-21,31.5535
2020-03-22,31.5535
2020-03-23,30.4027
2020-03-24,37.7156
2020-03-25,39.1139
2020-03-26,40.6202
2020-03-27,39.1735
2020-03-28,39.1735
2020-03-29,39.1735
2020-03-30,40.6067
2020-03-31,40.2911
2020-04-01,39.1966
2020-04-02,38.9601
2020-04-03,37.7641
2020-04-04,37.7641
2020-04-05,37.7641
2020-04-06,40.9531
2020-04-07,40.5701
2020-04-08,41.9042
2020-04-09,43.9715
2020-04-10,43.9715
2020-04-11,43.9715
2020-04-12,43.9715
2020-04-13,42.7693
2020-04-14,43.4188
2020-04-15,42.7005
2020-04-16,41.9667
2020-04-17,42.2918
2020-04-18,42.2918
2020-04-19,42.2918
2020-04-20,41.4798
2020-04-21,40.6929
2020-04-22,41.3385
2020-04-23,41.9373
2020-04-24,42.7564
2020-04-25,42.7564
2020-04-26,42.7564
2020-04-27,45.38
2020-04-28,46.3701
2020-04-29,48.7856
2020-04-30,47.9578
2020-05-01,49.2329
2020-05-02,49.2329
2020-05-03,49.2329
2020-05-04,49.0633
2020-05-05,49.3865
2020-05-06,49.7317
2020-05-07,51.349
2020-05-08,52.3953
2020-05-09,52.3953
2020-05-10,52.3953
2020-05-11,51.7457
2020-05-12,48.7387
2020-05-13,47.1284
2020-05-14,48.8758
2020-05-15,49.8288
2020-05-16,49.8288
2020-05-17,49.8288
2020-05-18,54.0048
2020-05-19,52.924
2020-05-20,54.742
2020-05-21,53.4926
2020-05-22,53.2199
2020-05-23,53.2199
2020-05-24,53.2199
2020-05-25,53.2199
2020-05-26,56.5794
2020-05-27,57.921
2020-05-28,56.1606
2020-05-29,55.2619
2020-05-30,55.2619
2020-05-31,55.2619
2020-06-01,56.6295
