,GPC US Equity
,RSI_30D
2020-01-01,58.3378
2020-01-02,57.1308
2020-01-03,53.0737
2020-01-04,53.0737
2020-01-05,53.0737
2020-01-06,47.8903
2020-01-07,47.0514
2020-01-08,46.4258
2020-01-09,45.1205
2020-01-10,41.3542
2020-01-11,41.3542
2020-01-12,41.3542
2020-01-13,43.4012
2020-01-14,44.1574
2020-01-15,42.7779
2020-01-16,48.2277
2020-01-17,50.8203
2020-01-18,50.8203
2020-01-19,50.8203
2020-01-20,50.8203
2020-01-21,48.0071
2020-01-22,45.7119
2020-01-23,45.6373
2020-01-24,41.921
2020-01-25,41.921
2020-01-26,41.921
2020-01-27,38.9376
2020-01-28,39.9104
2020-01-29,41.2475
2020-01-30,40.7942
2020-01-31,35.9609
2020-02-01,35.9609
2020-02-02,35.9609
2020-02-03,37.6463
2020-02-04,40.0823
2020-02-05,45.4058
2020-02-06,42.6205
2020-02-07,41.5352
2020-02-08,41.5352
2020-02-09,41.5352
2020-02-10,41.1969
2020-02-11,42.3504
2020-02-12,44.0243
2020-02-13,44.8331
2020-02-14,44.0463
2020-02-15,44.0463
2020-02-16,44.0463
2020-02-17,44.0463
2020-02-18,44.6411
2020-02-19,49.5922
2020-02-20,50.056
2020-02-21,44.5146
2020-02-22,44.5146
2020-02-23,44.5146
2020-02-24,43.7918
2020-02-25,38.8865
2020-02-26,36.735
2020-02-27,33.1909
2020-02-28,34.194
2020-02-29,34.194
2020-03-01,34.194
2020-03-02,37.4915
2020-03-03,34.8052
2020-03-04,39.6305
2020-03-05,36.8617
2020-03-06,34.3855
2020-03-07,34.3855
2020-03-08,34.3855
2020-03-09,32.226
2020-03-10,40.4886
2020-03-11,38.7765
2020-03-12,34.6832
2020-03-13,35.739
2020-03-14,35.739
2020-03-15,35.739
2020-03-16,30.5548
2020-03-17,37.2339
2020-03-18,31.6328
2020-03-19,30.7045
2020-03-20,27.092
2020-03-21,27.092
2020-03-22,27.092
2020-03-23,25.3496
2020-03-24,34.4206
2020-03-25,37.3906
2020-03-26,40.1184
2020-03-27,38.2515
2020-03-28,38.2515
2020-03-29,38.2515
2020-03-30,39.3824
2020-03-31,40.2559
2020-04-01,38.1668
2020-04-02,37.5779
2020-04-03,36.223
2020-04-04,36.223
2020-04-05,36.223
2020-04-06,42.2837
2020-04-07,43.6987
2020-04-08,46.0536
2020-04-09,45.2582
2020-04-10,45.2582
2020-04-11,45.2582
2020-04-12,45.2582
2020-04-13,45.0646
2020-04-14,46.8477
2020-04-15,45.4437
2020-04-16,46.6666
2020-04-17,47.3948
2020-04-18,47.3948
2020-04-19,47.3948
2020-04-20,46.5684
2020-04-21,45.3768
2020-04-22,46.6053
2020-04-23,46.7385
2020-04-24,48.033
2020-04-25,48.033
2020-04-26,48.033
2020-04-27,49.6721
2020-04-28,50.7583
2020-04-29,52.5691
2020-04-30,50.6811
2020-05-01,48.0985
2020-05-02,48.0985
2020-05-03,48.0985
2020-05-04,48.3912
2020-05-05,47.9903
2020-05-06,46.4794
2020-05-07,47.2769
2020-05-08,49.196
2020-05-09,49.196
2020-05-10,49.196
2020-05-11,48.8914
2020-05-12,47.657
2020-05-13,45.3529
2020-05-14,45.6371
