,CMI US Equity
,RSI_30D
2020-01-01,54.7261
2020-01-02,55.1122
2020-01-03,51.919
2020-01-04,51.919
2020-01-05,51.919
2020-01-06,48.7961
2020-01-07,48.9502
2020-01-08,49.06
2020-01-09,48.0737
2020-01-10,45.6815
2020-01-11,45.6815
2020-01-12,45.6815
2020-01-13,47.0636
2020-01-14,46.9586
2020-01-15,47.2426
2020-01-16,50.6888
2020-01-17,48.8694
2020-01-18,48.8694
2020-01-19,48.8694
2020-01-20,48.8694
2020-01-21,45.6967
2020-01-22,44.6424
2020-01-23,46.6965
2020-01-24,43.9637
2020-01-25,43.9637
2020-01-26,43.9637
2020-01-27,39.7629
2020-01-28,41.4926
2020-01-29,41.1289
2020-01-30,41.6848
2020-01-31,36.3725
2020-02-01,36.3725
2020-02-02,36.3725
2020-02-03,40.1321
2020-02-04,38.6047
2020-02-05,44.8437
2020-02-06,44.4308
2020-02-07,40.3113
2020-02-08,40.3113
2020-02-09,40.3113
2020-02-10,41.8598
2020-02-11,44.0338
2020-02-12,47.6899
2020-02-13,46.0748
2020-02-14,46.7289
2020-02-15,46.7289
2020-02-16,46.7289
2020-02-17,46.7289
2020-02-18,46.1162
2020-02-19,47.8646
2020-02-20,48.4438
2020-02-21,48.7824
2020-02-22,48.7824
2020-02-23,48.7824
2020-02-24,44.6105
2020-02-25,43.1662
2020-02-26,40.8182
2020-02-27,38.328
2020-02-28,36.2612
2020-02-29,36.2612
2020-03-01,36.2612
2020-03-02,40.8127
2020-03-03,38.5268
2020-03-04,42.5923
2020-03-05,37.8911
2020-03-06,37.8578
2020-03-07,37.8578
2020-03-08,37.8578
2020-03-09,33.1641
2020-03-10,38.5377
2020-03-11,36.3689
2020-03-12,31.5443
2020-03-13,37.1261
2020-03-14,37.1261
2020-03-15,37.1261
2020-03-16,35.0688
2020-03-17,38.5644
2020-03-18,33.8652
2020-03-19,32.3596
2020-03-20,31.7454
2020-03-21,31.7454
2020-03-22,31.7454
2020-03-23,28.0894
2020-03-24,39.5043
2020-03-25,40.9676
2020-03-26,44.037
2020-03-27,42.976
2020-03-28,42.976
2020-03-29,42.976
2020-03-30,44.1652
2020-03-31,44.5217
2020-04-01,42.8602
2020-04-02,43.9014
2020-04-03,43.7309
2020-04-04,43.7309
2020-04-05,43.7309
2020-04-06,47.9341
2020-04-07,49.4105
2020-04-08,50.8522
2020-04-09,51.2922
2020-04-10,51.2922
2020-04-11,51.2922
2020-04-12,51.2922
2020-04-13,49.5802
2020-04-14,50.2631
2020-04-15,49.1706
2020-04-16,48.9979
2020-04-17,50.761
2020-04-18,50.761
2020-04-19,50.761
2020-04-20,49.4455
2020-04-21,47.8947
2020-04-22,49.0284
2020-04-23,49.2523
2020-04-24,50.3093
2020-04-25,50.3093
2020-04-26,50.3093
2020-04-27,51.9337
2020-04-28,55.8549
2020-04-29,57.3917
2020-04-30,56.5514
2020-05-01,53.6498
2020-05-02,53.6498
2020-05-03,53.6498
2020-05-04,52.0698
2020-05-05,52.0105
2020-05-06,51.9257
2020-05-07,52.8403
2020-05-08,55.2123
2020-05-09,55.2123
2020-05-10,55.2123
2020-05-11,55.4288
2020-05-12,51.3774
2020-05-13,48.7136
2020-05-14,52.1055
2020-05-15,52.1598
2020-05-16,52.1598
2020-05-17,52.1598
2020-05-18,54.7693
2020-05-19,52.7927
2020-05-20,54.4182
2020-05-21,53.0177
2020-05-22,51.8546
2020-05-23,51.8546
2020-05-24,51.8546
2020-05-25,51.8546
2020-05-26,56.5921
2020-05-27,58.186
2020-05-28,57.3
2020-05-29,57.2069
2020-05-30,57.2069
2020-05-31,57.2069
2020-06-01,57.2938
2020-06-02,57.9237
2020-06-03,59.247
2020-06-04,59.1643
2020-06-05,61.1117
2020-06-06,61.1117
2020-06-07,61.1117
2020-06-08,62.4958
2020-06-09,61.2494
2020-06-10,58.1576
2020-06-11,53.2212
2020-06-12,53.5157
2020-06-13,53.5157
2020-06-14,53.5157
2020-06-15,54.3778
2020-06-16,55.2979
2020-06-17,55.3274
2020-06-18,55.225
2020-06-19,56.5644
2020-06-20,56.5644
2020-06-21,56.5644
2020-06-22,55.2786
2020-06-23,55.4789
2020-06-24,52.2756
2020-06-25,53.7471
2020-06-26,53.2214
2020-06-27,53.2214
2020-06-28,53.2214
2020-06-29,55.2586
2020-06-30,55.3471
2020-07-01,54.004
2020-07-02,55.2206
2020-07-03,55.2206
2020-07-04,55.2206
2020-07-05,55.2206
2020-07-06,57.4159
2020-07-07,55.8581
2020-07-08,54.9471
2020-07-09,53.8369
2020-07-10,54.6629
2020-07-11,54.6629
2020-07-12,54.6629
2020-07-13,54.9596
2020-07-14,56.9348
2020-07-15,58.5658
2020-07-16,59.501
2020-07-17,59.0755
2020-07-18,59.0755
2020-07-19,59.0755
2020-07-20,57.1591
2020-07-21,59.9701
2020-07-22,61.7707
2020-07-23,61.5461
2020-07-24,60.3403
2020-07-25,60.3403
2020-07-26,60.3403
2020-07-27,61.586
2020-07-28,63.3629
2020-07-29,64.9572
2020-07-30,61.7867
2020-07-31,60.9336
2020-08-01,60.9336
2020-08-02,60.9336
2020-08-03,61.8493
2020-08-04,60.2113
2020-08-05,62.5866
2020-08-06,61.0861
2020-08-07,62.4267
2020-08-08,62.4267
2020-08-09,62.4267
2020-08-10,66.6716
2020-08-11,67.3267
2020-08-12,67.7337
2020-08-13,65.5704
2020-08-14,66.7825
2020-08-15,66.7825
2020-08-16,66.7825
2020-08-17,64.595
2020-08-18,64.2027
2020-08-19,64.7106
2020-08-20,64.0654
2020-08-21,64.0784
2020-08-22,64.0784
2020-08-23,64.0784
2020-08-24,64.9869
2020-08-25,64.1358
2020-08-26,63.3985
2020-08-27,62.1955
2020-08-28,62.7148
2020-08-29,62.7148
2020-08-30,62.7148
2020-08-31,61.4916
2020-09-01,63.4053
2020-09-02,64.2636
2020-09-03,57.746
2020-09-04,57.6
2020-09-05,57.6
2020-09-06,57.6
2020-09-07,57.6
2020-09-08,57.375
2020-09-09,61.5269
2020-09-10,57.9477
2020-09-11,58.3307
2020-09-12,58.3307
2020-09-13,58.3307
2020-09-14,59.6831
2020-09-15,59.3473
2020-09-16,58.9432
2020-09-17,59.3965
2020-09-18,60.1869
2020-09-19,60.1869
2020-09-20,60.1869
2020-09-21,54.1857
2020-09-22,54.4258
2020-09-23,53.5272
2020-09-24,54.9861
2020-09-25,56.8525
2020-09-26,56.8525
2020-09-27,56.8525
2020-09-28,59.1246
2020-09-29,59.1834
2020-09-30,57.8225
2020-10-01,54.7391
2020-10-02,56.6543
2020-10-03,56.6543
2020-10-04,56.6543
2020-10-05,60.5811
2020-10-06,59.4534
2020-10-07,61.9549
2020-10-08,61.5688
2020-10-09,62.6592
2020-10-10,62.6592
2020-10-11,62.6592
2020-10-12,61.4337
2020-10-13,60.4213
2020-10-14,61.0947
2020-10-15,61.4443
2020-10-16,61.6279
2020-10-17,61.6279
2020-10-18,61.6279
2020-10-19,60.2293
2020-10-20,60.8531
2020-10-21,60.8355
2020-10-22,61.6064
2020-10-23,63.1141
2020-10-24,63.1141
2020-10-25,63.1141
2020-10-26,58.1927
2020-10-27,57.4479
2020-10-28,52.6534
2020-10-29,55.0663
2020-10-30,56.5248
2020-10-31,56.5248
2020-11-01,56.5248
2020-11-02,60.7188
2020-11-03,62.7922
2020-11-04,56.2724
2020-11-05,59.4659
2020-11-06,59.1228
2020-11-07,59.1228
2020-11-08,59.1228
2020-11-09,59.0685
2020-11-10,61.3127
2020-11-11,61.7738
2020-11-12,60.5112
2020-11-13,62.0653
2020-11-14,62.0653
2020-11-15,62.0653
2020-11-16,58.7743
2020-11-17,58.2429
2020-11-18,59.4014
2020-11-19,59.9024
2020-11-20,58.1093
2020-11-21,58.1093
2020-11-22,58.1093
2020-11-23,60.3621
2020-11-24,59.9534
2020-11-25,56.9137
2020-11-26,56.9137
2020-11-27,55.9786
2020-11-28,55.9786
2020-11-29,55.9786
2020-11-30,57.1253
2020-12-01,56.5485
2020-12-02,54.3211
2020-12-03,49.9437
2020-12-04,49.6954
2020-12-05,49.6954
2020-12-06,49.6954
2020-12-07,49.1772
2020-12-08,50.4188
2020-12-09,52.3636
2020-12-10,49.4103
2020-12-11,48.8635
2020-12-12,48.8635
2020-12-13,48.8635
2020-12-14,47.489
2020-12-15,52.2053
2020-12-16,51.4411
2020-12-17,51.806
2020-12-18,52.3405
2020-12-19,52.3405
2020-12-20,52.3405
2020-12-21,52.5939
2020-12-22,51.7743
2020-12-23,52.2182
2020-12-24,53.7154
2020-12-25,53.7154
2020-12-26,53.7154
2020-12-27,53.7154
2020-12-28,51.9724
2020-12-29,50.9351
2020-12-30,52.491
2020-12-31,53.879
2021-01-01,53.879
2021-01-02,53.879
2021-01-03,53.879
2021-01-04,49.7923
2021-01-05,49.9705
2021-01-06,57.1967
2021-01-07,60.0048
2021-01-08,56.6525
2021-01-09,56.6525
2021-01-10,56.6525
2021-01-11,57.8313
2021-01-12,60.3492
2021-01-13,59.5516
2021-01-14,59.7697
2021-01-15,56.9453
2021-01-16,56.9453
2021-01-17,56.9453
2021-01-18,56.9453
2021-01-19,57.5141
2021-01-20,56.258
2021-01-21,61.6962
2021-01-22,60.9936
2021-01-23,60.9936
2021-01-24,60.9936
2021-01-25,60.6744
2021-01-26,60.8036
2021-01-27,55.5949
2021-01-28,57.1208
2021-01-29,52.4423
2021-01-30,52.4423
2021-01-31,52.4423
2021-02-01,51.627
2021-02-02,52.1209
2021-02-03,52.9963
2021-02-04,50.9627
2021-02-05,49.5693
2021-02-06,49.5693
2021-02-07,49.5693
2021-02-08,54.3062
2021-02-09,57.2527
2021-02-10,57.3108
2021-02-11,56.1565
2021-02-12,56.5189
2021-02-13,56.5189
2021-02-14,56.5189
2021-02-15,56.5189
2021-02-16,56.7669
2021-02-17,55.0656
2021-02-18,55.6917
2021-02-19,58.2245
2021-02-20,58.2245
2021-02-21,58.2245
2021-02-22,59.4082
2021-02-23,60.1664
