,INTU US Equity
,RSI_30D
2020-01-01,50.2817
2020-01-02,53.016
2020-01-03,51.7764
2020-01-04,51.7764
2020-01-05,51.7764
2020-01-06,53.071
2020-01-07,53.1095
2020-01-08,57.0063
2020-01-09,58.4307
2020-01-10,58.6253
2020-01-11,58.6253
2020-01-12,58.6253
2020-01-13,59.0728
2020-01-14,56.3896
2020-01-15,56.5839
2020-01-16,58.876
2020-01-17,62.0764
2020-01-18,62.0764
2020-01-19,62.0764
2020-01-20,62.0764
2020-01-21,63.1481
2020-01-22,65.7054
2020-01-23,64.0856
2020-01-24,63.6671
2020-01-25,63.6671
2020-01-26,63.6671
2020-01-27,60.1562
2020-01-28,62.3441
2020-01-29,60.5918
2020-01-30,60.9517
2020-01-31,56.2722
2020-02-01,56.2722
2020-02-02,56.2722
2020-02-03,57.5768
2020-02-04,61.5578
2020-02-05,60.7516
2020-02-06,62.752
2020-02-07,62.9738
2020-02-08,62.9738
2020-02-09,62.9738
2020-02-10,64.3064
2020-02-11,63.6649
2020-02-12,64.4392
2020-02-13,63.7809
2020-02-14,66.5922
2020-02-15,66.5922
2020-02-16,66.5922
2020-02-17,66.5922
2020-02-18,66.0006
2020-02-19,66.8634
2020-02-20,63.3035
2020-02-21,60.5048
2020-02-22,60.5048
2020-02-23,60.5048
2020-02-24,53.1292
2020-02-25,52.1666
2020-02-26,49.4866
2020-02-27,43.8816
2020-02-28,42.5942
2020-02-29,42.5942
2020-03-01,42.5942
2020-03-02,50.4837
2020-03-03,45.0744
2020-03-04,52.167
2020-03-05,52.7612
2020-03-06,48.5507
2020-03-07,48.5507
2020-03-08,48.5507
2020-03-09,43.3051
2020-03-10,46.8461
2020-03-11,44.3049
2020-03-12,38.4485
2020-03-13,45.8892
2020-03-14,45.8892
2020-03-15,45.8892
2020-03-16,38.1489
2020-03-17,42.3364
2020-03-18,39.837
2020-03-19,38.3136
2020-03-20,36.1263
2020-03-21,36.1263
2020-03-22,36.1263
2020-03-23,35.0765
2020-03-24,44.2756
2020-03-25,44.0707
2020-03-26,47.2876
2020-03-27,44.1785
2020-03-28,44.1785
2020-03-29,44.1785
2020-03-30,45.8258
2020-03-31,44.5172
2020-04-01,42.6574
2020-04-02,44.1012
2020-04-03,43.0232
2020-04-04,43.0232
2020-04-05,43.0232
2020-04-06,47.2656
2020-04-07,47.2053
2020-04-08,48.3719
2020-04-09,49.625
2020-04-10,49.625
2020-04-11,49.625
2020-04-12,49.625
2020-04-13,49.254
2020-04-14,51.3559
2020-04-15,49.585
2020-04-16,50.6164
2020-04-17,52.082
2020-04-18,52.082
2020-04-19,52.082
2020-04-20,51.8089
2020-04-21,48.9115
2020-04-22,51.6788
2020-04-23,50.5628
2020-04-24,51.6084
2020-04-25,51.6084
2020-04-26,51.6084
2020-04-27,53.1052
2020-04-28,51.9814
2020-04-29,53.3
2020-04-30,52.5412
2020-05-01,50.7489
2020-05-02,50.7489
2020-05-03,50.7489
2020-05-04,52.0453
2020-05-05,53.3259
2020-05-06,53.5919
2020-05-07,54.5423
2020-05-08,54.4393
2020-05-09,54.4393
2020-05-10,54.4393
2020-05-11,55.9029
2020-05-12,54.4138
2020-05-13,53.3353
2020-05-14,53.9845
2020-05-15,54.8453
2020-05-16,54.8453
2020-05-17,54.8453
2020-05-18,56.079
2020-05-19,55.1356
2020-05-20,55.928
2020-05-21,55.7944
2020-05-22,55.1302
2020-05-23,55.1302
2020-05-24,55.1302
2020-05-25,55.1302
2020-05-26,53.6349
2020-05-27,53.3609
2020-05-28,54.0139
2020-05-29,55.5739
2020-05-30,55.5739
2020-05-31,55.5739
2020-06-01,55.4623
2020-06-02,54.6125
2020-06-03,55.3584
2020-06-04,53.1371
2020-06-05,54.5023
2020-06-06,54.5023
2020-06-07,54.5023
2020-06-08,55.7709
2020-06-09,55.1908
2020-06-10,56.395
2020-06-11,50.8836
2020-06-12,51.6467
2020-06-13,51.6467
2020-06-14,51.6467
2020-06-15,52.3177
2020-06-16,53.7847
2020-06-17,53.135
2020-06-18,53.3414
2020-06-19,53.0442
2020-06-20,53.0442
